datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,69,8,5,16,47990,49944,54043,,1,18,0,50,0.03869,5.26483,4.2529,5.23843,,,,,,0,0,0,
2020-01-23,161,18,11,23,22942,41326,69224,,1,50,0,110,-0.07348,5.27589,4.41379,5.47398,-0.0228,-0.04981,-0.01676,0.03979,-0.02629,0,0,0,
2020-01-24,821,32,28,37,102394,167708,72607,,3,301,0,517,0.46511,5.37899,4.49615,6.10901,,,,,,0,0,0,
2020-01-25,687,71,13,31,87966,31131,53354,,2,233,0,452,-0.09503,5.23841,4.29802,5.34315,,,,,,0,0,0,
2020-01-26,656,48,14,33,84998,75110,96776,,1,224,0,431,-0.04903,5.17524,4.35282,5.26627,,,,,,0,0,0,
2020-01-27,561,50,17,36,86299,98262,78772,,0,167,2,392,-0.21992,5.20388,4.3911,5.15873,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-28,512,25,16,37,52903,40230,85114,,1,196,0,315,-0.21209,5.19999,4.35856,5.2154,-0.03819,-0.05317,-0.02741,0.07181,-0.05358,0,0,0,
2020-01-29,544,24,28,26,59374,95651,89022,,2,194,0,348,-0.15483,5.14417,4.40295,5.26044,,,,,,0,0,0,
2020-01-30,934,72,20,43,127274,25841,94087,,2,318,1,613,-0.04423,5.24576,4.30768,5.32039,,,,,,0,0,0,
2020-01-31,930,64,15,48,99540,56422,75570,,0,328,0,602,-0.11758,5.29407,4.27613,5.28764,-0.05722,-0.05863,-0.05082,0.07497,-0.06982,0,0,0,
2020-02-01,707,23,2,28,37777,29233,59352,,0,287,0,420,-0.13274,5.25282,4.345,5.2123,-0.08536,-0.09659,-0.05643,0.09015,-0.11313,0,0,0,
