datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,CAF,fr,86,7,2,77,2,7,2,13,0.2222,4,9,0,7,0,0,0,1,1,0,0,0,6,2,0,0,53242,234,11890,0,0,0,0,36,0,50,0.2721,5.3862,5.3636,4.1191,-0.0005,,-0.0504,,0.0782,0.0044,,0.2500,,0.2500,,,,,,,,,,,,,,,
2020-01-23,CAF,fr,222,21,4,197,21,19,10,16,0.3448,6,10,5,14,0,1,5,4,0,1,0,1,17,9,0,0,26646,15926,56766,604,0,304,0,94,0,128,0.1010,5.8225,5.5264,4.5011,,,-0.0412,0.0143,0.0818,0.3741,0.0000,0.3462,,0.3462,,,,,,,,,,,,,,,
2020-01-24,CAF,fr,446,67,5,374,48,43,10,24,0.1887,12,10,0,43,0,0,7,2,1,3,0,2,41,4,0,0,45896,14997,45153,646,0,8714,0,186,0,260,0.1759,5.9551,5.5596,4.4529,-0.0461,-0.0311,-0.0266,-0.0271,0.0747,0.2463,0.0000,0.0889,,0.0889,,,,,,,,,,,,,,,
2020-01-25,CAF,fr,865,63,8,794,92,38,5,42,0.1163,11,29,2,36,0,0,4,1,0,4,1,3,35,5,0,0,29844,1995,50128,3366,149,615,0,334,0,531,-0.1385,5.4882,5.3674,4.3176,-0.0222,-0.0289,-0.0255,0.0062,0.0513,0.0627,0.0424,0.1250,,0.1250,,,,,,,,,,,,,,,
2020-01-26,CAF,fr,834,70,10,754,34,16,13,40,0.4483,9,27,0,16,0,0,6,4,3,0,0,2,16,13,0,0,34441,5508,29122,0,0,684,0,283,0,551,-0.1889,5.2602,5.1096,4.3297,-0.0249,-0.0457,-0.0435,-0.0024,0.0686,0.1379,,0.4483,,0.4483,,,,,,,,,,,,,,,
2020-01-27,CAF,fr,505,63,11,431,26,61,6,45,0.0896,20,22,1,60,0,0,4,1,1,0,0,1,57,3,0,0,45225,18805,70392,0,0,48,0,225,0,280,-0.2586,5.1507,5.1626,4.4541,-0.0623,-0.0569,-0.0335,0.0137,0.0557,0.2937,,0.0500,,0.0500,,,,,,,,,,,,,,,
2020-01-28,CAF,fr,412,77,5,330,15,23,12,24,0.3429,10,13,1,22,0,0,11,1,0,0,1,0,19,11,0,0,16879,20837,26077,0,508,0,0,179,0,233,-0.1423,5.3162,5.3339,4.1971,-0.0381,-0.0421,-0.0213,0.0147,0.0507,0.5525,1.0000,0.3667,,0.3667,,,,,,,,,,,,,,,
2020-01-29,CAF,fr,467,80,7,380,17,29,8,28,0.2162,7,18,1,28,0,0,6,2,0,0,0,1,21,2,0,0,39962,13829,44185,0,0,262,0,207,1,259,-0.1008,5.1273,5.1791,4.3350,-0.0476,-0.0202,-0.0404,-0.0059,0.0633,0.2571,,0.0870,,0.0870,,,,,,,,,,,,,,,
2020-01-30,CAF,fr,683,121,12,550,29,15,14,68,0.4828,22,18,0,15,0,7,6,1,0,0,0,0,15,14,0,0,12038,17569,72967,0,0,0,0,333,0,350,-0.0088,5.2805,5.3084,4.2354,-0.0366,-0.0387,-0.0360,0.0180,0.0650,0.5934,,0.4828,,0.4828,,,,,,,,,,,,,,,
2020-01-31,CAF,fr,589,84,13,492,18,10,15,31,0.6000,18,8,0,10,0,10,5,0,0,1,0,1,7,13,0,0,8967,19555,21302,351,0,1101,0,239,0,350,-0.1205,5.1653,5.2069,4.3041,-0.0541,-0.0516,-0.0402,-0.0133,0.0622,0.6856,0.0000,0.6500,,0.6500,,,,,,,,,,,,,,,
2020-02-01,CAF,fr,248,29,6,213,8,11,2,26,0.1538,23,1,0,11,0,1,1,0,0,0,0,0,11,2,0,0,6380,2325,18632,0,0,0,0,110,0,138,-0.1842,5.0637,5.1586,4.3669,-0.0472,-0.0414,-0.0476,-0.0320,0.0675,0.2671,,0.1538,,0.1538,,,,,,,,,,,,,,,
2020-02-02,CAF,fr,215,23,1,191,15,5,4,6,0.4444,2,4,0,5,0,3,0,0,1,0,0,0,4,4,0,0,5476,3982,5011,0,0,0,0,79,0,136,-0.2264,5.1692,5.2466,4.2215,-0.0474,-0.0497,-0.0422,-0.0055,0.0712,0.4210,,0.5000,,0.5000,,,,,,,,,,,,,,,
