datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,CHL,es,6638,1226,119,5293,5814,244,341,1436,675,606,35,209,0,1,330,6,4,169,313,1273,4414936,815559,257287874,4298227,793314,256916869,168,2337,56,4077,0.1230,5.5990,5.2950,4.1880,-0.0450,-0.0300,-0.0510,0.0130,0.0740,0.1560,0.1560,,,,,
2020-01-23,CHL,es,8953,1583,166,7204,7670,365,446,1857,726,904,73,292,0,20,406,19,1,209,344,1691,7570762,1096915,351961516,7062846,790495,351625656,240,3062,99,5552,0.1020,5.5260,5.3050,4.3910,-0.0670,-0.0290,-0.0440,0.0060,0.0770,0.1270,0.1010,,,,,
2020-01-24,CHL,es,11529,2391,274,8864,9250,604,564,2188,837,1206,66,538,0,6,516,29,13,378,460,1873,8806223,1557368,261391245,8352804,1062381,257329179,173,4127,91,7138,-0.0970,5.6640,5.4290,4.3950,-0.0400,0.0220,-0.0350,0.0070,0.0730,0.1500,0.1130,,,,,
2020-01-25,CHL,es,8774,1456,168,7150,6047,445,425,1926,544,1332,31,414,0,6,238,21,160,243,217,1724,2435905,1324142,149461833,1877047,723487,148585366,95,3204,31,5444,-0.0350,5.3210,5.2250,4.3380,-0.0290,-0.0120,-0.0340,-0.0050,0.0660,0.3520,0.2780,,,,,
2020-01-26,CHL,es,7493,1237,166,6090,4936,468,314,1777,528,1182,36,432,0,13,209,28,64,244,172,1465,2490793,781549,142352382,1934108,415390,141574262,127,2758,20,4588,0.0290,5.2390,5.1850,4.3160,-0.0410,-0.0580,-0.0430,0.0010,0.0680,0.2390,0.1770,,,,,
2020-01-27,CHL,es,7729,1551,202,5976,5391,427,308,1494,585,828,18,409,0,3,279,10,16,217,211,1219,5915331,717242,215673773,5471816,504770,214695100,183,2936,22,4588,0.0460,5.1000,5.1910,4.4820,-0.0490,-0.0530,-0.0380,0.0100,0.0560,0.1080,0.0840,,,,,
2020-01-28,CHL,es,18800,3859,456,14485,16288,611,434,3034,1259,1576,127,484,1,5,389,34,5,441,316,2643,4874244,979971,346586544,4247696,660363,342296506,366,6565,53,11816,0.0980,5.2260,5.2600,4.2630,-0.0380,-0.0460,-0.0290,0.0040,0.0650,0.1670,0.1350,,,,,
2020-01-29,CHL,es,11789,2363,313,9113,9792,194,213,1079,485,521,12,182,0,18,158,30,7,105,159,930,7087976,683088,162785728,6903914,513927,159420657,286,4308,49,7146,0.1140,5.2450,5.1870,4.3170,-0.0600,-0.0550,-0.0390,-0.0000,0.0710,0.0880,0.0690,,,,,
2020-01-30,CHL,es,12137,2981,404,8752,8712,429,186,1702,683,787,13,416,0,19,150,10,7,236,118,1317,6384426,519528,218927256,5775717,239187,203316799,283,4293,188,7373,0.1150,5.1500,5.1540,4.2930,-0.0450,-0.0520,-0.0400,0.0120,0.0680,0.0750,0.0400,,,,,
2020-01-31,CHL,es,12601,2542,393,9666,9959,268,250,1674,1050,558,13,255,1,34,183,23,9,141,155,1456,5720342,495014,193552187,5395336,307936,184563736,230,4478,84,7809,0.1850,5.0970,5.1890,4.3790,-0.0430,-0.0500,-0.0420,-0.0090,0.0730,0.0800,0.0540,,,,,
