datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,CHN,zh,3103,713,138,2252,59,254,79,459,180,242,11,243,0,0,72,4,3,9,0,22,14956050,672052,180160328,908174,0,77965,340,1094,54,1615,-0.0080,5.1660,5.1670,4.1580,-0.0390,-0.0460,-0.0510,-0.0010,0.0780,0.0430,0.0000,0.0070,526,140,17,11
2020-01-23,CHN,zh,4458,1068,167,3223,187,477,134,629,216,293,16,461,0,7,104,17,6,20,0,44,11766828,323806,261764057,63096,0,563778,284,1680,80,2414,-0.0180,5.4000,5.2690,4.2660,-0.0400,-0.0480,-0.0430,0.0090,0.0720,0.0270,0.0000,-0.0200,623,97,17,0
2020-01-24,CHN,zh,7261,1502,257,5502,265,915,196,777,265,378,35,880,0,3,149,33,11,35,1,68,4919323,719559,300625865,291539,7816,363331,346,2798,39,4078,-0.1260,5.4420,5.2230,4.3250,-0.0430,-0.0410,-0.0430,-0.0280,0.0750,0.1280,0.0260,,882,259,26,9
2020-01-25,CHN,zh,10233,1797,373,8063,558,758,130,1004,282,614,14,744,0,9,89,25,7,16,7,163,6233312,501567,357533888,150640,8647,343015,379,3798,51,6005,-0.0320,5.3860,5.2200,4.2720,-0.0400,0.0010,-0.0420,-0.0070,0.0690,0.0740,0.0540,,1323,441,41,15
2020-01-26,CHN,zh,8941,2069,467,6405,341,537,169,1101,254,626,48,489,0,38,69,39,23,43,17,75,3265889,438207,346180313,42951,6156,238069,373,3283,140,5145,-0.0530,5.3280,5.2370,4.2880,-0.0360,-0.0370,-0.0440,0.0010,0.0700,0.1180,0.1250,,1988,665,56,15
2020-01-27,CHN,zh,7133,2108,286,4739,271,618,128,1059,304,586,41,577,1,2,98,15,12,34,4,49,4834440,304253,284112924,44622,10101,641787,514,2765,68,3786,-0.0340,5.3200,5.2740,4.2890,-0.0440,-0.0420,-0.0410,0.0100,0.0680,0.0590,0.1850,,2775,787,81,25
2020-01-28,CHN,zh,7864,2258,450,5156,297,602,220,1179,326,682,42,560,0,11,164,35,10,28,5,46,11139151,243980,523201174,79040,1448,53419,513,3298,102,3951,-0.0510,5.3630,5.3010,4.2100,-0.0350,-0.0360,-0.0430,0.0050,0.0720,0.0210,0.0180,,4528,1753,106,25
2020-01-29,CHN,zh,7145,2250,456,4439,345,454,178,576,130,306,25,429,7,9,76,37,49,39,41,36,6721706,413582,191528417,5574038,11529,1975730,513,2754,91,3787,0.0080,5.3040,5.2600,4.2970,-0.0380,-0.0250,-0.0440,0.0080,0.0750,0.0580,0.0020,,5994,1466,132,26
2020-01-30,CHN,zh,9607,2907,423,6277,305,448,206,849,219,348,25,423,4,31,147,18,6,18,7,52,3352618,679783,126737675,911063,1223,1023753,584,3550,89,5384,0.0200,5.3160,5.2630,4.2520,-0.0420,-0.0350,-0.0400,0.0120,0.0710,0.1690,0.0010,,7734,1740,170,38
2020-01-31,CHN,zh,8993,2686,643,5664,340,424,180,653,195,336,14,410,4,35,73,51,17,37,10,47,2409770,213469,315129333,1134429,7744,1866149,562,3212,98,5121,-0.0200,5.2640,5.2630,4.2900,-0.0450,-0.0440,-0.0430,-0.0060,0.0720,0.0810,0.0070,,9714,1980,213,43
2020-02-01,CHN,zh,6014,2084,454,3476,412,297,95,551,175,272,16,281,0,11,39,26,19,22,4,49,4962248,132230,133203688,1218219,12449,100800,449,2163,80,3322,-0.0010,5.3010,5.2990,4.2860,-0.0410,-0.0420,-0.0440,-0.0010,0.0730,0.0260,0.0100,,11809,2095,259,46
2020-02-02,CHN,zh,6250,2127,382,3741,311,302,83,512,126,304,3,299,0,18,41,19,5,13,3,54,1010564,99055,282178820,74430,4930,709794,536,2247,102,3365,-0.0120,5.2730,5.2630,4.2860,-0.0330,-0.0360,-0.0430,0.0130,0.0730,0.0890,0.0620,,14399,2590,304,45
2020-02-03,CHN,zh,5458,2251,349,2858,200,301,102,497,164,251,11,290,1,15,46,26,14,16,5,25,1054074,194682,293142773,28477,7789,968996,701,1880,54,2823,0.0040,5.2620,5.2450,4.3020,-0.0220,-0.0120,-0.0430,0.0060,0.0760,0.1560,0.2150,0.0190,17211,2812,361,57
2020-02-04,CHN,zh,5443,2348,296,2799,235,308,73,518,140,275,15,293,1,2,36,29,5,27,0,21,922827,202067,319012835,15525,0,8516,694,1871,90,2788,-0.0220,5.2250,5.2250,4.2940,-0.0310,-0.0120,-0.0440,0.0120,0.0760,0.1800,0.0000,0.0260,20448,3237,426,65
2020-02-05,CHN,zh,5086,2324,248,2514,257,286,75,500,160,268,4,282,0,3,34,30,8,4,2,49,2234062,77200,221930740,846,374,204213,683,1774,79,2550,0.0350,5.2790,5.2550,4.2790,-0.0190,-0.0110,-0.0430,0.0070,0.0770,0.0330,0.3070,0.0030,24320,3872,492,66
2020-02-06,CHN,zh,6200,2637,316,3247,415,326,75,540,162,307,4,322,0,0,47,19,9,9,1,47,708132,259082,240975157,2489,0,1359734,768,2235,86,3111,-0.0930,5.2010,5.1800,4.3400,-0.0330,-0.0210,-0.0440,0.0030,0.0770,0.2680,0.0000,0.0090,28047,3727,564,72
2020-02-07,CHN,zh,6149,2389,253,3507,485,434,62,547,131,340,9,425,0,1,26,27,8,21,2,56,1341114,82311,308776015,19127,234,460488,744,2147,92,3166,-0.0390,5.2570,5.2390,4.3070,-0.0310,-0.0230,-0.0460,0.0090,0.0770,0.0580,0.0120,0.0050,31207,3160,637,73
