datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,CNM,,5,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,3,0,2,-0.4260,4.1570,4.4800,4.6750,,,,,,,,,,,,
2020-01-23,CNM,,8,2,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,8,-0.1820,6.1370,5.6110,4.5600,,,-0.0490,,0.0760,0.0000,,,,,,
2020-01-24,CNM,,5,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,3,0,2,-0.1520,6.3540,5.7040,4.2640,,,-0.0590,,0.0830,0.0000,,,,,,
2020-01-25,CNM,,10,4,0,6,0,1,3,1,1,0,0,1,0,0,0,3,0,0,0,0,775,2298,698,0,0,0,0,5,0,5,-0.1290,4.9600,4.9350,4.5260,,,-0.0080,0.0330,0.0510,0.7480,,,,,,
2020-01-26,CNM,,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,-0.1810,4.8770,4.8460,4.6040,,,-0.0170,,0.0630,,,,,,,
2020-01-27,CNM,,8,5,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3422,0,0,0,0,3,0,5,-0.2460,5.1840,5.1500,4.6700,,,0.0680,0.0330,0.0140,,,,,,,
2020-01-28,CNM,,9,4,2,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,874,0,116,0,0,0,0,3,0,6,-0.5300,4.6720,5.1180,4.0600,,,0.0680,0.0330,0.0120,0.0000,,,,,,
2020-01-29,CNM,,16,8,0,8,0,2,1,1,1,0,0,2,0,0,1,0,0,0,0,0,5179,2072,5106,0,0,0,0,11,0,5,0.1820,5.6870,5.2060,4.3580,,,-0.0590,,0.0850,0.2860,,,,,,
2020-01-30,CNM,,21,10,0,11,0,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,5852,0,2861,0,0,0,0,6,0,15,0.0350,4.6830,4.8640,4.3890,-0.0410,-0.0260,-0.0340,0.0330,0.0580,0.0000,,,,,,
2020-01-31,CNM,,13,11,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1086,0,92,0,0,0,1,4,0,8,-0.0420,5.7180,5.5190,4.3820,,,-0.0170,0.0330,0.0390,0.0000,,,,,,
2020-02-01,CNM,,10,6,1,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,471,0,220,0,0,0,0,5,0,5,-0.1560,4.4810,4.9230,4.5520,,,-0.0590,-0.0510,0.0880,0.0000,,,,,,
2020-02-02,CNM,,8,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,-0.6160,4.8100,4.9220,4.4130,,,-0.0310,-0.0060,0.0890,,,,,,,
2020-02-03,CNM,,7,5,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2459,0,0,0,0,3,0,4,0.4840,5.3770,5.4850,4.0000,,,-0.0590,,0.0830,,,,,,,
2020-02-04,CNM,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.1540,5.5030,5.4580,4.4450,,,,,,,,,,,,
2020-02-05,CNM,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8270,,,,,,,,,,,,,,,
2020-02-06,CNM,,8,4,1,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,698,5120,0,0,0,0,0,0,8,0.2340,5.8080,5.4650,3.8880,,,-0.0590,,0.0830,1.0000,,,,,,
2020-02-07,CNM,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7270,4.0310,4.2820,5.0610,-0.0420,-0.0490,-0.0590,-0.0460,0.0800,,,,,,,
2020-02-08,CNM,,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0.0290,5.7420,5.4780,3.3270,,,-0.0590,,0.0850,,,,,,,
2020-02-09,CNM,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8440,4.7010,4.4880,4.9200,,,-0.0590,,0.0560,,,,,,,
2020-02-10,CNM,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.1030,5.3190,5.6590,4.0550,,,,,-0.0000,,,,,,,
2020-02-11,CNM,,5,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4457,0,0,0,0,0,0,5,0.2190,5.7950,5.5080,4.0910,,,-0.0610,,0.0830,,,,,,,
2020-02-12,CNM,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,1,-0.2260,5.8950,5.4620,4.0580,,,,,,0.0000,,,,,,
2020-02-13,CNM,,11,4,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1228,0,0,0,0,0,0,1,0,10,0.0400,5.4970,5.1300,4.0990,,,-0.0600,,0.0830,0.0000,,,,,,
2020-02-14,CNM,,4,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,1,0,3,0.3140,5.4300,5.1890,3.9570,,,-0.0590,,0.0870,0.0000,,,,,,
2020-02-15,CNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,CNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,CNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,CNM,,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-0.1890,4.5340,4.6060,4.7960,,,,,,,,,,,,
2020-02-19,CNM,,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.1780,5.5840,5.8060,3.7990,,,,,0.0170,,,,,,,
2020-02-20,CNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,CNM,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
2020-02-22,CNM,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,
2020-02-23,CNM,,5,3,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,0,0,5,-0.2430,4.8610,5.1810,4.2840,,,,,0.0600,0.0000,,,,,,
2020-02-24,CNM,,16,9,2,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2415,0,0,0,0,0,0,7,0,9,-0.5520,5.0030,5.1170,4.4290,,,0.0470,0.0330,0.0300,0.0000,,,,,,
2020-02-25,CNM,,10,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,-0.6600,4.8550,4.7650,4.3640,,,,,0.0970,,,,,,,
2020-02-26,CNM,,14,7,2,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1205,0,3134,0,0,0,0,6,0,8,0.1330,5.9080,5.6370,4.0790,,,-0.0590,,0.0830,0.0000,,,,,,
2020-02-27,CNM,,18,9,0,9,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1506,0,916,0,0,0,0,10,0,8,0.0880,5.2100,5.0590,4.1770,,,-0.0590,-0.0710,0.0830,0.0000,,,,,,
2020-02-28,CNM,,28,9,1,18,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1697,0,0,0,0,10,0,18,0.0970,5.5540,5.5210,4.2770,,,-0.0590,,0.0910,,,,,,,
2020-02-29,CNM,,21,14,2,5,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,701,701,1687,0,0,0,0,14,0,7,0.0960,5.3460,5.1530,4.3730,,,,,0.0800,0.5000,,,,,,
2020-03-01,CNM,,66,12,0,54,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,4675,701,6179,0,0,0,1,18,1,46,0.3780,4.5830,4.7030,4.4970,,,,,0.0790,0.1300,,,,,,
2020-03-02,CNM,,25,9,1,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21025,0,0,0,0,7,0,18,0.0080,4.9930,5.4750,4.1800,,,,,0.0790,,,,,,,
2020-03-03,CNM,,25,14,0,11,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1500,0,8224,0,0,0,0,13,0,12,0.0830,5.1790,5.1400,4.2630,-0.0760,,-0.0170,0.0330,0.0410,0.0000,,,,,,
2020-03-04,CNM,,48,16,0,32,0,2,0,5,2,3,0,2,0,0,0,0,0,0,0,0,83668,0,4930,0,0,0,1,22,0,25,0.0300,5.4550,5.4560,4.3220,,,0.0050,0.0330,0.0470,0.0000,,,,,,
2020-03-05,CNM,,21,12,0,9,0,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,3426,920,718,0,0,0,0,14,0,7,0.0350,5.6700,5.5440,4.1040,,,-0.0590,,0.0660,0.2120,,,,,,
2020-03-06,CNM,,22,10,2,10,0,2,0,3,1,1,1,1,0,0,0,0,0,0,0,0,2222,0,3394,0,0,0,0,14,0,8,0.2500,5.8340,5.6320,4.4490,,,-0.0430,,0.0680,0.0000,,,,,,
2020-03-07,CNM,,26,17,0,9,0,4,0,1,0,1,1,3,0,0,0,0,0,0,0,0,3207,0,123,0,0,0,0,6,0,20,0.0930,4.4850,4.8480,4.5850,-0.0420,-0.0490,,-0.0460,0.0660,0.0000,,,,,,
2020-03-08,CNM,,31,17,2,12,0,2,0,3,1,2,0,2,0,0,0,0,0,0,0,0,6629,0,1825,0,0,0,0,7,0,24,-0.0380,5.6110,5.3580,4.3950,,,-0.0590,,0.0790,0.0000,,,,,,
