datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,COD,fr,238,43,15,180,60,9,9,26,3,1,17,11308,45332,250265,6301,150,187070,3,85,0,150,0.303,5.357,5.379,4.109,,,-0.029,0.028,0.076,0.800,0.023,,,,,
2020-01-23,COD,fr,556,59,25,472,221,41,9,64,11,2,30,133894,17063,120998,27805,7405,46118,0,197,0,359,0.137,5.932,5.570,4.538,,0.046,-0.038,0.002,0.076,0.113,0.210,,,,,
2020-01-24,COD,fr,1311,163,38,1110,569,93,20,107,43,7,60,106701,32512,467911,61459,3313,331674,2,498,0,811,0.263,6.264,5.764,4.442,-0.077,0.048,-0.022,-0.013,0.070,0.234,0.051,,,,,
2020-01-25,COD,fr,2274,259,46,1969,1193,148,33,128,109,22,93,287959,174690,452685,257223,112304,356179,1,868,0,1405,-0.012,5.569,5.413,4.253,-0.025,-0.036,-0.029,-0.003,0.054,0.378,0.304,,,,,
2020-01-26,COD,fr,1599,240,61,1298,532,89,20,201,37,2,118,117417,30470,1195193,59978,8170,1057314,3,649,2,945,-0.077,5.277,5.172,4.248,-0.046,-0.056,-0.044,-0.012,0.068,0.206,0.120,,,,,
2020-01-27,COD,fr,1083,184,32,867,383,62,25,108,10,9,58,134606,113017,457772,33937,60122,348843,3,374,0,706,-0.197,5.141,5.115,4.457,-0.052,-0.051,-0.034,0.021,0.062,0.456,0.639,,,,,
2020-01-28,COD,fr,933,211,43,679,334,42,25,140,14,7,68,207802,69324,776358,70211,3879,661536,12,318,0,603,-0.055,5.320,5.353,4.224,-0.040,-0.050,-0.026,-0.004,0.055,0.250,0.052,,,,,
2020-01-29,COD,fr,1212,253,56,903,445,52,8,111,20,2,71,135613,34061,947911,113635,7442,912874,11,471,2,728,-0.039,5.240,5.212,4.347,-0.057,-0.039,-0.035,0.011,0.062,0.201,0.061,,,,,
2020-01-30,COD,fr,2168,504,57,1607,548,59,41,229,11,8,83,215859,75227,1038272,44180,27465,869988,14,840,2,1312,0.074,5.320,5.303,4.186,-0.051,-0.046,-0.035,0.012,0.062,0.258,0.383,,,,,
2020-01-31,COD,fr,1531,237,66,1228,328,36,29,101,8,2,48,40625,54133,758471,9470,1439,703756,9,586,1,935,-0.051,5.250,5.271,4.253,-0.045,-0.041,-0.038,-0.003,0.063,0.571,0.132,,,,,
2020-02-01,COD,fr,757,178,27,552,247,14,14,84,6,0,42,33236,11745,898996,16443,0,821197,4,316,0,437,-0.056,5.167,5.302,4.322,-0.034,-0.049,-0.034,-0.010,0.068,0.261,0.000,,,,,
2020-02-02,COD,fr,931,211,38,682,343,41,9,78,10,1,47,96526,17625,515937,63634,7321,395009,7,302,0,622,-0.009,5.298,5.338,4.207,0.000,-0.029,-0.035,0.008,0.067,0.154,0.103,,,,,
2020-02-03,COD,fr,725,168,33,524,393,33,6,82,14,0,65,122753,26642,722573,83773,0,706869,4,231,0,490,-0.095,5.290,5.280,4.299,-0.027,-0.046,-0.044,0.018,0.078,0.178,0.000,,,,,
2020-02-04,COD,fr,705,160,37,508,358,31,3,98,12,2,64,36383,7049,1202695,13999,6758,1170289,12,260,0,433,-0.187,5.075,5.048,4.348,-0.029,-0.039,-0.043,0.013,0.072,0.162,0.326,,,,,
2020-02-05,COD,fr,752,182,36,534,408,31,7,168,23,0,115,192993,12227,1417608,184608,0,1260899,18,337,2,395,0.013,5.313,5.281,4.315,-0.002,-0.001,-0.045,-0.005,0.077,0.060,0.000,,,,,
