datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,COG,fr,60,7,0,53,8,5,1,12,5,4,0,5,0,0,1,0,0,1,0,4,8845,252,23209,6288,0,18077,1,27,0,32,0.289,5.414,5.319,4.133,0.038,0.047,-0.043,0.033,0.084,0.028,0.000,,,,,
2020-01-23,COG,fr,111,9,0,102,28,14,4,15,8,6,0,14,0,0,4,0,0,2,0,5,56919,3480,11921,6590,0,5792,0,45,0,66,0.021,5.623,5.380,4.581,,,-0.059,,0.089,0.058,0.000,,,,,
2020-01-24,COG,fr,285,38,5,242,74,18,2,23,11,9,0,18,0,0,2,0,0,5,1,10,9885,48849,83063,6429,2524,26693,2,95,0,188,0.115,6.029,5.601,4.357,-0.095,-0.078,-0.034,-0.035,0.072,0.832,0.282,,,,,
2020-01-25,COG,fr,456,57,11,388,147,33,6,22,12,9,1,32,0,1,3,1,1,23,3,9,45658,8279,71874,32904,6825,14154,2,162,0,292,-0.142,5.327,5.243,4.393,-0.019,-0.004,-0.029,-0.001,0.047,0.153,0.172,,,,,
2020-01-26,COG,fr,322,52,6,264,61,19,1,30,9,18,0,19,0,1,0,0,0,7,0,7,63840,274,38521,14649,0,2023,0,116,0,206,-0.049,5.381,5.229,4.281,0.011,-0.053,-0.035,0.014,0.062,0.004,0.000,,,,,
2020-01-27,COG,fr,275,41,4,230,76,25,3,23,6,11,1,24,0,0,3,0,0,0,0,12,105708,3524,69430,0,0,21373,3,71,0,201,-0.114,5.108,5.111,4.538,-0.048,-0.056,-0.032,0.002,0.059,0.032,,,,,,
2020-01-28,COG,fr,210,44,1,165,43,13,6,22,9,13,1,12,0,0,4,2,0,5,3,5,101042,10507,131694,7572,8055,23037,8,79,0,123,0.010,5.227,5.343,4.272,-0.043,-0.027,-0.025,0.002,0.051,0.094,0.515,,,,,
2020-01-29,COG,fr,275,65,7,203,63,11,0,21,8,13,0,11,0,0,0,0,0,5,0,5,9913,0,139751,7114,0,24720,6,110,0,159,-0.070,5.431,5.323,4.289,-0.073,-0.036,-0.022,0.011,0.062,0.000,0.000,,,,,
2020-01-30,COG,fr,462,106,13,343,65,14,7,47,23,8,0,14,0,2,5,0,0,2,1,10,7088,4297,118229,117,307,14093,3,195,0,264,-0.011,5.203,5.200,4.266,-0.052,-0.052,-0.038,0.006,0.068,0.377,0.724,,,,,
2020-01-31,COG,fr,365,72,7,286,58,9,7,22,11,8,1,8,0,2,5,0,0,1,0,6,44688,48916,168632,248,0,61840,10,158,0,197,-0.094,5.165,5.280,4.262,-0.057,-0.056,-0.042,0.003,0.062,0.523,0.000,,,,,
2020-02-01,COG,fr,155,30,6,119,37,2,1,12,10,2,1,1,0,0,0,0,1,0,0,4,15263,2074,85092,0,0,36275,4,61,0,90,-0.107,5.085,5.185,4.363,,,-0.041,0.008,0.065,0.120,,,,,,
2020-02-02,COG,fr,170,31,5,134,28,12,0,12,8,2,1,11,0,0,0,0,0,2,0,5,60979,0,138721,956,0,18673,7,68,0,95,-0.126,5.190,5.277,4.126,-0.021,-0.046,-0.051,0.033,0.076,0.000,0.000,,,,,
2020-02-03,COG,fr,136,28,11,97,49,4,0,18,7,11,0,4,0,0,0,0,0,1,0,5,7802,0,138985,3332,0,7213,6,54,0,76,-0.127,5.091,5.197,4.394,-0.041,-0.049,-0.048,-0.049,0.079,0.000,0.000,,,,,
2020-02-04,COG,fr,127,46,4,77,52,4,0,17,3,11,0,4,0,0,0,0,0,2,0,10,69356,0,83108,68498,0,33962,4,44,0,79,-0.063,5.210,5.166,4.221,-0.026,-0.002,-0.035,0.028,0.069,0.000,0.000,,,,,
2020-02-05,COG,fr,172,50,8,114,67,4,1,47,42,4,0,4,0,0,1,0,0,1,1,28,101746,11050,243990,1415,11050,78476,18,50,0,104,0.039,5.205,5.421,4.298,-0.041,-0.049,-0.041,0.001,0.073,0.098,0.886,,,,,
2020-02-06,COG,fr,197,41,11,145,75,7,1,42,28,13,0,7,0,0,1,0,0,3,1,26,5738,1143,185049,872,1143,37053,8,70,0,119,-0.146,5.071,5.218,4.398,,,-0.051,,0.075,0.166,0.567,,,,,
2020-02-07,COG,fr,142,23,9,110,40,18,0,23,14,9,0,18,0,0,0,0,0,1,0,8,20576,0,91644,2746,0,22670,8,48,0,86,-0.026,5.374,5.349,4.260,-0.002,0.048,-0.048,,0.085,0.000,0.000,,,,,
2020-02-08,COG,fr,123,28,8,87,45,31,0,14,6,8,0,31,0,0,0,0,0,11,0,7,29897,0,81211,15880,0,31141,1,37,0,85,-0.050,5.343,5.389,4.274,-0.043,-0.045,-0.059,-0.050,0.080,0.000,0.000,,,,,
2020-02-09,COG,fr,167,33,4,130,71,35,1,42,35,5,0,35,0,0,1,0,0,15,0,34,32383,2137,66484,19589,0,60846,1,56,0,110,-0.074,5.304,5.380,4.349,,-0.045,-0.027,0.033,0.075,0.062,0.000,,,,,
2020-02-10,COG,fr,121,25,8,88,70,5,0,39,28,11,0,5,0,0,0,0,0,2,0,33,8461,0,143432,3548,0,24312,4,36,0,81,-0.220,5.224,5.245,4.106,,,-0.058,,0.090,0.000,0.000,,,,,
2020-02-11,COG,fr,104,30,6,68,36,3,0,15,6,7,0,3,0,0,0,0,0,1,0,7,7979,0,80126,3451,0,25396,5,39,0,60,-0.032,5.109,5.090,4.126,-0.081,,-0.048,-0.047,0.079,0.000,0.000,,,,,
2020-02-12,COG,fr,92,20,6,66,40,9,2,13,5,8,0,9,0,0,2,0,0,3,0,6,11261,2141,118835,4343,0,103775,3,46,0,43,-0.054,5.340,5.209,4.209,,-0.054,-0.059,,0.092,0.160,0.000,,,,,
2020-02-13,COG,fr,100,27,4,69,21,7,1,11,8,2,0,7,0,1,0,0,0,3,0,3,14172,1417,156103,7531,0,7944,6,36,1,57,-0.151,5.243,5.206,4.292,-0.052,-0.052,-0.048,-0.032,0.078,0.091,0.000,,,,,
2020-02-14,COG,fr,89,15,2,72,25,7,2,16,5,10,0,7,0,2,0,0,0,1,0,8,18293,8516,125570,629,0,63482,4,31,0,54,0.109,5.400,5.351,4.418,0.041,,-0.059,,0.084,0.318,0.000,,,,,
2020-02-15,COG,fr,116,19,2,95,37,13,1,14,4,10,0,13,0,0,1,0,0,3,1,9,27132,627,97250,493,627,14417,4,42,0,70,0.145,5.347,5.335,4.243,,0.047,-0.036,0.033,0.064,0.023,0.560,,,,,
2020-02-16,COG,fr,100,14,1,85,24,22,0,16,7,7,0,22,0,0,0,0,0,0,0,7,11626,0,63544,0,0,13960,2,41,0,57,-0.083,5.487,5.465,4.060,,,-0.024,,0.071,0.000,,,,,,
2020-02-17,COG,fr,77,11,3,63,14,8,1,4,2,2,0,8,0,1,0,0,0,2,0,1,21331,1752,5282,18526,0,1440,6,20,0,51,0.181,5.121,5.227,4.234,0.044,0.066,-0.042,-0.008,0.078,0.076,0.000,,,,,
2020-02-18,COG,fr,78,12,3,63,21,5,0,9,5,2,0,5,0,0,0,0,0,2,0,2,3789,0,96178,708,0,12302,2,24,1,51,-0.103,5.331,5.212,4.361,,-0.002,0.000,-0.002,0.047,0.000,0.000,,,,,
2020-02-19,COG,fr,114,17,2,95,21,8,2,11,6,2,0,8,0,1,0,1,0,3,0,5,27462,2998,77960,22139,0,37239,7,32,1,74,0.068,5.645,5.524,4.229,,-0.060,-0.027,0.033,0.075,0.098,0.000,,,,,
2020-02-20,COG,fr,123,15,4,104,25,8,2,15,4,11,2,6,0,0,1,1,0,0,1,6,10749,1363,100093,0,112,18078,4,51,1,67,0.093,5.197,5.341,4.289,,,-0.051,-0.046,0.078,0.113,1.000,,,,,
2020-02-21,COG,fr,142,18,5,119,11,4,1,15,6,9,0,4,0,0,1,0,0,1,0,3,70923,792,54535,68196,0,3693,8,35,0,99,-0.008,5.507,5.453,4.140,-0.076,-0.083,-0.042,-0.014,0.075,0.011,0.000,,,,,
2020-02-22,COG,fr,130,27,13,90,15,21,1,15,6,8,0,21,0,1,0,0,0,1,0,3,23523,119,114989,66,0,25369,10,36,0,84,0.161,5.291,5.505,4.204,0.049,-0.003,-0.027,0.012,0.061,0.005,0.000,,,,,
2020-02-23,COG,fr,162,29,6,127,29,12,2,17,4,8,0,12,0,1,1,0,0,1,0,6,10148,121,9069,66,0,1478,1,51,0,110,-0.101,5.129,5.179,4.330,0.049,-0.041,-0.029,0.007,0.060,0.012,0.000,,,,,
2020-02-24,COG,fr,226,39,14,173,63,17,4,17,6,11,0,17,0,2,1,1,0,3,1,8,13453,883,77903,362,716,72146,6,73,0,147,0.076,5.667,5.487,4.274,,,-0.052,-0.018,0.074,0.062,0.664,,,,,
2020-02-25,COG,fr,269,58,7,204,71,16,5,34,11,20,0,16,0,0,3,2,0,4,0,14,14455,1955,79363,219,0,22861,1,109,0,159,-0.093,5.385,5.299,4.261,-0.081,-0.031,-0.039,-0.029,0.078,0.119,0.000,,,,,
2020-02-26,COG,fr,365,45,17,303,71,17,4,41,14,25,0,17,0,0,4,0,0,1,0,7,26765,2384,105707,3434,0,37783,3,131,1,230,0.025,5.469,5.399,4.354,,,-0.036,0.025,0.077,0.082,0.000,,,,,
2020-02-27,COG,fr,417,88,11,318,79,23,29,32,8,22,0,23,3,3,23,0,0,1,13,4,29305,27209,55815,124,15549,26877,4,160,1,252,0.102,5.448,5.408,4.413,-0.041,-0.025,-0.045,-0.025,0.075,0.481,0.992,,,,,
2020-02-28,COG,fr,429,86,13,330,95,24,34,44,26,18,1,23,1,4,26,3,0,7,3,13,41567,43076,191175,8343,2897,4986,8,162,0,259,0.076,5.536,5.487,4.219,0.003,-0.027,-0.046,0.015,0.073,0.509,0.258,,,,,
2020-02-29,COG,fr,392,63,14,315,79,16,4,66,58,4,0,16,0,1,3,0,0,1,0,26,37920,5684,152950,8534,0,54781,2,159,3,228,0.099,5.539,5.443,4.334,-0.041,-0.051,-0.049,-0.053,0.076,0.130,0.000,,,,,
2020-03-01,COG,fr,338,40,10,288,62,6,8,32,16,15,0,6,0,6,1,1,0,1,0,4,12101,4184,86947,4583,0,24924,0,131,2,205,-0.004,5.299,5.232,4.397,-0.041,-0.049,-0.045,-0.007,0.073,0.257,0.000,,,,,
2020-03-02,COG,fr,373,63,17,293,95,15,6,54,37,17,0,15,0,4,1,0,1,2,0,13,9618,5350,277790,304,0,52164,15,131,0,227,0.097,5.577,5.407,4.281,-0.041,-0.050,-0.045,-0.010,0.068,0.357,0.000,,,,,
2020-03-03,COG,fr,330,61,11,258,122,9,8,33,20,11,0,9,0,1,7,0,0,0,4,15,5657,20444,120712,0,729,36994,5,147,0,178,-0.085,5.251,5.314,4.315,-0.104,-0.056,-0.038,-0.022,0.073,0.783,1.000,,,,,
2020-03-04,COG,fr,377,72,18,287,100,6,1,46,32,13,0,6,0,0,0,1,0,1,0,22,3336,4440,259666,1464,0,65344,10,128,0,239,-0.033,5.373,5.387,4.254,-0.074,-0.039,-0.048,-0.023,0.072,0.571,0.000,,,,,
2020-03-05,COG,fr,414,88,17,309,175,13,3,46,31,12,0,13,0,1,2,0,0,5,1,24,30352,10534,349699,7052,3248,79597,9,144,7,254,0.034,5.571,5.549,4.261,-0.041,0.015,-0.047,-0.046,0.079,0.258,0.315,,,,,
2020-03-06,COG,fr,478,100,15,363,154,14,7,64,38,25,2,12,0,3,2,2,0,6,1,30,19640,5377,302192,7630,50,120456,14,205,1,258,-0.063,5.249,5.310,4.349,-0.019,-0.028,-0.049,0.001,0.071,0.215,0.007,,,,,
2020-03-07,COG,fr,395,80,18,297,109,13,6,40,10,30,1,12,0,4,2,0,0,2,2,11,12891,8052,209956,1877,2938,37416,7,167,0,221,-0.148,4.983,5.111,4.458,-0.025,0.011,-0.043,-0.001,0.075,0.384,0.610,,,,,
