datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,723,44,104,245,640803,231262,2963371,,17,282,2,422,0.059,5.26551,4.2854,5.46411,,,,,,1,43,0,0,104,0,0,93,3,0,0,0,
2020-01-23,852,57,111,220,1067047,275382,4299170,,20,316,1,515,0.02691,5.26045,4.38477,5.40215,0.03327,-0.04022,0.03646,-0.0122,0.04879,9,48,0,2,102,7,0,89,12,0,0,0,
2020-01-24,1385,77,138,372,1345261,806846,3586513,0.37491,27,482,4,872,0.0114,5.52761,4.38252,5.79496,-0.03864,-0.06443,-0.02741,0.06031,-0.06567,7,70,0,1,130,6,0,135,20,0,0,0,
2020-01-25,1519,67,108,316,1615532,304526,2964863,0.1586,20,560,2,937,0.00409,5.32158,4.26881,5.42432,-0.05237,-0.05939,-0.05934,0.08717,-0.07595,1,66,0,1,104,3,0,125,7,0,0,0,
2020-01-26,1369,51,78,291,1287009,622913,3430983,0.32615,17,537,3,812,-0.02015,5.12763,4.31122,5.13938,0.03327,-0.04913,0.03995,0.04403,-0.043,6,45,0,0,76,2,0,120,9,0,0,0,
2020-01-27,1622,63,77,525,1386598,736490,5231385,0.3469,23,597,6,996,0.05771,5.19955,4.47869,5.1595,,,,,,3,60,0,0,75,2,0,158,19,0,0,0,
2020-01-28,1688,57,83,499,3087036,1095150,3322193,0.26186,30,588,4,1066,0.10981,5.31838,4.2592,5.27874,-0.00641,-0.04461,0.00452,0.01821,0.00385,4,53,0,2,72,8,0,175,23,0,0,0,
2020-01-29,1936,30,71,356,58043,236040,2574233,0.80263,14,726,6,1190,0.03519,5.20865,4.38305,5.30704,0.00575,-0.09337,0.02754,-0.01734,-0.11688,1,29,0,1,64,4,0,136,17,0,0,0,
2020-01-30,2220,74,101,367,482090,223050,2489926,0.31632,27,806,1,1386,0.06187,5.26167,4.24866,5.24426,0.00606,-0.04776,0.02695,0.0313,-0.0033,1,73,0,9,87,5,0,145,34,0,0,0,
2020-01-31,2658,52,104,464,722979,338569,3105617,0.31894,19,993,1,1645,0.05944,5.21284,4.27871,5.1466,-0.01414,-0.01123,0.02379,0.04757,0.00612,1,51,0,9,94,1,0,182,17,0,0,0,
2020-02-01,2062,38,69,342,349944,222401,2303290,0.38858,14,668,6,1374,0.00662,5.27341,4.34302,5.16028,,,,,,2,36,0,0,68,1,0,112,8,0,0,0,
2020-02-02,2076,22,106,323,1212142,1222254,2361520,0.50208,10,814,16,1236,0.01978,5.32217,4.28663,5.29845,0.03327,-0.04022,0.05791,-0.03064,0.04879,0,22,0,3,99,4,0,110,11,0,0,0,
2020-02-03,2768,29,62,662,386202,452527,2823490,0.53954,25,1080,12,1651,0.03408,5.28009,4.34192,5.24268,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,29,0,2,58,0,0,143,18,0,0,0,
2020-02-04,2227,28,49,512,632566,70182,3114764,0.09987,10,831,9,1377,0.08908,5.31634,4.2406,5.38497,0.01145,-0.04142,0.03285,-0.04845,0.04649,0,28,0,0,48,1,0,105,17,0,0,0,
2020-02-05,1740,24,29,433,313184,57003,3938839,0.15398,27,637,1,1075,0.1502,5.40108,4.22258,5.2953,-0.02417,-0.04351,-0.0043,0.04136,-0.03398,0,24,0,0,25,4,0,77,16,0,0,0,
2020-02-06,1980,36,59,489,725961,197544,3070884,0.21391,22,711,0,1247,-0.00768,5.17755,4.29186,5.11471,,,,,,1,35,0,0,56,3,0,129,17,0,0,0,
2020-02-07,2458,41,40,477,290584,117164,2521867,0.28734,30,917,0,1511,-0.0263,5.05101,4.2311,5.08667,,,,,,0,41,0,0,39,1,0,108,7,0,0,0,
2020-02-08,2304,80,37,290,471517,88769,1387477,0.15844,14,841,3,1446,-0.09925,4.94274,4.33124,5.01265,,,,,,1,79,0,2,34,0,0,96,5,0,0,0,
2020-02-09,1565,42,58,279,335380,184482,2126770,0.35487,19,567,2,977,0.00431,5.13385,4.33903,5.05525,-0.06166,0.04055,-0.05934,0.08322,-0.01431,1,41,0,1,53,4,0,89,5,0,0,0,
2020-02-10,2124,26,39,388,399707,98243,1651944,0.19729,20,712,1,1391,0.15089,5.28401,4.23011,5.26867,0.01997,-0.04022,0.0733,0.03106,0.04879,1,25,0,0,35,2,0,82,5,0,0,0,
2020-02-11,2288,24,37,324,41182,59148,2972543,0.58953,18,796,5,1469,-0.06727,5.16446,4.28219,5.06295,,,,,,1,23,0,0,26,11,0,76,12,0,0,0,
2020-02-12,1311,16,21,298,80595,90998,3325318,0.53031,12,499,2,798,-0.00189,5.22195,4.46638,5.16546,,,,,,2,14,0,0,19,2,0,83,9,0,0,0,
