datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,CUW,,21,3,0,18,0,3,2,3,0.4000,0,2,0,3,0,0,2,0,0,0,0,0,3,2,0,0,782,765,2410,0,0,0,0,14,0,7,0.0982,5.5342,5.4310,4.1433,,,-0.0593,,0.0811,0.4945,,0.4000,,0.4000,,,,,,,,,,,,,,,
2020-01-23,CUW,,12,3,0,9,0,2,1,4,0.3333,2,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,449,1914,2936,0,0,0,0,8,0,4,-0.0753,5.5213,5.3578,4.2094,,,-0.0593,,0.0850,0.8100,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-24,CUW,,27,9,0,18,0,6,3,6,0.3333,1,5,0,6,0,0,3,0,0,0,0,0,2,3,0,0,5669,4923,6030,0,0,0,0,6,0,21,-0.1324,5.2706,5.1276,4.1043,,,-0.0383,,0.0939,0.4648,,0.6000,,0.6000,,,,,,,,,,,,,,,
2020-01-25,CUW,,20,2,2,16,0,1,1,3,0.5000,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1130,693,892,0,0,0,0,11,0,9,-0.1992,5.3239,5.2007,4.2500,-0.0434,,-0.0593,,0.0826,0.3801,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-26,CUW,,25,6,0,19,0,0,0,6,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,0,0,0,0,7,0,18,-0.3144,4.9508,5.0348,4.2211,-0.0411,-0.0470,-0.0327,-0.0211,0.0710,,,,,,,,,,,,,,,,,,,,
2020-01-27,CUW,,28,5,0,23,0,1,0,4,0.0000,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18,0,3374,0,0,0,0,12,0,16,-0.0267,5.3075,5.4573,4.4074,,-0.0570,-0.0381,-0.0058,0.0669,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-01-28,CUW,,27,6,0,21,0,2,1,4,0.3333,2,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2477,32,1446,0,0,0,0,7,0,20,-0.2466,4.9310,5.0734,4.1698,-0.0407,-0.0491,,,0.0880,0.0128,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-29,CUW,,24,7,0,17,0,1,0,4,0.0000,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3344,0,0,0,0,7,0,17,-0.1264,4.8354,4.6826,4.6418,-0.0789,,-0.0344,-0.0019,0.0710,0.0000,,,,,,,,,,,,,,,,,,,
2020-01-30,CUW,,43,4,0,39,0,1,3,6,0.7500,3,1,0,1,0,0,3,0,0,0,0,0,1,3,0,0,217,58,1340,0,0,0,0,24,0,19,0.0671,5.7946,5.5763,4.2495,,,0.0045,0.0117,0.0603,0.2109,,0.7500,,0.7500,,,,,,,,,,,,,,,
2020-01-31,CUW,,21,7,0,14,0,0,0,4,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,0,0,0,0,3,0,18,-0.0095,4.8900,5.0059,4.3360,-0.0305,-0.0544,0.0081,-0.0065,0.0399,,,,,,,,,,,,,,,,,,,,
