datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,CYN,,12,4,0,8,0,2,0,3,0.0000,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1101,0,780,0,0,0,0,8,0,4,-0.5144,4.8970,4.8190,4.3913,-0.0434,,-0.0057,-0.0123,0.0817,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-01-23,CYN,,39,7,1,31,0,3,1,8,0.2500,2,6,0,3,0,0,1,0,0,0,0,0,2,1,0,0,4349,534,67340,0,0,0,1,15,0,23,-0.0036,5.1689,5.2414,4.1643,,,-0.0073,0.0333,0.0709,0.1094,,0.3333,,0.3333,,,,,,,,,,,,,,,
2020-01-24,CYN,,54,16,0,38,0,6,2,12,0.2500,1,11,0,6,0,0,1,0,1,0,0,0,4,1,0,0,3663,836,51454,0,0,0,1,17,0,36,0.1618,5.7610,5.5848,4.4355,,,-0.0434,,0.0833,0.1858,,0.2000,,0.2000,,,,,,,,,,,,,,,
2020-01-25,CYN,,54,11,0,43,0,2,1,10,0.3333,6,3,0,2,0,0,1,0,0,0,0,0,1,1,0,0,603,1282,41110,0,0,0,0,22,0,32,0.0042,5.5464,5.3684,4.3444,,,-0.0389,,0.0913,0.6801,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-26,CYN,,55,13,0,42,0,3,0,12,0.0000,7,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,384,0,65669,0,0,0,0,17,0,38,-0.4436,4.5567,4.7061,4.5921,-0.0778,-0.0637,-0.0338,-0.0139,0.0900,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-01-27,CYN,,55,13,4,38,0,2,1,11,0.3333,6,3,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2074,7386,78285,0,0,0,0,24,0,31,-0.4559,4.7921,4.9153,4.6041,,,0.0400,0.0333,0.0388,0.7808,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-28,CYN,,60,12,3,45,0,3,3,15,0.5000,3,11,0,3,0,0,2,1,0,0,0,0,2,2,0,0,12305,15819,30047,0,0,0,0,21,1,38,-0.2266,4.9210,5.1384,4.3694,-0.0407,-0.0491,-0.0086,0.0246,0.0484,0.5625,,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-29,CYN,,59,9,2,48,0,1,1,2,0.5000,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,595,175,1030,0,0,0,7,11,0,41,0.1236,5.5848,5.4062,4.1904,-0.0690,-0.0219,-0.0313,-0.0195,0.0785,0.2273,,1.0000,,1.0000,,,,,,,,,,,,,,,
2020-01-30,CYN,,85,29,2,54,0,8,5,6,0.3846,0,4,0,8,0,0,4,0,1,0,0,0,6,1,0,0,5573,3469,6187,0,0,0,0,24,0,61,-0.1139,5.1336,5.1472,4.4482,-0.0476,-0.0490,-0.0327,0.0195,0.0577,0.3837,,0.1429,,0.1429,,,,,,,,,,,,,,,
2020-01-31,CYN,,104,31,0,73,0,4,2,16,0.3333,4,11,1,3,0,1,1,0,0,0,0,0,3,2,0,0,2513,692,144012,0,0,0,3,35,2,64,-0.0806,5.4155,5.3542,4.2725,-0.0407,-0.0491,-0.0476,0.0052,0.0724,0.2159,,0.4000,,0.4000,,,,,,,,,,,,,,,
2020-02-01,CYN,,52,16,0,36,0,2,0,11,0.0000,4,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3617,0,90042,0,0,0,0,20,0,32,-0.1149,5.3653,5.3766,4.1859,-0.0487,-0.0498,-0.0280,0.0114,0.0706,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-02,CYN,,41,11,2,28,0,2,0,5,0.0000,1,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3658,0,117454,0,0,0,0,17,0,24,0.0134,5.4120,5.2410,4.2547,,,-0.0403,0.0115,0.0726,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-03,CYN,,60,22,0,38,0,0,1,13,1.0000,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,80,105728,0,0,0,5,23,0,32,0.0894,5.3851,5.3865,4.2339,0.0027,-0.0012,-0.0398,0.0133,0.0776,1.0000,,1.0000,,1.0000,,,,,,,,,,,,,,,
2020-02-04,CYN,,27,6,2,19,0,1,0,5,0.0000,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2198,0,59379,0,0,0,2,7,0,18,-0.2554,4.5208,4.9323,4.5149,,,-0.0593,,0.0809,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-05,CYN,,40,13,1,26,0,0,1,9,1.0000,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,269,80781,0,0,0,3,14,0,23,-0.1784,5.2285,5.2062,4.4620,,,-0.0574,,0.0901,1.0000,,1.0000,,1.0000,,,,,,,,,,,,,,,
2020-02-06,CYN,,33,6,1,26,0,0,0,8,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113613,0,0,0,1,11,0,21,-0.3578,5.1741,5.2644,4.3559,-0.0397,,-0.0239,0.0329,0.0734,,,,,,,,,,,,,,,,,,,,
2020-02-07,CYN,,43,9,0,34,0,6,1,8,0.1429,3,5,0,6,0,0,1,0,0,0,0,0,6,0,0,0,7268,1833,26754,0,0,0,2,17,0,24,-0.1731,4.9259,5.2281,4.3660,,,-0.0500,-0.0066,0.0667,0.2014,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-08,CYN,,21,5,0,16,0,2,0,5,0.0000,2,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9682,0,3858,0,0,0,0,10,0,11,-0.4523,4.6243,4.9588,4.6006,,,-0.0404,,0.0917,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-09,CYN,,21,7,0,14,0,3,0,5,0.0000,2,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2464,0,62038,0,0,0,1,9,0,11,0.0314,4.8698,5.1602,4.2781,,,-0.0593,,0.0884,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-10,CYN,,35,23,0,12,0,1,0,15,0.0000,3,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,226,0,178665,0,0,0,2,14,0,19,-0.3548,5.2063,5.2624,4.4162,,,-0.0593,-0.0096,0.0726,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-11,CYN,,19,8,0,11,0,0,0,6,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29229,0,0,0,1,9,0,9,0.1194,5.1474,5.0992,4.2189,,,-0.0375,,0.0798,,,,,,,,,,,,,,,,,,,,
2020-02-12,CYN,,29,12,0,17,0,2,0,9,0.0000,2,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2362,0,114759,0,0,0,0,12,0,17,-0.0673,5.3917,5.3315,4.3488,-0.0407,-0.0491,-0.0593,,0.0765,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-13,CYN,,28,13,0,15,0,3,1,8,0.2500,3,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,165,1808,34697,0,0,0,0,8,2,18,0.1735,5.2349,5.3126,4.4112,,,-0.0593,,0.0742,0.9164,,1.0000,,1.0000,,,,,,,,,,,,,,,
2020-02-14,CYN,,30,12,1,17,0,4,0,11,0.0000,4,7,0,4,0,0,0,0,0,0,0,0,2,0,0,0,7862,0,50996,0,0,0,0,16,0,14,-0.1476,5.3753,5.4124,4.3347,,,-0.0224,0.0333,0.0670,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-15,CYN,,26,12,1,13,0,4,1,7,0.2000,5,2,0,4,0,1,0,0,0,0,0,0,2,1,0,0,4248,1042,18808,0,0,0,0,8,0,18,-0.3898,5.1933,5.3224,4.3930,-0.0397,,-0.0588,,0.0785,0.1970,,0.3333,,0.3333,,,,,,,,,,,,,,,
2020-02-16,CYN,,23,3,0,20,0,6,0,2,0.0000,1,1,0,6,0,0,0,0,0,0,0,0,6,0,0,0,4798,0,2541,0,0,0,0,11,0,12,0.1479,5.2773,5.1293,4.1259,0.0021,,-0.0546,,0.0642,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-17,CYN,,32,12,1,19,0,3,1,17,0.2500,8,7,0,3,0,0,0,1,0,0,0,0,3,0,0,1,16022,2637,143138,0,0,0,0,11,0,21,-0.1772,5.3026,5.1823,4.3051,,0.0016,-0.0508,,0.0861,0.1413,,0.0000,1,0.2500,,,,,,,,,,,,,,,
2020-02-18,CYN,,35,19,1,15,0,1,0,12,0.0000,5,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,665,0,116525,0,0,0,0,15,1,19,-0.3867,5.0058,5.0452,4.3625,,,0.0016,0.0184,0.0634,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-19,CYN,,32,9,0,23,0,1,0,6,0.0000,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,197,0,50581,0,0,0,0,10,0,22,-0.1597,5.5907,5.3746,4.2651,,,0.0730,0.0333,0.0626,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-20,CYN,,13,3,1,9,0,1,0,3,0.0000,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,3245,0,0,0,0,4,0,9,-0.1199,5.3878,5.3328,4.3279,,,-0.0310,,0.0810,0.0000,,,,,,,,,,,,,,,,,,,
2020-02-21,CYN,,23,12,0,11,0,0,0,7,,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20991,0,0,0,1,5,0,17,-0.1452,4.8988,5.0608,4.2655,,,-0.0423,0.0333,0.0758,,,,,,,,,,,,,,,,,,,,
2020-02-22,CYN,,50,20,3,27,0,3,0,11,0.0000,5,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,38779,0,109759,0,0,0,2,22,0,26,-0.2148,4.9163,5.0473,4.5243,-0.0407,-0.0487,-0.0452,,0.0867,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-23,CYN,,51,15,3,33,0,3,0,6,0.0000,2,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,148922,0,71506,0,0,0,4,23,0,24,0.0245,5.1616,5.4324,4.3371,-0.0599,,-0.0128,-0.0100,0.0772,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-24,CYN,,91,36,6,49,0,4,0,18,0.0000,8,10,2,2,0,0,0,0,0,0,0,0,2,0,0,0,20392,0,193324,0,0,0,6,49,0,36,0.0285,5.5612,5.4146,4.1964,,,-0.0356,0.0168,0.0736,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-25,CYN,,85,32,4,49,0,5,0,22,0.0000,9,12,0,5,0,0,0,0,0,0,0,0,2,0,0,0,7853,0,198583,0,0,0,2,35,0,48,-0.0385,5.2534,5.3570,4.2439,,,-0.0400,0.0333,0.0682,0.0000,,0.0000,,0.0000,,,,,,,,,,,,,,,
