datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,DJI,"fr,ar,so",15,5,0,10,4,2,1,5,4,1,0,2,0,0,1,0,0,0,0,3,465,2539,2761,0,0,1584,0,6,0,9,-0.495,4.963,5.249,4.401,,,,,0.084,0.845,,,,,,
2020-01-23,DJI,"fr,ar,so",46,7,0,39,7,6,1,2,0,1,0,6,0,0,1,0,0,0,0,1,1179,156,375,0,0,109,0,24,0,22,0.136,5.573,5.252,4.429,,,-0.047,,0.083,0.117,,,,,,
2020-01-24,DJI,"fr,ar,so",186,16,4,166,35,20,4,13,5,5,0,20,0,0,3,1,0,3,1,3,5019,2697,11048,1782,48,1014,0,49,0,137,0.102,5.838,5.465,4.396,-0.080,,-0.042,-0.020,0.071,0.350,0.026,,,,,
2020-01-25,DJI,"fr,ar,so",275,31,2,242,49,21,0,23,10,11,0,21,0,0,0,0,0,4,0,8,21849,0,25560,6731,0,5686,0,108,0,167,-0.079,5.392,5.260,4.396,0.041,,-0.014,0.033,0.049,0.000,0.000,,,,,
2020-01-26,DJI,"fr,ar,so",133,25,1,107,26,10,0,9,3,5,0,10,0,0,0,0,0,0,0,4,16498,0,3567,0,0,2102,0,46,0,87,-0.027,5.415,5.204,4.119,0.013,-0.049,-0.023,0.033,0.064,0.000,,,,,,
2020-01-27,DJI,"fr,ar,so",123,32,2,89,36,5,5,8,3,4,0,5,0,0,5,0,0,0,0,1,5701,14684,7623,0,0,54,0,50,0,73,-0.116,5.137,5.141,4.507,,-0.057,-0.047,0.033,0.070,0.720,,,,,,
2020-01-28,DJI,"fr,ar,so",106,26,3,77,36,13,1,15,10,4,0,13,0,1,0,0,0,6,0,8,10024,16,12031,1993,0,4206,0,50,0,56,-0.057,5.268,5.335,4.220,-0.041,-0.049,-0.059,-0.046,0.080,0.002,0.000,,,,,
2020-01-29,DJI,"fr,ar,so",131,18,3,110,25,13,1,6,3,3,0,13,0,0,1,0,0,1,0,4,9463,318,7044,409,0,4120,0,53,0,78,0.213,5.455,5.269,4.235,0.042,-0.060,-0.049,0.016,0.072,0.033,0.000,,,,,
2020-01-30,DJI,"fr,ar,so",140,32,3,105,38,8,2,18,7,3,0,8,0,0,1,1,0,0,1,5,3756,3274,8012,0,2545,1301,0,58,0,82,0.049,5.350,5.285,4.225,,,-0.031,0.000,0.069,0.466,1.000,,,,,
2020-01-31,DJI,"fr,ar,so",142,24,1,117,22,11,2,9,6,1,0,11,0,1,1,0,0,1,0,4,10658,2199,5460,242,0,1031,0,59,0,83,-0.027,5.352,5.389,4.219,,,-0.031,0.033,0.056,0.171,0.000,,,,,
2020-02-01,DJI,"fr,ar,so",57,19,3,35,13,2,2,7,5,2,0,2,0,0,2,0,0,1,0,3,2628,831,1804,2543,0,788,0,25,0,32,-0.180,4.873,5.036,4.080,-0.049,-0.054,-0.033,0.033,0.062,0.240,0.000,,,,,
2020-02-02,DJI,"fr,ar,so",70,20,0,50,19,1,0,6,3,2,0,1,0,0,0,0,0,0,0,3,976,0,1839,0,0,952,0,27,0,43,-0.093,5.069,5.355,4.177,,,-0.023,0.033,0.060,0.000,,,,,,
2020-02-03,DJI,"fr,ar,so",41,14,0,27,8,1,0,4,3,1,0,1,0,0,0,0,0,0,0,0,2286,0,1166,0,0,0,0,13,0,28,-0.033,5.142,5.325,4.315,,,-0.059,,0.086,0.000,,,,,,
2020-02-04,DJI,"fr,ar,so",32,9,0,23,10,3,0,3,3,0,0,3,0,0,0,0,0,0,0,1,5506,0,768,0,0,339,0,8,0,24,-0.180,5.050,4.984,4.348,,,-0.048,,0.093,0.000,,,,,,
2020-02-05,DJI,"fr,ar,so",50,16,2,32,23,2,0,8,4,3,0,2,0,0,0,0,0,2,0,6,2602,0,2962,2602,0,2370,0,15,0,35,-0.199,5.098,5.233,4.452,,,-0.057,,0.079,0.000,0.000,,,,,
2020-02-06,DJI,"fr,ar,so",47,14,1,32,25,2,0,6,3,3,0,2,0,0,0,0,0,0,0,6,300,0,1314,0,0,1314,0,21,0,26,-0.450,5.004,5.116,4.539,,,-0.059,,0.084,0.000,,,,,,
2020-02-07,DJI,"fr,ar,so",53,6,3,44,9,4,0,1,0,1,1,3,0,0,0,0,0,1,0,0,2293,0,66,192,0,0,0,27,0,26,-0.002,5.101,5.140,4.309,,,-0.059,-0.063,0.074,0.000,0.000,,,,,
2020-02-08,DJI,"fr,ar,so",30,8,0,22,13,5,0,4,1,2,0,5,0,0,0,0,0,0,0,3,781,0,796,0,0,791,0,13,0,17,-0.066,4.836,5.028,4.048,-0.040,-0.049,-0.051,,0.078,0.000,,,,,,
2020-02-09,DJI,"fr,ar,so",23,4,2,17,8,1,0,7,3,3,0,1,0,0,0,0,0,0,0,3,3303,0,1227,0,0,919,0,11,0,12,0.322,5.924,5.456,4.116,,,-0.027,,0.085,0.000,,,,,,
2020-02-10,DJI,"fr,ar,so",35,12,0,23,20,3,0,9,8,1,0,3,0,0,0,0,0,0,0,8,3931,0,5358,0,0,5098,0,9,0,26,-0.354,4.612,4.916,4.173,,,-0.059,,0.081,0.000,,,,,,
2020-02-11,DJI,"fr,ar,so",29,10,1,18,15,0,0,8,6,2,0,0,0,0,0,0,0,0,0,4,0,0,5338,0,0,3660,0,20,0,9,-0.426,5.189,4.984,4.738,,,-0.059,,0.089,,,,,,,
2020-02-12,DJI,"fr,ar,so",17,7,1,9,9,1,0,5,5,0,0,1,0,0,0,0,0,0,0,4,1763,0,1362,0,0,1213,0,5,0,12,-0.133,4.413,4.607,4.695,,,0.005,-0.012,0.073,0.000,,,,,,
2020-02-13,DJI,"fr,ar,so",30,7,1,22,7,2,0,10,9,1,0,2,0,0,0,0,0,0,0,4,4655,0,3813,0,0,1037,0,11,0,19,-0.220,4.578,4.791,4.551,,,0.036,0.033,0.070,0.000,,,,,,
2020-02-14,DJI,"fr,ar,so",34,5,0,29,3,0,0,9,9,0,0,0,0,0,0,0,0,0,0,2,0,0,3412,0,0,680,0,15,0,19,-0.334,4.817,4.989,4.565,,,,,0.077,,,,,,,
2020-02-15,DJI,"fr,ar,so",54,4,0,50,12,4,0,4,1,3,0,4,0,0,0,0,0,1,0,1,2334,0,1501,138,0,940,0,30,0,24,-0.534,5.270,5.343,4.389,-0.081,,-0.047,-0.021,0.075,0.000,0.000,,,,,
2020-02-16,DJI,"fr,ar,so",86,7,1,78,20,14,0,6,4,2,0,14,0,0,0,0,0,2,0,4,1035,0,7323,215,0,691,0,19,0,67,-0.148,4.601,4.993,4.615,,,-0.059,,0.079,0.000,0.000,,,,,
2020-02-17,DJI,"fr,ar,so",77,12,0,65,14,1,1,6,6,0,0,1,0,1,0,0,0,1,0,2,3316,1102,5166,3316,0,318,0,19,0,58,0.131,5.445,5.434,4.178,,0.049,-0.050,,0.084,0.249,0.000,,,,,
2020-02-18,DJI,"fr,ar,so",68,13,0,55,22,1,0,9,6,0,0,1,0,0,0,0,0,0,0,5,1763,0,2392,0,0,1160,0,22,0,46,0.044,5.189,5.254,4.269,,,-0.026,0.017,0.080,0.000,,,,,,
2020-02-19,DJI,"fr,ar,so",117,12,1,104,15,3,0,11,6,3,0,3,0,0,0,0,0,1,0,5,361,0,7153,113,0,4079,0,57,0,60,0.025,4.889,5.080,4.391,,,-0.026,0.033,0.079,0.000,0.000,,,,,
2020-02-20,DJI,"fr,ar,so",71,5,2,64,10,4,0,7,7,0,0,4,0,0,0,0,0,0,0,2,3837,0,3657,0,0,506,0,36,0,35,0.055,5.347,5.227,4.391,,,-0.059,,0.082,0.000,,,,,,
2020-02-21,DJI,"fr,ar,so",89,2,0,87,2,7,0,10,3,6,0,7,0,0,0,0,0,0,0,1,3656,0,2524,0,0,340,0,34,0,55,-0.153,5.488,5.388,4.219,0.003,,-0.059,,0.069,0.000,,,,,,
2020-02-22,DJI,"fr,ar,so",72,9,0,63,6,16,0,15,2,11,0,16,0,0,0,0,0,0,0,2,6213,0,9830,0,0,677,0,34,0,38,-0.214,5.166,5.437,4.308,-0.019,-0.049,-0.026,0.032,0.061,0.000,,,,,,
2020-02-23,DJI,"fr,ar,so",123,14,0,109,17,15,1,10,3,6,0,15,0,0,1,0,0,2,0,4,3757,3332,2687,908,0,1161,0,61,0,62,-0.224,5.584,5.408,4.166,,,-0.047,,0.037,0.470,0.000,,,,,
2020-02-24,DJI,"fr,ar,so",122,19,1,102,24,14,0,10,6,4,0,14,0,0,0,0,0,0,0,6,5174,0,7771,0,0,944,0,52,0,70,-0.081,5.554,5.456,4.481,,,-0.059,,0.056,0.000,,,,,,
2020-02-25,DJI,"fr,ar,so",143,15,2,126,18,12,2,18,7,10,1,11,0,0,0,2,0,1,0,5,6821,4037,12002,455,0,4869,0,67,0,76,-0.024,5.741,5.641,4.312,,,-0.047,0.033,0.069,0.372,0.000,,,,,
2020-02-26,DJI,"fr,ar,so",233,14,7,212,15,5,0,22,2,20,1,4,0,0,0,0,0,0,0,3,4115,0,7251,0,0,1636,0,70,0,163,0.031,5.685,5.583,4.466,-0.000,-0.040,-0.043,-0.008,0.075,0.000,,,,,,
2020-02-27,DJI,"fr,ar,so",230,29,1,200,43,3,2,17,8,9,0,3,1,0,0,1,0,0,1,7,722,1029,8515,0,606,2693,0,94,0,136,0.269,5.690,5.599,4.352,,,-0.048,0.005,0.078,0.588,1.000,,,,,
2020-02-28,DJI,"fr,ar,so",186,14,1,171,17,4,8,11,6,5,0,4,0,5,1,2,0,0,0,1,5140,5522,4101,0,0,341,0,68,0,118,0.250,5.775,5.541,4.311,-0.001,0.057,-0.045,0.033,0.078,0.518,,,,,,
2020-02-29,DJI,"fr,ar,so",151,13,1,137,17,2,4,10,8,2,1,1,0,3,1,0,0,0,0,4,5384,3623,15617,0,0,1416,0,62,0,89,-0.054,5.729,5.561,4.485,,,-0.038,-0.009,0.069,0.402,,,,,,
2020-03-01,DJI,"fr,ar,so",256,16,0,240,29,0,9,14,2,9,0,0,0,9,0,0,0,0,0,1,0,5465,3993,0,0,207,0,97,0,159,-0.088,5.417,5.419,4.290,-0.042,-0.049,-0.052,-0.027,0.074,1.000,,,,,,
2020-03-02,DJI,"fr,ar,so",224,26,3,195,46,3,1,12,5,6,0,3,0,1,0,0,0,0,0,2,1442,1205,7164,0,0,854,0,88,0,136,0.066,5.316,5.369,4.328,-0.041,-0.049,-0.056,-0.009,0.070,0.455,,,,,,
2020-03-03,DJI,"fr,ar,so",150,15,1,134,29,7,0,13,6,6,0,7,0,0,0,0,0,1,0,4,1102,0,6030,211,0,1497,0,77,0,73,0.004,5.100,5.125,4.395,-0.095,-0.040,-0.054,-0.051,0.057,0.000,0.000,,,,,
2020-03-04,DJI,"fr,ar,so",149,15,4,130,25,3,1,7,4,3,0,3,0,0,1,0,0,0,0,0,3031,1038,5416,0,0,0,0,42,0,107,0.109,5.405,5.369,4.293,,0.057,-0.043,-0.007,0.071,0.255,,,,,,
2020-03-05,DJI,"fr,ar,so",162,24,2,136,31,5,0,7,2,5,1,4,0,0,0,0,0,1,0,2,10147,0,6017,2786,0,2619,0,50,0,112,-0.105,5.280,5.300,4.290,-0.015,-0.013,-0.031,-0.057,0.054,0.000,0.000,,,,,
2020-03-06,DJI,"fr,ar,so",155,16,0,139,22,4,3,1,1,0,1,3,0,0,1,2,0,0,0,0,2951,1912,239,0,0,0,0,54,0,101,0.104,5.117,5.292,4.633,-0.034,-0.049,-0.058,,0.063,0.393,,,,,,
2020-03-07,DJI,"fr,ar,so",185,22,2,161,16,9,3,13,2,11,0,9,0,2,1,0,0,0,0,1,10640,3064,7895,0,0,120,0,71,0,114,0.053,5.328,5.420,4.216,-0.051,,-0.049,-0.010,0.077,0.224,,,,,,
2020-03-08,DJI,"fr,ar,so",149,23,2,124,23,4,1,7,4,3,0,4,0,1,0,0,0,0,0,3,5174,21,4084,0,0,673,0,70,0,79,-0.062,5.298,5.242,4.394,-0.059,-0.051,-0.049,-0.035,0.074,0.004,,,,,,
2020-03-09,DJI,"fr,ar,so",150,14,4,132,18,1,0,8,3,5,0,1,0,0,0,0,0,0,0,2,1774,0,5409,0,0,46,0,66,0,84,0.036,5.442,5.444,4.272,,0.044,-0.044,-0.006,0.072,0.000,,,,,,
