datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,309,32,3,43,240253,4168,470100,0.01705,5,132,1,171,0.13374,5.38276,4.22566,5.61498,,,,,,0,0,0,
2020-01-23,560,58,22,81,264881,17123,182787,0.06072,3,259,3,295,0.11545,5.52917,4.4882,5.87066,,,,,,0,0,0,
2020-01-24,1138,83,16,112,130875,10207,178630,0.07235,3,447,1,687,0.13638,5.55648,4.38537,5.90084,-0.04192,-0.06207,-0.04515,0.07022,-0.07261,0,0,0,
2020-01-25,1817,109,26,124,180306,18393,252512,0.09257,4,791,2,1020,0.07,5.30689,4.25597,5.44676,-0.0493,-0.04981,-0.05934,0.08143,-0.05171,0,0,0,
2020-01-26,2172,189,41,229,303477,37051,383402,0.1088,11,955,3,1203,-0.22544,5.21206,4.38802,5.19313,-0.00793,-0.04665,0.00095,0.05929,-0.05965,0,0,0,
2020-01-27,1814,277,38,167,338859,26628,254871,0.07286,7,796,0,1011,-0.32205,5.21482,4.43585,5.08817,-0.03667,-0.05097,-0.03805,0.07159,-0.04808,0,0,0,
2020-01-28,1606,125,40,282,510509,33294,1776437,0.06122,25,648,3,930,-0.1602,5.25979,4.25339,5.12784,-0.03788,-0.07868,-0.00269,0.04998,-0.08958,0,0,0,
2020-01-29,1596,48,25,137,135698,57250,306093,0.29671,10,692,5,889,-0.2613,5.08764,4.36116,4.99415,-0.01752,-0.08075,0.01219,0.00382,-0.0936,0,0,0,
2020-01-30,2377,109,43,185,189057,42224,765605,0.18257,13,997,2,1365,-0.21273,5.18764,4.31873,5.09366,-0.03786,-0.06163,-0.03404,0.07359,-0.0728,0,0,0,
2020-01-31,2409,109,38,110,180016,54404,236121,0.23208,6,1108,3,1292,-0.31611,5.07075,4.48782,4.85936,-0.06612,-0.07007,-0.05934,0.08342,-0.07929,0,0,0,
2020-02-01,1121,58,26,95,74227,26513,166385,0.26318,7,443,4,667,-0.25299,5.10366,4.41412,4.95484,-0.0468,-0.04659,-0.05074,0.08081,-0.04368,0,0,0,
2020-02-02,974,55,9,89,135952,6216,245278,0.04372,8,401,0,565,-0.15584,5.15679,4.35062,5.15178,-0.03154,-0.06248,-0.03509,0.05944,-0.06415,0,0,0,
2020-02-03,819,57,14,63,83965,28968,279110,0.25651,16,331,2,470,-0.2042,5.0906,4.42788,5.07824,-0.06304,-0.07159,-0.05934,0.0786,-0.08429,0,0,0,
2020-02-04,667,57,12,70,114280,4977,227179,0.04173,10,206,2,449,-0.13417,5.16394,4.26368,5.17763,-0.06893,-0.07372,-0.05934,0.08119,-0.08734,0,0,0,
2020-02-05,558,45,7,69,198424,9138,257813,0.04403,7,175,1,375,-0.08713,5.27475,4.30064,5.25984,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,0,0,
2020-02-06,704,49,14,167,97765,15124,296309,0.13397,10,248,1,445,-0.22943,5.22643,4.27091,5.06865,,,,,,0,0,0,
2020-02-07,813,110,5,90,198964,3334,243289,0.01648,8,286,3,516,-0.21335,5.26113,4.29622,5.26624,,,,,,0,0,0,
