datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,DOM,es,1192,495,15,682,1018,79,134,473,178,263,2,77,0,0,131,0,3,57,123,432,41,116,0,0,640658,337766,64257780,277513,321829,59862716,82,386,0,724,0.1268,5.5404,5.2821,4.1929,,,-0.0532,0.0333,0.0813,0.3452,0.5370,0.7389,,0.7389,,0,0,0,0
2020-01-23,DOM,es,1244,506,31,707,1029,61,137,498,167,295,11,50,0,4,129,4,0,42,122,459,33,114,1,0,128039,206812,61242712,71415,190030,61081049,79,442,2,721,0.0967,5.2964,5.1432,4.4837,,-0.0477,-0.0458,0.0070,0.0794,0.6176,0.7268,0.7755,0.0000,0.7703,,0,0,0,0
2020-01-24,DOM,es,1969,874,37,1058,1474,115,148,718,246,440,4,111,0,0,140,5,3,74,126,659,77,115,2,1,456904,222205,68899743,374544,107643,67168042,85,730,12,1142,0.0569,5.7970,5.5159,4.4000,-0.0881,0.0369,-0.0328,-0.0208,0.0728,0.3272,0.2232,0.5990,0.3333,0.5949,,0,0,0,0
2020-01-25,DOM,es,1817,579,28,1210,1195,111,86,425,130,271,5,106,0,2,81,3,0,61,73,382,75,79,0,0,405793,76058,31158135,189819,55136,30984549,30,753,8,1026,0.0271,5.3579,5.2514,4.4063,-0.0495,0.0154,-0.0281,0.0016,0.0702,0.1578,0.2251,0.5130,,0.5130,,0,0,0,0
2020-01-26,DOM,es,1691,510,48,1133,1120,81,95,397,139,215,3,78,0,1,85,5,4,47,78,343,51,80,0,0,193338,172048,31016095,99115,137594,30728053,32,587,7,1065,0.0150,5.0838,5.0513,4.3844,-0.0328,-0.0567,-0.0439,-0.0056,0.0756,0.4709,0.5813,0.6107,,0.6107,,0,0,0,0
2020-01-27,DOM,es,1815,692,48,1075,1349,66,106,615,185,397,3,63,0,0,99,1,6,33,81,558,52,94,1,1,169443,180766,69164482,79233,134729,68315465,84,701,5,1025,0.0958,4.9970,5.0693,4.5462,-0.0516,-0.0529,-0.0014,0.0226,0.0545,0.5162,0.6297,0.6438,0.5000,0.6419,,0,0,0,0
2020-01-28,DOM,es,2595,1068,64,1463,2010,77,93,789,248,496,2,75,0,1,87,3,2,54,70,703,52,81,0,0,660101,254088,79415135,588433,195953,78680620,129,994,4,1468,0.1229,5.1620,5.2292,4.3687,-0.0358,-0.0479,-0.0150,0.0130,0.0503,0.2779,0.2498,0.6090,,0.6090,,0,0,0,0
2020-01-29,DOM,es,2182,837,72,1273,1552,51,70,438,129,285,2,49,0,1,55,7,7,20,52,385,34,56,3,1,125476,143136,43458367,36287,88170,42274686,84,843,9,1246,0.0843,5.2449,5.2247,4.2861,-0.0717,-0.0454,-0.0333,0.0058,0.0645,0.5329,0.7084,0.6222,0.2500,0.6064,,0,0,0,0
2020-01-30,DOM,es,3264,1181,88,1995,2269,96,116,640,176,408,0,96,0,42,69,4,1,53,88,520,57,84,1,1,378947,257669,48561062,127154,197577,44128673,123,1224,5,1912,0.1013,5.1602,5.1666,4.3365,-0.0731,-0.0680,-0.0330,0.0128,0.0633,0.4047,0.6084,0.5957,0.5000,0.5944,,0,0,0,0
2020-01-31,DOM,es,2804,1051,75,1678,2083,79,91,616,179,396,3,76,0,9,76,5,1,56,66,533,43,69,1,0,124913,251537,47237002,83297,217254,44695494,114,1036,6,1648,0.1338,5.1250,5.1908,4.3799,-0.0525,-0.0420,-0.0390,0.0076,0.0671,0.6682,0.7229,0.6161,0.0000,0.6106,,0,0,0,0
