datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,DZA,209,10,9,26,27535,4731199,27046,8,73,0,128,-0.304,5.364,5.168,4.772,0.038,0.052,-0.056,,0.087,0.994,,0,0,0
2020-01-23,DZA,366,27,12,55,64011,2421433,2855771,12,136,0,218,-0.100,5.721,5.431,4.580,-0.049,-0.017,-0.033,-0.009,0.077,0.974,,0,0,0
2020-01-24,DZA,920,64,12,78,140745,10017,2069293,9,385,0,526,0.202,5.935,5.586,4.489,-0.080,0.048,-0.024,0.010,0.064,0.066,,0,0,0
2020-01-25,DZA,1579,164,21,119,353327,2374802,6073542,22,615,0,942,-0.007,5.614,5.346,4.407,-0.028,-0.001,-0.022,-0.008,0.079,0.870,,0,0,0
2020-01-26,DZA,872,49,11,61,183066,33775,1785870,23,296,0,553,-0.136,5.272,5.168,4.275,0.008,-0.050,-0.049,0.003,0.074,0.156,,0,0,0
2020-01-27,DZA,667,28,101,72,152915,276772,1105389,14,259,0,394,-0.022,5.127,5.141,4.508,-0.032,-0.050,-0.031,0.028,0.070,0.644,,0,0,0
2020-01-28,DZA,572,18,23,97,58118,14624,4757221,9,235,0,328,-0.170,5.105,5.244,4.274,-0.046,-0.053,-0.013,0.009,0.056,0.201,,0,0,0
2020-01-29,DZA,523,28,9,75,35159,4938,4254717,7,212,0,304,-0.212,5.169,5.070,4.440,-0.071,-0.064,-0.027,0.021,0.063,0.123,,0,0,0
2020-01-30,DZA,688,18,7,95,63176,8524,2560782,11,302,0,375,-0.131,5.116,5.153,4.316,-0.060,-0.033,-0.027,0.012,0.061,0.119,,0,0,0
2020-01-31,DZA,606,22,11,71,92106,3632,3550728,20,252,0,334,-0.063,5.209,5.270,4.326,-0.041,-0.049,-0.041,-0.013,0.071,0.038,,0,0,0
2020-02-01,DZA,396,19,1,52,83536,22,2665499,6,175,0,215,-0.158,5.152,5.244,4.397,-0.057,-0.050,-0.041,-0.016,0.070,0.000,,0,0,0
2020-02-02,DZA,534,12,3,91,80842,750,2671062,21,208,0,305,-0.113,5.259,5.260,4.396,-0.041,-0.016,-0.045,0.002,0.077,0.009,,0,0,0
2020-02-03,DZA,399,10,4,129,2887,5318,4874929,9,180,0,210,0.032,5.188,5.164,4.373,,,-0.045,0.013,0.081,0.648,,0,0,0
2020-02-04,DZA,309,9,4,67,1844,4746,4628800,9,123,0,177,-0.074,5.084,5.144,4.283,,,-0.036,0.033,0.070,0.720,,0,0,0
2020-02-05,DZA,288,12,2,43,32931,134,3591778,9,114,0,165,-0.123,5.128,5.177,4.348,,-0.059,-0.035,0.009,0.068,0.004,,0,0,0
2020-02-06,DZA,265,12,7,54,129632,1777,1128946,20,112,0,133,-0.111,4.961,5.081,4.409,-0.000,-0.020,-0.034,0.001,0.068,0.014,,0,0,0
2020-02-07,DZA,273,45,4,41,79507,4118,1379039,12,92,0,169,-0.115,5.041,5.093,4.425,,,-0.046,0.004,0.079,0.049,,0,0,0
2020-02-08,DZA,301,90,0,55,198174,0,2442512,26,122,1,152,-0.071,5.042,5.143,4.388,-0.013,,-0.040,-0.017,0.078,0.000,,0,0,0
2020-02-09,DZA,410,36,2,198,220222,788,2194649,31,128,0,251,-0.107,5.123,5.181,4.416,-0.043,-0.055,-0.048,-0.011,0.079,0.004,,0,0,0
2020-02-10,DZA,365,14,3,175,104947,4080,3415247,13,148,1,203,-0.122,5.171,5.237,4.252,,0.049,-0.055,,0.084,0.037,,0,0,0
2020-02-11,DZA,247,11,3,45,79988,160,330788,21,82,0,144,-0.040,5.180,5.173,4.375,,0.049,-0.025,0.033,0.067,0.002,,0,0,0
2020-02-12,DZA,178,12,0,26,161927,0,1952588,16,64,0,98,0.011,5.436,5.296,4.160,0.001,,-0.046,-0.048,0.084,0.000,,0,0,0
2020-02-13,DZA,181,5,2,35,51632,595,3512524,25,67,0,89,-0.115,5.380,5.239,4.328,-0.042,-0.049,-0.049,-0.046,0.078,0.011,,0,0,0
2020-02-14,DZA,149,10,6,25,128093,59332,687906,25,48,0,76,-0.032,5.159,5.176,4.338,-0.032,-0.049,-0.033,-0.016,0.066,0.317,,0,0,0
2020-02-15,DZA,235,14,6,21,107678,2064,1222330,18,98,0,119,0.052,5.359,5.261,4.229,-0.041,-0.049,-0.048,-0.009,0.078,0.019,,0,0,0
2020-02-16,DZA,258,59,3,20,208453,138,181090,28,108,0,122,0.021,5.214,5.206,4.264,-0.043,0.045,-0.041,0.018,0.069,0.001,,0,0,0
2020-02-17,DZA,193,9,2,24,40584,121,1103971,20,81,0,92,-0.106,5.245,5.195,4.287,,,-0.036,0.018,0.078,0.003,,0,0,0
2020-02-18,DZA,202,10,3,28,497743,77671,875468,18,81,0,103,-0.088,5.327,5.238,4.449,,,0.006,0.026,0.052,0.135,,0,0,0
2020-02-19,DZA,152,6,2,31,191678,1974,556171,8,52,0,92,0.019,5.536,5.433,4.255,,0.048,-0.004,0.023,0.060,0.010,,0,0,0
