datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,EGY,ar,266,45,5,216,2,24,20,54,35,14,1,23,0,0,18,1,1,0,0,2,140124,330177,676862,0,0,49561,13,84,0,169,-0.0870,5.3900,5.2320,4.2040,-0.0000,,-0.0430,0.0330,0.0820,0.7020,,,0,0,0,0
2020-01-23,EGY,ar,578,136,12,430,46,69,39,94,43,43,8,61,0,0,24,15,0,2,12,13,668018,77277,920061,96,14046,11400,11,215,0,352,-0.0040,5.6480,5.3760,4.4550,0.0410,-0.0010,-0.0460,-0.0080,0.0820,0.1040,0.9930,,0,0,0,0
2020-01-24,EGY,ar,1436,338,31,1067,137,137,54,141,64,70,3,134,0,0,37,17,0,17,11,12,846116,112124,291317,155763,5663,17230,3,510,5,918,0.0200,5.5990,5.3870,4.3890,-0.0630,-0.0140,-0.0330,-0.0040,0.0770,0.1170,0.0350,,0,0,0,0
2020-01-25,EGY,ar,2685,372,39,2274,161,222,50,156,56,86,10,212,0,5,26,13,6,14,5,11,1142948,167431,495267,88779,6736,27894,12,1057,2,1614,-0.0820,5.5600,5.3510,4.3400,-0.0290,-0.0550,-0.0290,0.0090,0.0640,0.1280,0.0710,,0,0,0,0
2020-01-26,EGY,ar,2272,340,44,1888,146,156,34,225,88,120,10,146,0,4,13,12,5,15,1,29,1834485,63497,1156938,28627,173,181472,24,895,1,1352,-0.1410,5.2620,5.1550,4.3210,-0.0390,-0.0490,-0.0410,0.0150,0.0710,0.0330,0.0060,,0,0,0,0
2020-01-27,EGY,ar,1650,283,33,1334,110,135,30,170,67,90,6,129,0,0,23,7,0,6,3,16,728994,101838,3647182,65755,1828,102012,6,628,2,1014,-0.1560,5.1450,5.1340,4.4330,-0.0460,-0.0520,-0.0300,0.0140,0.0630,0.1230,0.0270,,0,0,0,0
2020-01-28,EGY,ar,1454,308,56,1090,121,96,54,152,73,63,2,94,0,3,44,6,1,15,8,10,579269,178012,956892,94492,29387,246142,12,610,2,830,-0.0960,5.2420,5.2990,4.2920,-0.0430,-0.0410,-0.0250,0.0110,0.0620,0.2350,0.2370,,0,0,0,0
2020-01-29,EGY,ar,1516,361,45,1110,120,72,22,194,50,124,3,69,0,6,14,1,1,9,1,18,382725,48220,658774,30353,7099,74928,11,662,2,841,-0.0540,5.1440,5.1040,4.4000,-0.0630,-0.0620,-0.0390,0.0020,0.0720,0.1120,0.1900,,0,0,0,0
2020-01-30,EGY,ar,2276,643,63,1570,217,142,32,201,78,78,5,137,0,6,21,5,0,28,1,8,2222181,41637,1869016,370353,1759,8790,25,952,6,1293,-0.1150,5.1200,5.1420,4.3560,-0.0490,-0.0450,-0.0430,0.0130,0.0720,0.0180,0.0050,,0,0,0,0
2020-01-31,EGY,ar,2115,620,56,1439,220,95,39,152,96,41,5,90,0,4,25,5,5,15,2,11,578696,64510,6610475,159379,5087,5829643,17,805,3,1290,-0.1300,5.1550,5.2360,4.3660,-0.0440,-0.0380,-0.0440,-0.0020,0.0740,0.1000,0.0310,,0,0,0,0
2020-02-01,EGY,ar,1297,333,140,824,104,47,103,119,67,33,1,46,0,4,10,4,85,3,1,7,495047,40020,339819,1223,955,6670,6,428,4,859,-0.0690,5.3870,5.4130,4.3560,-0.0540,-0.0550,-0.0490,-0.0150,0.0780,0.0750,0.4380,,0,0,0,0
2020-02-02,EGY,ar,1243,332,30,881,147,64,16,106,45,45,1,63,0,6,6,2,2,6,0,17,869011,13252,567053,3824,0,124758,11,425,4,803,-0.0990,5.2420,5.2210,4.3120,-0.0230,-0.0410,-0.0450,0.0250,0.0750,0.0150,0.0000,,0,0,0,0
2020-02-03,EGY,ar,1039,350,34,655,236,58,9,208,141,61,6,52,0,0,5,3,1,5,0,125,712228,16576,159654304,149493,0,159422702,38,396,21,584,-0.1260,5.1350,5.1100,4.3660,-0.0360,-0.0410,-0.0380,0.0090,0.0760,0.0230,0.0000,,0,0,0,0
2020-02-04,EGY,ar,806,235,17,554,105,31,13,110,64,40,5,26,0,0,9,3,1,2,5,27,410029,20160,21913250,984,3650,18250221,19,303,3,481,-0.2110,5.0400,5.1100,4.3760,-0.0590,,-0.0450,0.0220,0.0760,0.0470,0.7880,,0,0,0,0
2020-02-05,EGY,ar,663,178,14,471,79,26,3,109,80,19,1,25,0,0,3,0,0,0,0,13,364903,2302,15005169,0,0,14848681,13,275,1,374,-0.0620,5.1840,5.1700,4.3520,-0.0500,-0.0320,-0.0480,-0.0090,0.0790,0.0060,,,0,0,0,0
2020-02-06,EGY,ar,766,208,9,549,105,46,21,90,51,33,3,43,0,0,19,1,1,3,3,5,1305600,35644,3232514,47096,1067,1861,18,266,0,482,-0.2470,5.0440,5.0810,4.3700,-0.0450,-0.0520,-0.0400,0.0080,0.0740,0.0270,0.0220,,0,0,0,0
2020-02-07,EGY,ar,938,187,19,732,78,289,3,77,41,28,0,289,0,1,1,1,0,19,0,8,1573837,4689,11992356,72253,0,11872801,17,332,0,589,-0.0910,5.0940,5.1620,4.3590,-0.0590,-0.0450,-0.0430,-0.0110,0.0770,0.0030,0.0000,,0,0,0,0
2020-02-08,EGY,ar,833,152,19,662,59,271,8,87,51,29,1,270,0,1,4,1,2,15,0,11,1576062,12371,15039973,137107,0,14859877,19,319,5,490,-0.0070,5.0290,5.1100,4.3010,-0.0510,-0.0450,-0.0450,-0.0090,0.0800,0.0080,0.0000,,0,0,0,0
2020-02-09,EGY,ar,729,158,24,547,40,67,13,162,112,48,1,66,0,2,9,2,0,2,1,1,814011,19667,453955,6332,5967,1627,7,303,4,415,-0.0760,5.1050,5.1380,4.3490,-0.0460,-0.0520,-0.0480,-0.0230,0.0810,0.0240,0.4850,,0,0,0,0
2020-02-10,EGY,ar,670,186,13,471,68,52,10,159,98,54,1,51,0,1,6,3,0,3,2,10,860043,7553,3507643,13903,328,3036320,13,275,4,378,-0.1210,5.1110,5.1610,4.2950,-0.0440,0.0040,-0.0400,-0.0010,0.0750,0.0090,0.0230,,0,0,0,0
2020-02-11,EGY,ar,637,190,25,422,60,40,12,80,49,25,1,39,0,0,6,6,0,3,1,7,355891,45070,830812,55090,530,16540,3,255,5,374,-0.1620,5.1140,5.1230,4.2940,-0.0500,-0.0340,-0.0320,0.0170,0.0710,0.1120,0.0100,,0,0,0,0
2020-02-12,EGY,ar,562,201,18,343,37,39,6,94,63,21,1,38,0,1,1,3,1,1,0,4,745912,54557,3660497,100,0,2976957,16,210,1,335,-0.1170,5.1970,5.1540,4.3370,-0.0370,-0.0570,-0.0360,-0.0140,0.0760,0.0680,0.0000,,0,0,0,0
2020-02-13,EGY,ar,652,199,15,438,58,72,18,90,60,27,0,72,0,5,7,5,1,7,2,10,943570,31523,754840,50849,2287,25144,12,220,0,420,-0.1640,5.1840,5.2290,4.3290,-0.0470,-0.0520,-0.0410,-0.0070,0.0710,0.0320,0.0430,,0,0,0,0
2020-02-14,EGY,ar,833,290,33,510,172,81,21,103,72,21,2,79,0,6,14,0,1,8,7,22,868684,40781,15242427,24958,26921,14933442,25,322,4,482,-0.0450,5.3070,5.3590,4.1800,-0.0460,-0.0490,-0.0420,0.0030,0.0630,0.0450,0.5190,,0,0,0,0
2020-02-15,EGY,ar,786,191,19,576,152,99,10,65,33,26,0,99,0,0,4,2,4,11,1,9,542361,10667,1328994,22903,5142,5212,21,315,1,449,-0.1070,5.1640,5.2200,4.3110,-0.0330,-0.0540,-0.0530,0.0070,0.0710,0.0190,0.1830,,1,1,0,0
2020-02-16,EGY,ar,924,155,26,743,115,332,10,54,23,29,1,331,0,1,7,2,0,10,0,5,445612,20427,4282961,17431,0,86694,28,345,1,550,-0.0600,5.3040,5.3010,4.3140,-0.0420,-0.0510,-0.0370,0.0090,0.0690,0.0440,0.0000,,1,0,0,0
2020-02-17,EGY,ar,530,136,21,373,77,49,16,58,32,17,3,46,0,3,10,3,0,5,1,7,1022226,36599,236003,40509,1100,54835,19,234,1,276,-0.0210,5.2610,5.2660,4.3860,-0.0130,0.0110,-0.0510,0.0010,0.0770,0.0350,0.0260,,1,0,0,0
2020-02-18,EGY,ar,589,170,9,410,67,38,17,90,62,23,0,38,0,0,15,2,0,3,9,5,889664,73592,3744269,58040,64712,2905,34,254,0,301,-0.2170,5.2200,5.1430,4.3930,-0.0440,-0.0430,-0.0110,0.0250,0.0650,0.0760,0.5270,,1,0,0,0
