datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,ESB,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
2020-01-23,ESB,,4,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,396,0,0,0,0,0,0,2,0,2,-0.2006,5.3817,5.6309,4.5709,,,-0.0593,,0.0722,0.0000,,0.0000,,0.0000,,,,,
2020-01-24,ESB,,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5630,5.5800,5.4450,3.5250,,,,,,,,,,,,,,,
2020-01-25,ESB,,6,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,1,0,5,0.2734,5.5244,5.2840,4.3848,,,-0.0593,,0.0835,,,,,,,,,,
2020-01-26,ESB,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6103,5.8683,5.8917,4.0050,,,0.0045,0.0333,0.0197,,,,,,,,,,
2020-01-27,ESB,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,4.3550,4.5175,4.7400,,,,,,,,,,,,,,,
2020-01-28,ESB,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.2789,5.2033,5.1867,4.3333,,,,,,,,,,,,,,,
2020-01-29,ESB,,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,2,0,1,-0.2023,5.8400,5.5625,3.9787,,,,,,1.0000,,,,,,,,,
2020-01-30,ESB,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-0.2991,5.0425,5.2618,4.4740,,,-0.0593,,0.0813,,,,,,,,,,
2020-01-31,ESB,,10,1,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,397,0,0,0,0,0,0,2,0,8,-0.0356,5.1243,4.9925,4.0946,,,-0.0593,,0.0830,0.0000,,0.0000,,0.0000,,,,,
