datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,EST,et,124,0,7,6,47,0,0,0,6430,7813,462660,0,0,0,1,71,0,52,-0.016,5.244,5.239,4.190,-0.000,,-0.053,,0.082,0.549,,,0.000,0.000,0.000,0.000
2020-01-23,EST,et,213,0,23,9,62,0,0,0,23839,12042,403184,0,0,0,1,98,0,114,-0.101,5.511,5.330,4.427,-0.062,-0.056,-0.050,-0.050,0.085,0.336,,,0.000,0.000,0.000,0.000
2020-01-24,EST,et,467,1,47,8,75,0,0,1,38433,4695,88751,0,0,835,0,195,0,272,0.072,5.770,5.492,4.298,-0.059,-0.042,-0.028,-0.021,0.071,0.109,,,0.000,0.000,0.000,0.000
2020-01-25,EST,et,619,2,53,17,44,1,0,0,108643,72507,428724,502,0,0,2,238,0,379,-0.038,5.460,5.314,4.251,-0.027,-0.049,-0.034,-0.003,0.064,0.400,0.000,,0.000,0.000,0.000,0.000
2020-01-26,EST,et,570,1,46,16,54,0,0,0,39125,27256,443059,0,0,0,0,263,1,306,-0.085,5.356,5.221,4.308,-0.020,-0.056,-0.033,0.006,0.066,0.411,,,0.000,0.000,0.000,0.000
2020-01-27,EST,et,570,0,41,12,144,0,0,0,78070,22159,629398,0,0,0,3,307,0,260,-0.209,5.081,5.128,4.425,-0.036,-0.042,-0.026,0.019,0.056,0.221,,,0.000,0.000,0.000,0.000
2020-01-28,EST,et,497,1,38,10,120,0,0,0,46359,28607,1356846,0,0,0,3,283,0,211,-0.176,5.260,5.288,4.216,-0.046,-0.051,-0.025,0.007,0.062,0.382,,,0.000,0.000,0.000,0.000
2020-01-29,EST,et,520,1,17,16,99,0,0,0,17754,1484364,1347083,0,0,0,9,276,1,234,-0.119,5.233,5.200,4.305,-0.054,-0.049,-0.052,-0.027,0.072,0.988,,,0.000,0.000,0.000,0.000
2020-01-30,EST,et,722,0,39,10,135,0,0,0,285558,36156,153244,0,0,0,1,364,0,357,-0.067,5.162,5.165,4.293,-0.057,-0.048,-0.043,-0.011,0.072,0.112,,,0.000,0.000,0.000,0.000
2020-01-31,EST,et,694,3,26,21,77,0,0,0,25560,16878,796268,0,0,0,8,319,2,365,-0.123,5.116,5.213,4.328,-0.051,-0.052,-0.040,-0.011,0.070,0.398,,,0.000,0.000,0.000,0.000
