datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,2,0,1,0,0,455,0,1.0,0,1,0,1,0.0866,,,,,,,,,0,0,0,
2020-01-23,1,0,1,0,0,955,0,1.0,0,1,0,0,-0.1027,4.50111,4.64667,4.03333,,,,,,0,0,0,
2020-01-24,5,0,0,1,0,0,957,0,0,0,0,5,0.5945,5.64271,4.15479,6.07792,,,,,,0,0,0,
2020-01-25,8,0,1,0,0,988,0,1.0,0,4,0,4,-0.16586,5.21604,4.17266,5.28392,,,,,,0,0,0,
2020-01-26,11,0,0,2,0,0,1945,0,0,6,0,5,-0.2782,5.4231,4.3069,5.63384,,,,,,0,0,0,
2020-01-27,3,0,1,0,0,957,0,1.0,0,1,0,2,-0.5731,,,,,,,,,0,0,0,
2020-01-28,12,1,1,0,142,142,0,0.5,0,4,0,8,0.26004,5.32104,4.59208,5.69646,,,,,,0,0,0,
2020-01-29,3,0,0,0,0,0,0,0,0,1,0,2,-0.2263,5.81786,4.11107,6.32732,,,,,,0,0,0,
2020-01-30,4,0,0,0,0,0,0,0,0,2,0,2,-0.2989,4.9995,4.58563,5.04625,,,,,,0,0,0,
2020-01-31,15,0,0,0,0,0,0,0,0,12,0,3,0.18113,5.44898,4.17096,5.25962,,,,,,0,0,0,
2020-02-01,8,0,0,0,0,0,0,0,0,5,0,3,0.09926,4.45429,4.30429,3.77857,,,,,,0,0,0,
2020-02-02,2,0,0,0,0,0,0,0,0,0,0,2,0.1753,,,,,,,,,0,0,0,
2020-02-03,5,0,0,0,0,0,0,0,0,4,0,1,-0.24504,4.62792,4.57988,4.60137,,,,,,0,0,0,
2020-02-04,3,0,0,0,0,0,0,0,0,2,0,1,0.39985,5.07429,4.48286,5.54286,,,,,,0,0,0,
2020-02-05,5,2,0,0,159,0,0,0,0,2,0,3,-0.31723,5.19846,3.82679,5.29474,,,,,,0,0,0,
2020-02-06,6,0,0,0,0,0,0,0,0,2,0,4,-0.22328,5.12278,4.61067,4.74256,,,,,,0,0,0,
2020-02-07,4,1,0,0,148,0,0,0,0,2,0,2,0.16415,5.03167,4.37333,5.34333,,,,,,0,0,0,
2020-02-08,8,0,0,1,0,0,972,0,0,7,0,1,-0.54984,4.895,4.12,3.74,,,,,,0,0,0,
2020-02-09,1,1,0,0,148,0,0,0,0,0,0,1,,5.76,4.13,6.305,,,,,,0,0,0,
2020-02-10,2,0,0,0,0,0,0,0,0,1,0,1,,5.73,3.72,6.0,,,,,,0,0,0,
2020-02-11,2,0,0,0,0,0,0,0,0,1,0,1,-0.3833,4.747,5.091,4.53,,,,,,0,0,0,
2020-02-12,3,0,0,0,0,0,0,0,0,0,0,3,0.63405,,,,,,,,,0,0,0,
2020-02-13,1,0,0,0,0,0,0,0,0,1,0,0,0.3373,,,,,,,,,0,0,0,
2020-02-14,2,0,0,1,0,0,1056,0,0,0,0,2,0.19275,5.29,4.37,4.21,,,,,,0,0,0,
2020-02-15,3,0,0,0,0,0,0,0,0,2,0,1,-0.2866,5.02234,4.31961,5.33442,,,,,,0,0,0,
2020-02-16,1,0,0,0,0,0,0,0,0,1,0,0,0.4588,4.99,4.40889,4.89667,,,,,,0,0,0,
2020-02-17,6,1,0,0,150,0,0,0,0,4,0,2,0.0883,4.86125,4.48625,3.78,,,,,,0,0,0,
2020-02-18,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,0,0,
2020-02-19,3,0,0,0,0,0,0,0,0,0,0,3,-0.2181,5.266,4.424,5.399,,,,,,0,0,0,
2020-02-20,4,0,0,1,0,0,857,0,0,2,0,2,-0.1265,4.75,4.1,4.7725,,,,,,0,0,0,
2020-02-21,3,1,0,0,70,0,0,0,0,0,0,3,0.2023,5.23288,4.49242,5.26576,,,,,,0,0,0,
2020-02-22,5,0,0,0,0,0,0,0,0,0,0,5,-0.4939,4.97952,4.07596,5.11078,,,,,,0,0,0,
2020-02-23,3,0,0,1,0,0,117,0,0,1,0,2,0.08305,5.34896,3.82875,5.11833,,,,,,0,0,0,
2020-02-24,7,0,0,0,0,0,0,0,0,1,0,6,0.01247,5.36298,4.3884,4.82733,-0.0525,-0.05085,-0.05934,0.09317,-0.06156,0,0,0,
2020-02-25,7,0,0,1,0,0,946,0,0,4,0,3,0.21764,4.85978,4.48167,4.5315,,,,,,0,0,0,
2020-02-26,7,0,0,1,0,0,595,0,0,1,0,6,0.33993,5.847,4.442,6.006,,,,,,0,0,0,
2020-02-27,13,1,0,0,267,0,0,0,0,3,0,10,-0.03014,5.19231,4.34115,5.05358,,,,,,0,0,0,
2020-02-28,17,1,0,1,945,0,83,0,0,2,0,15,-0.1737,5.34899,4.22035,5.37388,,,,,,0,0,0,
