datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,9,0,0,2,0,0,3264,,0,1,0,8,-0.15359,5.37704,4.16495,5.07574,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,
2020-01-23,25,3,2,4,2215,3321,4696,,0,9,0,16,-0.13491,5.07463,4.30654,4.97126,,,,,,0,3,0,0,1,1,0,0,0,0,0,0,
2020-01-24,59,3,0,6,6182,0,7787,,0,31,0,28,0.26567,5.68263,4.65379,6.19013,,,,,,0,3,0,0,0,0,0,1,0,0,0,0,
2020-01-25,102,6,0,3,4974,0,2406,,0,38,0,64,-0.17977,5.36671,4.61959,5.55219,,,,,,0,6,0,0,0,0,0,0,1,0,0,0,
2020-01-26,116,8,0,16,13429,0,9958,,0,45,0,71,-0.26918,5.23679,4.17149,5.22876,,,,,,0,8,0,0,0,0,0,2,0,0,0,0,
2020-01-27,102,3,4,5,2434,3610,4172,,0,23,0,79,-0.35847,5.04235,4.33136,4.84127,,,,,,0,3,0,0,2,1,0,1,0,0,0,0,
2020-01-28,77,5,2,4,771,1020,4274,,0,35,0,42,-0.30996,5.23656,4.39402,5.13748,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,5,0,0,1,1,0,0,0,0,0,0,
2020-01-29,101,2,2,7,1569,1281,8635,,0,44,0,57,-0.0258,5.12985,4.37418,5.18166,,,,,,0,2,0,0,1,0,0,2,1,0,0,0,
2020-01-30,113,6,3,5,3344,1787,10186,,0,54,0,59,-0.20455,5.18392,4.23726,5.21342,,,,,,0,6,0,0,0,3,0,1,3,0,0,0,
2020-01-31,90,1,2,6,175,1103,5487,,0,39,0,51,-0.24087,5.18203,4.32765,5.01819,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,1,0,0,1,1,0,5,0,0,0,0,
2020-02-01,46,2,0,5,5801,0,3601,,0,19,0,27,-0.2472,5.07786,4.42063,4.88826,,,,,,0,2,0,0,0,0,0,3,0,0,0,0,
2020-02-02,35,0,1,1,0,593,557,,0,20,0,15,-0.17875,5.27787,4.29989,5.13934,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,
2020-02-03,21,2,0,4,1961,0,4359,,0,9,0,12,-0.12611,5.11062,4.39038,5.10926,,,,,,0,2,0,0,0,0,0,0,1,0,0,0,
