datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,83,0,0,7,0,0,11424,0,0,24,0,59,0.1178,5.23745,4.19379,5.20082,,,,,,0,0,0,
2020-01-23,129,12,2,14,13323,1690,47408,0.11257,0,53,0,76,0.12956,5.53284,4.26324,5.87468,,,,,,0,0,0,
2020-01-24,194,10,2,20,9909,4633,36552,0.31859,0,71,0,123,0.18106,5.56172,4.45234,5.8877,,,,,,0,0,0,
2020-01-25,306,17,9,21,35207,35100,29608,0.49924,0,106,0,200,-0.05447,5.25115,4.30785,5.32012,-0.07201,-0.0833,-0.05934,0.08833,-0.11159,0,0,0,
2020-01-26,204,3,4,23,11779,8230,40248,0.41131,0,91,0,113,-0.05289,5.35703,4.16618,5.47112,,,,,,0,0,0,
2020-01-27,236,14,4,19,14655,20848,43242,0.58722,0,89,0,147,-0.17297,5.13571,4.50758,5.08227,,,,,,0,0,0,
2020-01-28,188,5,13,29,2191,8166,33511,0.78845,0,76,0,112,-0.08525,5.20395,4.37285,5.14591,-0.04361,-0.04981,-0.03805,0.06186,-0.04554,0,0,0,
2020-01-29,206,9,2,10,5262,190,15669,0.03485,0,81,0,125,-0.08602,5.16575,4.34091,5.19525,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-30,361,6,6,57,2746,8777,47374,0.76169,0,132,0,229,0.04029,5.2463,4.23327,5.29447,-0.05592,-0.06383,-0.05934,0.08347,-0.0951,0,0,0,
2020-01-31,289,10,5,20,3809,2154,38052,0.36123,0,118,0,171,-0.00911,5.27889,4.27565,5.27424,,,,,,0,0,0,
2020-02-01,186,4,1,9,12603,246,19228,0.01915,0,61,0,125,-0.03695,5.18603,4.33548,5.17075,,,,,,0,0,0,
2020-02-02,158,3,4,7,5769,6910,29279,0.545,0,50,0,108,0.25277,5.34404,4.10578,5.29429,,,,,,0,0,0,
2020-02-03,97,2,1,13,503,3923,23793,0.88635,0,55,0,42,-0.06922,5.28412,4.3717,5.34284,,,,,,0,0,0,
2020-02-04,112,1,0,12,246,0,24278,0,0,43,0,69,-0.16887,5.08549,4.24063,5.14969,,,,,,0,0,0,
2020-02-05,90,2,1,19,2398,59,15920,0.02401,0,29,0,61,-0.11974,5.09688,4.32857,5.10493,,,,,,0,0,0,
2020-02-06,91,1,1,21,11338,6609,44793,0.36825,0,30,0,61,-0.34305,5.12937,4.39864,4.98355,,,,,,0,0,0,
2020-02-07,115,9,3,16,13305,13720,16929,0.50768,0,36,0,79,0.01501,5.47473,4.14717,5.63799,,,,,,0,0,0,
2020-02-08,111,23,0,16,32055,0,19644,0,0,35,0,76,0.10798,4.98372,4.28069,4.61058,,,,,,0,0,0,
2020-02-09,101,16,1,17,29542,1543,20511,0.04964,0,40,0,61,-0.11748,5.48567,4.3835,5.3512,,,,,,0,0,0,
2020-02-10,120,2,3,26,1021,12279,51006,0.92323,0,35,0,85,0.12004,5.25421,4.19156,5.34865,,,,,,0,0,0,
2020-02-11,124,2,2,12,965,6225,35577,0.86579,0,38,0,86,-0.01932,5.26547,4.34475,5.23195,,,,,,0,0,0,
