datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,99,11,28,11,73026,15366,37128,,0,55,1,43,-0.13302,4.92729,4.26521,4.782,,,,,,0,0,0,
2020-01-23,150,8,20,15,19716,820,16469,,0,82,1,67,-0.00126,5.45361,4.44247,5.72012,,,,,,0,0,0,
2020-01-24,353,21,26,33,77053,1664,60764,,0,152,0,201,0.10768,5.59031,4.5086,5.93707,,,,,,0,0,0,
2020-01-25,530,37,9,31,50236,37086,233844,,0,185,1,344,-0.1292,5.35808,4.26397,5.51663,-0.02801,-0.07001,0.00452,0.01973,-0.11004,0,0,0,
2020-01-26,521,23,24,45,183485,18927,116866,,0,270,0,251,-0.06146,5.15202,4.27445,5.27344,,,,,,0,0,0,
2020-01-27,345,26,21,44,74335,16290,84048,,0,152,0,193,-0.21071,5.05893,4.45288,5.07992,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-28,297,19,28,47,17565,9003,138538,,0,124,0,173,-0.0697,5.41878,4.09688,5.39368,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-29,292,18,26,34,28418,11575,72477,,1,147,0,144,-0.07804,5.14611,4.36354,5.18458,,,,,,0,0,0,
2020-01-30,503,11,37,61,8867,4103,83459,,0,217,0,286,-0.04573,5.25191,4.20593,5.28472,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-31,447,19,26,49,23872,5673,74136,,1,181,0,265,-0.0455,5.25705,4.31311,5.16614,-0.06893,-0.07372,-0.05934,0.08347,-0.08734,0,0,0,
2020-02-01,226,15,18,21,72512,1401,18342,,1,77,0,148,-0.09788,5.38965,4.33086,5.33669,0.03191,-0.02108,0.04318,0.00738,0.0362,0,0,0,
2020-02-02,259,9,17,32,9691,16995,65590,,0,89,0,170,-0.09755,5.2694,4.24526,5.2672,,,,,,0,0,0,
2020-02-03,188,6,28,21,8449,12755,59312,,0,93,0,95,-0.06886,5.15011,4.30417,5.09398,,,,,,0,0,0,
2020-02-04,242,2,23,68,2628,33416,276592,,0,116,0,126,-0.18307,5.11996,4.51296,5.12888,,,,,,0,0,0,
2020-02-05,197,5,28,49,4731,1759,95427,,1,95,0,101,0.00349,5.34114,4.31558,5.36291,,,,,,0,0,0,
2020-02-06,166,3,33,37,516,66273,158370,,0,83,0,83,-0.18628,5.18535,4.36993,5.25611,,,,,,0,0,0,
2020-02-07,214,37,30,23,145809,1808,37228,,0,107,0,107,-0.1579,5.06645,4.4415,5.01708,,,,,,0,0,0,
2020-02-08,178,46,23,28,165885,104191,25261,,0,89,0,89,-0.04312,5.19686,4.24685,5.04083,,,,,,0,0,0,
2020-02-09,193,32,11,69,103954,479,125095,,0,94,0,99,-0.15864,5.16319,4.36957,5.12071,,,,,,0,0,0,
2020-02-10,163,6,24,49,57975,34519,58719,,0,88,0,75,-0.18812,5.13828,4.3997,5.14146,,,,,,0,0,0,
2020-02-11,175,14,19,21,15171,931,25063,,0,76,0,99,0.03147,5.17421,4.26682,5.07951,,,,,,0,0,0,
2020-02-12,136,6,25,14,5939,1215,35119,,0,71,0,65,-0.05775,5.31894,4.40241,5.33964,,,,,,0,0,0,
2020-02-13,124,5,29,10,3950,99908,5629,,0,71,1,52,-0.11505,5.1562,4.27779,5.14003,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-14,135,6,38,19,10513,8066,17395,,0,75,0,60,-0.2263,5.20824,4.52884,5.20425,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-15,138,11,22,21,114399,15832,46029,,0,73,0,65,-0.05901,5.27904,4.38434,5.39424,,,,,,0,0,0,
2020-02-16,124,37,10,11,33783,496,35718,,0,51,0,73,-0.06431,5.25978,4.4888,5.22272,,,,,,0,0,0,
2020-02-17,120,9,24,19,27045,1396,64881,,0,62,0,58,0.14521,5.13975,4.26004,5.18646,,,,,,0,0,0,
2020-02-18,123,2,24,15,293,1643,64851,,0,56,0,67,-0.08716,5.32436,4.37193,5.40783,,,,,,0,0,0,
2020-02-19,150,5,24,20,1028,1127,21897,,0,84,0,66,0.00544,5.20195,4.31958,5.15233,,,,,,0,0,0,
2020-02-20,90,4,16,6,1244,1134,2121,,0,53,0,37,-0.18952,5.16449,4.33713,5.12323,,,,,,0,0,0,
2020-02-21,151,8,29,22,29442,8505,71945,,0,69,0,82,0.06146,5.12361,4.39396,5.0117,0.03154,-0.04022,0.03612,0.01106,0.04879,0,0,0,
2020-02-22,169,26,19,31,28937,22465,203885,,0,73,0,96,0.03988,5.39816,4.08504,5.22272,,,,,,0,0,0,
2020-02-23,210,9,20,22,22910,15349,71221,,0,77,0,133,0.12376,5.38697,4.32001,5.33508,,,,,,0,0,0,
2020-02-24,352,25,42,42,40218,18079,55521,,0,142,0,210,0.00143,5.42345,4.29538,5.48753,,,,,,0,0,0,
