datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,GNQ,"es,fr,pt",13,3,0,10,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2594,0,0,2594,0,7,0,6,0.076,5.631,5.435,4.158,-0.043,,0.005,0.011,0.054,,,,,,,
2020-01-23,GNQ,"es,fr,pt",29,8,1,20,14,3,0,8,2,6,0,3,0,0,0,0,0,2,0,4,968,0,35682,953,0,1292,0,10,0,19,0.108,5.837,5.593,4.282,,,-0.044,,0.081,0.000,0.000,,,,,
2020-01-24,GNQ,"es,fr,pt",52,17,1,34,11,7,1,10,6,3,0,7,0,0,0,1,0,0,0,5,35866,304,36014,0,0,1361,0,33,0,19,-0.060,5.668,5.501,4.328,,0.008,-0.043,-0.009,0.075,0.008,,,,,,
2020-01-25,GNQ,"es,fr,pt",65,13,5,47,23,2,1,8,4,4,0,2,0,0,1,0,0,0,1,7,22620,779,14498,0,779,3188,0,29,0,36,-0.001,5.145,5.221,4.283,0.041,,-0.047,-0.010,0.081,0.033,1.000,,,,,
2020-01-26,GNQ,"es,fr,pt",92,15,0,77,10,5,3,13,3,9,0,5,0,1,1,1,0,0,1,1,14222,1339,18807,0,171,170,0,35,0,57,0.044,5.489,5.253,4.140,-0.013,-0.049,-0.051,0.011,0.074,0.086,1.000,,,,,
2020-01-27,GNQ,"es,fr,pt",48,7,1,40,11,3,0,8,4,2,0,3,0,0,0,0,0,0,0,1,3467,0,52569,0,0,26325,0,24,0,24,-0.110,5.289,5.146,4.405,-0.062,-0.054,-0.059,-0.053,0.074,0.000,,,,,,
2020-01-28,GNQ,"es,fr,pt",72,21,4,47,33,3,3,14,3,10,0,3,0,0,3,0,0,0,1,6,11355,5415,38157,0,42,20089,0,24,0,48,-0.070,5.186,5.262,4.158,-0.065,-0.050,-0.052,-0.039,0.067,0.323,1.000,,,,,
2020-01-29,GNQ,"es,fr,pt",55,10,5,40,18,2,0,5,2,3,0,2,0,0,0,0,0,0,0,4,8843,0,11738,0,0,428,0,24,0,31,-0.265,4.755,4.988,4.486,-0.070,-0.071,-0.048,0.006,0.074,0.000,,,,,,
2020-01-30,GNQ,"es,fr,pt",79,12,3,64,24,3,1,4,2,1,0,3,0,0,1,0,0,0,0,1,12416,1489,707,0,0,171,0,23,4,52,-0.143,4.878,4.833,4.398,,,-0.047,-0.025,0.077,0.107,,,,,,
2020-01-31,GNQ,"es,fr,pt",84,22,1,61,35,1,1,9,5,3,0,1,0,0,1,0,0,0,0,5,8061,227,26093,0,0,2566,0,34,2,48,0.120,5.332,5.319,4.240,-0.045,-0.052,-0.022,0.033,0.052,0.027,,,,,,
2020-02-01,GNQ,"es,fr,pt",32,3,1,28,13,0,0,7,4,3,0,0,0,0,0,0,0,0,0,5,0,0,3302,0,0,2873,0,14,0,18,0.300,5.274,5.176,4.151,,-0.034,-0.041,-0.028,0.082,,,,,,,
2020-02-02,GNQ,"es,fr,pt",32,9,4,19,8,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,614,0,11326,0,0,0,0,22,0,10,-0.055,5.381,5.194,4.296,,,-0.060,,0.078,0.000,,,,,,
2020-02-03,GNQ,"es,fr,pt",28,7,1,20,8,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,22652,0,779,0,0,0,0,13,2,13,-0.263,4.782,4.797,4.427,,,-0.059,,0.091,0.000,,,,,,
2020-02-04,GNQ,"es,fr,pt",39,10,2,27,14,0,0,6,3,3,0,0,0,0,0,0,0,0,0,3,0,0,5312,0,0,860,0,22,1,16,-0.055,5.116,5.159,4.335,,,-0.040,0.033,0.065,,,,,,,
2020-02-05,GNQ,"es,fr,pt",30,4,0,26,15,0,0,5,4,1,0,0,0,0,0,0,0,0,0,2,0,0,1313,0,0,173,1,17,0,12,-0.324,5.352,5.487,4.112,,,-0.059,,0.086,,,,,,,
2020-02-06,GNQ,"es,fr,pt",30,7,1,22,19,3,2,5,3,2,0,3,0,0,2,0,0,0,1,4,2960,2515,1204,0,1031,1052,1,9,1,19,-0.026,5.059,4.965,4.475,,,-0.059,,0.097,0.459,1.000,,,,,
