datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,GRC,el,496,70,15,411,25,47,26,81,0,0,10,111314,92860,835546,0,0,616199,11,222,0,263,0.073,5.327,5.265,4.207,-0.057,-0.049,-0.044,0.000,0.080,0.455,,,0,0,0,0
2020-01-23,GRC,el,1082,179,57,846,35,124,79,157,0,1,19,406374,224876,1597399,0,5631,1127161,27,452,2,601,-0.016,5.517,5.306,4.434,-0.021,0.004,-0.041,0.004,0.078,0.356,1.000,,0,0,0,0
2020-01-24,GRC,el,1903,333,48,1522,99,211,58,220,19,2,24,686265,93970,2178279,98664,479,651100,24,789,10,1080,0.118,5.751,5.472,4.404,-0.069,-0.046,-0.030,-0.004,0.074,0.120,0.005,,0,0,0,0
2020-01-25,GRC,el,2730,387,84,2259,76,200,75,228,11,0,23,594683,394829,3233514,54026,0,555487,36,1129,6,1559,0.013,5.399,5.337,4.245,0.001,-0.020,-0.033,0.012,0.064,0.399,0.000,,0,0,0,0
2020-01-26,GRC,el,2715,425,69,2221,102,213,128,315,0,8,46,861364,361472,3040003,0,38944,2274059,21,1071,16,1607,-0.094,5.248,5.225,4.377,-0.018,-0.044,-0.042,0.009,0.068,0.296,1.000,,0,0,0,0
2020-01-27,GRC,el,1972,333,57,1582,95,201,85,259,7,0,32,842252,268676,2834098,37418,0,1170961,24,804,6,1138,-0.147,5.180,5.182,4.386,-0.042,-0.052,-0.036,0.019,0.061,0.242,0.000,,0,0,0,0
2020-01-28,GRC,el,1824,407,60,1357,72,151,74,248,5,0,36,402523,370688,1754543,22577,0,1152940,52,729,1,1042,-0.091,5.285,5.333,4.208,-0.045,-0.049,-0.026,-0.005,0.058,0.479,0.000,,0,0,0,0
2020-01-29,GRC,el,2130,476,78,1576,126,128,39,211,4,0,34,312631,71258,1251450,15497,0,483111,44,849,11,1226,-0.077,5.254,5.198,4.338,-0.067,-0.044,-0.039,0.003,0.069,0.186,0.000,,0,0,0,0
2020-01-30,GRC,el,3480,732,96,2652,144,178,71,327,10,1,25,2290830,158455,1201802,64227,2434,94680,73,1394,20,1993,-0.067,5.207,5.189,4.315,-0.046,-0.048,-0.035,0.019,0.065,0.065,0.037,,0,0,0,0
2020-01-31,GRC,el,2705,540,77,2088,204,141,79,230,5,2,19,567572,199632,1482204,11417,2934,249824,52,1126,18,1509,-0.119,5.177,5.231,4.326,-0.047,-0.047,-0.038,-0.010,0.068,0.260,0.204,,0,0,0,0
