datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,30,4,2,4,8275,368,1467,0.04258,0,9,0,21,-0.21665,5.19584,4.41343,5.17817,,,,,,0,0,0,
2020-01-23,47,6,1,12,6554,317,17784,0.04614,0,17,2,28,0.14532,5.23091,4.3046,5.25482,,,,,,0,0,0,
2020-01-24,118,17,2,22,31122,2737,20278,0.08084,0,36,3,79,0.02553,5.60911,4.33634,5.95897,-0.02959,-0.02481,-0.01324,0.08347,-0.11004,0,0,0,
2020-01-25,158,18,3,11,21959,4433,17284,0.16797,0,65,1,92,-0.0522,5.38078,4.34537,5.42232,-0.05865,-0.07001,-0.05934,0.09319,-0.11004,0,0,0,
2020-01-26,142,14,0,18,20672,0,15439,0,0,66,0,76,-0.14704,5.27809,4.21145,5.34899,,,,,,0,0,0,
2020-01-27,135,20,6,14,32718,2942,16697,0.0825,0,64,3,68,-0.21083,5.32956,4.30419,5.28001,0.03327,-0.04913,0.03995,0.04403,-0.043,0,0,0,
2020-01-28,117,18,7,10,18527,8480,10725,0.31399,0,53,3,61,-0.10302,5.2731,4.21467,5.17642,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-29,136,8,2,5,10696,2074,1541,0.16241,0,58,2,76,-0.13833,5.22801,4.43613,5.32709,,,,,,0,0,0,
2020-01-30,243,12,6,24,12052,8804,21044,0.42213,2,88,0,153,0.00805,5.27944,4.27096,5.37554,,,,,,0,0,0,
2020-01-31,179,23,2,11,31645,3409,11208,0.09725,6,76,2,95,-0.10716,5.1977,4.39788,5.16426,-0.06893,-0.07372,-0.05934,0.08347,-0.08734,0,0,0,
2020-02-01,76,7,1,5,10945,1837,5435,0.14372,1,27,0,48,-0.20118,5.13665,4.49518,5.12968,-0.08536,-0.09659,-0.05643,0.09015,-0.11313,0,0,0,
2020-02-02,89,17,1,10,30275,407,10251,0.01327,1,46,1,41,-0.06204,5.2541,4.32084,5.18143,,,,,,0,0,0,
2020-02-03,70,5,1,7,9790,102,6216,0.01031,0,35,1,34,-0.1366,5.17915,4.32634,5.03798,,,,,,0,0,0,
2020-02-04,61,5,2,8,6084,1974,7481,0.24497,0,24,2,35,-0.31656,5.16008,4.34895,5.07286,,,,,,0,0,0,
2020-02-05,59,3,0,10,4825,0,10988,0,0,30,0,29,0.01133,5.27786,4.40798,5.21412,,,,,,0,0,0,
2020-02-06,65,6,1,6,10886,908,12799,0.07699,0,24,2,39,-0.00135,5.28975,4.32471,5.34368,,,,,,0,0,0,
2020-02-07,88,15,1,4,33776,594,2943,0.01728,0,34,1,53,0.08387,5.352,4.42492,5.33133,,,,,,0,0,0,
2020-02-08,61,6,1,16,18287,628,24915,0.0332,0,14,0,47,-0.18668,5.02475,4.27816,4.8894,,,,,,0,0,0,
2020-02-09,55,6,2,7,9785,1000,10342,0.09272,0,21,0,34,-0.09352,5.23247,4.41569,5.13984,,,,,,0,0,0,
2020-02-10,49,5,2,4,8439,10258,5707,0.54864,1,25,0,23,-0.07704,5.14119,4.3859,5.09965,,,,,,0,0,0,
2020-02-11,47,10,2,2,20142,5174,11944,0.20438,0,31,0,16,-0.03361,5.16391,4.2967,5.17146,,,,,,0,0,0,
2020-02-12,59,9,0,9,14099,0,17954,0,0,23,0,36,-0.19427,4.98858,4.29161,4.89395,,,,,,0,0,0,
2020-02-13,58,4,5,8,2470,1626,10022,0.39697,0,18,0,40,-0.1536,5.31775,4.29302,5.26805,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-14,49,5,3,8,9712,5170,9686,0.3474,0,23,1,25,-0.1679,5.41617,4.23357,5.57625,,,,,,0,0,0,
2020-02-15,33,8,0,2,11560,0,3931,0,0,12,0,21,0.01743,5.54993,4.3649,5.55875,,,,,,0,0,0,
2020-02-16,40,12,1,0,14712,3986,0,0.21318,0,10,0,30,-0.21194,5.44168,4.318,5.51823,,,,,,0,0,0,
2020-02-17,35,3,0,4,3992,0,3429,0,0,17,0,18,0.14016,5.5337,4.41999,5.75768,,,,,,0,0,0,
2020-02-18,45,1,0,8,1960,0,6055,0,1,21,0,23,-0.08279,5.38533,4.23477,5.53087,,,,,,0,0,0,
2020-02-19,42,6,2,4,7530,906,24248,0.1074,0,19,0,23,0.02741,5.41282,4.48759,5.65423,,,,,,0,0,0,
2020-02-20,35,1,0,4,254,0,16970,0,0,19,0,16,0.24413,5.4159,4.2037,5.71605,,,,,,0,0,0,
2020-02-21,37,2,1,4,3976,3998,8210,0.50138,0,17,0,20,0.23595,5.55643,4.17031,5.70879,,,,,,0,0,0,
2020-02-22,31,3,0,3,15824,0,4947,0,0,14,0,17,-0.26316,5.31498,4.44701,5.39465,,,,,,0,0,0,
2020-02-23,54,7,1,7,18030,3998,9257,0.1815,0,33,0,21,-0.12106,5.26352,4.47914,5.35401,,,,,,0,0,0,
2020-02-24,62,4,4,8,7433,16499,33746,0.68941,0,28,2,32,-0.32675,5.31968,4.29069,5.20979,,,,,,0,0,0,
2020-02-25,108,1,5,12,1958,7825,20623,0.79986,0,66,1,41,0.03307,5.3697,4.20817,5.32329,-0.05397,-0.05085,-0.05934,0.07426,-0.06156,0,0,0,
2020-02-26,144,5,6,13,12370,8752,14091,0.41435,1,42,0,101,-0.16321,5.3128,4.40554,5.29936,,,,,,0,0,0,
2020-02-27,202,26,8,14,34515,14423,24399,0.29472,0,89,2,111,-0.01359,5.37888,4.29416,5.35951,-0.04609,-0.04877,-0.05934,0.08085,-0.04186,0,0,0,
2020-02-28,223,12,5,18,25274,10451,27717,0.29254,0,111,1,111,0.04452,5.43531,4.1914,5.50907,,,,,,0,0,0,
2020-02-29,200,20,6,14,77081,13747,28149,0.15135,0,97,4,99,-0.1595,5.26537,4.29939,5.30177,0.01123,-0.00294,0.03646,0.02843,-0.00102,0,0,0,
2020-03-01,189,21,4,15,31340,5581,30182,0.15116,0,91,0,98,-0.02753,5.33085,4.25818,5.34976,,,,,,0,0,0,
2020-03-02,253,14,3,30,32952,5599,60489,0.14524,4,140,0,109,0.02867,5.3649,4.27887,5.51396,-0.07086,-0.02397,-0.05643,0.08478,-0.07935,0,0,0,
2020-03-03,218,15,2,16,27857,7890,34234,0.22072,0,88,1,129,-0.02603,5.37413,4.32406,5.4401,-0.05088,-0.05462,-0.05024,0.08119,-0.07543,0,0,0,
2020-03-04,184,18,4,19,22915,3347,36028,0.12745,1,75,1,107,0.03033,5.42284,4.23154,5.49038,-0.04318,-0.0621,-0.05934,0.05198,-0.10248,0,0,0,
2020-03-05,208,12,3,41,22744,4684,43996,0.17077,0,91,0,117,-0.11842,5.37798,4.21585,5.37757,,,,,,0,0,0,
2020-03-06,234,16,4,37,32354,6069,33842,0.15795,3,91,5,135,-0.10337,5.21862,4.31606,5.13577,-0.01269,-0.02663,-0.00825,0.03993,-0.08941,0,0,0,
2020-03-07,250,24,2,16,41662,272,29554,0.00649,5,104,0,141,-0.26708,5.06163,4.52358,4.95063,,,,,,0,0,0,
2020-03-08,217,13,4,16,20180,8480,16798,0.29588,0,86,1,130,-0.06399,5.29703,4.33386,5.31602,,,,,,0,0,0,
2020-03-09,204,24,4,5,46464,12259,3592,0.20876,4,53,1,146,0.03063,5.38633,4.30356,5.48413,,,,,,0,0,0,
2020-03-10,206,14,2,15,31053,9489,19232,0.23405,1,82,6,117,0.07201,5.3648,4.23063,5.41394,,,,,,0,0,0,
2020-03-11,218,14,3,19,13726,2149,66582,0.13537,0,75,4,139,-0.02388,5.27116,4.21465,5.29518,-0.04609,-0.04629,-0.05934,0.08085,-0.04186,0,0,0,
2020-03-12,335,14,6,19,16992,9648,28054,0.36216,0,105,5,225,-0.01289,5.44298,4.28207,5.48055,,,,,,1,0,1,
2020-03-13,261,7,4,34,62511,5316,40902,0.07838,0,97,4,160,0.0287,5.5149,4.29741,5.56709,-0.05489,-0.05549,-0.05934,0.08629,-0.04706,1,0,1,
2020-03-14,236,10,7,13,8661,13051,9839,0.6011,0,87,3,146,0.10157,5.49631,4.28844,5.60289,-0.07678,-0.09337,-0.05934,0.08347,-0.11688,1,0,1,
2020-03-15,266,7,5,26,2163,3883,36762,0.64224,7,131,0,128,0.10518,5.4723,4.2529,5.48968,,,,,,4,0,1,
2020-03-16,298,11,1,34,26383,250,44578,0.00939,1,151,2,144,0.04004,5.44739,4.26482,5.52975,,,,,,4,0,1,
2020-03-17,269,16,4,19,15274,4007,26146,0.20782,1,133,2,133,0.05423,5.48995,4.27304,5.47062,0.03327,-0.04022,0.06839,-0.04401,0.04879,7,0,1,
2020-03-18,217,11,4,20,16073,8957,24638,0.35785,1,82,1,133,0.00532,5.35933,4.2829,5.40799,,,,,,7,0,1,
2020-03-19,217,11,9,13,22801,12681,24409,0.35739,0,86,2,129,-0.0182,5.38258,4.34183,5.34396,-0.06287,-0.07155,-0.05192,0.08647,-0.08202,7,0,1,
2020-03-20,228,9,8,11,19448,15120,7506,0.4374,2,90,10,126,-0.0054,5.33227,4.28267,5.43168,-0.06573,-0.07268,-0.05934,0.08143,-0.0775,7,0,1,
2020-03-21,271,12,4,23,16059,5890,28328,0.26835,6,106,0,158,0.07843,5.40889,4.32746,5.50995,,,,,,7,0,1,
2020-03-22,342,15,10,24,27612,9298,37488,0.25191,1,122,6,213,0.00126,5.3603,4.23839,5.40748,,,,,,19,0,1,
2020-03-23,204,9,3,27,39043,13050,50804,0.25051,2,76,6,120,-0.00179,5.36922,4.2298,5.45819,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,20,0,1,
