datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,68,9,4,10,26651,18400,282576,,1,29,0,38,0.01697,5.3155,4.21717,5.43477,,,,,,1,8,0,0,4,0,0,3,0,0,0,0,
2020-01-23,226,13,15,27,19735,5566,151300,,0,110,0,116,0.00064,5.32174,4.5024,5.50054,,,,,,2,11,0,2,11,0,0,3,3,0,0,0,
2020-01-24,412,34,12,42,38498,6230,331782,,1,209,1,201,-0.02097,5.44026,4.34734,5.65567,0.03327,-0.04022,0.07282,-0.04401,0.04879,4,30,0,3,7,1,0,16,3,0,0,0,
2020-01-25,653,53,8,33,51091,3408,34946,,0,282,0,371,-0.16985,5.23022,4.29383,5.32977,-0.08536,-0.09659,-0.05934,0.08347,-0.11313,2,51,0,1,5,2,0,10,4,0,0,0,
2020-01-26,642,39,25,66,54261,34889,271571,,0,253,0,389,-0.11991,5.2472,4.3044,5.32865,0.03327,-0.04913,0.03995,0.04403,-0.043,2,37,1,3,12,6,0,17,8,0,0,0,
2020-01-27,469,44,15,50,21691,12158,379501,,0,158,3,308,-0.16987,5.16991,4.39149,5.13881,0.01366,-0.04022,0.02157,0.03325,0.02637,3,41,0,0,10,2,0,11,4,0,0,0,
2020-01-28,473,52,12,48,46907,12236,326651,,0,211,5,257,-0.1219,5.24697,4.30001,5.24568,,,,,,5,47,0,1,8,3,0,16,5,0,0,0,
2020-01-29,434,16,12,37,8924,15721,672635,,11,171,14,238,-0.08723,5.18993,4.30303,5.21278,0.00285,-0.04872,-0.00088,0.03913,-0.01501,0,16,1,1,4,2,0,9,3,0,0,0,
2020-01-30,659,32,16,71,46888,10230,665351,,0,317,1,341,-0.10091,5.2556,4.22467,5.29457,-0.0123,-0.04586,-0.00481,0.02838,-0.06433,1,31,0,2,8,1,0,22,23,0,0,0,
2020-01-31,590,22,11,40,16327,9344,62015,,2,270,7,311,-0.0446,5.2676,4.30754,5.2109,-0.01473,-0.05487,0.00534,0.04924,-0.02568,1,21,0,1,6,2,0,22,1,0,0,0,
