datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,6834,779,272,1667,114932730,42246846,266115152,0.26878,349,2760,65,3660,-0.03135,5.23336,4.22966,5.23767,-0.00172,-0.02488,0.01834,0.05401,-0.02449,80,699,3,2,228,25,0,536,101,0,0,0,-0.00912
2020-01-23,12956,1954,636,2333,356970673,99170347,326640217,0.21741,491,5418,105,6942,-0.0399,5.34886,4.36152,5.49829,-0.03047,-0.0483,-0.01758,0.0513,-0.05142,169,1785,1,31,457,122,0,670,200,0,0,0,0.00467
2020-01-24,24867,2989,1023,4210,354463231,147567712,479146177,0.29394,739,10120,162,13846,0.01814,5.39452,4.34085,5.56953,-0.04089,-0.06051,-0.0393,0.06437,-0.06157,105,2884,4,26,651,279,0,1214,293,0,0,0,0.00605
2020-01-25,38724,3183,1031,4718,350924907,191074072,517252013,0.35254,751,15598,193,22182,-0.10043,5.26112,4.26486,5.35212,-0.05393,-0.05914,-0.04674,0.07363,-0.07407,113,3070,0,82,677,218,0,1259,298,0,0,0,
2020-01-26,34788,2715,1279,4291,262873747,146313063,239139186,0.35757,487,13859,107,20335,-0.11448,5.19364,4.29761,5.26555,-0.00503,-0.04519,-0.00205,0.05027,-0.04643,122,2593,2,130,575,325,0,1095,444,0,0,0,
2020-01-27,32073,2887,1107,5375,363894760,197706599,561421994,0.35204,941,12571,174,18387,-0.20122,5.15539,4.34571,5.13286,-0.03924,-0.05075,-0.03866,0.07012,-0.05018,134,2753,2,6,738,159,0,1309,543,0,0,0,-0.0064
2020-01-28,39578,3134,1434,7183,486614513,145435268,812546347,0.2301,1372,15568,359,22279,-0.09856,5.2784,4.26441,5.26849,-0.03481,-0.04657,-0.03474,0.06278,-0.05536,209,2925,4,50,1017,250,0,1833,720,0,0,0,-0.0076
2020-01-29,39785,1908,750,5048,365451809,112563110,409939776,0.23548,1357,15716,405,22307,-0.03402,5.27384,4.33237,5.28311,-0.0203,-0.07016,-0.00648,0.02882,-0.07576,90,1818,6,39,499,139,0,963,514,0,0,0,0.00121
2020-01-30,59471,2487,1120,6277,423645856,217600123,325258191,0.33934,1687,23962,447,33375,0.02267,5.3252,4.25936,5.30983,-0.0119,-0.06333,0.00482,0.03033,-0.0645,118,2369,6,113,811,132,0,1449,1329,1,0,0,-0.00922
2020-01-31,66873,2349,903,5370,426561527,149957351,473560413,0.26011,1747,27004,427,37695,-0.03761,5.20384,4.3294,5.21653,-0.04891,-0.06392,-0.03992,0.06667,-0.06934,95,2254,10,148,528,137,0,1296,597,1,0,0,-0.01143
2020-02-01,54571,1455,960,5122,192709155,62290964,230587458,0.24428,1010,22418,255,30888,-0.05377,5.24671,4.27089,5.23753,-0.03617,-0.05138,-0.0225,0.05639,-0.05384,58,1397,3,85,261,107,0,943,382,1,0,0,
2020-02-02,66586,2092,613,3763,622006557,173565076,342232243,0.21816,1325,26981,321,37959,0.01223,5.34772,4.27181,5.40452,-0.01969,-0.04609,-0.00417,0.04127,-0.03317,40,2052,4,82,379,89,0,885,362,2,0,0,
2020-02-03,36482,2168,534,4504,542199158,174541063,568387552,0.24352,1566,14576,386,19954,-0.06996,5.26471,4.30231,5.26608,-0.01091,-0.03643,-0.00519,0.05173,-0.02136,93,2075,2,45,373,60,0,996,386,3,0,0,0.00692
2020-02-04,30845,2216,454,3995,365616592,193707431,445158768,0.34632,1369,12184,333,16959,-0.17418,5.15742,4.29658,5.16192,-0.02225,-0.04229,-0.01368,0.0535,-0.03335,69,2147,0,6,321,75,0,825,372,3,0,0,0.01641
2020-02-05,22410,1374,384,3125,322631728,206336550,333023643,0.39007,1017,8956,300,12137,-0.06373,5.22436,4.30347,5.24387,-0.01956,-0.04142,-0.00182,0.04987,-0.03918,64,1310,1,6,254,66,0,709,233,3,0,0,0.00694
2020-02-06,25524,1575,664,3713,226531084,258882649,334933296,0.53332,1016,10290,311,13907,-0.22231,5.11117,4.37039,5.10586,-0.03539,-0.04891,-0.03283,0.06302,-0.04034,58,1517,0,7,541,83,0,773,280,3,0,0,0.00148
2020-02-07,31729,2895,513,4129,330511967,203388824,369427095,0.38095,1271,12794,326,17338,-0.11759,5.22907,4.33439,5.22512,-0.02275,-0.04936,-0.00429,0.04369,-0.05259,55,2840,3,7,379,89,0,845,322,3,0,0,-0.00435
2020-02-08,28718,3125,402,3559,440623439,138527163,196258833,0.23919,749,11601,211,16157,-0.09262,5.22896,4.33744,5.22216,-0.02786,-0.05624,-0.00988,0.04003,-0.05333,54,3071,2,15,266,82,0,1154,229,3,0,0,
2020-02-09,28843,1811,567,3459,516342983,245618698,321434066,0.32235,910,11593,188,16152,-0.13731,5.18776,4.3533,5.23807,-0.03539,-0.04812,-0.02421,0.05358,-0.04779,49,1762,0,89,397,47,0,1003,251,3,0,0,
2020-02-10,26534,1657,574,3707,299499068,331240063,371697713,0.52516,1038,10507,231,14758,-0.09964,5.25876,4.27963,5.24635,-0.03741,-0.05103,-0.03324,0.0666,-0.04514,42,1615,1,20,473,42,0,877,315,3,0,0,-0.00585
2020-02-11,24448,2021,381,2943,134147983,148765559,221457371,0.52583,708,10011,186,13543,-0.14136,5.29157,4.26131,5.26038,-0.03974,-0.05306,-0.03208,0.04993,-0.05851,37,1984,0,12,267,63,0,662,219,3,0,0,-4e-05
2020-02-12,23931,1341,354,3098,263390262,172445192,350019867,0.39567,889,9940,233,12869,-0.25643,5.09274,4.452,5.078,-0.01003,-0.04773,0.00321,0.03069,-0.03279,39,1302,0,13,264,53,0,684,317,3,0,0,0.00413
2020-02-13,25507,1663,530,5041,361488280,194354702,434135493,0.34966,1081,10309,235,13882,-0.15113,5.25201,4.34109,5.2948,-0.04139,-0.04727,-0.05109,0.07361,-0.0414,58,1605,0,124,314,58,0,2687,241,3,0,0,-0.00367
2020-02-14,23646,1315,843,3384,359948488,195104486,292936961,0.35151,906,9678,228,12834,0.00348,5.34453,4.2643,5.49205,-0.04498,-0.0499,-0.05524,0.07361,-0.0411,47,1268,0,160,613,52,0,1588,202,3,0,0,-0.00629
2020-02-15,18018,1324,343,2242,316604611,161559987,221077853,0.33788,573,7536,134,9775,-0.01874,5.28809,4.32517,5.34689,-0.04058,-0.05502,-0.03868,0.0451,-0.04803,72,1252,0,21,264,24,0,517,235,3,0,0,
2020-02-16,17218,2463,311,1935,200378666,150063896,178502208,0.42821,548,7226,124,9320,-0.12057,5.20334,4.36479,5.22291,-0.04176,-0.04682,-0.03938,0.05529,-0.04207,42,2421,0,25,217,42,0,397,154,3,3,0,
2020-02-17,18474,1569,479,2621,354166608,236252981,322448313,0.40014,997,7588,210,9679,-0.00722,5.28253,4.32781,5.32935,-0.04289,-0.05937,-0.03945,0.0696,-0.05859,44,1525,0,72,334,60,0,608,199,3,3,0,-0.00709
2020-02-18,20309,1422,357,2909,523938820,237746903,339689323,0.31213,1064,8119,253,10873,-0.09014,5.25592,4.37911,5.29064,-0.01251,-0.04391,0.00966,0.05035,-0.01014,48,1374,1,6,267,56,0,760,288,3,3,0,-0.00297
2020-02-19,18214,903,396,2381,201550053,160253152,278945211,0.44293,747,7454,148,9865,-0.06169,5.28353,4.35148,5.34947,-0.01011,-0.05578,0.04472,-0.00414,-0.05385,30,873,0,147,186,45,0,768,233,3,3,0,0.00292
2020-02-20,15525,1032,259,2256,187852053,128601154,327649017,0.40638,681,6330,177,8337,-0.09661,5.23803,4.34038,5.2628,-0.03095,-0.05854,-0.0035,0.03941,-0.0702,37,995,0,5,170,46,0,569,245,3,3,0,-0.00315
2020-02-21,17644,1212,351,2538,206310019,169895274,345092276,0.4516,591,7206,148,9699,-0.1137,5.25453,4.28945,5.27571,0.01658,-0.02199,0.03956,0.02194,0.02031,51,1161,0,48,236,44,0,636,207,3,3,0,
2020-02-22,18087,1828,295,2462,304577887,159342962,148755177,0.34347,563,6897,187,10440,-0.08084,5.2691,4.29743,5.24551,-0.02023,-0.03986,-0.00187,0.04446,-0.01666,38,1790,0,22,221,32,0,557,197,3,3,0,
2020-02-23,21990,1690,373,2433,217995228,195913114,116254873,0.47332,518,9003,153,12316,-0.08756,5.22997,4.33065,5.22729,-0.00779,-0.0368,-0.00214,0.04321,-0.0015,47,1643,1,45,239,57,0,670,320,3,3,0,
2020-02-24,27398,1906,420,3137,252184938,80750101,246100140,0.24254,674,11055,265,15404,-0.10093,5.31274,4.30008,5.33481,-0.0096,-0.03124,0.01328,0.03921,-0.00839,56,1850,0,58,270,63,0,981,246,3,3,0,-0.01525
2020-02-25,33878,2162,706,3530,145648089,89892554,232925234,0.38164,662,14070,195,18951,-0.07122,5.33167,4.29252,5.34922,-0.02961,-0.05075,0.00277,0.04437,-0.03651,47,2115,4,61,491,135,0,895,188,3,3,0,-0.0067
2020-02-26,36121,1980,704,3644,133975803,85023638,186196839,0.38824,629,15056,155,20281,0.03725,5.3937,4.32318,5.48259,-0.02886,-0.04422,-0.01827,0.05039,-0.03665,61,1919,7,97,499,84,0,956,190,3,3,0,-0.00512
2020-02-27,44408,2422,1048,4394,220769866,148620456,303884565,0.40234,863,18450,261,24834,0.05259,5.34952,4.29945,5.42263,-0.03547,-0.04461,-0.0314,0.0609,-0.03844,76,2346,107,94,690,127,0,1123,283,3,3,0,-0.0024
2020-02-28,48669,2157,2061,4442,208455403,122705461,271643608,0.37053,792,19706,288,27883,0.0031,5.36833,4.30754,5.42989,-0.03592,-0.04652,-0.03563,0.06432,-0.04099,95,2062,18,435,1212,275,0,1663,250,3,3,0,-0.01584
2020-02-29,47201,2804,1825,4266,171679446,247473936,161091468,0.59041,739,19392,218,26852,-0.01992,5.34697,4.3142,5.37168,-0.02477,-0.04403,-0.01799,0.04834,-0.03309,130,2674,3,240,1322,186,0,1953,236,3,3,0,
2020-03-01,49611,3144,1117,4634,271914426,201814439,214592543,0.42601,762,20080,252,28517,-0.07999,5.29219,4.32007,5.31218,-0.03159,-0.03933,-0.02647,0.05509,-0.04372,94,3050,9,290,573,207,0,1778,295,3,3,0,
2020-03-02,64019,3235,1120,7511,263308907,215069305,349920050,0.44958,1471,25392,598,36558,0.0392,5.38483,4.29932,5.46039,-0.06017,-0.02982,-0.04726,0.07718,-0.07087,159,3076,4,200,721,152,0,3224,517,5,3,0,-0.02236
2020-03-03,98201,3491,1154,9880,679256462,401326669,879292653,0.3714,3165,39352,1036,54648,0.03172,5.38095,4.26049,5.39186,-0.04425,-0.0463,-0.05455,0.0713,-0.08195,153,3338,8,82,935,97,0,2521,657,5,3,0,0.00764
2020-03-04,145300,4784,1702,11146,817574978,693271692,979635379,0.45886,4852,58058,1088,81302,0.08744,5.4306,4.23524,5.46949,-0.02971,-0.0556,-0.04993,0.05415,-0.09989,258,4526,17,48,1475,136,0,2296,857,28,3,0,-0.00884
2020-03-05,117732,7316,2445,10889,863006796,569875268,1092785815,0.39771,3705,46846,1120,66061,0.02548,5.38237,4.2712,5.41883,-0.01027,-0.0442,-0.01847,0.06075,-0.04142,322,6994,21,169,2125,95,0,2661,871,30,3,0,-0.00328
2020-03-06,83266,4029,1263,10170,681665146,449515234,839833103,0.39739,3173,32939,759,46395,0.00594,5.34537,4.30002,5.37063,-0.01476,-0.04685,-0.01399,0.05902,-0.04468,121,3908,10,121,975,138,0,3407,633,31,3,0,0.00428
2020-03-07,74182,3328,1520,7191,524113035,181666430,446409925,0.2574,1885,29663,655,41979,-0.04888,5.27028,4.3452,5.24063,-0.01723,-0.0428,-0.01122,0.04511,-0.02825,90,3238,11,539,813,131,0,1473,456,34,3,0,
2020-03-08,64626,2956,2491,6359,411038784,208238745,419544440,0.33626,1591,25820,455,36760,-0.03782,5.34571,4.29115,5.36279,-0.02383,-0.04327,-0.01068,0.04578,-0.03077,81,2875,4,291,2041,135,0,1596,361,39,3,0,
2020-03-09,76919,2843,1359,8825,647311355,316851412,584779180,0.32863,2679,31417,792,42031,-0.01167,5.39409,4.31243,5.46047,-0.02128,-0.04677,-0.00663,0.04595,-0.03449,90,2753,2,28,1196,116,0,2598,469,43,3,0,-0.02705
2020-03-10,63556,2824,746,6436,265608333,68098736,256234204,0.20407,1441,26305,491,35319,0.02304,5.39735,4.24589,5.43618,-0.01438,-0.04463,-0.00153,0.03512,-0.03201,82,2742,13,18,624,80,0,1896,390,56,4,0,
2020-03-11,70635,4155,1131,6883,214829720,188704464,407284555,0.46763,2056,29061,695,38818,-0.00273,5.37143,4.26604,5.37161,-0.03834,-0.04658,-0.04505,0.06956,-0.04071,79,4076,8,156,831,127,0,1615,638,62,4,1,0.01201
2020-03-12,73630,4211,863,5642,347838721,123551074,378967377,0.2621,1797,30129,546,41158,0.0342,5.42529,4.26951,5.44132,-0.02136,-0.03656,-0.01585,0.05247,-0.03229,45,4166,9,21,732,94,0,1716,427,73,4,1,-0.0448
2020-03-13,91736,4239,1021,6950,248668250,192548430,277470551,0.4364,1953,36919,665,52198,0.01985,5.4353,4.30409,5.45415,-0.01704,-0.03015,-0.00143,0.04638,-0.02765,258,3981,3,19,835,144,0,2117,410,82,4,2,0.09307
2020-03-14,94276,4588,868,6926,157127351,112069216,366205939,0.41631,1697,38040,537,53998,0.01056,5.42068,4.28125,5.45375,-0.00654,-0.04956,0.0145,0.04102,-0.04268,163,4425,1,24,713,120,0,1853,527,102,4,2,
2020-03-15,93709,2821,717,10947,142201691,158881352,498816910,0.5277,1950,37655,620,53456,0.06392,5.48184,4.31564,5.51034,-0.02923,-0.04305,-0.02514,0.05472,-0.04184,83,2738,2,12,526,160,0,873,5540,113,13,2,
2020-03-16,93719,3309,1068,7270,226428803,124896225,304806454,0.3555,2119,37756,649,53179,0.03291,5.44503,4.25637,5.4878,-0.04013,-0.05244,-0.03894,0.07253,-0.06707,68,3241,1,26,964,67,0,1156,911,119,13,2,-0.04072
2020-03-17,95930,3106,1540,9096,301924302,110219109,564467370,0.26743,2400,38249,651,54623,0.01371,5.38923,4.26971,5.43975,-0.04772,-0.06277,-0.0442,0.07603,-0.07728,61,3045,4,12,1061,436,0,1582,560,142,14,3,-0.03429
2020-03-18,101618,3265,1085,8341,301154320,232088553,485032211,0.43524,2544,40816,702,57546,0.03891,5.4114,4.26463,5.4717,-0.03962,-0.04922,-0.03564,0.06578,-0.04981,113,3152,0,27,887,154,0,1545,496,156,14,3,-0.06818
2020-03-19,120958,3190,1386,9012,301475031,99698864,411975123,0.24852,2888,47849,983,69230,0.04942,5.41871,4.24439,5.45665,-0.04569,-0.06089,-0.04318,0.07396,-0.07127,69,3121,4,27,892,448,0,1642,1521,194,15,4,0.02482
2020-03-20,124329,3376,1928,8062,239737124,175234097,378511444,0.42228,2869,50137,867,70450,0.10127,5.4749,4.2778,5.54321,-0.02088,-0.04577,-0.02135,0.0554,-0.04879,116,3260,9,47,1576,288,0,1484,977,244,20,5,0.05565
2020-03-21,161999,4103,1907,9933,285948942,266243049,455793293,0.48216,3291,65195,1075,92421,0.12265,5.51502,4.24473,5.56625,-0.00422,-0.0394,0.01023,0.03825,-0.02999,218,3885,1,71,1686,135,0,1429,943,330,23,4,
2020-03-22,205510,3851,1752,10097,206379849,256852713,366424763,0.55448,3618,80994,1058,119818,0.13537,5.49848,4.2845,5.55476,-0.03254,-0.04288,-0.02996,0.06581,-0.0451,106,3745,0,29,1536,143,0,1570,1131,396,27,7,
2020-03-23,162089,4318,1528,10848,323267040,222109294,471565021,0.40726,3439,64922,1135,92573,0.04688,5.45356,4.2839,5.50331,-0.0422,-0.0501,-0.03407,0.0739,-0.05989,90,4228,3,28,1262,144,0,1578,1464,499,27,10,-0.04222
2020-03-24,194394,4911,2024,15257,301901059,193455815,547895803,0.39054,3863,77209,1316,111985,0.02482,5.46079,4.22767,5.52148,-0.03529,-0.048,-0.0367,0.06706,-0.0506,87,4824,4,47,1679,276,0,1914,3495,536,40,10,-0.00602
2020-03-25,165941,4919,2150,13452,407336245,315176764,635204360,0.43622,3731,66311,1475,94413,0.06888,5.46848,4.28119,5.52374,-0.02193,-0.04751,-0.0114,0.0416,-0.05081,89,4830,5,56,1879,195,0,2022,2513,657,43,12,0.07533
2020-03-26,184619,8725,1984,16983,349154071,262527394,618779896,0.42919,3816,73624,1312,105855,0.0371,5.42246,4.30581,5.46746,-0.0224,-0.02072,-0.03244,0.05869,-0.02244,101,8624,1,25,1759,179,0,2012,1390,727,45,20,0.02254
2020-03-27,178107,6887,2436,14833,403786161,337953196,623737379,0.45562,4309,71237,1199,101348,0.10714,5.44521,4.29121,5.51557,-0.0307,-0.03991,-0.03424,0.06439,-0.0397,143,6744,3,45,2221,147,0,1900,1548,887,73,20,-0.03228
2020-03-28,205990,6434,1906,14107,389878921,172846943,441237886,0.30716,4038,81243,1582,119106,0.0834,5.4094,4.25901,5.4984,-0.03323,-0.04405,-0.03372,0.06397,-0.04223,73,6361,3,30,1654,194,0,1887,1406,987,84,24,
2020-03-29,193653,5308,2576,16997,365995480,209881523,621560090,0.36446,4125,77386,1220,110907,0.06228,5.44646,4.28069,5.49722,-0.02901,-0.04191,-0.03177,0.05344,-0.03662,89,5219,1,70,2310,165,0,1681,3588,1024,95,27,
2020-03-30,189589,6171,4271,16766,411775347,346387023,690104101,0.45688,4510,75808,1385,107836,0.01106,5.43858,4.27359,5.47185,-0.02893,-0.0469,-0.02927,0.05956,-0.04593,101,6070,3,44,4037,159,0,1933,2141,1251,102,32,-0.0125
2020-03-31,207850,6190,3563,14414,535907418,390921660,651073889,0.42178,4596,83935,1287,118019,0.04589,5.4379,4.30891,5.48779,-0.02556,-0.03077,-0.0286,0.0564,-0.02983,71,6119,1,50,3309,162,0,1944,1133,1397,123,35,0.00802
2020-04-01,187360,5316,2297,13577,527789447,218107096,626792421,0.29241,4391,75376,1166,106421,0.05613,5.42934,4.28564,5.49679,-0.0101,-0.01587,-0.01774,0.04222,-0.01685,72,5244,2,97,1956,223,0,1658,1147,1998,148,58,-0.03848
2020-04-02,184892,5390,2091,12583,654380171,275429393,545720230,0.29622,4263,73427,1172,105589,0.00256,5.39859,4.2962,5.44629,-0.01097,0.01244,-0.03886,0.06438,0.00906,97,5293,8,43,1864,135,0,1599,898,2543,191,72,
2020-04-03,191911,6005,3179,14850,575353067,465167877,609717244,0.44705,4682,76205,1208,109497,0.06861,5.47853,4.32034,5.53066,-0.02564,-0.03073,-0.03333,0.06331,-0.03171,99,5906,2,76,2885,177,0,1812,1536,2567,192,72,-0.03264
2020-04-04,197292,6296,2762,17944,454858203,270120635,632145649,0.37259,4570,79994,1381,111326,0.07492,5.47041,4.30056,5.51647,-0.00769,-0.01534,-0.01988,0.06192,-0.02447,102,6194,1,93,2452,189,0,1880,1436,3082,229,86,
2020-04-05,208465,7108,2864,17246,596260441,208923481,537927697,0.25947,4415,83767,1537,118727,0.07692,5.49587,4.30465,5.54305,-0.02764,-0.04163,-0.01898,0.05317,-0.0417,105,7003,0,122,2445,266,0,1640,2721,3588,229,99,
2020-04-06,182264,7446,3124,15615,764311244,560421931,837696724,0.42305,5425,73016,1274,102537,0.0831,5.464,4.30376,5.52311,-0.03761,-0.04024,-0.03638,0.0676,-0.04011,137,7309,1,275,2609,204,0,1789,1288,4778,375,136,
2020-04-07,192205,6871,1783,17674,606729919,225876006,787038577,0.27129,5112,76567,1563,108942,0.13494,5.50274,4.27025,5.56507,-0.01158,-0.0149,-0.00567,0.04171,-0.01836,90,6781,3,58,1564,138,0,1953,1659,5311,421,150,0.04095
2020-04-08,186393,5640,2685,16953,624656900,429760239,746286871,0.40758,5070,74065,1604,105637,0.11178,5.47639,4.28774,5.54783,-0.02921,-0.03672,-0.02654,0.06388,-0.03901,112,5528,3,36,2446,167,0,2019,1638,5916,506,178,0.00689
2020-04-09,200169,5996,2186,15582,774780416,363528553,695706622,0.31936,5524,79047,1613,113946,0.16035,5.50737,4.29513,5.57835,-0.01106,-0.03424,-0.00666,0.04356,-0.03329,111,5885,4,39,1950,171,0,1881,1259,6725,620,226,0.01547
2020-04-10,202067,7752,4176,17997,668828781,478067089,880992172,0.41684,5386,80185,1425,115037,0.09983,5.45895,4.29235,5.50977,-0.01615,-0.02105,-0.01615,0.05957,-0.026,82,7670,2,54,3917,175,0,2162,1246,7598,774,246,
2020-04-11,203354,7931,2431,21849,582315426,339777023,758661069,0.36848,5237,80308,1466,116328,0.07835,5.48311,4.28166,5.54426,-0.02318,-0.03537,-0.01317,0.04292,-0.04461,101,7830,3,57,2170,165,0,3913,1165,8446,969,288,
2020-04-12,200210,6311,2606,19938,743458699,455442630,655142453,0.37988,5085,78251,1470,115383,0.0585,5.46999,4.32351,5.53037,-0.02198,-0.03383,-0.0318,0.05892,-0.03423,84,6227,0,47,2307,219,0,2034,1047,9205,1080,331,
2020-04-13,172254,6343,1989,17922,773493471,344400857,933212383,0.30808,5850,67983,1365,97024,0.06717,5.4397,4.2791,5.50893,-0.02297,-0.04336,-0.02604,0.04927,-0.03804,61,6282,1,38,1704,221,0,2192,1497,10453,1181,358,-0.01209
2020-04-14,175737,5974,2427,19868,680517828,297128263,769554023,0.30392,5598,69150,1443,99511,0.09967,5.48019,4.25977,5.52937,-0.02759,-0.03401,-0.03737,0.0608,-0.03967,158,5816,4,21,2096,270,0,2124,2189,11487,1359,393,
2020-04-15,169715,5723,2763,16585,920834502,444536647,773345737,0.32558,5165,66978,1616,95934,0.01445,5.41061,4.27055,5.46297,-0.02829,-0.02509,-0.04364,0.07051,-0.03054,116,5607,6,31,2550,142,0,1921,1539,12322,1432,405,-0.02948
2020-04-16,187491,6339,3051,17844,826919761,622088362,773553143,0.42932,5808,74929,1714,105021,0.06753,5.44861,4.28904,5.50113,-0.0201,-0.0242,-0.02117,0.05073,-0.02756,93,6246,1,21,2749,245,0,2162,1955,13430,1768,448,0.01599
2020-04-17,174502,7495,2968,16136,845139961,359142719,703528644,0.29822,5297,69925,1446,97819,0.07095,5.42515,4.28404,5.47637,-0.02753,-0.03312,-0.02738,0.05629,-0.03283,96,7399,0,27,2775,143,0,2018,1508,14352,2041,486,-0.00608
2020-04-18,192418,7534,3068,18230,900350600,490962872,836499364,0.35288,5686,76858,1491,108371,0.09568,5.46997,4.30806,5.50002,-0.02243,-0.0314,-0.01891,0.05487,-0.03057,143,7391,1,29,2881,139,0,2273,1586,15722,2463,521,
2020-04-19,204453,7425,4644,18924,941527936,343404907,871929017,0.26726,5175,80854,1584,116837,0.0723,5.44776,4.29661,5.49362,-0.02741,-0.03368,-0.02808,0.06043,-0.03341,110,7315,2,50,4275,295,0,2076,1588,17615,2854,559,
2020-04-20,183664,8793,3302,16299,879421283,350437444,796881199,0.28494,5855,72380,1736,103681,0.02394,5.41483,4.26843,5.4698,-0.01554,-0.0261,-0.01049,0.04601,-0.02485,101,8692,4,105,2624,545,0,2558,1358,18539,3273,592,-0.01367
2020-04-21,190980,8473,3074,15896,679700577,575498700,665758919,0.45849,6345,74750,1627,108242,0.05194,5.43937,4.24556,5.48074,-0.02276,-0.03185,-0.01544,0.05186,-0.03199,86,8387,0,70,2473,508,0,2343,1410,20080,3975,645,-0.00394
2020-04-22,209580,5657,3618,17994,486821186,522131196,776251284,0.5175,6178,82539,1747,119103,0.12558,5.46088,4.28123,5.54955,-0.03718,-0.04486,-0.03999,0.06863,-0.04035,115,5542,1,37,3310,240,0,2412,1295,21370,4370,681,0.01779
2020-04-23,168444,6817,3459,17003,877130005,697582619,985671691,0.44299,6309,66100,1575,94441,0.11609,5.43733,4.2839,5.48568,-0.03325,-0.03965,-0.03414,0.06345,-0.03932,90,6727,1,32,3226,162,0,2266,1605,23077,5012,721,0.00883
2020-04-24,172298,9130,3081,16581,763020086,591276767,820566979,0.43659,5864,67142,2296,96990,0.08746,5.45563,4.26246,5.53896,-0.01656,-0.02023,-0.03046,0.06189,-0.02389,121,9009,5,36,2832,177,0,2110,1296,24530,5498,780,-0.00104
2020-04-25,198382,11151,2725,19431,836676996,613308202,1026992594,0.42298,5754,77758,2002,112856,0.08164,5.46547,4.25433,5.54511,-0.01642,-0.01826,-0.01755,0.05126,-0.01721,94,11057,1,41,2533,121,0,2641,1477,26283,5939,825,
2020-04-26,221443,7123,3125,21563,898973759,650119810,1004927601,0.41968,6528,86111,1738,127062,0.07742,5.47915,4.25521,5.55281,-0.02108,-0.02041,-0.02187,0.0529,-0.02501,84,7039,1,67,2877,150,0,2646,2077,27890,6523,881,
2020-04-27,214482,9319,3092,22265,1112612416,550372816,1011145238,0.33095,7361,83225,1999,121888,0.06104,5.45537,4.27949,5.50702,-0.02482,-0.03669,-0.02488,0.05509,-0.03587,97,9222,0,57,2767,240,0,2436,1251,29451,7137,939,0.00244
2020-04-28,182117,6458,3935,16718,904722991,595677172,931682722,0.39701,6664,70982,1767,102688,0.07504,5.4581,4.2762,5.51927,-0.03045,-0.0346,-0.03403,0.06225,-0.03942,89,6369,4,107,3672,117,0,2201,1488,31324,7747,1008,-0.00095
2020-04-29,160456,5130,3948,16470,648062299,462268036,877367884,0.41633,6206,62789,1459,89986,0.09541,5.44405,4.29222,5.52679,-0.01988,-0.02108,-0.02221,0.05512,-0.02372,124,5006,6,103,3619,192,0,2268,1032,33062,8437,1079,0.01538
2020-04-30,190124,8072,2528,27702,718231650,569681998,798807925,0.44233,6253,74158,1816,107881,0.11134,5.46982,4.27761,5.55283,-0.02371,-0.03399,-0.02511,0.05057,-0.03569,132,7940,2,35,2176,285,0,2376,12157,34863,9068,1154,0.01091
2020-05-01,186470,6843,2949,18686,925937977,692647386,988003735,0.42793,6800,72248,1836,105569,0.15005,5.51875,4.26334,5.59703,-0.02995,-0.03609,-0.0342,0.05414,-0.03496,186,6657,0,40,2599,282,0,2198,2105,37257,10007,1223,
