datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,638,102,21,157,4229752,27838,5749107,,42,227,8,361,-0.02213,5.19285,4.30218,5.23865,,,,,,0,0,0,0.00435
2020-01-23,1569,300,76,293,9082838,177371,13655971,0.01915,90,592,18,869,-0.10916,5.22402,4.37029,5.32845,0.03326,-0.04913,0.05014,-0.00262,-0.0407,0,0,0,-0.00686
2020-01-24,3090,402,94,521,6042521,549197,11205488,0.08332,81,1194,42,1773,-0.04142,5.25102,4.37872,5.35423,0.00013,-0.04152,0.01679,0.01969,-0.05452,0,0,0,0.0086
2020-01-25,3491,338,103,319,4647267,158191,5453376,0.03292,41,1461,15,1974,-0.11135,5.24282,4.31669,5.31074,-0.0579,-0.06711,-0.05934,0.08567,-0.09745,0,0,0,
2020-01-26,3129,342,100,438,3769695,233685,4617298,0.05837,27,1223,8,1871,-0.15532,5.21532,4.32999,5.25962,-0.00164,-0.04264,-0.00251,0.05768,-0.0428,0,0,0,
2020-01-27,2960,379,104,453,5526382,109766,9013197,0.01948,63,1335,18,1544,-0.15732,5.27606,4.29793,5.25023,-0.03221,-0.04657,-0.0404,0.0705,-0.05226,0,0,0,-0.01698
2020-01-28,2657,341,115,471,6781636,355709,10922732,0.04984,78,1195,22,1362,-0.12798,5.24841,4.25542,5.20342,-0.04782,-0.06058,-0.04337,0.0696,-0.06648,0,0,0,0.00302
2020-01-29,2899,204,77,304,4853562,173047,8679794,0.03443,117,1172,38,1572,-0.08561,5.24088,4.32519,5.25435,-0.06378,-0.07014,-0.05934,0.07294,-0.08464,0,0,0,0.01308
2020-01-30,4604,402,73,510,7365424,305597,14136802,0.03984,162,1761,54,2627,-0.16249,5.19092,4.30424,5.21375,-0.03022,-0.05174,-0.0372,0.05118,-0.04568,0,0,0,-0.01232
2020-01-31,4625,363,95,492,7098382,126089,10379620,0.01745,161,1996,48,2420,-0.11352,5.27629,4.35341,5.26393,-0.01705,-0.03901,-0.00194,0.03472,-0.01699,0,0,0,-0.01131
2020-02-01,2528,160,71,333,3406297,161559,6120541,0.04528,67,989,14,1458,-0.13504,5.26463,4.36061,5.18636,-0.04635,-0.06534,-0.03225,0.05904,-0.0705,0,0,0,
2020-02-02,2538,198,38,308,3909039,67344,7026065,0.01694,66,955,13,1504,-0.1122,5.26211,4.32915,5.28163,-0.0525,-0.05085,-0.05934,0.08591,-0.06156,0,0,0,
2020-02-03,2228,212,38,326,3535422,97915,7735549,0.02695,114,740,11,1363,-0.11726,5.18445,4.35493,5.22229,-0.02538,-0.03656,-0.01045,0.05225,-0.01464,0,0,0,0.01226
2020-02-04,2016,149,46,304,5890284,157122,4625135,0.02598,109,771,19,1117,-0.07895,5.22652,4.29834,5.25906,0.00944,-0.03509,0.02131,0.01464,0.01744,0,0,0,0.00473
2020-02-05,1563,105,25,223,2117410,27863,5606736,0.01299,72,525,26,940,-0.07705,5.23779,4.29992,5.24388,-0.02291,-0.04883,-0.01881,0.06463,-0.02542,0,0,0,0.01024
2020-02-06,1857,240,25,298,4875623,32175,6611593,0.00656,109,644,34,1070,-0.20226,5.20235,4.36334,5.17821,-0.05106,-0.05912,-0.05934,0.08065,-0.06092,0,0,0,-0.00307
2020-02-07,2022,356,29,306,6445823,97263,8758656,0.01487,92,729,25,1176,-0.19197,5.22079,4.38024,5.20185,-0.02585,-0.05615,-0.01676,0.056,-0.06095,0,0,0,-0.00524
2020-02-08,1742,342,26,272,3689937,47042,4448212,0.01259,54,758,20,910,-0.15092,5.15953,4.34608,5.10143,-0.00104,-0.05085,0.06839,-0.04401,-0.06156,0,0,0,
2020-02-09,1546,181,39,238,2941844,81305,3607040,0.02689,40,642,15,849,-0.11553,5.2354,4.29662,5.18566,-0.00929,-0.03398,0.00993,0.0245,-0.04872,0,0,0,
