datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,26,3,0,6,1941,0,23974,0,0,13,2,11,0.22282,5.43155,4.03263,5.51432,,,,,,0,0,0,
2020-01-23,40,4,0,5,2506,0,1923,0,0,11,0,29,0.20264,5.44196,4.20028,5.77154,,,,,,0,0,0,
2020-01-24,91,14,1,10,15766,464,9273,0.02859,0,49,0,42,-0.00748,5.46927,4.37416,5.7583,,,,,,0,0,0,
2020-01-25,149,9,1,10,6060,174,5831,0.02791,0,58,0,91,-0.02828,5.46953,4.27315,5.51995,,,,,,0,0,0,
2020-01-26,131,6,4,12,17218,4390,13289,0.20317,1,45,0,85,-0.12498,5.17388,4.24185,5.29224,,,,,,0,0,0,
2020-01-27,68,6,3,4,5144,3621,10082,0.41312,1,31,0,36,-0.04976,5.24134,4.43717,5.15979,,,,,,0,0,0,
2020-01-28,63,4,3,13,7788,625,14078,0.07429,1,20,0,42,-0.07121,5.40528,4.13091,5.4501,,,,,,0,0,0,
2020-01-29,89,5,1,6,2480,240,10195,0.08824,2,24,0,63,0.05866,5.50374,4.13143,5.57819,,,,,,0,0,0,
2020-01-30,117,6,1,8,12902,1331,1935,0.09352,0,50,1,66,0.12456,5.31957,4.20419,5.40006,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-31,91,2,2,4,597,137,7091,0.18665,0,38,0,53,-0.01525,5.31933,4.18417,5.39088,,,,,,0,0,0,
2020-02-01,64,2,2,4,1401,433,1279,0.2361,0,20,1,43,-0.10694,5.21236,4.23671,5.26362,,,,,,0,0,0,
2020-02-02,61,1,0,5,38,0,2219,0,0,27,0,34,0.16286,5.49883,4.21498,5.56023,,,,,,0,0,0,
2020-02-03,41,1,1,3,1604,12,139,0.00743,2,20,0,19,0.12824,5.4679,4.15563,5.54384,,,,,,0,0,0,
2020-02-04,38,1,0,5,3887,0,1386,0,1,15,1,21,-0.38279,5.07884,4.2255,5.25029,,,,,,0,0,0,
2020-02-05,28,1,0,2,9888,0,1055,0,1,8,0,19,0.06309,5.49646,4.30329,5.5939,,,,,,0,0,0,
2020-02-06,39,3,1,0,1847,449,0,0.19556,1,9,0,29,0.21419,5.58968,4.14383,5.68416,,,,,,0,0,0,
2020-02-07,52,2,0,2,1970,0,3676,0,2,16,0,34,-0.07908,5.40043,4.27745,5.38531,,,,,,0,0,0,
2020-02-08,37,5,0,4,1758,0,20015,0,2,4,0,31,0.23844,5.56736,4.32426,5.71226,,,,,,0,0,0,
2020-02-09,24,0,0,6,0,0,2603,0,0,16,0,8,0.02548,5.30851,3.99881,5.43495,,,,,,0,0,0,
2020-02-10,27,2,0,5,968,0,5411,0,2,12,0,13,-0.13402,5.14725,4.39337,4.89141,,,,,,0,0,0,
2020-02-11,26,0,0,2,0,0,84,0,1,15,0,10,-0.08068,4.95945,4.3662,4.88066,,,,,,0,0,0,
2020-02-12,15,1,0,2,290,0,1307,0,0,8,0,7,0.1363,5.10062,4.08777,5.50739,,,,,,0,0,0,
2020-02-13,22,0,0,3,0,0,2411,0,1,12,0,9,-0.08684,5.11486,4.11601,5.26633,,,,,,0,0,0,
2020-02-14,25,1,0,4,152,0,19053,0,2,10,0,13,0.08619,5.51482,4.43752,5.66778,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-15,26,5,0,3,10236,0,10453,0,2,10,0,14,-0.07452,5.33761,4.44374,5.31335,,,,,,0,0,0,
2020-02-16,25,2,0,1,438,0,99,0,0,7,0,18,0.11633,5.50046,4.16774,5.50019,,,,,,0,0,0,
2020-02-17,18,2,1,1,2311,116,3428,0.0478,0,9,0,9,0.28215,5.0815,4.058,5.525,,,,,,0,0,0,
2020-02-18,28,0,0,7,0,0,25921,0,1,10,0,17,0.39308,5.3642,4.51966,5.48516,,,,,,0,0,0,
2020-02-19,33,1,0,1,444,0,564,0,0,13,1,19,0.12151,5.3881,4.27116,5.42032,,,,,,0,0,0,
2020-02-20,37,3,1,2,5938,11,4494,0.00185,0,8,0,29,0.03874,5.23655,4.15487,5.36547,,,,,,0,0,0,
2020-02-21,46,1,1,8,138,833,10509,0.85788,2,14,0,30,0.02047,5.40064,4.15635,5.33033,,,,,,0,0,0,
2020-02-22,44,6,0,3,3396,0,3223,0,0,24,0,20,0.08724,5.32506,4.32585,5.32333,,,,,,0,0,0,
2020-02-23,50,8,0,4,5861,0,8627,0,1,28,0,21,0.121,5.3351,4.33365,5.56858,,,,,,0,0,0,
2020-02-24,75,5,0,7,1351,0,5060,0,1,41,1,32,-0.02398,5.37217,4.34655,5.46123,,,,,,0,0,0,
2020-02-25,99,5,1,11,3611,655,7850,0.15354,1,37,5,56,-0.03319,5.2829,4.25563,5.31132,,,,,,0,0,0,
2020-02-26,129,6,1,14,6278,21,13328,0.00333,1,67,0,61,0.10949,5.48684,4.58904,5.67223,,,,,,0,0,0,
2020-02-27,121,5,2,8,2403,818,30244,0.25396,0,59,1,61,0.15459,5.34819,4.22052,5.43518,,,,,,0,0,0,
2020-02-28,119,3,13,16,584,6580,31330,0.91848,1,46,0,72,0.30389,5.48963,4.44285,5.67465,,,,,,0,0,0,
2020-02-29,103,4,0,4,2977,0,3117,0,0,39,2,62,-0.14802,5.18868,4.29019,5.23781,,,,,,0,0,0,
2020-03-01,127,2,3,8,199,820,11667,0.80471,4,42,0,81,-0.07787,5.36737,4.2484,5.4007,,,,,,0,0,0,
2020-03-02,127,2,1,3,4048,46,877,0.01124,2,61,1,63,0.33128,5.54865,4.41952,5.88851,,,,,,0,0,0,
2020-03-03,118,10,0,13,6296,0,48857,0,6,53,0,59,-0.04412,5.46324,4.30199,5.52622,,,,,,0,0,0,
2020-03-04,113,0,0,13,0,0,24399,0,1,53,0,59,0.06542,5.37813,4.23828,5.26613,,,,,,0,0,0,
2020-03-05,116,3,0,7,3999,0,3969,0,0,46,0,70,0.09983,5.24898,4.23103,5.42847,,,,,,0,0,0,
2020-03-06,138,5,4,15,14983,5078,56191,0.25313,5,47,3,83,-0.06168,5.19152,4.36446,5.28899,,,,,,0,0,0,
2020-03-07,166,3,5,5,3230,2553,11128,0.44147,0,64,1,101,-0.08418,5.3356,4.36943,5.2989,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,0,0,
2020-03-08,142,2,0,9,649,0,5979,0,0,73,0,69,0.07148,5.29953,4.3828,5.37679,,,,,,0,0,0,
2020-03-09,116,2,2,4,2642,936,4467,0.2616,0,55,0,61,0.25496,5.45833,4.33455,5.62627,,,,,,0,0,0,
2020-03-10,129,5,1,14,11161,147,45177,0.013,0,75,1,53,-0.0751,5.45833,4.20926,5.5534,,,,,,0,0,0,
2020-03-11,113,3,4,6,2555,576,23274,0.18397,0,37,1,75,0.09913,5.36222,4.1939,5.46031,,,,,,0,0,0,
2020-03-12,112,4,0,11,1214,0,14308,0,1,42,2,67,-0.07907,5.50762,4.13896,5.63997,,,,,,0,0,0,
2020-03-13,108,4,0,15,3863,0,75523,0,4,45,0,59,0.05945,5.47662,4.28447,5.62972,,,,,,0,0,0,
2020-03-14,148,4,1,8,608,5644,2844,0.90275,2,48,0,98,0.05435,5.44965,4.16179,5.48561,,,,,,0,0,0,
2020-03-15,124,0,1,12,0,546,46110,1.0,1,66,1,56,0.03018,5.35514,4.33579,5.41512,,,,,,0,0,0,
2020-03-16,125,6,1,9,4083,101,19371,0.02414,4,59,3,58,0.09103,5.40715,4.34975,5.59835,,,,,,0,0,0,
2020-03-17,148,5,2,19,5719,2832,44140,0.33119,4,72,5,67,0.04862,5.44227,4.23567,5.56355,,,,,,0,0,0,
2020-03-18,175,8,3,12,19803,1360,69160,0.06426,3,44,10,117,0.09776,5.42306,4.15061,5.53349,,,,,,3,0,0,
2020-03-19,151,4,2,10,13076,1042,6403,0.07381,0,60,5,85,0.10958,5.43194,4.24619,5.43551,,,,,,3,0,0,
2020-03-20,163,6,0,22,10300,0,41160,0,1,55,9,98,-0.0129,5.28672,4.3411,5.36872,,,,,,6,0,0,
2020-03-21,138,3,1,11,184,47,90879,0.20346,5,58,2,73,0.00094,5.46907,4.33587,5.58845,,,,,,14,0,0,
2020-03-22,144,2,2,7,1261,1042,40060,0.45245,5,60,1,78,0.06452,5.46157,4.28563,5.55307,,,,,,14,0,0,
2020-03-23,143,1,0,10,709,0,21855,0,4,68,2,69,0.05736,5.39621,4.23291,5.62142,-0.01616,-0.00122,0.06839,0.01144,-0.01275,16,0,0,
