datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,KHM,km,60,27,1,32,3,11,2,26,9,17,3,8,0,0,1,0,1,0,0,3,6,1,1,0,18731,7418,498865,0,0,461169,2,21,1,36,0.0750,5.2962,5.2246,4.1903,-0.0022,-0.0019,-0.0570,,0.0810,0.2837,,0.1429,0.0000,0.1250,,0,0,0,0
2020-01-23,KHM,km,154,45,11,98,6,21,9,36,12,21,0,21,0,1,4,3,1,0,0,5,13,4,2,2,25849,12613,750487,0,0,699871,3,55,0,96,-0.0679,5.3315,5.2372,4.3714,0.0376,0.0474,-0.0397,0.0333,0.0800,0.3279,,0.2353,0.5000,0.2857,,0,0,0,0
2020-01-24,KHM,km,277,83,5,189,9,24,11,55,17,37,1,23,0,1,4,4,2,0,0,9,14,9,1,0,26229,32971,848587,0,0,695285,4,92,1,180,0.0007,5.5102,5.3118,4.3965,-0.0161,-0.0139,-0.0389,0.0096,0.0697,0.5569,,0.3913,0.0000,0.3750,,0,0,0,0
2020-01-25,KHM,km,355,56,11,288,3,34,15,25,5,18,2,32,0,5,7,2,1,0,0,2,23,14,3,0,94886,6821,519430,0,0,461066,7,106,0,242,-0.1390,5.3132,5.2399,4.3400,-0.0481,-0.0337,-0.0363,0.0017,0.0698,0.0671,,0.3784,0.0000,0.3500,,0,0,0,0
2020-01-26,KHM,km,388,102,12,274,2,38,8,61,8,35,0,38,0,1,5,2,0,0,0,2,24,8,2,0,135960,14983,366425,0,0,237073,8,133,0,247,-0.0987,5.2373,5.1990,4.3160,-0.0432,-0.0371,-0.0474,-0.0073,0.0729,0.0993,,0.2500,0.0000,0.2353,,0,0,0,0
2020-01-27,KHM,km,498,183,11,304,11,42,13,143,40,94,3,39,0,1,12,0,0,0,0,9,24,11,1,0,367240,8651,1647324,0,0,929367,19,157,0,322,-0.0517,5.3427,5.3188,4.2002,-0.0290,-0.0543,-0.0417,-0.0012,0.0644,0.0230,,0.3143,0.0000,0.3056,,0,0,0,0
2020-01-28,KHM,km,451,177,12,262,13,28,13,123,36,80,0,28,0,1,11,1,0,0,0,13,16,11,1,0,53442,22070,1360189,0,0,1171148,11,191,2,247,0.0056,5.3561,5.3058,4.1433,-0.0523,-0.0534,-0.0381,-0.0176,0.0667,0.2923,,0.4074,0.0000,0.3929,,1,1,0,0
2020-01-29,KHM,km,357,130,8,219,5,15,12,46,8,34,0,15,0,0,9,1,2,0,0,2,12,10,0,0,18271,6030,263508,0,0,230662,5,154,1,197,-0.0549,5.3258,5.2482,4.2470,-0.0266,-0.0391,-0.0422,0.0127,0.0696,0.2481,,0.4545,,0.4545,,1,0,0,0
2020-01-30,KHM,km,421,184,11,226,5,19,9,60,6,45,0,19,0,1,7,1,0,0,0,1,12,7,0,0,37378,1091,279358,0,0,230559,19,171,1,230,-0.0590,5.2620,5.2469,4.2755,-0.0407,-0.0168,-0.0430,0.0213,0.0746,0.0284,,0.3684,,0.3684,,1,0,0,0
2020-01-31,KHM,km,421,138,42,241,0,24,4,64,4,55,3,21,0,3,1,0,0,0,0,0,14,3,0,0,31340,1356,42412,0,0,0,8,124,1,288,-0.1047,5.2934,5.2421,4.2891,-0.0630,-0.0509,-0.0433,-0.0053,0.0720,0.0415,,0.1765,,0.1765,,1,0,0,0
2020-02-01,KHM,km,255,83,14,158,2,11,6,40,8,26,1,10,0,3,1,1,1,0,0,2,4,5,2,0,13910,5325,47916,0,0,738,3,109,0,143,-0.0253,5.3795,5.3543,4.2605,-0.0407,,-0.0407,0.0216,0.0706,0.2768,,0.5556,0.0000,0.4545,,1,0,0,0
2020-02-02,KHM,km,241,64,5,172,0,18,9,25,7,16,0,18,0,5,2,2,0,0,0,0,7,6,0,0,27905,9985,48674,0,0,0,4,97,1,139,-0.0905,5.1535,5.2160,4.3069,-0.0397,0.0486,-0.0447,0.0074,0.0752,0.2635,,0.4615,,0.4615,,1,0,0,0
2020-02-03,KHM,km,236,102,11,123,1,13,8,23,12,10,0,13,0,5,3,0,0,0,0,0,6,7,2,0,23105,6637,36601,0,0,0,3,83,3,147,0.0035,5.3308,5.2630,4.3687,-0.0416,-0.0491,-0.0356,0.0289,0.0768,0.2232,,0.5385,0.0000,0.4667,,1,0,0,0
2020-02-04,KHM,km,302,132,41,129,1,16,4,78,10,58,1,15,0,0,2,0,2,0,0,0,6,3,0,0,46857,3806,336648,0,0,0,11,112,1,178,-0.0508,5.3924,5.2604,4.2727,-0.0272,,-0.0502,0.0333,0.0777,0.0751,,0.3333,,0.3333,,1,0,0,0
2020-02-05,KHM,km,228,103,6,119,0,18,3,16,3,11,0,18,0,0,1,1,1,0,0,0,12,3,1,0,40958,2268,20370,0,0,0,6,99,1,122,0.0648,5.4285,5.3395,4.2584,-0.0426,-0.0050,-0.0511,0.0049,0.0761,0.0525,,0.2000,0.0000,0.1875,,1,0,0,0
2020-02-06,KHM,km,177,83,6,88,2,9,2,19,3,15,1,8,0,0,1,0,1,0,0,1,4,0,0,0,27873,1546,18410,0,0,117,10,59,0,108,-0.0289,5.3578,5.2637,4.2605,-0.0243,,-0.0392,0.0150,0.0783,0.0526,,0.0000,,0.0000,,1,0,0,0
2020-02-07,KHM,km,235,85,7,143,1,18,2,26,3,20,1,17,0,1,1,0,0,0,0,1,12,1,2,0,45268,7329,77426,0,0,2772,7,74,4,150,-0.1457,5.2169,5.2060,4.3041,-0.0150,-0.0175,-0.0449,0.0233,0.0767,0.1393,,0.0769,0.0000,0.0667,,1,0,0,0
2020-02-08,KHM,km,180,58,7,115,0,20,3,23,5,14,0,20,0,1,2,0,0,0,0,0,15,1,0,0,113970,2013,63537,0,0,0,2,62,4,112,-0.0894,5.2446,5.2538,4.3656,,-0.0604,-0.0486,0.0234,0.0751,0.0174,,0.0625,,0.0625,,1,0,0,0
2020-02-09,KHM,km,168,58,7,103,0,16,1,29,3,18,0,16,0,1,0,0,0,0,0,0,10,1,0,0,74021,274,33100,0,0,0,1,55,3,109,-0.0722,5.2835,5.2662,4.2888,-0.0418,-0.0502,-0.0466,0.0333,0.0757,0.0037,,0.0909,,0.0909,,1,0,0,0
2020-02-10,KHM,km,189,86,7,96,1,12,2,32,2,27,0,12,0,0,1,0,1,0,0,0,7,2,0,0,61251,8364,41914,0,0,0,4,65,2,118,0.0318,5.2862,5.2811,4.2789,-0.0008,0.0486,-0.0491,0.0333,0.0789,0.1201,,0.2222,,0.2222,,1,0,0,0
2020-02-11,KHM,km,225,97,5,123,3,21,0,30,4,22,0,21,0,0,0,0,0,0,0,1,14,0,0,0,34964,0,52498,0,0,2974,5,87,4,129,-0.0704,5.3534,5.3046,4.2597,-0.0439,-0.0022,-0.0398,0.0195,0.0710,0.0000,,0.0000,,0.0000,,1,0,0,0
2020-02-12,KHM,km,206,109,10,87,1,26,3,22,2,16,0,26,0,1,2,0,0,0,0,0,6,2,1,0,64126,1283,19374,0,0,0,13,62,2,129,-0.0801,5.2679,5.3143,4.1781,,,-0.0428,0.0303,0.0782,0.0196,,0.2500,0.0000,0.2222,,1,0,0,0
