datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,KOR,"ko,en",344,43,8,293,197,38,11,53,19,3,35,428437,10435,94526,400069,1742,29170,3,137,0,204,0.158,5.398,5.286,4.184,,,-0.041,0.033,0.080,0.024,0.004,0.013,1,0,0,0
2020-01-23,KOR,"ko,en",820,59,10,751,400,119,23,70,37,18,40,350146,197664,116086,310927,192243,68992,2,316,0,502,0.148,5.901,5.552,4.455,,-0.003,-0.043,0.005,0.082,0.361,0.382,-0.004,1,0,0,0
2020-01-24,KOR,"ko,en",2050,168,22,1860,947,193,28,85,53,17,44,333355,223168,79777,256028,215897,63568,3,811,0,1236,0.259,6.098,5.677,4.432,-0.064,-0.038,-0.026,0.003,0.067,0.401,0.457,,2,1,0,0
2020-01-25,KOR,"ko,en",3655,280,50,3325,1763,198,77,136,99,73,102,369423,130352,273155,290720,128040,242239,1,1492,0,2162,0.044,5.573,5.386,4.183,-0.019,-0.039,-0.027,-0.009,0.058,0.261,0.306,,2,0,0,0
2020-01-26,KOR,"ko,en",3526,301,48,3177,2290,176,95,240,108,82,136,941733,129655,490742,866106,112782,409961,5,1539,0,1982,-0.058,5.393,5.271,4.262,-0.007,-0.053,-0.045,0.003,0.066,0.121,0.115,,3,1,0,0
2020-01-27,KOR,"ko,en",2210,255,47,1908,1246,243,42,126,192,38,71,596258,39543,135316,556610,31590,65651,1,890,0,1319,-0.143,5.203,5.203,4.357,-0.043,-0.054,-0.041,0.012,0.060,0.062,0.054,,4,1,0,0
2020-01-28,KOR,"ko,en",1544,242,39,1263,952,139,59,148,108,53,84,758277,65816,374546,712322,51615,292108,6,615,1,922,0.046,5.478,5.473,4.161,-0.035,-0.041,-0.027,-0.015,0.054,0.080,0.068,-0.007,4,0,0,0
2020-01-29,KOR,"ko,en",1668,234,39,1395,899,138,28,88,56,23,54,360114,52649,400286,301354,49248,374020,3,721,1,943,-0.077,5.248,5.200,4.272,-0.060,-0.043,-0.036,-0.002,0.057,0.128,0.140,-0.001,4,0,0,0
2020-01-30,KOR,"ko,en",3049,583,61,2405,1910,131,83,223,56,62,127,471887,272303,313379,248457,257205,221663,3,1283,0,1763,0.071,5.368,5.340,4.202,-0.052,-0.059,-0.030,0.020,0.057,0.366,0.509,-0.015,4,0,0,0
2020-01-31,KOR,"ko,en",2404,316,61,2027,1486,80,84,107,52,78,74,369498,94204,186288,332700,89076,170397,5,995,3,1401,-0.006,5.209,5.270,4.263,-0.043,-0.043,-0.040,0.004,0.062,0.203,0.211,-0.019,7,3,0,0
2020-02-01,KOR,"ko,en",1219,180,28,1011,831,55,59,101,29,53,73,64379,28700,134234,39031,25206,113961,6,473,2,738,-0.057,5.139,5.188,4.275,-0.047,-0.051,-0.045,-0.007,0.073,0.308,0.392,,12,5,0,0
2020-02-02,KOR,"ko,en",1318,204,44,1070,799,50,33,78,26,31,57,52645,12242,533732,27071,11954,511425,17,542,1,758,-0.066,5.253,5.285,4.243,-0.013,0.006,-0.044,0.020,0.071,0.189,0.306,,15,3,0,0
2020-02-03,KOR,"ko,en",855,174,31,650,553,56,19,57,40,16,43,89313,12266,197522,55672,9847,173574,6,356,0,493,0.097,5.348,5.289,4.371,0.014,0.011,-0.049,-0.002,0.080,0.121,0.150,0.015,15,0,0,0
2020-02-04,KOR,"ko,en",968,191,38,739,671,64,13,91,38,12,68,355531,44103,174257,318913,43602,149179,3,417,0,548,-0.051,5.258,5.173,4.248,-0.048,-0.024,-0.046,0.015,0.063,0.110,0.120,0.017,16,1,0,0
2020-02-05,KOR,"ko,en",821,166,25,630,534,114,5,63,78,5,45,227050,6195,61109,174759,6195,45348,4,376,1,440,0.038,5.374,5.285,4.288,-0.039,-0.032,-0.037,-0.005,0.077,0.027,0.034,-0.005,18,2,0,0
2020-02-06,KOR,"ko,en",783,154,18,611,532,64,50,52,35,49,39,170114,73227,70381,78149,71056,36617,3,331,0,449,-0.097,5.253,5.222,4.362,-0.044,-0.013,-0.044,0.003,0.078,0.301,0.476,0.020,23,5,0,0
2020-02-07,KOR,"ko,en",946,173,35,738,547,101,16,75,73,15,60,149254,61207,120377,112322,57401,97816,1,404,0,541,-0.074,5.256,5.206,4.330,-0.041,-0.019,-0.046,0.006,0.075,0.291,0.338,-0.004,24,1,0,0
2020-02-08,KOR,"ko,en",716,120,37,559,483,125,5,77,117,5,57,240448,4678,357224,228741,4678,326912,2,268,1,445,0.014,5.304,5.300,4.305,-0.043,-0.000,-0.044,0.006,0.078,0.019,0.020,,24,0,0,0
