datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,KWT,43,4,3,12,7486,2441,12582,0,18,0,25,-0.257,5.060,5.048,4.181,,,-0.046,,0.077,0.246,,0,0,0
2020-01-23,KWT,73,13,6,20,289222,25508,89876,5,28,0,40,-0.039,5.545,5.345,4.320,-0.041,-0.049,-0.026,-0.021,0.079,0.081,,0,0,0
2020-01-24,KWT,171,17,6,35,23108,11511,65221,2,68,3,98,0.007,5.415,5.227,4.368,,0.008,-0.018,0.032,0.070,0.333,,0,0,0
2020-01-25,KWT,494,37,20,54,297857,22042,171089,9,200,3,282,-0.205,5.250,5.177,4.302,-0.076,,-0.033,0.007,0.063,0.069,,0,0,0
2020-01-26,KWT,354,20,16,51,14614,43186,322708,11,110,2,231,-0.134,5.259,5.170,4.316,-0.042,-0.052,-0.035,0.016,0.077,0.747,,0,0,0
2020-01-27,KWT,273,25,10,40,860203,10000,153906,5,98,3,167,-0.193,5.118,5.113,4.408,0.040,-0.057,-0.021,0.031,0.071,0.011,,0,0,0
2020-01-28,KWT,300,21,15,54,23397,45029,1491152,8,100,2,190,-0.164,5.109,5.209,4.353,-0.051,-0.049,-0.007,0.028,0.048,0.658,,0,0,0
2020-01-29,KWT,309,17,5,50,56046,254,195951,4,90,6,209,-0.062,5.304,5.207,4.314,-0.027,-0.005,-0.035,-0.001,0.057,0.005,,0,0,0
2020-01-30,KWT,526,21,9,47,76823,4800,1347742,15,159,5,347,-0.028,5.279,5.235,4.235,0.001,-0.025,-0.029,0.016,0.061,0.059,,0,0,0
2020-01-31,KWT,477,34,9,43,177005,39568,881075,9,182,0,286,-0.061,5.218,5.205,4.375,-0.013,-0.020,-0.039,0.000,0.073,0.183,,0,0,0
2020-02-01,KWT,282,10,10,40,26164,23357,2144940,13,92,0,177,-0.134,5.259,5.266,4.321,-0.062,-0.052,-0.046,0.010,0.077,0.472,,0,0,0
2020-02-02,KWT,298,11,5,29,8617,438,504189,15,111,0,172,-0.059,5.335,5.286,4.340,-0.040,,-0.039,-0.003,0.076,0.048,,0,0,0
2020-02-03,KWT,208,9,4,26,25978,3062,134277,6,66,0,136,-0.169,5.133,5.177,4.355,-0.065,-0.060,-0.047,-0.012,0.081,0.105,,0,0,0
2020-02-04,KWT,197,8,2,25,5980,816,492322,4,68,2,123,-0.269,4.826,4.958,4.425,-0.040,0.046,-0.051,-0.012,0.077,0.120,,0,0,0
2020-02-05,KWT,196,5,3,34,17975,1461,79179,4,85,0,107,-0.165,5.155,5.125,4.329,-0.002,,-0.033,0.007,0.060,0.075,,0,0,0
2020-02-06,KWT,187,16,6,43,16274,616,3024429,6,75,8,98,-0.228,5.056,5.106,4.410,0.041,0.053,-0.032,0.031,0.071,0.036,,0,0,0
2020-02-07,KWT,203,21,2,18,13688,149,108677,7,62,4,130,-0.070,5.162,5.146,4.408,-0.024,0.008,-0.042,0.033,0.075,0.011,,0,0,0
2020-02-08,KWT,152,24,2,24,70431,33943,411692,4,50,0,98,-0.115,5.154,5.108,4.271,-0.001,0.023,-0.020,0.016,0.070,0.325,,0,0,0
2020-02-09,KWT,143,10,2,17,18040,242,172335,9,45,5,84,-0.182,5.402,5.225,4.291,-0.031,-0.049,-0.038,0.023,0.075,0.013,,0,0,0
2020-02-10,KWT,127,12,1,21,9381,1723,54847,3,29,7,88,-0.071,5.051,5.130,4.276,,0.052,-0.049,-0.056,0.083,0.155,,0,0,0
2020-02-11,KWT,130,13,4,18,25552,666,95125,5,38,9,78,0.009,5.297,5.309,4.231,-0.110,-0.011,-0.020,0.018,0.063,0.025,,0,0,0
2020-02-12,KWT,131,14,3,10,19927,229,7992,4,48,13,66,-0.182,5.182,5.198,4.366,-0.041,-0.049,-0.052,0.033,0.079,0.011,,0,0,0
2020-02-13,KWT,127,7,5,8,9846,31861,161856,6,45,5,71,-0.213,5.397,5.348,4.336,-0.041,-0.049,-0.056,-0.046,0.073,0.764,,0,0,0
2020-02-14,KWT,121,5,3,10,22246,1060,449993,11,45,5,60,-0.234,5.071,5.180,4.395,-0.036,-0.051,-0.053,-0.039,0.083,0.045,,0,0,0
2020-02-15,KWT,157,11,1,18,9925,9,1893043,11,43,5,98,-0.138,5.189,5.171,4.345,-0.013,,-0.041,0.023,0.076,0.001,,0,0,0
2020-02-16,KWT,138,31,1,14,44382,364,870583,10,47,2,79,-0.159,5.434,5.342,4.348,-0.038,-0.023,-0.044,0.033,0.074,0.008,,0,0,0
2020-02-17,KWT,141,2,1,11,726,74,114979,12,38,4,87,-0.074,5.250,5.159,4.353,0.016,-0.049,-0.042,0.015,0.077,0.092,,0,0,0
2020-02-18,KWT,114,3,1,22,3106,5006,100771,7,35,1,71,-0.200,5.078,5.109,4.484,,,-0.020,0.033,0.073,0.617,,0,0,0
2020-02-19,KWT,117,1,4,28,393,3218,819366,8,55,0,54,-0.184,5.365,5.260,4.382,,,0.010,0.030,0.048,0.891,,0,0,0
2020-02-20,KWT,116,4,0,18,14824,0,507443,9,38,10,59,-0.037,5.143,5.072,4.178,-0.044,-0.052,-0.040,0.011,0.070,0.000,,0,0,0
2020-02-21,KWT,247,10,1,28,223187,116,622014,10,85,10,142,-0.125,5.389,5.385,4.289,-0.030,-0.019,-0.052,-0.025,0.074,0.001,,0,0,0
2020-02-22,KWT,354,21,7,30,230687,17238,134705,9,117,12,216,-0.182,5.202,5.235,4.309,,,-0.051,0.033,0.075,0.070,,0,0,0
2020-02-23,KWT,284,22,10,31,121447,4427,433824,6,107,7,164,-0.030,5.280,5.190,4.292,,,-0.041,0.033,0.074,0.035,,0,0,0
2020-02-24,KWT,2170,47,6,140,247716,23481,1158101,37,684,14,1435,-0.050,5.381,5.270,4.137,-0.011,0.056,-0.037,0.017,0.074,0.087,,1,0,0
2020-02-25,KWT,1221,52,17,114,136525,22164,1293779,32,389,15,785,0.021,5.404,5.351,4.214,-0.048,-0.049,-0.040,0.009,0.075,0.140,,11,0,0
2020-02-26,KWT,1551,52,7,154,261067,11770,2353300,45,507,17,982,-0.005,5.451,5.369,4.184,-0.013,-0.012,-0.037,0.009,0.074,0.043,,26,0,0
2020-02-27,KWT,1020,49,14,110,89688,32353,631362,43,359,11,607,0.046,5.480,5.392,4.204,-0.019,-0.049,-0.047,0.000,0.078,0.265,,43,0,0
2020-02-28,KWT,834,42,22,90,95585,75884,1003234,33,282,10,509,0.082,5.445,5.408,4.180,-0.027,-0.028,-0.046,0.008,0.078,0.443,,45,0,0
2020-02-29,KWT,1095,49,13,91,105485,5067,889024,58,402,2,633,0.016,5.301,5.313,4.292,-0.041,-0.043,-0.044,-0.004,0.073,0.046,,45,0,0
2020-03-01,KWT,863,43,8,100,137810,4718,819515,55,256,13,539,-0.053,5.316,5.260,4.261,-0.041,-0.049,-0.023,-0.014,0.064,0.033,,45,0,0
2020-03-02,KWT,966,32,6,111,167669,4119,695940,36,309,33,588,-0.069,5.332,5.242,4.284,-0.024,0.007,-0.025,-0.008,0.065,0.024,,56,0,0
2020-03-03,KWT,908,44,14,90,377097,24600,601856,40,306,13,549,-0.068,5.330,5.287,4.292,-0.051,-0.043,-0.045,-0.017,0.072,0.061,,56,0,0
2020-03-04,KWT,907,33,9,111,135252,44060,1019577,66,294,10,537,-0.036,5.416,5.376,4.228,-0.065,-0.048,-0.052,-0.026,0.079,0.246,,56,0,0
2020-03-05,KWT,1042,53,32,98,235146,86886,1013567,67,307,6,662,-0.007,5.469,5.418,4.284,-0.036,0.002,-0.048,-0.022,0.069,0.270,,58,0,0
2020-03-06,KWT,1007,49,10,152,328457,8984,1118890,41,366,11,589,-0.120,5.152,5.145,4.390,-0.034,-0.020,-0.049,0.007,0.071,0.027,,58,0,0
2020-03-07,KWT,1358,61,16,86,99334,8285,817313,49,454,4,851,-0.204,5.077,5.139,4.396,-0.057,-0.016,-0.050,0.001,0.075,0.077,,61,0,0
2020-03-08,KWT,1213,35,3,78,97310,1268,3087024,66,426,13,708,-0.065,5.270,5.253,4.369,-0.030,-0.036,-0.049,-0.004,0.069,0.013,,64,1,0
2020-03-09,KWT,981,33,13,109,87044,175885,1487034,41,374,13,553,-0.012,5.517,5.383,4.321,-0.004,-0.015,-0.045,-0.002,0.076,0.669,,64,1,0
2020-03-10,KWT,1019,37,3,76,307116,718,1610152,44,344,8,623,0.122,5.447,5.382,4.247,-0.015,-0.003,-0.046,-0.038,0.077,0.002,,69,1,0
2020-03-11,KWT,913,47,9,107,334079,30380,1180754,40,308,6,559,0.076,5.479,5.425,4.266,-0.026,-0.009,-0.039,0.012,0.071,0.083,,72,2,0
2020-03-12,KWT,829,41,7,72,244021,6827,1071796,28,305,2,494,0.027,5.469,5.420,4.299,-0.027,-0.010,-0.042,-0.010,0.071,0.027,,80,5,0
2020-03-13,KWT,912,45,11,74,177188,38063,278473,15,340,1,556,0.044,5.484,5.477,4.270,-0.027,-0.006,-0.045,0.000,0.074,0.177,,80,5,0
2020-03-14,KWT,872,37,6,45,96744,4878,190146,14,309,3,546,0.145,5.617,5.540,4.194,-0.006,-0.027,-0.034,0.001,0.073,0.048,,104,5,0
2020-03-15,KWT,811,26,5,60,64632,5404,676065,26,294,14,477,0.087,5.538,5.457,4.286,0.006,-0.034,-0.046,-0.014,0.072,0.077,,112,5,0
2020-03-16,KWT,799,32,3,69,55956,1496,212343,15,301,7,476,0.066,5.530,5.483,4.227,-0.002,-0.017,-0.046,0.006,0.073,0.026,,123,9,0
2020-03-17,KWT,803,36,4,64,227631,2148,608552,20,268,2,513,0.034,5.505,5.439,4.258,-0.097,-0.082,-0.046,-0.001,0.077,0.009,,130,9,0
2020-03-18,KWT,737,25,7,54,545898,5527,800036,20,255,6,456,0.130,5.459,5.408,4.262,-0.047,-0.027,-0.039,0.002,0.074,0.010,,142,15,0
2020-03-19,KWT,743,21,5,59,246152,3419,170753,27,241,0,475,0.053,5.455,5.372,4.352,-0.055,-0.037,-0.045,0.002,0.078,0.014,,148,18,0
2020-03-20,KWT,735,31,13,63,606419,35181,541203,16,234,12,473,0.083,5.544,5.469,4.264,-0.046,-0.045,-0.043,-0.015,0.075,0.055,,159,18,0
2020-03-21,KWT,1068,23,8,66,63417,5369,379816,19,359,4,686,0.061,5.545,5.465,4.241,-0.040,-0.028,-0.042,-0.004,0.071,0.078,,176,27,0
2020-03-22,KWT,1057,17,8,90,148472,4522,1087040,28,371,15,643,0.091,5.525,5.449,4.280,-0.007,-0.036,-0.043,0.008,0.070,0.030,,188,27,0
