datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,12,0,0,2,0,0,778,0,0,8,0,4,0.26404,5.14533,4.4292,5.46127,,,,,,0,0,0,
2020-01-23,30,6,0,8,7910,0,7986,0,0,18,0,12,0.00802,5.6175,4.8675,6.1575,,,,,,0,0,0,
2020-01-24,78,8,0,4,11717,0,4650,0,0,29,0,49,0.14347,5.55677,4.41667,5.96158,,,,,,0,0,0,
2020-01-25,137,10,0,14,5569,0,14904,0,0,36,0,101,-0.04906,5.49906,4.21281,5.67074,,,,,,0,0,0,
2020-01-26,97,3,3,10,3044,1629,9686,0.3486,0,55,0,42,-0.06126,5.26005,4.21428,5.3519,,,,,,0,0,0,
2020-01-27,61,5,2,10,2789,1729,9016,0.38269,0,19,0,42,0.12359,5.20572,4.19911,5.29142,,,,,,0,0,0,
2020-01-28,83,10,4,11,17402,5762,15716,0.24875,0,38,0,45,-0.08699,5.35915,4.2955,5.28747,,,,,,0,0,0,
2020-01-29,48,5,1,4,2895,66,2640,0.02229,1,17,0,30,0.21231,5.16721,4.36152,5.37011,,,,,,0,0,0,
2020-01-30,86,5,3,10,4023,26440,9605,0.86794,0,41,0,45,-0.02383,5.23654,4.24456,5.26612,,,,,,0,0,0,
2020-01-31,72,3,1,1,1960,248,536,0.11232,0,28,0,44,0.07356,5.24118,4.2787,5.25939,,,,,,0,0,0,
2020-02-01,58,4,1,10,3459,1470,8063,0.29823,0,13,0,45,0.05268,5.28411,4.50212,5.29783,,,,,,0,0,0,
2020-02-02,54,1,1,8,77,341,26642,0.81579,0,15,0,39,0.09218,5.24567,4.52956,5.80111,,,,,,0,0,0,
2020-02-03,37,2,0,9,2936,0,40196,0,0,11,0,26,0.20195,5.47619,4.41482,5.90887,,,,,,0,0,0,
2020-02-04,46,2,3,5,1622,3020,6077,0.65058,2,21,0,23,0.07512,5.51753,4.3384,5.69071,,,,,,0,0,0,
2020-02-05,26,0,0,4,0,0,4362,0,1,18,0,7,0.21319,5.35797,4.40724,5.7138,,,,,,0,0,0,
2020-02-06,33,2,1,1,1721,8425,341,0.83038,0,25,1,7,-0.09673,5.20079,4.40444,5.08648,,,,,,0,0,0,
2020-02-07,17,2,1,3,570,1071,2558,0.65265,1,5,0,11,0.1633,5.73523,4.09163,5.76465,,,,,,0,0,0,
2020-02-08,32,2,0,4,2793,0,5872,0,0,14,1,17,0.00391,5.41444,4.46689,5.58859,,,,,,0,0,0,
2020-02-09,29,4,1,7,5881,1075,7385,0.15454,0,9,0,20,0.18672,4.9315,4.217,5.05142,,,,,,0,0,0,
2020-02-10,38,0,1,9,0,1075,3958,1.0,0,12,0,26,-0.05887,5.23706,4.40962,5.29142,,,,,,0,0,0,
2020-02-11,23,1,0,2,119,0,3442,0,1,12,0,10,-0.13085,5.40625,4.23275,5.46008,,,,,,0,0,0,
2020-02-12,9,0,0,2,0,0,8614,0,0,2,1,6,0.0503,5.16167,5.02222,5.28,,,,,,0,0,0,
2020-02-13,19,0,1,3,0,182,4955,1.0,0,7,0,12,-0.36866,5.81071,4.18214,5.80286,,,,,,0,0,0,
2020-02-14,18,1,0,3,1471,0,3269,0,0,11,0,7,-0.059,5.93367,4.563,5.78867,,,,,,0,0,0,
2020-02-15,18,1,0,0,1473,0,0,0,0,8,0,10,-0.07603,5.43284,4.27666,5.87534,,,,,,0,0,0,
2020-02-16,31,5,0,7,3803,0,8952,0,0,14,0,17,-0.29601,4.979,4.69888,5.06725,,,,,,0,0,0,
2020-02-17,30,4,4,3,3532,1989,8988,0.36026,0,18,1,11,0.06372,6.3375,4.6975,6.7725,,,,,,0,0,0,
2020-02-18,24,0,0,1,0,0,1472,0,0,5,0,19,-0.09073,5.42174,4.18179,5.43705,,,,,,0,0,0,
2020-02-19,22,1,0,3,246,0,10327,0,0,11,1,10,-0.0215,5.54793,4.14611,5.6684,,,,,,0,0,0,
2020-02-20,25,1,0,5,314,0,4987,0,2,11,0,12,0.16549,5.01989,4.52881,5.01431,,,,,,0,0,0,
