datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,LBR,en,79,5,1,73,50,12,2,7,3,4,0,12,0,0,2,0,0,10,1,5,15988,6748,12287,15085,6172,2825,0,27,0,52,0.108,5.271,5.324,4.118,0.000,,-0.047,0.011,0.081,0.297,0.290,,,,,
2020-01-23,LBR,en,179,17,1,161,84,33,5,14,3,11,1,32,0,1,4,0,0,16,4,12,69382,5298,39174,61958,4468,38077,0,59,0,120,-0.070,5.602,5.384,4.452,,,-0.049,-0.006,0.081,0.071,0.067,,,,,
2020-01-24,LBR,en,494,41,3,450,197,62,13,29,13,16,1,61,0,1,8,3,1,19,13,20,48278,29251,34203,39166,29251,27342,0,201,0,293,0.163,5.883,5.590,4.361,-0.066,-0.001,-0.029,-0.015,0.076,0.377,0.428,,,,,
2020-01-25,LBR,en,804,47,4,753,293,35,4,24,4,19,1,34,0,0,2,2,0,19,3,11,70779,1217,20447,59708,647,16953,0,323,0,481,-0.047,5.396,5.250,4.316,-0.028,-0.014,-0.028,-0.013,0.062,0.017,0.011,,,,,
2020-01-26,LBR,en,474,57,6,411,313,26,11,40,5,30,1,25,1,1,6,3,0,17,9,28,16404,21413,27773,14543,20671,20888,0,207,0,267,-0.095,5.400,5.291,4.280,-0.060,-0.059,-0.040,0.003,0.065,0.566,0.587,,,,,
2020-01-27,LBR,en,380,52,9,319,233,29,11,34,12,18,0,29,0,0,9,2,0,24,9,18,32836,27541,37970,26034,26373,24639,0,175,0,205,-0.265,5.179,5.200,4.378,-0.054,-0.050,-0.025,0.023,0.051,0.456,0.503,,,,,
2020-01-28,LBR,en,342,60,13,269,213,18,14,38,16,19,2,16,0,1,9,2,2,17,12,25,37529,22066,39132,33410,21234,32823,0,160,0,182,-0.050,5.300,5.355,4.162,-0.043,-0.046,-0.011,0.012,0.045,0.370,0.389,,,,,
2020-01-29,LBR,en,448,53,12,383,259,12,7,24,4,17,0,12,1,0,3,3,0,5,4,14,12145,14341,78894,10197,13543,65599,0,217,0,231,-0.075,5.327,5.246,4.350,-0.048,-0.025,-0.044,-0.011,0.072,0.541,0.570,,,,,
2020-01-30,LBR,en,690,106,12,572,445,31,18,53,11,17,0,31,0,6,12,0,0,11,12,31,33418,19339,39749,17164,17211,24282,0,285,0,405,-0.049,5.250,5.280,4.261,-0.061,-0.050,-0.042,0.009,0.068,0.367,0.501,,,,,
2020-01-31,LBR,en,697,85,19,593,481,19,42,27,11,11,0,19,0,35,4,2,1,14,40,22,23125,31846,30478,22023,30984,24086,0,337,0,360,-0.093,5.171,5.218,4.318,-0.052,-0.043,-0.037,-0.001,0.063,0.579,0.585,,,,,
2020-02-01,LBR,en,288,40,6,242,207,7,10,21,10,10,0,7,0,6,3,1,0,7,8,15,26587,6181,7533,26587,1251,5441,0,122,0,166,-0.226,5.099,5.179,4.317,-0.054,-0.044,-0.048,-0.030,0.076,0.189,0.045,,,,,
2020-02-02,LBR,en,314,39,5,270,160,12,10,14,4,6,0,12,0,5,5,0,0,9,8,9,53943,7266,20362,52811,2270,9800,0,115,0,199,-0.161,5.218,5.240,4.354,-0.041,0.004,-0.044,0.005,0.070,0.119,0.041,,,,,
2020-02-03,LBR,en,178,28,9,141,115,9,1,12,2,9,0,9,0,0,0,1,0,8,1,7,17625,4510,16023,16890,4510,9775,0,67,0,111,-0.134,5.231,5.226,4.277,-0.001,-0.019,-0.052,-0.008,0.080,0.204,0.211,,,,,
2020-02-04,LBR,en,226,33,12,181,161,14,2,17,9,8,0,14,0,0,0,2,0,13,2,13,28278,9017,28023,28261,9017,21433,0,117,0,109,-0.176,5.102,5.071,4.338,-0.033,-0.055,-0.045,-0.002,0.072,0.242,0.242,,,,,
2020-02-05,LBR,en,209,30,4,175,133,16,6,13,2,8,0,16,0,1,2,2,1,12,4,8,50815,14668,11775,47501,5086,660,0,110,0,99,-0.137,5.247,5.224,4.285,-0.001,-0.001,-0.037,0.021,0.067,0.224,0.097,,,,,
2020-02-06,LBR,en,284,38,7,239,170,10,3,16,1,12,0,10,0,0,2,1,0,7,2,5,22702,908,23928,20908,869,7809,0,136,0,148,-0.206,5.123,5.100,4.332,-0.043,-0.050,-0.039,-0.002,0.072,0.038,0.040,,,,,
2020-02-07,LBR,en,290,47,7,236,190,33,3,25,5,13,0,33,0,0,1,2,0,30,3,17,36188,6672,28385,34759,6672,25653,0,142,1,147,-0.124,5.244,5.188,4.297,-0.031,-0.034,-0.047,0.033,0.078,0.156,0.161,,,,,
2020-02-08,LBR,en,238,19,13,206,170,33,4,25,12,11,0,33,0,0,1,2,1,30,4,19,32924,13710,28178,31802,13710,20720,0,135,0,103,-0.103,5.108,5.118,4.371,-0.042,-0.047,-0.044,-0.005,0.073,0.294,0.301,,,,,
2020-02-09,LBR,en,226,23,8,195,154,16,7,34,11,19,1,15,0,4,1,1,1,12,6,18,18359,5218,18287,9235,5069,7824,0,141,0,85,-0.124,5.183,5.180,4.305,-0.056,-0.056,-0.037,0.003,0.069,0.221,0.354,,,,,
2020-02-10,LBR,en,197,32,10,155,149,22,3,16,2,11,0,22,0,0,1,2,0,20,3,12,43420,12299,22570,43056,12299,18000,0,129,0,68,-0.061,5.356,5.325,4.257,-0.041,-0.049,-0.053,0.033,0.075,0.221,0.222,,,,,
2020-02-11,LBR,en,169,18,5,146,121,14,4,10,2,7,0,14,0,1,1,2,0,11,4,7,71561,9048,14308,65831,9048,4352,0,67,0,102,-0.071,5.172,5.210,4.303,-0.045,-0.055,-0.042,-0.007,0.074,0.112,0.121,,,,,
2020-02-12,LBR,en,108,19,7,82,68,3,0,11,1,9,0,3,0,0,0,0,0,3,0,4,4543,0,16313,4543,0,13451,0,33,0,75,-0.089,5.247,5.206,4.240,-0.079,-0.073,-0.023,0.010,0.065,0.000,0.000,,,,,
2020-02-13,LBR,en,172,13,6,153,131,12,5,19,13,6,0,12,0,0,5,0,0,10,5,15,18478,9378,35587,13411,9378,29566,0,52,0,120,-0.170,5.356,5.307,4.366,-0.036,-0.051,-0.040,-0.012,0.068,0.337,0.412,,,,,
2020-02-14,LBR,en,193,24,8,161,133,22,9,15,7,5,0,22,0,4,1,2,2,19,8,11,28212,12915,47101,26767,12074,41108,0,67,0,126,-0.105,5.300,5.238,4.366,-0.042,-0.032,-0.044,-0.011,0.074,0.314,0.311,,,,,
2020-02-15,LBR,en,216,7,13,196,87,16,1,9,5,4,0,16,0,0,0,1,0,14,1,4,43118,4502,24602,42884,4502,9118,0,59,0,157,-0.074,5.280,5.227,4.340,-0.040,,-0.054,-0.009,0.072,0.095,0.095,,,,,
2020-02-16,LBR,en,256,16,7,233,106,54,0,8,1,6,0,54,0,0,0,0,0,42,0,6,45398,0,11946,43685,0,11576,0,55,0,201,-0.044,5.245,5.146,4.280,,,-0.051,0.033,0.074,0.000,0.000,,,,,
2020-02-17,LBR,en,229,18,6,205,95,17,22,8,4,4,0,17,0,20,2,0,0,9,21,7,12105,11234,19217,11129,9374,19185,0,54,0,175,-0.098,5.324,5.311,4.403,-0.064,-0.053,-0.033,-0.012,0.074,0.481,0.457,,,,,
