datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,57,11,8,13,14150,53917,418390,0.79212,2,31,0,24,-0.13474,5.06571,4.17787,5.03943,,,,,,0,0,0,
2020-01-23,61,18,14,4,27750,51494,2118,0.64982,0,31,0,30,-0.07912,5.20837,4.35845,5.45581,,,,,,0,0,0,
2020-01-24,165,33,23,15,157254,47793,29375,0.23308,0,98,0,67,0.05442,5.25821,4.37759,5.34474,,,,,,0,0,0,
2020-01-25,207,21,4,17,19208,3028,46733,0.13618,0,69,0,138,-0.08149,5.28947,4.34138,5.38338,,,,,,0,0,0,
2020-01-26,167,18,6,20,27806,16212,73806,0.3683,1,47,0,119,-0.0708,5.25481,4.26763,5.30128,,,,,,0,0,0,
2020-01-27,142,25,16,16,77116,54897,116622,0.41585,1,78,0,63,-0.27195,5.16405,4.32201,5.25138,,,,,,0,0,0,
2020-01-28,144,20,11,15,64770,80138,96727,0.55303,3,44,0,97,-0.21397,5.17674,4.38368,5.27748,,,,,,0,0,0,
2020-01-29,142,15,4,7,67695,24435,72360,0.26522,2,66,0,74,-0.0939,5.2352,4.42117,5.38295,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-30,209,19,6,14,45814,22285,877571,0.32724,5,105,0,99,-0.05858,5.16961,4.28301,5.2709,,,,,,0,0,0,
2020-01-31,230,17,6,20,117900,48091,118131,0.28972,1,91,0,138,-0.01126,5.14477,4.32599,5.18332,-0.06893,-0.07372,-0.05934,0.08347,-0.08734,0,0,0,
2020-02-01,120,11,12,5,11987,47527,51694,0.79859,1,56,0,63,-0.01044,5.34452,4.35771,5.27963,0.03327,-0.04022,0.06839,-0.04734,0.04879,0,0,0,
2020-02-02,154,25,5,5,1478253,39556,98594,0.02606,3,92,0,59,-0.11211,5.22085,4.36486,5.28794,,,,,,0,0,0,
2020-02-03,132,13,9,18,10807,26896,509386,0.71336,4,64,0,64,-0.21093,5.21537,4.39854,5.23954,,,,,,0,0,0,
2020-02-04,70,8,0,10,113087,0,150665,0,3,36,0,31,-0.1185,5.09314,4.45135,5.00082,,,,,,0,0,0,
2020-02-05,71,13,0,6,11040,0,64096,0,1,32,0,38,-0.04365,5.32912,4.20593,5.42347,,,,,,0,0,0,
2020-02-06,81,7,1,7,10536,1476,71487,0.12288,1,30,0,50,-0.15625,5.2648,4.43853,5.33177,,,,,,0,0,0,
2020-02-07,120,28,2,8,36666,2967,781358,0.07486,3,60,0,57,-0.23105,5.19364,4.41624,5.13066,-0.05085,-0.05317,-0.05934,0.08464,-0.04995,0,0,0,
2020-02-08,78,27,2,7,32987,21990,34726,0.39999,0,40,1,37,0.02286,5.18945,4.39246,5.18011,,,,,,0,0,0,
2020-02-09,69,13,5,15,14914,21761,471788,0.59335,4,41,0,24,-0.24273,5.14383,4.34317,5.032,,,,,,0,0,0,
2020-02-10,119,29,3,20,41029,20613,805818,0.3344,3,64,0,52,-0.19377,5.30801,4.28844,5.31033,,,,,,0,0,0,
2020-02-11,93,21,4,4,35715,3511,7709,0.08951,0,53,0,40,-0.18819,4.98906,4.37736,4.86742,,,,,,0,0,0,
2020-02-12,118,23,5,8,67387,7085,394305,0.09514,0,66,1,51,-0.13663,5.14152,4.36674,5.08764,,,,,,0,0,0,
2020-02-13,80,15,2,2,17366,2923,2983,0.14407,0,50,1,29,0.07657,5.23448,4.31809,5.3048,,,,,,0,0,0,
2020-02-14,87,25,1,7,34481,1494,44510,0.04153,0,51,0,36,-0.24462,5.12074,4.50237,5.04563,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-15,67,15,3,4,20345,14084,3074,0.40907,0,25,0,42,-0.12819,5.30611,4.27637,5.5253,,,,,,0,0,0,
2020-02-16,64,16,3,7,28600,23957,458274,0.45583,1,32,1,30,-0.00239,5.2423,4.38796,5.209,,,,,,0,0,0,
2020-02-17,62,11,1,10,14227,248,59845,0.01713,1,26,0,35,0.14936,5.3955,4.30417,5.4612,,,,,,0,0,0,
2020-02-18,69,17,1,12,139876,11317,43888,0.07485,0,36,0,33,-0.30094,5.23666,4.39602,5.30997,,,,,,0,0,0,
2020-02-19,67,4,4,8,5959,13873,6375,0.69953,0,29,0,38,-0.00198,5.24105,4.30537,5.17703,,,,,,0,0,0,
2020-02-20,49,7,3,5,9069,2982,415190,0.24745,1,19,0,29,-0.16289,5.21473,4.37247,5.31573,,,,,,0,0,0,
2020-02-21,126,21,2,16,35812,37392,90450,0.51079,3,45,1,77,-0.10896,5.38146,4.26955,5.4704,,,,,,0,0,0,
2020-02-22,103,19,4,7,25250,12908,414455,0.33828,1,32,0,70,-0.06121,5.25924,4.25006,5.30625,0.03327,-0.04022,0.06839,-0.04401,0.04879,0,0,0,
2020-02-23,142,17,6,12,71074,16185,56397,0.18548,1,58,0,83,-0.02966,5.30682,4.37968,5.36029,,,,,,0,0,0,
2020-02-24,219,22,3,28,83267,12679,1083934,0.13215,7,110,0,102,-0.14618,5.42257,4.3007,5.56302,,,,,,0,0,0,
2020-02-25,244,26,11,19,65263,86246,618763,0.56925,4,76,0,164,-0.04473,5.43156,4.20153,5.39711,,,,,,0,0,0,
2020-02-26,300,30,8,51,56441,23204,549227,0.29134,1,146,0,153,-0.05646,5.33983,4.33851,5.39454,,,,,,0,0,0,
2020-02-27,245,21,7,18,46579,81183,25272,0.63542,0,132,0,113,-0.11879,5.19453,4.30646,5.17285,,,,,,0,0,0,
2020-02-28,210,24,14,15,90740,44261,64450,0.32786,0,124,1,85,-0.02474,5.40982,4.34296,5.38306,-0.03586,-0.04398,-0.0445,0.06613,-0.03374,0,0,0,
2020-02-29,263,21,9,21,21150,27490,25969,0.56517,1,112,0,150,-0.11698,5.34667,4.31745,5.43541,-0.0493,-0.04981,-0.05934,0.06029,-0.05171,0,0,0,
2020-03-01,247,25,5,24,25359,23252,95688,0.47833,1,76,0,170,-0.02506,5.42046,4.25884,5.49546,,,,,,0,0,0,
2020-03-02,290,21,8,38,23667,84318,100348,0.78083,1,120,1,168,-0.08217,5.29196,4.26415,5.32544,,,,,,0,0,0,
2020-03-03,330,45,7,24,99754,60879,97848,0.37899,1,178,0,151,-0.06031,5.40527,4.28527,5.39878,-0.05065,-0.04279,-0.05861,0.07843,-0.07502,0,0,0,
2020-03-04,224,6,5,19,12808,32035,415932,0.71438,2,91,1,130,-0.02823,5.35271,4.22806,5.47343,,,,,,0,0,0,
2020-03-05,229,10,7,12,120397,63560,57616,0.34552,1,89,2,137,-0.03822,5.36049,4.23208,5.50439,0.03327,-0.04022,0.03277,-0.00316,0.04879,0,0,0,
2020-03-06,200,14,5,26,30656,12722,28345,0.29328,0,80,0,120,-0.17571,5.04768,4.45306,5.01147,-0.0525,-0.05085,-0.05934,0.08078,-0.06156,0,0,0,
2020-03-07,231,6,4,23,3624,32557,61586,0.89984,0,112,2,117,-0.19146,5.11335,4.48608,4.94658,0.03326,-0.04022,0.0623,-0.03795,0.04879,0,0,0,
2020-03-08,282,21,8,20,57821,55497,163006,0.48975,3,108,0,171,-0.05213,5.34557,4.27577,5.3551,0.03327,-0.04022,0.05242,-0.03163,0.04332,0,0,0,
2020-03-09,356,50,10,33,112371,70236,141046,0.38463,2,113,0,241,-0.05751,5.35844,4.30092,5.39405,0.01594,-0.01797,0.06839,-0.04401,0.04879,0,0,0,
2020-03-10,291,23,2,20,46554,19145,17461,0.2914,3,150,0,138,0.01584,5.28843,4.25118,5.27681,,,,,,0,0,0,
2020-03-11,269,26,4,15,30880,4127,11470,0.11789,1,105,0,163,0.04907,5.42096,4.26223,5.44889,,,,,,0,0,0,
2020-03-12,295,17,7,25,111632,30372,39661,0.21388,1,106,0,188,0.0135,5.42526,4.27767,5.46502,,,,,,0,0,0,
2020-03-13,304,18,9,30,44141,34187,54675,0.43646,5,93,0,206,0.12898,5.49373,4.17812,5.65571,,,,,,0,0,0,
2020-03-14,354,12,3,13,24802,16092,77290,0.39351,3,118,0,233,0.07391,5.48913,4.22739,5.5014,-0.04609,-0.04714,-0.05739,0.07918,-0.04186,0,0,0,
2020-03-15,344,18,4,25,14541,43390,596235,0.74899,4,138,1,201,0.03484,5.46163,4.30133,5.51289,,,,,,0,0,0,
2020-03-16,347,17,8,22,18224,75834,479544,0.80625,6,147,1,193,0.15234,5.4397,4.27176,5.49029,,,,,,0,0,0,
2020-03-17,311,12,6,24,48686,58633,867760,0.54634,4,137,0,170,0.01674,5.43439,4.21222,5.4977,,,,,,0,0,0,
2020-03-18,330,13,4,34,20966,35688,538328,0.62993,7,137,2,184,0.02127,5.3829,4.24799,5.49233,-0.06928,-0.07712,-0.05934,0.08347,-0.09664,0,0,0,
2020-03-19,362,14,2,27,15606,13703,446261,0.46754,4,143,0,215,0.04561,5.40449,4.26846,5.45994,,,,,,0,0,0,
2020-03-20,329,13,14,14,69175,80496,36731,0.53782,3,132,0,194,-0.03762,5.33195,4.31046,5.38981,,,,,,0,0,0,
2020-03-21,377,15,7,19,23054,62944,451850,0.73192,6,154,2,215,0.08393,5.44884,4.24342,5.53335,,,,,,0,0,0,
2020-03-22,513,13,6,31,35861,35901,229574,0.50028,12,204,2,295,0.01271,5.39656,4.20986,5.40131,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,0,0,0,
2020-03-23,436,24,5,40,21264,37850,388204,0.64029,8,158,0,270,0.04506,5.42481,4.26974,5.48923,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,0,0,0,
2020-03-24,396,15,4,64,35259,13228,705817,0.27282,4,152,0,240,-0.05389,5.43613,4.2728,5.42793,,,,,,1,0,0,
2020-03-25,395,15,5,31,46002,133888,1082510,0.74428,12,148,1,234,0.04368,5.3875,4.34615,5.47102,-0.01812,-0.0529,-0.00967,0.03991,-0.04766,1,0,0,
2020-03-26,321,17,9,21,33115,70420,644680,0.68016,9,111,1,200,-0.09624,5.28425,4.31817,5.23311,,,,,,1,0,0,
2020-03-27,344,20,7,36,21062,27409,373171,0.56547,3,125,3,213,0.00654,5.46957,4.27836,5.54623,-0.04609,-0.04877,-0.05934,0.08042,-0.04186,1,0,0,
2020-03-28,400,21,7,25,18432,66240,85059,0.78231,5,141,4,250,-0.05494,5.3645,4.33628,5.38019,0.03327,-0.04022,0.06839,0.03917,0.04879,3,0,0,
2020-03-29,379,21,4,31,22349,44877,496534,0.66755,7,159,1,212,-0.02961,5.39938,4.21778,5.43591,-0.05714,-0.06947,-0.05934,0.08194,-0.08124,8,0,0,
2020-03-30,290,14,6,17,16206,56604,175429,0.77742,3,134,3,150,0.02071,5.39968,4.22307,5.44254,,,,,,8,0,0,
2020-03-31,341,13,9,27,32101,150119,569392,0.82383,6,116,1,218,-0.03693,5.36121,4.26545,5.43114,,,,,,10,1,0,
2020-04-01,303,17,3,35,59174,15450,540351,0.20704,5,90,1,207,0.0402,5.38387,4.23784,5.42717,0.00626,-0.0673,0.06839,-0.04401,-0.0841,10,0,0,
2020-04-02,310,28,7,33,86772,89890,1783023,0.50882,11,97,0,202,-0.10224,5.2872,4.32202,5.24706,-0.0013,-0.04906,0.06839,-0.04401,-0.06153,11,0,1,
2020-04-03,285,16,14,24,22326,88587,406498,0.79871,3,115,5,162,-0.08316,5.33439,4.27069,5.34106,,,,,,11,0,1,
2020-04-04,335,20,12,31,65949,240430,703410,0.78475,9,151,1,174,-0.01591,5.40621,4.29684,5.41787,0.01611,-0.04942,0.06839,-0.04401,-0.04418,18,0,1,
2020-04-05,305,15,12,14,55064,130533,1054435,0.70331,11,134,0,160,0.01521,5.41279,4.32463,5.51345,,,,,,18,0,1,
2020-04-06,285,20,6,22,158545,3404,659003,0.02102,10,143,5,127,-0.01103,5.41053,4.34609,5.4539,,,,,,19,1,1,
2020-04-07,353,18,16,21,52399,110227,193363,0.67779,13,144,2,194,0.03495,5.40709,4.23719,5.48014,0.03327,0.04739,0.06839,-0.04401,0.03765,20,1,1,
2020-04-08,341,36,10,28,101143,77861,78257,0.43497,9,144,1,187,-0.07739,5.39294,4.28652,5.41286,0.00039,-0.04015,0.03419,0.03212,0.00962,21,8,1,
2020-04-09,289,18,11,34,26061,95142,526155,0.78498,9,106,1,173,-0.02002,5.38095,4.30125,5.48593,,,,,,24,8,1,
2020-04-10,272,18,8,23,58548,56921,22987,0.49295,3,128,3,138,0.0835,5.43911,4.21752,5.58702,-0.05079,-0.04913,-0.05934,0.08347,-0.0492,24,8,1,
