datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,LSO,"en,st",18,5,0,13,16,1,0,3,1,0,3,929,0,19790,929,0,19790,0,10,0,8,0.176,5.318,5.226,4.292,,0.001,-0.047,,0.073,0.000,0.000,,,,,
2020-01-23,LSO,"en,st",26,3,1,22,13,2,2,4,0,2,2,113,441,4481,0,441,1860,0,10,0,16,-0.037,5.321,5.090,4.903,,,-0.059,,0.084,0.796,1.000,,,,,
2020-01-24,LSO,"en,st",33,3,0,30,18,1,2,2,0,2,1,140,120,1229,0,120,185,0,13,0,20,-0.159,5.641,5.379,4.728,,,0.010,0.024,0.018,0.462,1.000,,,,,
2020-01-25,LSO,"en,st",77,9,1,67,35,2,4,6,1,4,3,571,4239,4116,510,4239,2142,0,30,0,47,-0.063,5.574,5.264,4.259,-0.041,-0.049,-0.059,,0.060,0.881,0.893,,,,,
2020-01-26,LSO,"en,st",85,10,1,74,62,2,1,1,1,1,1,1267,89,284,39,89,284,0,28,0,57,0.073,5.499,5.363,4.317,,,-0.054,-0.029,0.061,0.066,0.695,,,,,
2020-01-27,LSO,"en,st",50,3,1,46,28,6,2,2,5,1,1,11084,1891,6148,10700,1434,5418,0,13,0,37,-0.328,5.412,5.317,4.335,,-0.057,0.009,0.033,0.028,0.146,0.118,,,,,
2020-01-28,LSO,"en,st",76,14,2,60,58,5,3,6,3,3,2,1950,1797,4063,1744,1797,1977,0,26,0,50,-0.338,5.128,5.209,4.228,-0.042,-0.050,-0.019,0.018,0.045,0.480,0.507,,,,,
2020-01-29,LSO,"en,st",109,31,0,78,75,3,12,4,1,11,3,507,24122,2805,379,20533,2645,0,36,1,72,0.007,5.319,5.245,4.488,-0.117,-0.093,-0.029,0.028,0.055,0.979,0.982,,,,,
2020-01-30,LSO,"en,st",164,36,0,128,110,3,1,6,2,1,3,232,157,2606,158,157,1494,0,63,1,100,0.047,5.186,5.202,4.311,-0.090,-0.093,-0.030,0.020,0.063,0.404,0.498,,,,,
2020-01-31,LSO,"en,st",108,16,3,89,73,4,0,8,2,0,4,3480,0,5449,3174,0,2851,0,37,0,71,-0.109,5.022,5.086,4.174,-0.041,-0.049,-0.036,0.001,0.062,0.000,0.000,,,,,
2020-02-01,LSO,"en,st",40,13,1,26,30,1,0,4,1,0,2,333,0,2003,333,0,1089,0,17,0,23,-0.014,5.356,5.458,4.296,,,-0.031,0.030,0.054,0.000,0.000,,,,,
2020-02-02,LSO,"en,st",39,6,0,33,23,1,1,2,1,1,1,4290,881,516,4290,881,333,0,12,0,27,-0.071,5.232,5.315,4.316,,,-0.042,0.035,0.076,0.170,0.170,,,,,
2020-02-03,LSO,"en,st",39,14,1,24,30,1,1,3,1,1,2,881,140,363,881,140,64,0,10,0,29,-0.013,5.303,5.349,4.233,,,-0.059,,0.068,0.137,0.137,,,,,
2020-02-04,LSO,"en,st",32,11,1,20,20,0,0,1,0,0,1,0,0,674,0,0,674,0,11,0,21,-0.179,5.555,5.404,4.108,,,-0.059,,0.074,,,,,,,
2020-02-05,LSO,"en,st",26,9,0,17,19,2,0,2,1,0,2,166,0,509,26,0,509,0,4,0,22,0.157,5.647,5.490,4.137,,,-0.059,,0.082,0.000,0.000,,,,,
2020-02-06,LSO,"en,st",27,6,1,20,17,1,1,1,0,1,1,140,880,648,0,880,648,0,5,0,22,-0.044,5.574,5.336,3.896,,,-0.012,0.033,0.068,0.863,1.000,,,,,
2020-02-07,LSO,"en,st",59,18,2,39,41,16,1,7,16,1,3,42087,880,10770,42087,880,4509,0,20,0,39,-0.030,5.310,5.370,4.426,-0.041,-0.049,-0.050,,0.063,0.020,0.020,,,,,
2020-02-08,LSO,"en,st",36,9,2,25,26,6,0,11,6,0,10,9480,0,16076,9480,0,16009,0,13,0,23,0.081,4.936,5.255,4.098,-0.041,-0.049,-0.010,0.033,0.046,0.000,0.000,,,,,
2020-02-09,LSO,"en,st",31,7,1,23,19,1,0,10,1,0,5,1848,0,10168,1848,0,8847,0,5,0,26,0.081,5.179,5.324,4.154,,,-0.059,,0.068,0.000,0.000,,,,,
2020-02-10,LSO,"en,st",21,6,0,15,13,1,0,5,1,0,3,4,0,2046,4,0,1095,0,5,0,16,0.097,5.324,5.369,4.285,-0.047,-0.055,-0.059,-0.055,0.072,0.000,0.000,,,,,
2020-02-11,LSO,"en,st",19,6,1,12,12,1,0,3,0,0,1,2664,0,3098,0,0,2733,0,9,0,10,-0.077,5.021,5.042,4.433,-0.040,,-0.032,0.033,0.067,0.000,,,,,,
2020-02-12,LSO,"en,st",21,4,1,16,17,0,1,3,0,1,2,0,3609,6829,0,3609,5730,0,7,0,14,0.057,5.293,5.059,4.721,,,,,0.095,1.000,1.000,,,,,
2020-02-13,LSO,"en,st",22,3,2,17,18,3,1,1,2,1,0,18238,733,53,18098,733,0,0,6,0,16,-0.117,5.597,5.295,4.461,,,-0.059,,0.055,0.039,0.039,,,,,
2020-02-14,LSO,"en,st",22,5,0,17,17,2,0,1,2,0,1,709,0,35,709,0,35,0,9,0,13,-0.772,5.284,5.584,4.662,,,-0.053,-0.011,0.064,0.000,0.000,,,,,
2020-02-15,LSO,"en,st",44,5,3,36,23,1,0,2,0,0,1,140,0,1573,0,0,22,0,24,0,20,-0.101,4.947,5.243,4.315,,,-0.059,,0.071,0.000,,,,,,
2020-02-16,LSO,"en,st",58,8,0,50,39,27,0,0,25,0,0,85484,0,0,85294,0,0,0,26,0,32,0.012,5.567,5.297,4.207,,,-0.037,,0.078,0.000,0.000,,,,,
2020-02-17,LSO,"en,st",33,9,1,23,19,0,0,1,0,0,1,0,0,43,0,0,43,0,9,0,24,-0.096,5.183,5.160,4.620,,,-0.042,-0.051,0.088,,,,,,,
2020-02-18,LSO,"en,st",28,7,0,21,16,0,0,12,0,0,9,0,0,10769,0,0,7982,0,9,0,19,-0.048,5.292,5.380,4.313,,,-0.059,,0.067,,,,,,,
