datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,LTU,lt,47,5,1,41,0,3,1,6,2,4,0,3,0,0,1,0,0,0,0,0,11657,698,1278,0,0,0,0,18,0,29,0.0850,5.1400,5.2030,4.2260,,,-0.0560,,0.0770,0.0560,,,0,0,0,0
2020-01-23,LTU,lt,87,10,2,75,0,7,5,10,6,3,0,7,0,0,2,3,0,0,0,0,2420,1527,3401,0,0,0,0,40,0,47,0.0890,5.5580,5.3490,4.4090,-0.0610,,-0.0360,-0.0180,0.0800,0.3870,,,0,0,0,0
2020-01-24,LTU,lt,208,44,3,161,3,15,9,11,5,5,2,13,0,2,3,1,3,1,0,0,5250,3496,23593,561,0,0,0,95,0,113,0.0200,5.6870,5.4400,4.5280,-0.0620,-0.0160,-0.0130,-0.0320,0.0670,0.4000,0.0000,,0,0,0,0
2020-01-25,LTU,lt,438,84,10,344,3,31,6,44,10,28,3,28,0,2,2,1,1,1,0,0,38962,4567,17722,83,0,0,0,220,0,218,-0.1390,5.5330,5.3280,4.4490,-0.0610,-0.0390,-0.0340,-0.0120,0.0690,0.1050,0.0000,,0,0,0,0
2020-01-26,LTU,lt,377,54,6,317,1,10,12,38,12,25,1,9,0,1,7,2,2,0,1,0,4053,7800,23720,0,212,0,0,168,0,209,-0.2640,5.2290,5.1680,4.3800,-0.0660,-0.0600,-0.0400,-0.0000,0.0660,0.6580,1.0000,,0,0,0,0
2020-01-27,LTU,lt,332,61,7,264,2,25,9,47,8,34,1,24,0,0,5,4,0,1,0,0,19728,3178,196548,86,0,0,0,142,0,190,-0.3660,5.1190,5.2020,4.5240,-0.0460,-0.0520,0.0210,0.0290,0.0260,0.1390,0.0000,,0,0,0,0
2020-01-28,LTU,lt,369,104,13,252,0,19,16,74,12,58,0,19,0,0,10,5,1,0,0,0,12875,12309,35362,0,0,0,0,141,0,228,-0.2520,5.1440,5.3070,4.2330,-0.0490,-0.0470,0.0130,0.0140,0.0620,0.4890,,,0,0,0,0
2020-01-29,LTU,lt,414,109,11,294,3,4,12,25,1,15,0,4,0,0,3,1,8,0,0,0,2318,4306,13221,0,0,0,0,156,0,258,0.0450,5.3170,5.1590,4.4040,-0.0640,-0.0570,-0.0070,0.0110,0.0540,0.6500,,,0,0,0,0
2020-01-30,LTU,lt,666,223,21,422,5,21,7,77,13,51,3,18,0,1,5,1,0,1,0,0,9444,2828,199701,563,0,0,0,249,0,417,0.0890,5.2870,5.2420,4.2830,-0.0610,-0.0610,-0.0290,0.0150,0.0570,0.2300,0.0000,,0,0,0,0
2020-01-31,LTU,lt,382,64,12,306,3,12,7,20,7,12,0,12,0,1,5,1,0,0,0,0,10547,2585,169369,0,0,0,0,141,2,239,-0.2160,5.0430,5.1920,4.3990,-0.0700,-0.0490,-0.0320,0.0030,0.0610,0.1970,,,0,0,0,0
2020-02-01,LTU,lt,168,34,3,131,1,8,8,14,2,11,2,6,0,0,2,3,3,1,0,0,5422,3430,6333,34,0,0,0,63,0,105,-0.1160,5.0510,5.1190,4.2740,-0.0460,-0.0540,-0.0410,0.0000,0.0760,0.3870,0.0000,,0,0,0,0
2020-02-02,LTU,lt,182,41,7,134,1,6,6,21,1,17,0,6,0,0,2,1,3,0,0,0,3356,3113,10001,0,0,0,0,73,0,109,-0.2880,5.0100,5.1200,4.4810,-0.0010,-0.0490,-0.0430,0.0210,0.0720,0.4810,,,0,0,0,0
2020-02-03,LTU,lt,146,62,4,80,0,5,3,28,4,18,0,5,0,0,0,2,1,0,0,0,2070,1068,11153,0,0,0,2,31,0,113,-0.0950,5.1210,5.2890,4.5170,0.0020,,-0.0540,0.0110,0.0740,0.3400,,,0,0,0,0
2020-02-04,LTU,lt,102,15,1,86,0,6,1,5,1,2,0,6,0,0,1,0,0,0,0,0,6022,569,3494,0,0,0,1,36,0,65,-0.0890,5.1580,5.1230,4.4040,-0.0570,-0.0620,-0.0500,-0.0350,0.0650,0.0860,,,0,0,0,0
2020-02-05,LTU,lt,135,63,6,66,1,6,8,18,2,16,0,6,0,0,0,5,3,0,0,0,2492,2856,6235,0,0,0,1,32,0,102,0.0430,5.0390,5.2030,4.4680,-0.0410,0.0370,-0.0500,-0.0090,0.0730,0.5340,,,0,0,0,0
2020-02-06,LTU,lt,100,24,8,68,4,6,5,13,5,7,0,6,0,0,3,2,0,0,0,2,9237,3189,25921,0,0,4240,1,62,0,37,-0.2880,5.0330,5.1570,4.4160,-0.0470,-0.0550,-0.0360,-0.0070,0.0790,0.2570,,,0,0,0,0
2020-02-07,LTU,lt,172,39,7,126,2,61,3,9,4,3,0,61,0,0,1,1,1,0,0,0,61985,2824,5192,0,0,0,0,80,0,92,-0.0890,5.0030,5.1690,4.2930,-0.0760,,-0.0490,0.0170,0.0770,0.0440,,,0,0,0,0
2020-02-08,LTU,lt,218,21,8,189,1,45,0,81,50,30,0,45,0,0,0,0,0,0,0,0,45391,0,95003,0,0,0,0,79,0,139,-0.1240,4.5620,5.1120,4.3290,,,-0.0500,-0.0060,0.0800,0.0000,,,0,0,0,0
2020-02-09,LTU,lt,163,29,10,124,1,19,4,36,20,16,0,19,0,1,1,1,1,0,0,0,18794,1128,56782,0,0,0,0,62,0,101,-0.0540,5.0220,5.2270,4.2810,-0.0710,-0.0670,-0.0500,-0.0510,0.0700,0.0570,,,0,0,0,0
2020-02-10,LTU,lt,122,47,1,74,1,9,4,14,3,11,0,9,0,0,1,0,3,0,0,1,5535,3282,6323,0,0,2,0,33,0,89,-0.0120,5.2430,5.3420,4.2620,,0.0520,-0.0520,,0.0820,0.3720,,,0,0,0,0
2020-02-11,LTU,lt,103,35,2,66,0,7,2,9,0,5,0,7,0,0,1,0,1,0,0,0,4045,718,3774,0,0,0,0,23,0,80,-0.0370,5.1150,5.2190,4.3370,-0.0840,-0.0670,-0.0280,0.0140,0.0750,0.1510,,,0,0,0,0
2020-02-12,LTU,lt,80,26,3,51,2,9,2,14,4,7,0,9,0,0,1,0,1,0,0,0,6974,3261,164253,0,0,0,1,30,1,48,-0.0750,5.1590,5.0640,4.3040,-0.0640,-0.0590,-0.0440,0.0040,0.0770,0.3190,,,0,0,0,0
2020-02-13,LTU,lt,90,28,3,59,1,10,2,7,2,4,0,10,0,0,0,1,1,1,0,0,9004,2238,3143,95,0,0,0,28,0,62,-0.2690,5.2340,5.2420,4.3500,-0.0410,-0.0490,-0.0490,-0.0390,0.0760,0.1990,0.0000,,0,0,0,0
2020-02-14,LTU,lt,98,23,3,72,1,12,2,11,2,6,0,12,0,1,0,0,1,0,0,1,10267,834,4343,0,0,242,0,36,0,62,-0.2920,5.3000,5.3180,4.3770,-0.0410,-0.0490,-0.0440,-0.0380,0.0760,0.0750,,,0,0,0,0
2020-02-15,LTU,lt,105,24,4,77,0,19,1,7,3,4,1,18,0,0,1,0,0,0,0,0,15329,1127,4526,0,0,0,0,46,0,59,-0.1040,4.9570,5.0400,4.4270,-0.0610,-0.0530,-0.0370,-0.0080,0.0800,0.0680,,,0,0,0,0
2020-02-16,LTU,lt,142,13,1,128,0,66,2,9,2,6,0,66,0,2,0,0,0,0,0,0,83210,1704,10921,0,0,0,0,66,0,76,-0.1030,5.2250,5.1150,4.4000,-0.0760,-0.0660,-0.0210,-0.0040,0.0710,0.0200,,,0,0,0,0
2020-02-17,LTU,lt,82,20,4,58,1,9,4,6,1,3,1,8,0,0,3,1,0,0,0,1,13080,4238,6570,0,0,3629,0,30,0,52,-0.0500,5.0820,5.1480,4.2580,-0.0410,-0.0490,-0.0490,,0.0770,0.2450,,,0,0,0,0
2020-02-18,LTU,lt,150,63,4,83,0,4,2,22,7,6,0,4,0,0,0,2,0,0,0,0,2846,740,21329,0,0,0,0,74,0,76,-0.0710,5.2750,5.2000,4.3010,-0.0810,,-0.0220,0.0310,0.0760,0.2060,,,0,0,0,0
2020-02-19,LTU,lt,182,40,2,140,1,9,3,37,12,21,0,9,0,1,0,2,0,0,0,0,3862,1597,16886,0,0,0,0,60,1,121,-0.2640,5.4030,5.3470,4.4030,-0.0690,-0.0490,0.0250,0.0290,0.0670,0.2930,,,0,0,0,0
