datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,MAR,ar,266,46,5,215,0,26,4,53,22,28,0,26,0,0,2,2,0,0,0,0,19,3,0,0,28183,14522,217941,0,0,0,0,127,0,139,-0.0676,5.2824,5.2793,4.2040,-0.0622,-0.0564,-0.0468,-0.0028,0.0729,0.3401,,0.1364,,0.1364,,,,,
2020-01-23,MAR,ar,711,96,13,602,3,49,25,83,23,55,2,47,0,3,15,7,0,0,0,0,34,17,1,1,117241,70575,180851,0,0,0,1,319,3,388,-0.0119,5.6029,5.3559,4.4825,-0.0508,-0.0231,-0.0368,-0.0022,0.0726,0.3758,,0.3333,0.5000,0.3396,,,,,
2020-01-24,MAR,ar,1935,367,42,1526,33,127,34,174,56,109,7,120,0,0,23,10,1,2,2,5,96,26,1,1,261398,56912,611445,3056,2664,5004,6,824,4,1101,0.1721,5.9981,5.6017,4.4905,-0.0428,0.0088,-0.0206,0.0142,0.0699,0.1788,0.4657,0.2131,0.5000,0.2177,,,,,
2020-01-25,MAR,ar,3322,442,51,2829,33,358,35,200,42,148,4,354,0,2,23,6,4,1,1,1,295,24,3,1,1435460,192315,1271213,395,3638,25,3,1306,2,2011,-0.1109,5.5743,5.3664,4.4055,-0.0438,-0.0381,-0.0254,-0.0068,0.0655,0.1181,0.9021,0.0752,0.2500,0.0774,,,,,
2020-01-26,MAR,ar,2270,342,48,1880,11,168,20,236,49,166,1,167,0,3,12,3,2,3,1,3,143,13,0,2,262878,41564,1079924,1638,290,400,3,954,4,1309,-0.1749,5.3603,5.2676,4.3346,-0.0546,-0.0535,-0.0439,-0.0126,0.0666,0.1365,0.1504,0.0833,1.0000,0.0949,,,,,
2020-01-27,MAR,ar,1895,329,39,1527,17,127,19,222,76,130,4,123,0,1,15,3,0,3,0,3,105,16,1,1,262727,29432,3691609,4419,0,275,7,810,6,1072,-0.2817,5.1542,5.2305,4.4337,-0.0602,-0.0564,-0.0085,0.0234,0.0360,0.1007,0.0000,0.1322,0.5000,0.1382,,,,,
2020-01-28,MAR,ar,1684,391,51,1242,14,64,49,195,73,97,9,55,0,0,38,7,4,0,1,1,43,37,2,2,111615,42784,1732329,0,286,61,6,709,8,961,-0.2149,5.2548,5.2847,4.2822,-0.0540,-0.0456,-0.0011,0.0145,0.0375,0.2771,1.0000,0.4625,0.5000,0.4643,,,,,
2020-01-29,MAR,ar,1911,401,48,1462,13,63,27,123,40,78,3,60,0,5,18,2,2,1,0,1,43,18,1,1,115150,29568,1752277,980,0,151,9,793,4,1105,-0.1407,5.2682,5.2401,4.3855,-0.0777,-0.0614,-0.0311,-0.0160,0.0686,0.2043,0.0000,0.2951,0.5000,0.3016,,,,,
2020-01-30,MAR,ar,2065,454,47,1564,28,59,24,189,52,101,4,55,1,6,12,4,1,1,0,5,37,18,0,0,257465,50008,2464662,29393,0,1485,12,868,4,1181,-0.1067,5.1895,5.2175,4.3140,-0.0480,-0.0395,-0.0416,0.0101,0.0693,0.1626,0.0000,0.3273,,0.3273,,,,,
2020-01-31,MAR,ar,1963,453,51,1459,19,57,23,319,170,139,3,54,0,4,16,1,2,1,0,3,30,14,3,0,89809,18716,2124070,251,0,59,5,853,4,1101,-0.2375,5.0563,5.2106,4.3967,-0.0552,-0.0412,-0.0322,-0.0085,0.0638,0.1725,0.0000,0.3182,0.0000,0.2979,,,,,
2020-02-01,MAR,ar,1080,283,43,754,9,33,21,142,77,61,2,31,1,3,6,4,7,0,0,0,16,20,2,0,93711,49028,690392,0,0,0,4,500,0,576,-0.1943,5.0334,5.1593,4.3954,-0.0518,-0.0545,-0.0401,-0.0217,0.0670,0.3435,,0.5556,0.0000,0.5263,,,,,
2020-02-02,MAR,ar,1164,276,51,837,25,45,13,162,59,89,1,44,0,4,8,1,0,0,0,9,25,9,2,0,105150,16383,1908752,0,0,11077,11,483,6,664,-0.1012,5.2791,5.2567,4.3247,-0.0280,-0.0192,-0.0352,0.0142,0.0666,0.1348,,0.2647,0.0000,0.2500,,,,,
2020-02-03,MAR,ar,751,211,24,516,16,44,13,117,37,69,1,43,0,4,9,0,0,0,0,4,24,8,0,0,77268,24775,1291425,0,0,9006,4,345,0,402,-0.1702,5.2267,5.1806,4.3778,-0.0254,-0.0333,-0.0414,0.0052,0.0747,0.2428,,0.2500,,0.2500,,,,,
2020-02-04,MAR,ar,729,218,27,484,10,27,7,97,23,68,0,27,0,0,6,0,1,0,0,1,13,5,0,0,179466,5266,1270790,0,0,6,3,307,3,416,-0.1357,5.1196,5.1037,4.3293,-0.0331,-0.0249,-0.0454,-0.0071,0.0735,0.0285,,0.2778,,0.2778,,,,,
2020-02-05,MAR,ar,630,218,18,394,6,31,5,108,45,55,0,31,0,1,3,1,0,0,0,3,15,3,1,1,87035,866,1542218,0,0,1446,10,276,2,342,-0.1062,5.2209,5.1844,4.3825,-0.0497,-0.0566,-0.0386,-0.0028,0.0676,0.0099,,0.1667,0.5000,0.2000,,,,,
2020-02-06,MAR,ar,641,153,20,468,7,47,12,136,35,95,0,47,0,0,9,2,1,0,1,1,26,9,1,0,145792,123567,514861,0,20,105699,5,244,3,389,-0.2308,4.9779,5.1079,4.3635,-0.0409,-0.0297,-0.0473,-0.0073,0.0763,0.4587,1.0000,0.2571,0.0000,0.2500,,,,,
2020-02-07,MAR,ar,799,185,25,589,7,173,10,103,24,73,2,171,0,0,5,5,0,0,2,1,145,5,0,3,218520,9834,858291,0,2447,1,2,339,1,457,-0.1489,5.1946,5.2489,4.3428,-0.0283,-0.0106,-0.0437,-0.0062,0.0758,0.0431,1.0000,0.0333,1.0000,0.0523,,,,,
2020-02-08,MAR,ar,885,147,14,724,5,247,6,186,116,70,1,246,0,0,2,3,1,0,0,0,227,3,0,0,183698,6995,809018,0,0,0,5,390,2,488,-0.0443,4.7503,5.0732,4.2982,-0.0388,0.0118,-0.0430,0.0040,0.0773,0.0367,,0.0130,,0.0130,,,,,
