datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,82,3,2,20,1978,674,15861,,0,50,0,32,0.37114,5.44029,4.06199,5.38179,,,,,,0,0,0,
2020-01-23,110,8,5,24,4262,1171,35396,,0,54,0,56,0.23831,5.42526,4.65504,5.98143,,,,,,0,0,0,
2020-01-24,232,22,8,42,11127,10156,43177,,0,104,0,128,0.1313,5.59804,4.44469,5.98486,,,,,,0,0,0,
2020-01-25,406,40,14,46,22822,12214,36457,,0,218,0,188,-0.17079,5.2661,4.41395,5.2067,,,,,,0,0,0,
2020-01-26,329,27,5,53,27409,10501,35449,,0,140,0,189,-0.04357,5.212,4.22001,5.35069,,,,,,0,0,0,
2020-01-27,210,18,9,37,9873,10289,82642,,0,123,0,87,-0.01978,5.19831,4.42494,5.2768,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-28,244,16,8,38,8472,17699,117096,,0,148,0,96,-0.06971,5.1781,4.43989,5.13208,,,,,,0,0,0,
2020-01-29,256,10,5,25,11206,33309,54267,,0,116,0,140,-0.03466,5.15786,4.44533,5.26812,0.00575,-0.09337,0.02754,-0.01734,-0.11688,0,0,0,
2020-01-30,381,16,8,54,7701,17956,423315,,0,136,0,245,0.0118,5.09697,4.17534,5.14456,,,,,,0,0,0,
2020-01-31,266,10,5,42,48178,1658,138267,,0,111,1,154,-0.12729,5.19973,4.29202,5.1566,,,,,,0,0,0,
2020-02-01,186,14,5,22,95628,1498,198605,,1,47,4,134,0.082,5.19591,4.26478,5.16434,,,,,,0,0,0,
2020-02-02,182,13,1,22,6606,351,143367,,1,68,0,113,-0.07839,5.1807,4.32163,5.24538,,,,,,0,0,0,
2020-02-03,162,16,2,43,48223,8221,367920,,0,58,0,104,-0.07096,5.0418,4.37295,5.08734,,,,,,0,0,0,
2020-02-04,136,10,2,18,48746,40,88794,,1,52,0,83,0.06064,5.16928,4.28745,5.16338,,,,,,0,0,0,
2020-02-05,134,16,2,41,13492,8983,137185,,2,59,0,73,0.09955,5.41374,4.17446,5.5361,,,,,,0,0,0,
2020-02-06,161,13,1,32,93752,4,90458,,3,74,0,84,0.12101,5.36131,4.23823,5.34291,,,,,,0,0,0,
2020-02-07,140,24,2,24,106607,397,51161,,1,70,0,69,0.04156,5.309,4.31611,5.43679,,,,,,0,0,0,
2020-02-08,210,32,3,23,115424,89768,247791,,0,32,0,178,-0.09599,5.20997,4.32136,4.9814,,,,,,0,0,0,
2020-02-09,157,28,1,33,20201,386,194493,,0,40,0,117,-0.06431,5.2062,4.14221,5.22481,,,,,,0,0,0,
2020-02-10,152,11,1,47,6981,20,182857,,0,37,2,113,-0.05519,5.34869,4.22962,5.30955,,,,,,0,0,0,
2020-02-11,103,10,2,23,10781,542,43549,,2,27,1,73,0.0872,5.24668,4.322,5.07885,,,,,,0,0,0,
2020-02-12,83,6,1,15,2056,44665,152511,,0,19,0,64,-0.05993,5.20446,4.35897,5.42609,,,,,,0,0,0,
2020-02-13,99,17,1,15,14426,252,32322,,0,29,0,70,-0.07617,5.32429,4.26134,5.26889,,,,,,0,0,0,
2020-02-14,103,16,1,19,24922,86,169328,,1,26,0,76,-0.01028,5.16686,4.30996,5.51632,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,0,0,0,
2020-02-15,80,4,2,12,2128,82,33855,,0,39,0,41,-0.16514,5.21876,4.16892,5.18521,,,,,,0,0,0,
2020-02-16,111,23,2,18,21089,16267,58556,,0,59,0,52,0.08993,5.42813,4.23397,5.43473,,,,,,0,0,0,
2020-02-17,110,8,1,24,45811,402,27581,,0,54,0,56,0.07313,5.33032,4.22273,5.49513,,,,,,0,0,0,
2020-02-18,167,9,1,20,92566,810,225575,,0,94,0,73,-0.31402,5.10791,4.44019,5.02786,,,,,,0,0,0,
2020-02-19,99,4,7,18,844,3453,95695,,0,59,0,40,0.10823,5.26653,4.32738,5.49486,,,,,,0,0,0,
2020-02-20,81,6,1,7,1619,20,13439,,0,56,0,25,0.11442,5.25147,4.28288,5.34683,,,,,,0,0,0,
2020-02-21,91,4,1,13,2767,1721,102666,,0,37,0,54,-0.02548,5.3163,4.34338,5.34722,,,,,,0,0,0,
2020-02-22,100,9,1,8,4163,3,4491,,0,39,0,61,0.2171,5.50282,4.21195,5.54042,,,,,,0,0,0,
2020-02-23,191,18,6,17,5634,925,29880,,0,69,0,122,0.03938,5.10905,4.30933,5.05655,,,,,,0,0,0,
2020-02-24,306,21,6,30,141212,1668,88191,,0,132,0,174,-0.05917,5.17697,4.33535,5.12412,,,,,,0,0,0,
2020-02-25,287,27,7,35,54682,60327,278097,,0,113,0,174,0.0177,5.33229,4.39496,5.43514,,,,,,0,0,0,
2020-02-26,427,22,2,45,60157,52685,301998,,0,193,1,233,0.02773,5.22007,4.32567,5.24706,-0.0317,0.04322,0.00452,0.01961,0.00551,0,0,0,
2020-02-27,436,26,46,32,79214,305491,127742,,4,206,1,225,0.13484,5.47779,4.24461,5.5775,,,,,,0,0,0,
