datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,MNP,5,0,0,2,0,0,420,0,1,0,4,0.610,5.260,5.320,4.098,,,-0.059,,0.092,,,,,
2020-01-23,MNP,7,0,0,0,0,0,0,0,3,0,4,0.240,5.923,5.849,4.240,,,,,0.102,,,,,
2020-01-24,MNP,51,0,3,1,0,2482,40,0,16,0,35,0.324,6.557,5.898,4.695,,,0.016,0.033,0.025,1.000,,,,
2020-01-25,MNP,37,3,0,2,7604,0,7516,0,17,0,20,-0.056,5.863,5.574,4.400,,0.048,-0.006,0.018,0.056,0.000,,,,
2020-01-26,MNP,46,0,1,1,0,28,480,0,27,0,19,0.007,5.489,5.349,4.209,,,-0.041,0.033,0.065,1.000,,,,
2020-01-27,MNP,52,6,0,4,8586,0,2845,0,23,0,29,-0.325,4.990,5.005,4.668,,-0.057,0.010,0.026,0.042,0.000,,,,
2020-01-28,MNP,22,1,3,1,415,32566,89,0,6,1,15,-0.068,5.605,5.337,4.393,-0.041,-0.049,-0.039,0.033,0.071,0.987,,,,
2020-01-29,MNP,19,0,0,0,0,0,0,0,8,2,9,-0.038,5.233,5.251,4.449,,,-0.030,-0.000,0.062,,,,,
2020-01-30,MNP,84,2,2,7,1164,1893,2287,0,40,0,44,0.027,5.340,5.348,4.196,-0.109,-0.080,-0.028,0.002,0.061,0.619,,,,
2020-01-31,MNP,59,1,3,3,89,32791,2209,0,21,5,33,0.045,5.330,5.180,4.080,,-0.060,-0.053,0.010,0.068,0.997,,,,
2020-02-01,MNP,25,0,0,0,0,0,0,0,8,1,16,-0.126,4.713,5.018,4.368,-0.049,-0.054,-0.042,-0.027,0.071,,,,,
2020-02-02,MNP,27,2,0,0,399,0,0,0,5,0,22,0.202,5.799,5.521,4.275,,,-0.051,,0.083,0.000,,,,
2020-02-03,MNP,20,2,0,1,1375,0,1317,0,5,1,14,-0.220,5.040,5.194,4.521,,,-0.059,,0.068,0.000,,,,
2020-02-04,MNP,10,1,1,0,51,298,0,0,4,0,6,-0.294,5.689,5.404,4.341,,,,,0.103,0.854,,,,
2020-02-05,MNP,8,0,0,0,0,0,0,0,1,0,7,0.127,5.425,5.453,4.275,,,0.006,0.033,0.022,,,,,
2020-02-06,MNP,19,0,1,1,0,31364,7603,0,9,0,10,-0.097,4.965,5.092,4.085,,,-0.059,,0.083,1.000,,,,
2020-02-07,MNP,22,1,0,0,366,0,0,0,14,0,8,-0.222,5.268,5.116,4.414,-0.041,-0.049,-0.033,0.033,0.057,0.000,,,,
2020-02-08,MNP,8,2,0,0,526,0,0,0,2,0,6,-0.141,5.264,5.156,4.311,,,-0.054,-0.045,0.083,0.000,,,,
2020-02-09,MNP,11,0,0,2,0,0,935,0,9,0,2,-0.187,5.189,5.204,4.270,,,,,0.080,,,,,
2020-02-10,MNP,11,2,0,1,1431,0,932,0,3,0,8,-0.164,5.378,5.434,4.170,-0.047,-0.055,-0.059,-0.055,0.060,0.000,,,,
2020-02-11,MNP,19,0,0,2,0,0,2410,0,5,0,14,-0.410,5.164,5.139,4.566,-0.097,-0.058,0.036,-0.010,0.032,,,,,
2020-02-12,MNP,10,0,0,1,0,0,1584,0,6,0,4,-0.360,5.290,5.149,4.154,,,-0.059,-0.056,0.087,,,,,
2020-02-13,MNP,7,1,0,0,29025,0,0,0,3,0,4,-0.095,5.496,5.434,4.173,,,-0.055,,0.090,0.000,,,,
2020-02-14,MNP,23,1,1,0,1584,1335,0,0,6,0,17,-0.156,5.167,5.192,4.387,-0.026,-0.049,-0.046,-0.046,0.065,0.457,,,,
2020-02-15,MNP,13,1,0,0,94,0,0,0,6,0,7,-0.019,5.759,5.486,4.406,0.048,,-0.059,,0.099,0.000,,,,
2020-02-16,MNP,16,4,0,0,767,0,0,0,4,0,12,-0.155,5.500,5.365,4.488,0.048,,-0.027,-0.012,0.081,0.000,,,,
2020-02-17,MNP,9,1,0,0,516,0,0,0,3,0,6,0.165,5.576,5.402,4.550,,,-0.059,,0.083,0.000,,,,
2020-02-18,MNP,14,0,0,0,0,0,0,0,5,0,9,-0.209,5.237,5.169,4.321,-0.044,-0.052,-0.010,0.012,0.058,,,,,
2020-02-19,MNP,16,0,0,1,0,0,364,0,8,0,8,-0.409,5.387,5.107,4.367,,,0.073,0.033,0.008,,,,,
2020-02-20,MNP,18,1,0,0,94,0,0,0,7,0,11,-0.120,5.329,5.231,4.286,,,-0.058,,0.085,0.000,,,,
2020-02-21,MNP,9,0,0,1,0,0,94,0,6,0,3,-0.361,4.438,5.070,3.905,,,,,,,,,,
2020-02-22,MNP,13,0,0,4,0,0,32524,0,7,0,6,0.056,5.235,5.314,4.488,,,-0.059,,0.083,,,,,
2020-02-23,MNP,17,1,0,0,94,0,0,0,13,0,4,0.018,5.463,5.290,4.202,,,-0.059,,0.078,0.000,,,,
2020-02-24,MNP,15,1,0,1,94,0,94,0,1,0,14,0.349,5.775,5.526,4.219,,,-0.037,,0.079,0.000,,,,
2020-02-25,MNP,24,3,0,3,282,0,282,0,5,0,19,0.002,5.360,5.046,4.346,,,-0.056,,0.086,0.000,,,,
2020-02-26,MNP,32,1,0,3,1361,0,26586,0,13,0,19,0.074,5.594,5.558,4.399,,0.051,-0.033,,0.073,0.000,,,,
2020-02-27,MNP,37,0,1,3,0,4,3810,0,18,0,19,-0.116,5.373,5.275,4.304,-0.042,-0.049,-0.058,-0.051,0.086,1.000,,,,
2020-02-28,MNP,39,2,4,2,1374,534,888,0,13,0,26,-0.109,5.371,5.325,4.350,0.001,0.026,-0.034,0.033,0.073,0.280,,,,
2020-02-29,MNP,50,0,1,6,0,31141,2348,0,15,0,35,-0.036,5.426,5.370,4.536,-0.017,0.047,-0.057,-0.028,0.074,1.000,,,,
2020-03-01,MNP,67,1,1,3,415,94,979,0,32,0,35,-0.060,5.395,5.336,4.321,0.045,,-0.041,-0.026,0.074,0.185,,,,
2020-03-02,MNP,24,0,0,6,0,0,2552,0,7,0,17,-0.077,5.276,5.117,4.580,-0.102,-0.068,-0.049,-0.056,0.073,,,,,
2020-03-03,MNP,30,2,0,1,471,0,294,0,15,0,15,0.145,5.514,5.402,4.312,0.040,,-0.036,0.033,0.067,0.000,,,,
2020-03-04,MNP,60,2,0,4,1347,0,8579,0,35,0,25,-0.001,5.238,5.200,4.244,-0.110,-0.004,-0.050,-0.023,0.063,0.000,,,,
2020-03-05,MNP,73,1,0,8,94,0,4103,0,30,0,43,-0.004,5.335,5.322,4.289,-0.036,0.005,-0.038,-0.030,0.068,0.000,,,,
2020-03-06,MNP,51,1,0,4,298,0,1492,0,20,0,31,0.146,5.399,5.415,4.522,-0.001,-0.017,-0.010,0.008,0.049,0.000,,,,
2020-03-07,MNP,55,2,1,2,31383,91,98,0,20,0,35,0.059,5.489,5.404,4.365,-0.041,-0.038,-0.026,0.006,0.052,0.003,,,,
2020-03-08,MNP,42,0,1,3,0,817,31190,0,9,0,33,-0.184,5.343,5.250,4.417,,,-0.041,0.012,0.070,1.000,,,,
2020-03-09,MNP,58,0,0,4,0,0,32359,0,19,2,37,-0.002,5.701,5.414,4.383,-0.045,,-0.048,-0.011,0.073,,,,,
2020-03-10,MNP,72,2,0,8,694,0,3140,0,21,0,51,-0.111,5.361,5.341,4.220,-0.024,-0.030,-0.035,0.025,0.060,0.000,,,,
2020-03-11,MNP,67,2,1,4,522,94,1667,0,25,0,42,0.253,5.574,5.422,4.387,-0.042,-0.046,-0.009,0.016,0.045,0.153,,,,
2020-03-12,MNP,67,1,0,4,442,0,1617,0,28,0,39,0.021,5.711,5.557,4.261,-0.013,-0.049,-0.059,-0.048,0.073,0.000,,,,
2020-03-13,MNP,76,0,0,8,0,0,2828,0,41,0,35,0.057,5.519,5.537,4.281,-0.076,,-0.044,0.033,0.074,,,,,
2020-03-14,MNP,54,1,0,5,300,0,31816,0,20,0,34,0.076,5.521,5.516,4.286,-0.070,-0.094,-0.042,-0.024,0.062,0.000,,,,
