datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,MUS,"mfe,fr,en",30,7,0,23,27,4,0,10,3,0,10,1376,0,13865,884,0,13865,0,14,0,16,0.260,5.780,5.430,4.210,,,-0.049,,0.073,0.000,0.000,,,,,
2020-01-23,MUS,"mfe,fr,en",81,26,2,53,64,10,2,23,7,2,20,4743,60,34361,4021,60,34010,0,36,0,45,0.039,5.573,5.417,4.532,,,-0.051,0.006,0.077,0.012,0.015,,,,,
2020-01-24,MUS,"mfe,fr,en",130,28,1,101,110,16,3,22,14,3,20,7294,3540,30311,6316,3540,29555,0,66,0,64,0.152,5.552,5.388,4.422,-0.060,-0.001,-0.035,0.013,0.071,0.327,0.359,,,,,
2020-01-25,MUS,"mfe,fr,en",263,40,0,223,193,22,4,23,18,3,17,21821,2907,52489,20827,2590,48874,0,97,0,166,-0.019,5.620,5.365,4.241,-0.010,-0.049,-0.039,-0.011,0.071,0.118,0.111,,,,,
2020-01-26,MUS,"mfe,fr,en",224,30,5,189,158,13,4,33,10,4,26,5981,5250,39474,4262,5250,27471,0,93,0,131,-0.198,5.346,5.247,4.301,-0.060,-0.023,-0.045,0.017,0.069,0.467,0.552,,,,,
2020-01-27,MUS,"mfe,fr,en",180,60,5,115,145,21,2,44,10,2,41,12594,588,126269,4011,588,124737,0,93,0,87,-0.275,4.989,5.065,4.419,-0.052,-0.053,-0.039,0.005,0.062,0.045,0.128,,,,,
2020-01-28,MUS,"mfe,fr,en",187,74,5,108,147,10,3,59,8,3,54,4920,245,175492,4210,245,173777,0,78,0,109,-0.050,5.437,5.419,4.172,-0.041,-0.053,-0.038,0.002,0.068,0.047,0.055,,,,,
2020-01-29,MUS,"mfe,fr,en",218,82,4,132,169,9,3,52,8,3,41,3107,8196,195002,2615,8196,180772,0,123,0,95,-0.000,5.363,5.277,4.341,-0.047,-0.037,-0.036,0.005,0.065,0.725,0.758,,,,,
2020-01-30,MUS,"mfe,fr,en",278,70,2,206,229,18,8,37,17,8,31,12772,7422,97716,12377,7422,93815,0,139,0,139,-0.126,5.196,5.201,4.299,-0.041,-0.049,-0.037,0.033,0.064,0.368,0.375,,,,,
2020-01-31,MUS,"mfe,fr,en",224,76,5,143,187,17,5,41,17,2,36,37480,2231,101482,37480,1716,99519,0,108,0,116,-0.211,5.016,5.119,4.415,,0.014,-0.044,0.000,0.067,0.056,0.044,,,,,
