datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,MWI,"en,ny",108,19,1,88,70,8,3,17,0.2727,4,12,1,7,0,0,2,0,1,5,3,9,7,2,1,0,23671,4348,54080,20737,4348,26540,0,44,0,64,0.1163,5.3029,5.2598,4.2785,-0.0597,-0.0491,-0.0448,-0.0260,0.0811,0.1552,0.1733,0.2222,0.0000,0.2000,,,,,,,,,,,,,,,
2020-01-23,MWI,"en,ny",198,30,6,162,123,28,4,27,0.1250,4,16,1,27,0,0,2,1,1,17,4,17,27,3,0,0,91214,20632,131808,55986,20632,105849,0,79,1,118,0.0427,5.6743,5.4100,4.4303,-0.0508,-0.0355,-0.0387,-0.0039,0.0747,0.1845,0.2693,0.1000,,0.1000,,,,,,,,,,,,,,,
2020-01-24,MWI,"en,ny",494,65,20,409,342,29,14,34,0.3256,17,14,0,29,0,0,6,8,0,23,9,22,26,9,0,1,106578,10449,58326,104865,6699,19715,0,215,0,279,0.0717,5.7425,5.4720,4.3746,0.0116,0.0138,-0.0318,0.0064,0.0702,0.0893,0.0600,0.2571,1.0000,0.2778,,,,,,,,,,,,,,,
2020-01-25,MWI,"en,ny",681,80,16,585,434,31,18,31,0.3673,5,24,2,29,0,4,12,1,1,20,14,19,27,15,2,0,49138,55681,43993,41191,53218,24308,0,280,0,401,-0.1228,5.4050,5.3080,4.2672,-0.0103,-0.0097,-0.0301,0.0104,0.0599,0.5312,0.5637,0.3571,0.0000,0.3409,,,,,,,,,,,,,,,
2020-01-26,MWI,"en,ny",831,98,21,712,636,36,21,55,0.3684,11,39,0,36,0,1,10,8,2,30,18,38,32,18,0,2,50544,77403,145834,46068,74984,109899,0,279,0,552,-0.0852,5.3170,5.2063,4.3447,-0.0072,-0.0522,-0.0396,0.0115,0.0658,0.6050,0.6194,0.3600,1.0000,0.3846,,,,,,,,,,,,,,,
2020-01-27,MWI,"en,ny",460,72,11,377,309,33,2,39,0.0571,7,30,0,33,0,0,1,1,0,28,2,16,31,0,0,0,32270,2857,135323,30800,2857,46540,0,180,0,280,-0.1970,5.0944,5.1311,4.4904,-0.0591,-0.0545,-0.0181,0.0187,0.0536,0.0813,0.0849,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-01-28,MWI,"en,ny",636,130,51,455,435,31,19,66,0.3800,22,40,3,28,0,0,16,2,1,28,17,35,30,14,0,1,125584,132298,209366,119589,115535,76960,0,219,0,417,-0.1597,5.2043,5.2503,4.2553,-0.0436,-0.0520,-0.0224,0.0073,0.0547,0.5130,0.4914,0.3182,1.0000,0.3333,,,,,,,,,,,,,,,
2020-01-29,MWI,"en,ny",620,129,10,481,445,24,18,33,0.4286,14,16,0,24,0,0,7,9,2,15,14,17,19,12,0,1,25423,79948,42581,21631,77255,6819,0,193,0,427,-0.0982,5.3021,5.2120,4.3650,-0.0667,0.0248,-0.0304,0.0097,0.0625,0.7587,0.7813,0.3871,1.0000,0.4062,,,,,,,,,,,,,,,
2020-01-30,MWI,"en,ny",1120,209,24,887,829,64,15,105,0.1899,31,36,2,62,0,3,10,1,1,52,12,75,57,12,0,0,216294,23540,179320,212411,22949,90371,0,487,0,633,-0.0526,5.2293,5.2222,4.3175,-0.0683,-0.0362,-0.0404,0.0060,0.0649,0.0982,0.0975,0.1739,,0.1739,,,,,,,,,,,,,,,
2020-01-31,MWI,"en,ny",741,141,26,574,544,59,15,45,0.2027,23,17,1,58,0,5,6,3,1,55,13,34,47,11,0,1,196058,6681,77764,184956,4278,43130,0,318,1,422,-0.1022,5.1669,5.2292,4.3519,-0.0428,-0.0477,-0.0398,0.0037,0.0642,0.0330,0.0226,0.1897,1.0000,0.2034,,,,,,,,,,,,,,,
2020-02-01,MWI,"en,ny",419,61,18,340,298,23,8,37,0.2581,21,13,0,23,0,2,4,1,1,21,5,19,21,7,1,0,35705,16452,55127,29469,10284,20169,0,184,0,235,-0.1027,5.1944,5.3160,4.3749,-0.0409,-0.0305,-0.0434,-0.0067,0.0681,0.3154,0.2587,0.2500,0.0000,0.2414,,,,,,,,,,,,,,,
2020-02-02,MWI,"en,ny",431,92,16,323,310,38,5,27,0.1163,10,17,0,38,0,0,4,1,0,34,4,17,31,3,0,0,131271,17209,129774,109880,15233,98771,0,173,0,258,-0.1323,5.2161,5.2513,4.3061,-0.0447,-0.0126,-0.0482,0.0099,0.0735,0.1159,0.1218,0.0882,,0.0882,,,,,,,,,,,,,,,
2020-02-03,MWI,"en,ny",319,74,10,235,211,15,6,27,0.2857,6,16,0,15,0,1,4,0,1,10,4,13,14,4,0,0,23397,8826,39878,12455,4678,6928,0,134,0,185,-0.1303,5.2489,5.1961,4.3278,-0.0416,-0.0529,-0.0367,0.0051,0.0722,0.2739,0.2730,0.2222,,0.2222,,,,,,,,,,,,,,,
2020-02-04,MWI,"en,ny",289,45,12,232,217,10,5,12,0.3333,6,5,0,10,0,0,4,0,1,9,3,7,8,4,0,0,12644,1549,15937,10656,1201,1613,0,149,0,140,-0.2078,5.0684,5.0665,4.3618,-0.0512,-0.0452,-0.0433,0.0105,0.0737,0.1091,0.1013,0.3333,,0.3333,,,,,,,,,,,,,,,
2020-02-05,MWI,"en,ny",219,43,6,170,163,14,3,25,0.1765,9,14,0,14,0,0,2,1,0,14,3,18,11,3,0,0,39706,360,125807,39706,360,111393,0,104,0,115,-0.0417,5.3109,5.2813,4.3183,-0.0439,-0.0564,-0.0534,-0.0399,0.0798,0.0090,0.0090,0.2143,,0.2143,,,,,,,,,,,,,,,
2020-02-06,MWI,"en,ny",266,55,7,204,203,18,10,22,0.3571,11,11,1,17,0,0,7,3,0,15,9,16,14,10,0,0,17023,9156,16177,8453,9138,11509,0,90,0,176,-0.2126,5.2393,5.2191,4.3209,-0.0425,-0.0172,-0.0529,-0.0518,0.0784,0.3497,0.5195,0.4167,,0.4167,,,,,,,,,,,,,,,
2020-02-07,MWI,"en,ny",361,56,7,298,285,98,3,35,0.0297,17,16,0,98,0,2,1,0,0,94,0,28,78,1,0,0,205790,2902,75819,197019,0,45656,0,124,0,237,-0.1277,5.2441,5.1891,4.2994,-0.0010,-0.0491,-0.0499,0.0146,0.0757,0.0139,0.0000,0.0127,,0.0127,,,,,,,,,,,,,,,
2020-02-08,MWI,"en,ny",302,42,5,255,245,60,2,42,0.0323,29,13,0,60,0,0,0,0,2,55,2,36,56,0,0,0,89807,3939,63945,86988,3939,49879,0,103,0,199,-0.1123,4.9066,5.0995,4.3056,-0.0512,-0.0007,-0.0458,-0.0088,0.0765,0.0420,0.0433,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-02-09,MWI,"en,ny",425,40,13,372,340,50,10,55,0.1667,38,16,0,50,0,4,4,2,0,45,10,26,47,9,2,0,38384,3480,67791,36082,3480,21806,1,81,0,343,-0.0832,5.3335,5.2971,4.2397,-0.0282,-0.0204,-0.0347,0.0019,0.0704,0.0831,0.0880,0.1607,0.0000,0.1552,,,,,,,,,,,,,,,
2020-02-10,MWI,"en,ny",186,45,5,136,148,16,6,14,0.2727,5,9,0,16,0,0,2,2,2,16,6,7,14,3,0,0,14637,37810,72291,14637,37810,62882,0,58,1,127,-0.1006,5.3151,5.2666,4.2336,-0.0486,-0.0192,-0.0459,0.0342,0.0775,0.7209,0.7209,0.1765,,0.1765,,,,,,,,,,,,,,,
2020-02-11,MWI,"en,ny",177,42,10,125,129,8,3,16,0.2727,5,11,0,8,0,1,2,0,0,4,3,8,6,3,0,0,9637,4978,7465,6048,4978,5271,0,54,0,123,-0.1698,4.8989,5.0580,4.3225,-0.0400,-0.0338,-0.0403,0.0234,0.0661,0.3406,0.4515,0.3333,,0.3333,,,,,,,,,,,,,,,
2020-02-12,MWI,"en,ny",200,42,14,144,147,17,4,14,0.1905,6,8,1,16,0,1,3,0,0,16,3,10,14,4,0,0,42593,2007,53066,41526,1822,39847,0,72,0,128,-0.0873,5.1744,5.2080,4.3678,-0.0435,-0.0248,-0.0369,0.0092,0.0726,0.0450,0.0420,0.2222,,0.2222,,,,,,,,,,,,,,,
2020-02-13,MWI,"en,ny",215,41,6,168,148,19,12,11,0.3871,2,7,0,19,0,6,4,0,2,16,9,8,15,12,0,0,36561,17043,8581,34358,15458,1512,1,50,0,164,-0.1659,5.3972,5.3083,4.3241,-0.0411,-0.0490,-0.0537,-0.0270,0.0719,0.3179,0.3103,0.4444,,0.4444,,,,,,,,,,,,,,,
