datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,NAM,"en,sf,de",74,16,1,57,56,14,9,9,13,7,6,5508,6311,13810,4318,4142,13504,0,21,0,53,-0.128,5.267,5.209,4.328,0.049,-0.040,-0.030,0.033,0.075,0.534,0.490,,,,,
2020-01-23,NAM,"en,sf,de",91,15,1,75,69,14,10,15,13,10,10,12741,2649,235175,9542,2649,233622,2,44,0,45,-0.063,5.456,5.342,4.291,,,-0.035,-0.001,0.082,0.172,0.217,,,,,
2020-01-24,NAM,"en,sf,de",202,43,2,157,137,16,6,31,14,5,19,63425,9028,17321,63128,7994,14543,0,89,0,113,0.128,5.756,5.540,4.255,-0.071,0.048,-0.042,-0.013,0.075,0.125,0.112,,,,,
2020-01-25,NAM,"en,sf,de",320,66,9,245,227,33,12,29,28,12,23,29526,2546,26121,28192,2546,25110,0,135,0,185,-0.014,5.373,5.267,4.299,-0.005,-0.075,-0.034,-0.006,0.073,0.079,0.083,,,,,
2020-01-26,NAM,"en,sf,de",422,51,7,364,372,22,11,29,22,11,24,20587,7991,18224,20587,7991,17723,0,174,0,248,0.076,5.385,5.322,4.401,-0.062,-0.049,-0.038,0.017,0.068,0.280,0.280,,,,,
2020-01-27,NAM,"en,sf,de",362,74,6,282,307,26,11,52,25,10,42,31076,2246,168795,30109,2246,167000,2,135,0,225,-0.089,5.210,5.239,4.373,-0.071,-0.059,-0.018,0.022,0.049,0.067,0.069,,,,,
2020-01-28,NAM,"en,sf,de",538,127,18,393,465,32,17,46,29,17,36,79017,7928,161525,75794,7928,159069,6,221,0,311,-0.031,5.304,5.292,4.250,-0.027,-0.051,-0.028,0.024,0.062,0.091,0.095,,,,,
2020-01-29,NAM,"en,sf,de",486,141,6,339,394,18,16,37,16,16,26,22760,8132,120758,22074,8132,112989,5,181,1,299,0.020,5.375,5.221,4.435,-0.065,-0.046,-0.042,0.023,0.073,0.263,0.269,,,,,
2020-01-30,NAM,"en,sf,de",748,188,10,550,598,29,18,58,24,15,36,18474,10401,206284,13089,9261,120622,14,317,1,416,-0.082,5.330,5.319,4.191,-0.060,-0.060,-0.044,0.018,0.073,0.360,0.414,,,,,
2020-01-31,NAM,"en,sf,de",666,198,19,449,532,22,7,51,18,5,29,28378,5633,186056,23792,4537,173612,6,266,0,394,-0.138,5.166,5.218,4.197,-0.037,-0.053,-0.044,0.013,0.070,0.166,0.160,,,,,
2020-02-01,NAM,"en,sf,de",567,186,15,366,473,22,9,228,21,7,176,4858,4508,616756,4690,3117,560559,5,198,0,364,-0.129,5.229,5.308,4.268,-0.041,-0.030,-0.042,-0.002,0.056,0.481,0.399,,,,,
2020-02-02,NAM,"en,sf,de",449,121,10,318,374,31,4,72,29,4,52,34573,893,45841,33939,893,42932,1,178,0,270,-0.122,5.087,5.177,4.283,-0.029,0.016,-0.040,0.019,0.065,0.025,0.026,,,,,
2020-02-03,NAM,"en,sf,de",561,186,19,356,485,15,16,47,8,14,28,7864,14084,51365,5476,13288,8497,2,188,0,371,-0.033,5.323,5.259,4.227,-0.062,-0.019,-0.045,0.005,0.064,0.642,0.708,,,,,
2020-02-04,NAM,"en,sf,de",350,111,22,217,278,18,3,63,17,3,34,9856,3461,122559,7370,3461,32900,2,103,0,245,-0.148,5.170,5.153,4.267,-0.047,-0.047,-0.042,0.020,0.067,0.260,0.320,,,,,
2020-02-05,NAM,"en,sf,de",426,164,7,255,352,21,5,68,18,4,44,8140,7556,118017,7829,4342,114839,9,182,1,234,-0.097,5.269,5.216,4.243,0.004,-0.014,-0.039,0.017,0.070,0.481,0.357,,,,,
2020-02-06,NAM,"en,sf,de",271,86,9,176,211,21,4,47,18,3,23,31301,4147,64193,21201,3725,16669,4,122,0,145,-0.150,5.219,5.211,4.311,-0.019,-0.023,-0.037,0.018,0.077,0.117,0.149,,,,,
2020-02-07,NAM,"en,sf,de",321,86,6,229,260,80,3,57,78,2,34,153396,381,147403,153198,348,9811,3,152,0,166,-0.005,5.274,5.220,4.285,,,-0.047,0.007,0.078,0.002,0.002,,,,,
2020-02-08,NAM,"en,sf,de",250,68,4,178,185,64,0,54,60,0,35,50339,0,31172,47894,0,29812,1,113,0,136,-0.046,5.021,5.178,4.342,-0.041,-0.024,-0.035,0.013,0.074,0.000,0.000,,,,,
