datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,NCL,53,15,6,8,29999,1342,6139,0,23,0,30,-0.279,5.082,5.095,4.270,,,-0.057,,0.076,0.043,,0,0,0
2020-01-23,NCL,103,19,15,15,15473,29093,41863,0,37,0,66,-0.118,5.326,5.221,4.411,-0.061,,-0.035,-0.007,0.070,0.653,,0,0,0
2020-01-24,NCL,206,22,10,30,34723,13111,38619,0,84,0,122,-0.031,5.347,5.308,4.338,-0.082,0.013,-0.034,0.002,0.071,0.274,,0,0,0
2020-01-25,NCL,339,31,9,31,101416,10121,68290,0,151,0,188,-0.232,5.325,5.198,4.487,-0.043,-0.007,-0.036,-0.011,0.057,0.091,,0,0,0
2020-01-26,NCL,365,35,36,49,143095,318459,218100,0,164,0,201,-0.228,5.345,5.219,4.358,-0.030,-0.028,-0.039,0.017,0.069,0.690,,0,0,0
2020-01-27,NCL,259,27,10,30,137446,38657,78478,1,109,0,149,-0.391,5.145,5.219,4.388,-0.046,-0.046,-0.003,0.019,0.033,0.220,,0,0,0
2020-01-28,NCL,233,30,25,30,127186,204105,104605,0,66,0,167,-0.286,5.106,5.211,4.315,-0.043,-0.049,-0.013,0.018,0.048,0.616,,0,0,0
2020-01-29,NCL,252,12,9,23,39457,138798,105808,0,100,0,152,-0.154,5.289,5.157,4.405,-0.064,-0.020,-0.026,0.015,0.060,0.779,,0,0,0
2020-01-30,NCL,370,26,14,29,40051,47052,38211,2,118,0,250,-0.042,5.304,5.269,4.244,-0.027,-0.025,-0.038,0.025,0.072,0.540,,0,0,0
2020-01-31,NCL,396,13,9,24,16194,65991,82152,0,137,0,259,-0.306,5.147,5.199,4.355,-0.073,-0.037,-0.034,0.005,0.063,0.803,,0,0,0
