datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,NIC,es,652,603,21,83,154,19,76,147,12854,149464,7224258,11967,122798,7220262,37,255,18,342,0.153,5.886,5.430,4.293,,,-0.018,0.033,0.064,0.921,0.911,,,,,
2020-01-23,NIC,es,872,779,21,110,224,11,107,203,32594,123559,10218323,22147,120363,10113355,57,329,21,465,0.126,5.499,5.297,4.423,-0.062,,-0.051,-0.008,0.081,0.791,0.845,,,,,
2020-01-24,NIC,es,1117,972,28,116,199,21,112,170,35572,122631,6265192,27648,118542,6228773,19,441,32,625,0.019,5.639,5.372,4.392,-0.080,0.048,-0.034,-0.014,0.073,0.775,0.811,,,,,
2020-01-25,NIC,es,961,739,28,52,106,14,51,94,30974,63326,2672715,13984,62443,2651057,9,372,17,563,0.024,5.376,5.225,4.374,-0.041,-0.010,-0.031,0.010,0.060,0.672,0.817,,,,,
2020-01-26,NIC,es,807,584,30,37,95,25,34,84,80650,50330,2166762,75379,47390,2151075,6,324,6,471,0.060,5.158,5.150,4.317,-0.051,-0.054,-0.035,-0.011,0.066,0.384,0.386,,,,,
2020-01-27,NIC,es,749,563,24,39,110,11,35,93,34103,24002,4016618,21057,21630,3991418,29,285,8,427,0.076,5.019,5.087,4.624,-0.042,-0.054,-0.033,0.033,0.063,0.413,0.507,,,,,
2020-01-28,NIC,es,887,722,50,57,151,38,52,134,44334,59850,4658312,29959,50463,4635336,24,307,18,538,0.034,5.049,5.201,4.462,-0.041,-0.049,-0.014,0.009,0.050,0.574,0.627,,,,,
2020-01-29,NIC,es,844,705,18,42,75,10,39,63,11411,42752,1660478,6934,40426,1641556,16,322,21,485,0.041,5.245,5.207,4.202,-0.098,-0.093,-0.029,0.003,0.067,0.789,0.854,,,,,
2020-01-30,NIC,es,1247,890,45,34,123,31,30,82,79120,33453,1894624,65398,28924,1811300,43,477,17,710,0.177,5.151,5.190,4.289,-0.053,-0.060,-0.036,0.009,0.064,0.297,0.307,,,,,
2020-01-31,NIC,es,1149,881,25,35,87,15,29,67,57702,57418,1431546,47415,50756,1340058,19,526,21,583,0.086,4.979,5.131,4.407,-0.057,-0.031,-0.045,-0.009,0.070,0.499,0.517,,,,,
2020-02-01,NIC,es,860,727,17,18,54,7,13,48,13581,18441,326901,5589,14485,323033,13,351,1,495,0.009,5.151,5.226,4.272,-0.025,-0.054,-0.043,0.033,0.081,0.576,0.722,,,,,
2020-02-02,NIC,es,848,716,19,38,52,13,32,40,21871,37520,465551,15017,33829,343137,12,378,3,455,-0.053,5.246,5.232,4.388,0.038,,-0.034,0.030,0.069,0.632,0.693,,,,,
2020-02-03,NIC,es,609,515,16,21,64,13,19,59,33114,31734,563440,28992,26084,557420,22,255,2,330,-0.048,5.307,5.228,4.359,,0.050,-0.045,-0.006,0.079,0.489,0.474,,,,,
2020-02-04,NIC,es,607,520,13,20,71,7,20,64,11541,21154,598505,8757,21154,594582,16,268,3,320,-0.067,5.080,5.060,4.385,,,-0.047,-0.002,0.074,0.647,0.707,,,,,
2020-02-05,NIC,es,569,493,21,12,55,17,12,43,24514,15414,580778,22456,15414,568782,27,240,2,300,0.060,5.350,5.286,4.172,,,-0.052,,0.080,0.386,0.407,,,,,
2020-02-06,NIC,es,535,454,13,25,62,10,24,55,39095,37355,871856,27425,35645,866100,28,216,6,285,-0.064,5.173,5.153,4.370,-0.056,-0.055,-0.053,-0.025,0.072,0.489,0.565,,,,,
2020-02-07,NIC,es,476,414,12,14,63,3,14,56,20834,11013,953786,3998,11013,869483,19,204,3,250,-0.106,5.480,5.394,4.305,-0.044,-0.052,-0.056,-0.055,0.081,0.346,0.734,,,,,
2020-02-08,NIC,es,397,330,17,10,43,3,8,32,7303,8843,887131,1643,6559,877413,18,143,4,232,-0.035,4.993,5.142,4.259,-0.041,,-0.017,0.013,0.061,0.548,0.800,,,,,
2020-02-09,NIC,es,330,265,6,19,33,4,16,26,7363,27636,145266,4564,25253,143642,4,127,5,194,-0.026,4.720,4.871,4.466,-0.046,0.006,-0.031,-0.009,0.082,0.790,0.847,,,,,
2020-02-10,NIC,es,454,382,6,14,41,2,12,35,7422,24791,898719,1601,13998,897073,19,147,9,279,0.048,5.170,5.267,4.105,,0.049,-0.048,-0.013,0.082,0.770,0.897,,,,,
2020-02-11,NIC,es,643,560,8,16,42,7,15,37,9179,13896,757964,6917,13011,753195,15,249,5,374,-0.150,5.077,5.134,4.310,-0.049,-0.055,-0.045,-0.055,0.072,0.602,0.653,,,,,
2020-02-12,NIC,es,651,579,10,9,52,8,8,41,24219,6790,838133,21571,5174,631165,12,254,10,375,-0.045,5.459,5.363,4.271,,,-0.055,-0.024,0.080,0.219,0.193,,,,,
