datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,NLD,nl,1525,475,59,991,508,257,112,443,132,286,27,230,2,0,94,11,5,119,40,230,4234524,3273546,6943510,3955684,2443939,3755616,40,566,18,901,-0.0130,5.3460,5.2330,4.2770,-0.0370,-0.0240,-0.0480,-0.0000,0.0810,0.4360,0.3820,0.0030,0,0,0,0
2020-01-23,NLD,nl,2864,820,101,1943,720,372,233,735,215,466,36,336,0,6,156,57,14,34,74,385,4080884,4051547,9529132,2974912,3673298,7001649,63,1114,18,1669,-0.1250,5.3500,5.2490,4.3810,-0.0290,-0.0210,-0.0430,0.0050,0.0770,0.4980,0.5530,-0.0070,0,0,0,0
2020-01-24,NLD,nl,5350,1731,230,3389,1729,721,411,1278,334,864,66,655,2,6,288,78,37,194,177,728,9037430,5836947,13802915,7463016,2603141,12039841,80,2078,31,3161,-0.0380,5.4470,5.3190,4.3240,-0.0440,-0.0030,-0.0410,-0.0030,0.0750,0.3920,0.2590,0.0060,0,0,0,0
2020-01-25,NLD,nl,7279,1795,415,5069,2285,663,467,1354,277,997,59,604,5,16,288,115,43,173,254,733,3683927,4419979,11440547,2154411,4097060,9411106,100,2849,50,4280,-0.1110,5.3100,5.2330,4.2920,-0.0410,-0.0270,-0.0340,0.0060,0.0690,0.5450,0.6550,,0,0,0,0
2020-01-26,NLD,nl,7532,1694,344,5494,2310,679,461,1503,297,1063,36,643,1,15,312,75,58,142,212,748,6926861,4190918,10051071,5080139,3827864,7400017,74,3013,19,4426,-0.1650,5.2610,5.2130,4.2910,-0.0310,-0.0450,-0.0440,0.0050,0.0720,0.3770,0.4300,,0,0,0,0
2020-01-27,NLD,nl,6748,2188,394,4166,2486,769,453,2015,478,1399,71,698,17,5,305,68,58,169,207,1251,10116352,6287335,19700458,8412664,5851980,17303051,149,2713,37,3849,-0.1620,5.2330,5.2280,4.3540,-0.0460,-0.0500,-0.0380,0.0090,0.0670,0.3830,0.4100,-0.0120,0,0,0,0
2020-01-28,NLD,nl,7476,2554,427,4495,3148,732,491,2054,597,1348,83,649,6,7,398,52,28,197,237,1262,6302944,6165617,27768063,4673602,5695081,21228294,184,2961,66,4265,-0.1230,5.2740,5.2740,4.2900,-0.0380,-0.0350,-0.0370,0.0080,0.0700,0.4940,0.5490,0.0030,0,0,0,0
2020-01-29,NLD,nl,6973,2273,419,4281,2529,449,241,1223,358,780,22,427,3,8,170,20,40,136,80,711,6742104,1059267,11676863,5811931,741002,10467955,163,2846,65,3899,-0.1140,5.2360,5.2070,4.3140,-0.0460,-0.0490,-0.0450,-0.0030,0.0750,0.1360,0.1130,0.0040,0,0,0,0
2020-01-30,NLD,nl,8540,2695,320,5525,2388,540,306,1418,387,811,21,519,3,17,185,53,48,124,101,722,8370743,1888534,11863360,6904306,1482748,9827123,164,3387,61,4928,-0.1260,5.1950,5.1970,4.2780,-0.0430,-0.0440,-0.0440,0.0060,0.0740,0.1840,0.1770,-0.0010,0,0,0,0
2020-01-31,NLD,nl,7817,2321,334,5162,1985,474,330,1244,386,763,37,437,13,20,195,50,52,51,128,602,1125757,2735108,13253668,129311,2377740,8778659,157,3119,51,4490,-0.1310,5.1950,5.2320,4.3140,-0.0380,-0.0360,-0.0410,-0.0090,0.0730,0.7080,0.9480,-0.0200,0,0,0,0
