datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,NRU,,3,0,0,3,0,2,0,0,0,0,0,730,0,0,0,0,0,0,2,0,1,,,,,,,,,,0.000,,,,,,
2020-01-23,NRU,,6,0,0,6,0,4,0,0,0,0,0,890,0,0,0,0,0,0,4,0,2,,,,,,,,,0.079,0.000,,,,,,
2020-01-24,NRU,,22,0,0,22,0,5,0,1,0,0,0,1827,0,531,0,0,0,0,12,0,10,0.618,7.105,6.176,4.554,,,0.004,,,0.000,,,,,,
2020-01-25,NRU,,40,0,0,40,0,2,0,1,0,0,0,4,0,42,0,0,0,0,13,0,27,-0.175,5.641,5.277,4.101,-0.080,,-0.045,-0.028,0.062,0.000,,,,,,
2020-01-26,NRU,,9,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,2,0.253,4.960,4.730,3.730,,,,,,1.000,,,,,,
2020-01-27,NRU,,12,1,0,11,0,0,0,1,0,0,0,0,0,22,0,0,0,0,5,0,7,,,,,,,,,,,,,,,,
2020-01-28,NRU,,9,0,0,9,0,0,0,2,0,0,0,0,0,240,0,0,0,0,0,0,9,0.137,5.028,5.135,4.001,,,0.017,0.033,0.058,,,,,,,
2020-01-29,NRU,,12,1,0,11,0,2,0,0,0,0,0,1014,0,0,0,0,0,0,3,0,9,0.440,,,,,,,,,0.000,,,,,,
2020-01-30,NRU,,8,0,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,6,-0.192,5.260,5.196,4.401,,,-0.059,,0.082,0.000,,,,,,
2020-01-31,NRU,,16,1,0,15,0,1,1,1,0,0,0,2,2,2,0,0,0,0,7,0,9,0.599,5.850,5.507,3.906,,,-0.059,,0.083,0.500,,,,,,
2020-02-01,NRU,,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,-0.019,4.630,4.847,4.493,,,,,0.100,,,,,,,
2020-02-02,NRU,,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,-0.042,5.312,5.570,4.482,,,-0.059,-0.067,0.083,,,,,,,
2020-02-03,NRU,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,
2020-02-04,NRU,,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,-0.269,,,,,,,,,,,,,,,
2020-02-05,NRU,,7,1,0,6,0,2,0,0,0,0,0,46,0,0,0,0,0,0,2,0,5,0.710,5.572,5.097,4.561,,,,,,0.000,,,,,,
2020-02-06,NRU,,3,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,-0.052,4.932,4.696,4.766,,,,,0.081,0.000,,,,,,
2020-02-07,NRU,,7,1,0,6,0,0,0,1,0,0,0,0,0,44,0,0,0,0,2,0,5,,,,,,,,,,,,,,,,
2020-02-08,NRU,,1,0,0,1,0,1,0,0,0,0,0,728,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.000,,,,,,
2020-02-09,NRU,,4,0,0,4,0,0,0,2,0,0,0,0,0,736,0,0,0,0,1,0,3,0.119,,,,,,,,,,,,,,,
2020-02-10,NRU,,1,0,0,1,0,0,0,1,0,0,0,0,0,78,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2020-02-11,NRU,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,
2020-02-12,NRU,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,-0.385,,,,,,,,,,,,,,,
2020-02-13,NRU,,4,0,0,4,0,1,0,0,0,0,0,458,0,0,0,0,0,0,1,0,3,,,,,,,,,,0.000,,,,,,
2020-02-14,NRU,,5,0,0,5,0,0,0,1,0,0,0,0,0,1551,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,
2020-02-15,NRU,,20,1,0,19,0,2,0,0,0,0,0,30,0,0,0,0,0,0,17,0,3,-0.026,6.648,6.360,3.916,,,-0.050,,0.087,0.000,,,,,,
2020-02-16,NRU,,20,0,0,20,0,5,0,0,0,0,0,1108,0,0,0,0,0,0,11,0,9,,,,,,,,,,0.000,,,,,,
2020-02-17,NRU,,14,0,0,14,0,3,0,0,0,0,0,931,0,0,0,0,0,0,10,0,4,0.202,5.360,5.075,4.558,,,,,,0.000,,,,,,
2020-02-18,NRU,,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,,,,,,,,,,,,,,,,
2020-02-19,NRU,,34,3,0,31,0,0,1,0,0,0,0,0,46,0,0,0,0,0,19,0,15,0.549,5.956,5.477,3.803,,,,,-0.010,1.000,,,,,,
2020-02-20,NRU,,30,0,0,30,0,4,0,0,0,0,0,1402,0,0,0,0,0,0,16,0,14,0.077,5.618,5.810,4.614,,,,,,0.000,,,,,,
2020-02-21,NRU,,28,0,0,28,0,0,0,3,0,0,0,0,0,1189,0,0,0,0,18,0,10,,,,,,,,,,,,,,,,
2020-02-22,NRU,,25,0,0,25,0,6,0,2,0,0,0,160,0,290,0,0,0,0,17,0,8,,,,,,,,,,0.000,,,,,,
2020-02-23,NRU,,37,0,0,37,0,2,0,2,0,0,0,1186,0,692,0,0,0,0,13,0,24,,6.500,6.055,4.695,,,,,,0.000,,,,,,
2020-02-24,NRU,,26,0,0,26,0,6,0,2,0,0,0,1908,0,30,0,0,0,0,10,0,16,0.415,6.083,5.855,4.220,,,-0.049,,,0.000,,,,,,
2020-02-25,NRU,,32,1,0,31,0,0,0,2,0,0,0,0,0,545,0,0,0,0,15,0,17,-0.472,6.185,5.633,4.183,,,,,,,,,,,,
2020-02-26,NRU,,44,1,0,43,0,4,0,4,0,0,0,1029,0,5090,0,0,0,0,26,0,18,0.181,6.023,5.433,4.589,,,-0.059,,0.092,0.000,,,,,,
2020-02-27,NRU,,19,1,1,17,0,1,0,2,0,0,0,495,0,731,0,0,0,0,4,0,15,0.069,5.705,5.486,4.253,,,-0.038,-0.006,0.062,0.000,,,,,,
2020-02-28,NRU,,40,1,1,38,0,0,8,3,0,0,0,0,1949,10143,0,0,0,0,13,0,27,0.672,5.694,5.711,4.355,,,-0.059,,0.084,1.000,,,,,,
2020-02-29,NRU,,38,2,0,36,0,0,2,1,0,0,0,0,6462,253,0,0,0,0,11,0,27,0.390,5.757,5.672,4.154,,,-0.035,,0.074,1.000,,,,,,
2020-03-01,NRU,,45,2,1,42,0,1,1,0,0,0,0,727,727,0,0,0,0,0,26,0,19,0.152,5.470,5.458,4.413,,,0.068,-0.009,-0.044,0.500,,,,,,
2020-03-02,NRU,,29,2,0,27,0,0,0,1,0,0,0,0,0,4408,0,0,0,0,6,0,23,0.773,6.192,5.530,4.662,,,,,0.050,,,,,,,
2020-03-03,NRU,,25,1,1,23,0,1,0,5,0,0,0,694,0,2105,0,0,0,0,11,0,14,0.719,5.988,5.682,4.495,,,,,,0.000,,,,,,
2020-03-04,NRU,,18,0,0,18,0,2,0,2,0,0,0,163,0,184,0,0,0,0,2,0,16,0.758,5.965,5.555,4.525,,,,,,0.000,,,,,,
2020-03-05,NRU,,28,0,0,28,0,0,0,1,0,0,0,0,0,727,0,0,0,0,16,0,12,0.469,5.911,5.807,4.105,,,-0.059,-0.052,0.083,,,,,,,
2020-03-06,NRU,,23,0,0,23,0,0,1,0,0,0,0,0,726,0,0,0,0,0,6,0,17,-0.202,,,,,,,,,1.000,,,,,,
2020-03-07,NRU,,28,0,0,28,0,0,0,1,0,0,0,0,0,17,0,0,0,0,9,0,19,-0.121,6.280,5.360,3.320,,,,,,,,,,,,
2020-03-08,NRU,,31,2,0,29,0,3,1,2,0,0,0,2293,251,4471,0,0,0,0,11,0,20,0.058,5.575,5.294,4.393,,,,-0.013,0.100,0.099,,,,,,
2020-03-09,NRU,,14,0,0,14,0,0,0,1,0,0,0,0,0,16,0,0,0,0,12,0,2,0.835,5.948,5.373,4.196,,,-0.059,,0.093,,,,,,,
2020-03-10,NRU,,23,2,0,21,0,0,0,5,0,0,0,0,0,1914,0,0,0,0,12,0,11,0.117,6.827,6.043,4.540,,,,,,,,,,,,
2020-03-11,NRU,,23,0,0,23,0,1,4,1,0,0,0,64,831,1027,0,0,0,0,7,0,16,-0.122,5.628,5.695,3.684,,,-0.059,,0.083,0.928,,,,,,
2020-03-12,NRU,,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,-0.266,5.294,5.440,4.708,,,-0.059,,0.080,,,,,,,
