datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,TUN,ar,76,16,1,59,0,7,3,15,3,11,0,7,0,0,3,0,0,0,0,0,5,3,0,0,1333,5526,131153,0,0,0,0,29,0,47,-0.1345,5.2097,5.0810,4.2742,,,-0.0426,0.0333,0.0744,0.8057,,0.3750,,0.3750,,,,,
2020-01-23,TUN,ar,191,51,2,138,4,14,10,37,9,25,2,12,0,0,3,2,5,1,0,1,10,7,0,0,27223,57028,2248473,34,0,103,3,75,0,113,-0.0745,5.3724,5.2237,4.3758,-0.0005,,-0.0407,-0.0156,0.0742,0.6769,0.0000,0.4118,,0.4118,,,,,
2020-01-24,TUN,ar,508,145,9,354,20,58,14,89,31,52,1,57,0,1,9,3,1,3,2,6,37,9,2,0,145593,14312,3649900,242,1657,243669,3,209,0,296,0.0604,5.4442,5.2646,4.3639,-0.0790,0.0476,-0.0373,0.0020,0.0805,0.0895,0.8726,0.1957,0.0000,0.1875,,,,,
2020-01-25,TUN,ar,807,193,17,597,32,80,23,90,31,52,3,77,0,1,12,7,3,0,0,1,64,13,0,1,106737,144508,6886256,0,0,715,8,326,0,473,-0.0129,5.3694,5.2155,4.2862,-0.0407,-0.0008,-0.0174,-0.0092,0.0696,0.5752,,0.1688,1.0000,0.1795,,,,,
2020-01-26,TUN,ar,552,117,24,411,23,37,20,95,25,43,0,37,0,4,7,4,5,0,1,6,29,18,0,0,115121,158128,2942818,0,49,22983,4,221,0,327,-0.1648,5.1364,5.1451,4.2576,,,-0.0449,-0.0018,0.0707,0.5787,1.0000,0.3830,,0.3830,,,,,
2020-01-27,TUN,ar,455,123,13,319,6,37,18,95,37,44,4,33,1,0,13,4,0,0,0,2,26,16,2,0,100990,29483,6900318,0,0,6240,4,176,1,274,-0.1740,5.2218,5.2502,4.3445,-0.0476,-0.0532,-0.0252,0.0114,0.0557,0.2260,,0.3810,0.0000,0.3636,,,,,
2020-01-28,TUN,ar,416,122,9,285,12,37,20,86,34,47,3,34,0,6,12,2,0,0,0,4,29,18,0,0,74703,28935,8993100,0,0,17783,11,135,0,270,-0.0287,5.3183,5.3211,4.2448,-0.0322,-0.0479,-0.0298,-0.0069,0.0695,0.2792,,0.3830,,0.3830,,,,,
2020-01-29,TUN,ar,601,160,11,430,21,33,30,89,24,62,1,32,0,5,19,6,0,1,0,4,23,21,0,0,34435,141066,7051038,208,0,12310,7,201,0,393,-0.1492,5.2156,5.2151,4.3404,-0.0562,-0.0578,-0.0387,0.0026,0.0723,0.8038,0.0000,0.4773,,0.4773,,,,,
2020-01-30,TUN,ar,710,230,4,476,30,40,12,103,28,65,1,39,0,0,9,2,1,0,0,4,23,9,0,0,99241,52563,9246021,0,0,2307,6,273,0,431,-0.1380,5.2803,5.2344,4.2629,-0.0500,-0.0426,-0.0412,-0.0006,0.0724,0.3463,,0.2812,,0.2812,,,,,
2020-01-31,TUN,ar,668,207,16,445,31,32,18,100,25,59,0,32,0,3,10,3,2,0,0,5,20,10,0,1,83138,24900,5949866,0,0,14365,4,296,0,368,-0.1368,5.1654,5.2001,4.3276,-0.0442,-0.0385,-0.0361,-0.0052,0.0724,0.2305,,0.3333,1.0000,0.3548,,,,,
2020-02-01,TUN,ar,510,138,87,285,22,36,11,135,15,110,0,36,0,3,4,0,4,0,0,4,18,7,5,1,83389,20064,7327805,0,0,5902,11,222,0,277,-0.1014,5.1985,5.2517,4.3441,-0.0434,-0.0430,-0.0453,0.0092,0.0727,0.1939,,0.2800,0.1667,0.2581,,,,,
2020-02-02,TUN,ar,473,143,16,314,17,27,10,71,15,46,2,25,0,4,5,1,0,1,0,2,16,7,1,0,73566,7646,12533514,49,0,3886,6,169,1,297,-0.0550,5.3365,5.2594,4.3407,-0.0461,-0.0526,-0.0355,0.0323,0.0721,0.0941,0.0000,0.3043,0.0000,0.2917,,,,,
2020-02-03,TUN,ar,425,155,11,259,24,26,4,101,28,61,0,26,0,1,1,0,2,0,0,6,17,3,1,0,76130,3345,14227417,0,0,2561,11,129,5,280,-0.0744,5.1253,5.1905,4.3953,-0.0500,0.0486,-0.0457,-0.0027,0.0809,0.0421,,0.1500,0.0000,0.1429,,,,,
2020-02-04,TUN,ar,362,116,15,231,14,17,11,67,20,42,1,16,0,0,3,4,4,0,0,1,10,7,1,0,22092,23052,9243210,0,0,40,8,112,1,241,-0.1874,5.0481,5.0162,4.4012,-0.0272,-0.0266,-0.0414,0.0019,0.0726,0.5106,,0.4118,0.0000,0.3889,,,,,
2020-02-05,TUN,ar,337,75,11,251,11,19,6,42,15,26,1,18,0,0,4,0,2,0,0,0,15,6,2,0,31891,4527,2866958,0,0,0,4,188,0,145,-0.1264,5.1774,5.1465,4.3068,-0.0090,0.0035,-0.0443,0.0102,0.0811,0.1243,,0.2857,0.0000,0.2609,,,,,
2020-02-06,TUN,ar,328,67,7,254,25,28,9,50,14,33,0,28,0,0,9,0,0,0,2,2,19,7,0,0,47089,26484,5236758,0,122,108,8,170,0,150,-0.2733,5.0341,5.0737,4.3793,-0.0429,-0.0521,-0.0441,-0.0087,0.0762,0.3600,1.0000,0.2692,,0.2692,,,,,
