datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,OMN,ar,79,6,0,73,2,9,6,23,0.4000,6,16,2,7,0,0,4,2,0,0,0,1,8,5,0,0,4492,2677,137505,0,0,201,2,27,0,50,-0.0922,5.1817,5.1838,4.2999,-0.0597,-0.0010,-0.0392,-0.0021,0.0772,0.3734,,0.3846,,0.3846,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-23,OMN,ar,138,19,1,118,6,21,3,21,0.1250,8,12,1,20,0,0,3,0,0,1,0,3,20,2,0,0,8380,6251,708595,1747,0,200744,10,67,1,60,-0.0426,5.4895,5.3087,4.4581,0.0413,0.0485,-0.0391,0.0186,0.0732,0.4272,0.0000,0.0909,,0.0909,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-24,OMN,ar,243,21,9,213,31,18,5,28,0.2174,9,19,1,17,0,1,4,0,0,2,0,0,17,5,0,0,17037,1288,163419,9931,0,0,2,56,0,185,0.0291,5.5978,5.4320,4.3190,-0.0651,-0.0491,-0.0456,0.0026,0.0781,0.0703,0.0000,0.2273,,0.2273,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-25,OMN,ar,488,70,7,411,125,44,9,41,0.1698,9,30,0,44,0,1,6,2,0,7,5,10,40,6,1,0,38746,9307,359778,3915,8906,131026,1,211,3,273,-0.0698,5.4302,5.3079,4.3564,-0.0495,-0.0008,-0.0346,0.0188,0.0787,0.1937,0.6946,0.1304,0.0000,0.1277,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-26,OMN,ar,546,71,6,469,137,39,11,79,0.2200,32,43,0,39,0,0,10,1,0,3,0,20,36,10,0,0,28116,3837,1968940,759,0,214680,25,170,2,349,-0.1355,5.4027,5.2791,4.2531,-0.0247,-0.0516,-0.0462,0.0024,0.0742,0.1201,0.0000,0.2174,,0.2174,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-27,OMN,ar,337,55,4,278,30,29,4,69,0.1212,27,35,3,26,0,0,3,1,0,2,1,9,27,4,0,0,14903,5291,776899,1106,2592,206309,13,164,5,155,-0.1162,5.1795,5.1961,4.3533,-0.0420,-0.0534,-0.0433,0.0169,0.0764,0.2620,0.7009,0.1290,,0.1290,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-28,OMN,ar,346,56,8,282,17,48,15,55,0.2381,22,32,3,45,0,0,13,2,0,5,1,0,44,15,0,0,97136,5424,286982,1406,204,0,7,207,2,130,-0.1438,5.2676,5.2979,4.2486,-0.0455,-0.0491,-0.0340,0.0167,0.0687,0.0529,0.1267,0.2542,,0.2542,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-29,OMN,ar,415,94,8,313,25,22,6,43,0.2143,10,33,2,20,0,0,5,0,1,0,0,2,19,4,0,1,7456,14914,411194,0,0,101863,19,212,1,183,-0.0827,5.2589,5.2587,4.3256,-0.0660,-0.0578,-0.0443,-0.0052,0.0758,0.6667,,0.1739,1.0000,0.2083,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-30,OMN,ar,581,112,5,464,24,25,5,51,0.1667,6,29,0,25,1,1,2,1,0,1,0,0,22,3,0,0,10112,1605,701475,188,0,0,27,179,1,374,-0.1159,5.2192,5.1660,4.3154,-0.0638,-0.0463,-0.0461,-0.0049,0.0753,0.1370,0.0000,0.1200,,0.1200,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-01-31,OMN,ar,527,90,4,433,79,23,7,29,0.2333,8,17,1,22,0,1,6,0,0,4,0,1,16,7,0,0,49622,1610,349052,2697,0,28306,15,218,0,294,-0.0564,5.2646,5.2682,4.3232,-0.0734,-0.0363,-0.0456,-0.0067,0.0751,0.0314,0.0000,0.3043,,0.3043,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-02-01,OMN,ar,288,41,7,240,29,14,5,35,0.2632,4,27,0,14,0,0,3,0,2,2,1,6,7,3,1,0,9639,13423,69235,6271,6226,55828,2,150,0,136,-0.1848,5.1837,5.1888,4.2362,-0.0030,-0.0544,-0.0461,0.0003,0.0743,0.5820,0.4982,0.3000,0.0000,0.2727,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-02-02,OMN,ar,446,90,10,346,9,23,7,40,0.2333,9,27,0,23,0,0,5,2,0,0,0,0,19,5,1,0,31261,2595,787653,0,0,0,22,252,0,172,-0.0475,5.3899,5.3116,4.2925,-0.0228,-0.0254,-0.0422,0.0219,0.0739,0.0766,,0.2083,0.0000,0.2000,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-02-03,OMN,ar,343,62,23,258,43,15,5,16,0.2500,2,13,0,15,0,0,5,0,0,0,0,1,10,5,0,0,8762,1168,417753,0,0,26,16,185,1,141,-0.0698,5.3377,5.3117,4.2730,-0.0343,-0.0002,-0.0457,-0.0030,0.0756,0.1176,,0.3333,,0.3333,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-02-04,OMN,ar,361,53,13,295,6,31,3,20,0.0882,6,12,2,29,0,0,2,1,0,0,1,1,29,2,0,0,6689,2319,143015,0,1221,640,13,233,2,113,-0.1858,5.1769,5.1772,4.2818,-0.0269,-0.0082,-0.0504,0.0272,0.0769,0.2574,1.0000,0.0645,,0.0645,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
2020-02-05,OMN,ar,260,60,6,194,16,19,1,28,0.0500,10,14,0,19,0,0,1,0,0,1,0,1,12,1,0,0,34062,2552,220551,48,0,1073,10,53,3,194,-0.1279,5.2394,5.2282,4.3154,-0.0434,-0.0414,-0.0471,-0.0036,0.0789,0.0697,0.0000,0.0769,,0.0769,,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5106622,1.6000
