datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,904,148,69,214,5948944,460454,22906484,,40,366,9,489,-0.2079,5.22816,4.2723,5.22474,,,,,,6,142,0,1,59,8,0,50,16,0,0,0,
2020-01-23,1726,214,97,328,3443880,711111,32475244,0.17115,64,707,8,947,-0.03715,5.26103,4.37351,5.32993,-0.01783,-0.07372,0.02581,0.01852,-0.08734,11,203,0,2,72,22,0,58,30,0,0,0,
2020-01-24,3332,299,161,586,2181757,412014,35932573,0.15885,94,1350,5,1883,0.00484,5.31424,4.39371,5.37027,,,,,,14,285,0,1,87,71,0,140,37,0,0,0,
2020-01-25,6339,437,204,873,1958700,1153176,41559895,0.37057,107,2663,14,3555,-0.09905,5.22822,4.37744,5.23779,-0.03567,-0.04066,-0.04337,0.07239,-0.07312,8,429,0,5,91,105,0,163,70,0,0,0,
2020-01-26,5168,403,119,738,4123075,446576,41445677,0.09773,78,2154,28,2908,0.01124,5.272,4.23384,5.39348,-0.01843,-0.06258,-0.00969,0.06421,-0.06155,3,400,0,2,66,47,0,148,121,0,0,0,
2020-01-27,5871,340,214,794,4807066,3510917,59454302,0.42209,130,2408,45,3288,-0.09083,5.1075,4.38351,5.10804,-0.02956,-0.04195,-0.03806,0.07105,-0.0674,11,329,0,0,176,34,0,139,131,0,0,0,
2020-01-28,6566,375,190,866,6346633,554045,57180162,0.08029,180,2692,15,3679,-0.04088,5.17003,4.32961,5.1337,,,,,,31,344,2,1,125,58,0,167,121,0,0,0,
2020-01-29,6220,254,64,899,2762921,525350,70430011,0.15976,213,2586,14,3407,-0.03142,5.24109,4.3177,5.2897,0.01951,-0.0668,0.04919,-0.01436,-0.03554,13,241,1,3,36,23,0,108,90,0,0,0,
2020-01-30,9976,440,152,1065,4551926,771719,70946858,0.14496,231,4104,30,5611,0.03365,5.24546,4.30129,5.32217,-0.05788,-0.08062,-0.04799,0.07617,-0.08649,15,425,0,11,100,40,0,140,182,0,0,0,
2020-01-31,11689,485,143,1507,5873424,928547,79393773,0.13651,231,4789,46,6623,-0.05763,5.1972,4.35552,5.20689,-0.04691,-0.04765,-0.05295,0.07977,-0.04489,11,474,0,18,47,69,0,161,347,0,0,0,
2020-02-01,13220,248,127,1353,6401760,2643558,54582313,0.29226,153,4353,65,8649,-0.05389,5.25884,4.24217,5.29681,-0.07201,-0.0833,-0.05934,0.08347,-0.11159,17,231,0,17,26,76,0,141,193,0,0,0,
2020-02-02,10723,379,106,1089,5167522,1917094,63967602,0.2706,215,4171,64,6273,0.10619,5.35401,4.31644,5.44272,-0.02217,-0.01723,-0.01676,0.04803,-0.01514,15,364,0,3,45,58,0,154,124,0,0,0,
2020-02-03,8237,255,75,1108,1383559,2615179,75649025,0.654,205,3368,16,4648,-0.00907,5.25824,4.36252,5.29143,-0.0526,-0.05301,-0.05934,0.08233,-0.0614,5,250,1,1,40,33,0,139,226,0,0,0,
2020-02-04,5579,198,58,812,1426761,639044,76980256,0.30934,157,2294,18,3110,-0.06935,5.22388,4.35986,5.18779,-0.03136,-0.0338,-0.03592,0.07485,-0.02887,5,193,0,0,26,28,0,111,54,0,0,0,
2020-02-05,3747,139,49,526,340081,963440,23371965,0.73911,102,1603,21,2021,0.02033,5.26969,4.2715,5.35279,-0.02946,-0.05929,-0.01104,0.0516,-0.03263,3,136,1,2,26,19,0,98,32,0,0,0,
2020-02-06,3418,145,48,583,380577,400377,41685693,0.51268,80,1493,11,1834,-0.08465,5.19213,4.37808,5.20237,,,,,,3,142,0,2,35,11,0,87,62,0,0,0,
2020-02-07,3921,339,51,668,6371691,172013,65310955,0.02629,137,1739,27,2018,-0.11584,5.18319,4.40568,5.15043,-0.0538,-0.04842,-0.05934,0.05508,-0.05215,3,336,0,1,16,33,0,98,39,0,0,0,
2020-02-08,3055,299,44,545,960618,444731,46296748,0.31646,89,1227,21,1718,-0.1172,5.15731,4.32925,5.12052,-0.05431,-0.04445,-0.05934,-0.00345,-0.04757,4,295,1,2,16,22,0,89,82,0,0,0,
2020-02-09,6034,164,30,441,793130,42030,21161623,0.05033,42,2198,18,3776,0.06724,5.32247,4.35377,5.36876,-0.04486,-0.05844,-0.04337,0.06796,-0.06192,8,156,0,6,17,7,0,100,68,0,0,0,
2020-02-10,2809,203,43,485,1997267,104297,33076709,0.04963,71,1088,32,1618,-0.06789,5.20233,4.3077,5.18814,-0.06472,-0.07873,-0.05373,0.02603,-0.10236,7,196,0,1,19,23,0,76,48,0,0,0,
2020-02-11,3866,180,37,511,6398505,68147,52427221,0.01054,104,1538,29,2195,0.21638,5.40016,4.24942,5.39482,-0.00838,-0.04383,0.00452,0.01871,0.00281,2,178,0,1,30,6,0,81,40,0,0,0,
2020-02-12,2747,143,34,584,1670317,128368,47680599,0.07137,101,1219,11,1416,0.0024,5.22365,4.31928,5.235,-0.04609,-0.04877,-0.05934,0.0695,-0.04186,3,140,0,1,24,8,0,80,59,0,0,0,
2020-02-13,2872,163,43,541,1066005,313470,47042055,0.22724,109,1285,7,1471,-0.02911,5.27414,4.28476,5.29681,-0.03773,-0.0494,-0.04794,0.07449,-0.04364,2,161,0,13,15,14,0,93,16,0,0,0,
2020-02-14,2302,125,47,417,1668191,211157,28987193,0.11236,77,927,2,1296,-0.07548,5.21753,4.28301,5.26942,-0.03979,-0.04973,-0.05022,0.07095,-0.0426,5,120,0,16,18,9,0,61,55,0,0,0,
2020-02-15,2144,135,20,358,2342156,184511,42241385,0.07303,78,897,11,1158,-0.07013,5.23069,4.35607,5.22822,-0.05289,-0.05231,-0.05934,0.06025,-0.04388,3,132,0,2,11,5,0,46,37,0,0,0,
2020-02-16,2126,238,23,301,665173,137276,25627059,0.17107,50,863,6,1207,-0.00166,5.27544,4.31558,5.35054,-0.05538,-0.05549,-0.05934,0.08478,-0.04656,1,237,0,2,16,4,0,39,45,0,0,0,
2020-02-17,2118,114,37,387,287184,72487,20267361,0.20154,59,774,10,1275,-0.02271,5.25673,4.33363,5.27092,,,,,,2,112,0,5,22,8,0,55,51,0,0,0,
2020-02-18,2262,85,47,485,503054,444381,50621168,0.46904,88,983,19,1172,-0.03072,5.18643,4.3691,5.24348,-0.04484,-0.06568,-0.01769,0.05802,-0.07601,2,83,0,0,17,28,0,97,52,0,0,0,
2020-02-19,2019,85,42,411,576025,292175,24896644,0.33653,54,812,21,1132,-0.05154,5.26222,4.34093,5.26599,-0.01937,-0.0833,0.06839,-0.04401,-0.11159,2,83,0,10,18,13,0,83,56,0,0,0,
2020-02-20,2146,79,28,462,726556,132528,49093571,0.15427,88,846,24,1188,0.05698,5.29117,4.33424,5.33819,,,,,,4,75,0,3,10,12,0,64,33,0,0,0,
2020-02-21,2168,128,28,448,4509297,114705,36471027,0.02481,68,1017,8,1075,-0.01328,5.32502,4.3256,5.31683,0.01182,-0.04553,0.06001,-0.03163,-0.00638,1,127,0,4,20,4,0,58,23,0,0,0,
2020-02-22,2678,173,18,555,471726,115105,40734024,0.19615,99,1208,9,1362,-0.10381,5.25324,4.33419,5.21604,-0.05692,0.04739,-0.05934,0.04015,0.03765,6,167,0,0,11,6,0,73,37,0,0,0,
2020-02-23,4854,271,59,640,4762969,523486,47363092,0.09902,114,1950,11,2779,-0.07582,5.18452,4.27454,5.1498,-0.01795,-0.05116,-0.01336,0.05101,-0.02662,5,266,0,2,27,30,0,134,64,0,0,0,
2020-02-24,6333,293,64,785,2575420,473197,62791735,0.15522,132,2536,52,3613,-0.12542,5.23735,4.26764,5.2392,-0.00555,-0.01911,0.00164,0.03452,0.00361,1,292,0,4,33,25,0,142,57,0,0,0,
2020-02-25,5479,225,83,906,1291873,527159,66469789,0.2898,127,2316,34,3002,0.01771,5.32787,4.30909,5.34357,-0.01989,-0.05159,0.01573,0.0206,-0.03172,4,221,0,2,43,36,0,121,115,0,0,0,
