datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,PCN,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,
2020-01-23,PCN,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2020-01-24,PCN,,6,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,1,0,5,,,,,,,,,,0.0000,,,,,,
2020-01-25,PCN,,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,-0.7720,3.9030,4.0440,5.4590,,,,,0.1180,,,,,,,
2020-01-26,PCN,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,,6.2050,5.9750,4.0250,,,,,,,,,,,,
2020-01-27,PCN,,4,1,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,2,0,2,-0.6120,4.6660,5.0920,4.8080,,,,,-0.0070,,,,,,,
2020-01-28,PCN,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,3.7100,4.7630,4.6170,,,,,,,,,,,,
2020-01-29,PCN,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
2020-01-30,PCN,,5,3,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,356,356,0,0,0,0,1,0,4,-0.5990,3.9930,4.7530,4.3870,,,,,0.0810,1.0000,,,,,,
2020-01-31,PCN,,17,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,-0.3880,5.0120,5.1060,4.3370,0.0490,-0.0400,-0.0020,0.0330,0.0550,,,,,,,
2020-02-01,PCN,,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.5070,5.5820,5.3380,4.3030,,-0.0400,-0.0050,,0.0630,,,,,,,
2020-02-02,PCN,,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,-0.5820,4.9470,4.9950,4.1040,,-0.0410,-0.0380,-0.0460,0.0750,,,,,,,
2020-02-03,PCN,,9,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0.0620,4.4800,5.0840,4.5350,0.0490,-0.0190,-0.0360,0.0210,0.0360,,,,,,,
2020-02-04,PCN,,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,,5.3290,5.4390,4.3020,,,-0.0230,,0.0640,,,,,,,
2020-02-05,PCN,,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,5.9230,5.4580,4.0700,,,0.0730,,0.0610,,,,,,,
2020-02-06,PCN,,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,1,-0.7720,5.1210,5.4540,4.2760,,,-0.0270,,0.0830,,,,,,,
2020-02-07,PCN,,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,-0.8590,4.8970,5.1610,4.3170,,,-0.0150,,0.0690,,,,,,,
2020-02-08,PCN,,4,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,1,0,3,0.1610,5.6830,5.3220,4.2190,,,-0.0590,,0.0910,0.0000,,,,,,
2020-02-09,PCN,,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,,5.6130,5.4990,4.2190,,,0.0090,-0.0140,,,,,,,,
2020-02-10,PCN,,13,5,3,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,13,-0.0290,4.9460,5.2720,4.4300,,,-0.0530,,0.0890,0.0000,,,,,,
2020-02-11,PCN,,11,4,3,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,4,0,7,-0.2580,5.4970,5.1040,4.0270,,,-0.0350,,0.0630,0.0000,,,,,,
2020-02-12,PCN,,7,4,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,5,0,2,0.0130,5.0050,5.3610,4.3620,,,-0.0590,,0.0830,0.0000,,,,,,
2020-02-13,PCN,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,5.7700,5.5820,4.5000,,-0.0080,-0.0150,,0.0840,,,,,,,
2020-02-14,PCN,,4,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,4,0,0,,5.1710,5.1260,3.9180,,,-0.0360,,0.0830,0.0000,,,,,,
2020-02-15,PCN,,5,1,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,5,0,0,0.0160,6.1760,5.8070,4.7160,,,-0.0500,,0.0180,0.0000,,,,,,
2020-02-16,PCN,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-0.2500,5.3180,5.4490,4.0060,,,-0.0180,,0.0860,,,,,,,
2020-02-17,PCN,,5,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,4,0,1,0.0670,5.0430,5.4180,4.2190,,,-0.0590,,0.0830,,,,,,,
