datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,PNG,109,8,3,15,4977,3214,20655,0,41,0,68,-0.093,5.315,5.215,4.237,-0.017,0.048,-0.043,0.009,0.074,0.392,,0,0,0
2020-01-23,PNG,254,26,20,39,45107,45642,95953,0,110,0,144,0.036,5.667,5.409,4.485,-0.041,-0.049,-0.034,-0.018,0.080,0.503,,0,0,0
2020-01-24,PNG,360,31,9,42,41056,5476,62623,0,154,0,206,0.126,5.965,5.643,4.516,-0.033,0.014,-0.027,-0.005,0.073,0.118,,0,0,0
2020-01-25,PNG,776,52,20,56,420413,73117,94523,1,272,0,503,-0.147,5.415,5.301,4.299,0.002,-0.049,-0.020,0.007,0.051,0.148,,0,0,0
2020-01-26,PNG,866,63,20,98,239727,94640,288083,0,315,0,551,-0.152,5.245,5.154,4.320,-0.046,-0.054,-0.041,-0.007,0.063,0.283,,0,0,0
2020-01-27,PNG,663,56,20,110,120651,48669,216102,0,265,1,397,-0.202,5.217,5.237,4.359,-0.064,-0.057,-0.031,0.022,0.056,0.287,,0,0,0
2020-01-28,PNG,579,37,17,91,109489,34737,155547,3,193,1,382,-0.131,5.167,5.268,4.269,-0.048,-0.049,-0.028,-0.001,0.060,0.241,,0,0,0
2020-01-29,PNG,675,25,16,67,25836,33157,136908,4,247,0,424,-0.068,5.306,5.257,4.402,-0.066,-0.047,-0.035,-0.001,0.072,0.562,,0,0,0
2020-01-30,PNG,859,21,24,97,48956,51642,112614,3,349,2,505,-0.029,5.180,5.187,4.247,-0.049,-0.050,-0.034,0.010,0.061,0.513,,0,0,0
2020-01-31,PNG,715,25,10,53,101792,33306,118716,2,289,0,424,-0.057,5.166,5.245,4.325,-0.045,-0.050,-0.037,0.001,0.064,0.247,,0,0,0
2020-02-01,PNG,428,16,7,51,59611,1415,73403,2,146,0,280,-0.127,5.169,5.265,4.375,-0.055,-0.052,-0.044,-0.016,0.075,0.023,,0,0,0
2020-02-02,PNG,423,21,6,28,31820,33103,99648,2,180,0,241,-0.086,5.204,5.240,4.227,0.001,-0.049,-0.040,0.024,0.072,0.510,,0,0,0
