datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,POL,pl,655,108,62,25,138,8,1,47,126074,41148,2781182,5327,90,2554897,13,290,1,351,0.081,5.454,5.299,4.259,-0.056,-0.053,-0.053,-0.019,0.081,0.246,0.017,,,,,
2020-01-23,POL,pl,1392,168,157,53,194,18,6,61,410629,666133,4009833,37489,9178,3641450,13,550,1,828,-0.031,5.592,5.362,4.425,-0.040,-0.003,-0.045,-0.001,0.079,0.619,0.197,,,,,
2020-01-24,POL,pl,3618,704,282,95,361,39,17,119,384939,125055,3854390,108536,34743,3371545,18,1516,5,2079,0.117,5.843,5.536,4.422,-0.066,-0.015,-0.031,-0.007,0.073,0.245,0.242,,,,,
2020-01-25,POL,pl,5716,968,423,136,529,54,55,200,1374402,839758,6141081,227229,95459,4890355,27,2299,7,3383,-0.059,5.433,5.309,4.260,-0.029,-0.035,-0.031,-0.002,0.064,0.379,0.296,,,,,
2020-01-26,POL,pl,5069,1096,328,106,645,52,13,266,515248,120210,6916969,47030,19054,6238787,31,2039,9,2990,-0.151,5.262,5.166,4.316,-0.034,-0.049,-0.045,-0.004,0.070,0.189,0.288,,,,,
2020-01-27,POL,pl,3968,1223,273,66,603,33,6,289,325783,90438,6733943,53312,10258,6179899,24,1631,10,2303,-0.090,5.205,5.204,4.436,-0.042,-0.049,-0.030,0.019,0.062,0.217,0.161,,,,,
2020-01-28,POL,pl,3534,1158,235,63,582,58,4,271,694283,51073,8184775,454145,2110,7623220,33,1420,14,2067,-0.100,5.319,5.321,4.265,-0.039,-0.040,-0.027,0.003,0.060,0.069,0.005,,,,,
2020-01-29,POL,pl,3319,791,211,61,273,60,11,80,382275,50008,1744100,193288,17668,1335912,24,1318,18,1959,-0.099,5.258,5.195,4.323,-0.061,-0.043,-0.037,-0.003,0.067,0.116,0.084,,,,,
2020-01-30,POL,pl,4328,788,209,99,415,21,5,77,279208,87619,2868543,33459,7742,1681397,30,1768,11,2519,-0.055,5.233,5.234,4.268,-0.043,-0.044,-0.036,0.020,0.066,0.239,0.188,,,,,
2020-01-31,POL,pl,4045,756,184,75,330,30,2,58,345642,82946,3648132,36726,813,3068905,25,1780,2,2238,-0.113,5.173,5.235,4.310,-0.046,-0.049,-0.039,-0.004,0.067,0.194,0.022,,,,,
2020-02-01,POL,pl,2432,521,108,42,208,23,1,45,534404,45362,1534458,6886,48,1251034,25,996,6,1405,-0.145,5.123,5.193,4.339,-0.045,-0.047,-0.045,-0.017,0.075,0.078,0.007,,,,,
2020-02-02,POL,pl,2789,804,138,37,223,22,8,61,193645,24958,5758445,26218,6975,5294427,13,1137,21,1618,-0.150,5.191,5.225,4.302,-0.026,-0.030,-0.043,0.007,0.074,0.114,0.210,,,,,
2020-02-03,POL,pl,2005,581,96,25,230,18,3,59,777244,26899,1673682,44238,7879,973091,20,795,7,1183,-0.152,5.143,5.151,4.347,-0.023,-0.024,-0.042,-0.003,0.078,0.033,0.151,,,,,
2020-02-04,POL,pl,2095,561,93,35,264,13,2,55,732198,66225,5019581,611946,934,4592623,31,752,4,1308,-0.197,5.127,5.125,4.330,-0.025,-0.032,-0.044,-0.002,0.073,0.083,0.002,,,,,
