datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,PRT,747,44,25,226,236003,257208,20671365,52,290,11,394,-0.000,5.543,5.356,4.202,-0.048,,-0.052,-0.049,0.085,0.521,,0,0,0
2020-01-23,PRT,1283,98,44,370,321935,100556,32967786,83,511,17,672,0.000,5.535,5.314,4.433,-0.052,-0.037,-0.043,-0.003,0.080,0.238,,0,0,0
2020-01-24,PRT,2512,212,59,557,491874,129991,35080821,103,1067,7,1335,0.134,5.891,5.564,4.495,-0.063,0.007,-0.025,-0.020,0.069,0.209,,0,0,0
2020-01-25,PRT,4171,261,42,615,792403,108099,26063898,69,1725,9,2368,-0.040,5.509,5.314,4.349,-0.032,0.000,-0.028,-0.005,0.067,0.120,,0,0,0
2020-01-26,PRT,4618,217,56,579,926120,134786,22826776,61,1860,7,2690,-0.091,5.384,5.238,4.382,-0.041,-0.047,-0.042,-0.002,0.069,0.127,,0,0,0
2020-01-27,PRT,4869,161,50,782,677356,445826,34182243,97,2073,16,2683,0.171,5.229,5.337,4.776,-0.056,-0.056,0.000,0.024,0.035,0.397,,0,0,0
2020-01-28,PRT,5485,187,68,832,859900,198883,55563708,133,2290,24,3038,-0.174,5.176,5.265,4.382,-0.042,-0.045,0.023,0.027,0.015,0.188,,0,0,0
2020-01-29,PRT,4719,127,50,520,930486,74782,46399234,104,1906,22,2687,-0.070,5.263,5.196,4.406,-0.057,-0.049,-0.034,0.007,0.067,0.074,,0,0,0
2020-01-30,PRT,4390,169,43,668,857142,91164,54889834,122,1774,26,2468,-0.129,5.137,5.157,4.302,-0.045,-0.049,-0.044,0.006,0.074,0.096,,0,0,0
2020-01-31,PRT,11348,164,60,717,831918,75617,44004106,109,4625,13,6601,-0.217,4.958,5.105,4.445,-0.053,-0.049,-0.038,-0.014,0.074,0.083,,0,0,0
2020-02-01,PRT,6235,90,37,353,228660,234788,26075446,55,2539,6,3635,-0.118,5.174,5.298,4.497,-0.050,-0.052,-0.044,-0.020,0.076,0.507,,0,0,0
2020-02-02,PRT,3902,97,32,427,514531,44011,25748227,71,1489,16,2326,-0.020,5.275,5.251,4.402,-0.035,-0.023,-0.043,0.010,0.075,0.079,,0,0,0
2020-02-03,PRT,1947,79,36,415,357721,19186,38765897,93,715,15,1124,-0.055,5.201,5.191,4.408,-0.029,-0.032,-0.042,0.011,0.078,0.051,,0,0,0
2020-02-04,PRT,2265,65,22,455,1025030,108410,36382289,82,871,10,1302,-0.097,5.189,5.168,4.316,-0.034,-0.044,-0.041,-0.005,0.073,0.096,,0,0,0
2020-02-05,PRT,2005,67,14,491,569026,15807,37409290,89,811,3,1102,-0.066,5.176,5.212,4.332,-0.029,-0.048,-0.046,0.004,0.077,0.027,,0,0,0
2020-02-06,PRT,1797,82,23,472,927674,36375,44710191,115,659,1,1022,-0.167,5.095,5.154,4.408,-0.032,-0.029,-0.039,0.007,0.070,0.038,,0,0,0
2020-02-07,PRT,2029,748,18,356,1506726,35585,27678853,79,869,2,1079,0.062,5.100,5.149,4.343,-0.027,-0.023,-0.050,-0.004,0.076,0.023,,0,0,0
2020-02-08,PRT,2360,810,20,293,810314,204918,18530187,42,1006,1,1311,0.179,4.969,5.138,4.312,-0.049,-0.097,-0.033,0.011,0.077,0.202,,0,0,0
2020-02-09,PRT,1951,210,19,368,496338,179036,17792729,40,773,5,1133,0.007,5.250,5.304,4.311,-0.009,-0.037,-0.036,-0.003,0.075,0.265,,0,0,0
2020-02-10,PRT,1450,104,25,441,711504,532388,26557300,67,634,8,741,-0.055,5.182,5.198,4.307,-0.040,-0.010,-0.044,-0.005,0.078,0.428,,0,0,0
2020-02-11,PRT,1328,89,17,350,608396,67949,32021069,70,543,12,703,-0.068,5.228,5.221,4.268,-0.054,-0.053,-0.036,0.004,0.075,0.100,,0,0,0
2020-02-12,PRT,1317,80,17,293,779731,29443,25674703,52,567,14,684,-0.104,5.185,5.186,4.276,-0.064,-0.013,-0.045,0.008,0.080,0.036,,0,0,0
2020-02-13,PRT,1226,73,15,240,627955,20624,24363547,73,508,5,640,-0.099,5.317,5.308,4.340,-0.043,-0.047,-0.039,-0.009,0.074,0.032,,0,0,0
2020-02-14,PRT,889,112,19,211,397019,61721,24982349,54,413,5,417,-0.114,5.300,5.232,4.258,-0.038,-0.043,-0.043,-0.016,0.072,0.135,,0,0,0
2020-02-15,PRT,800,72,8,177,420560,27496,18659640,41,326,4,429,-0.148,5.031,5.067,4.370,-0.041,-0.051,-0.045,0.007,0.073,0.061,,0,0,0
2020-02-16,PRT,2758,959,21,243,789787,40692,18655180,45,1118,9,1586,-0.021,5.279,5.228,4.280,-0.044,-0.054,-0.040,0.006,0.069,0.049,,0,0,0
2020-02-17,PRT,1009,74,14,299,539151,12771,25100779,65,413,7,524,-0.059,5.291,5.272,4.339,-0.052,-0.056,-0.048,-0.011,0.076,0.023,,0,0,0
2020-02-18,PRT,1641,69,15,257,618436,15099,22758091,48,696,19,878,-0.298,5.404,5.231,4.422,-0.034,-0.035,0.034,0.031,0.039,0.024,,0,0,0
2020-02-19,PRT,1083,36,16,241,469001,26964,13529245,30,454,15,584,-0.279,5.410,5.262,4.399,-0.038,-0.042,0.040,0.033,0.033,0.054,,0,0,0
2020-02-20,PRT,659,39,4,160,154190,3378,12362196,27,261,13,358,-0.029,5.357,5.291,4.306,-0.028,-0.026,-0.024,0.031,0.068,0.021,,0,0,0
2020-02-21,PRT,1032,79,16,235,323632,48004,20772398,57,450,5,520,-0.002,5.375,5.312,4.211,-0.031,-0.014,-0.033,0.013,0.073,0.129,,0,0,0
2020-02-22,PRT,1603,97,19,326,274723,200168,23452443,66,697,5,835,-0.058,5.294,5.276,4.224,-0.030,-0.019,-0.033,0.003,0.074,0.422,,0,0,0
