datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,PYF,,12,5,0,7,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18058,0,0,0,0,6,0,6,0.0440,5.2350,5.2190,4.0930,,,,,0.0990,,,,,,,
2020-01-23,PYF,,28,8,2,18,0,3,0,4,2,2,0,3,0,0,0,0,0,0,0,0,15284,0,20127,0,0,0,0,10,0,18,0.3540,6.3720,5.7000,3.6480,-0.0410,-0.0490,-0.0590,,0.0830,0.0000,,,,,,
2020-01-24,PYF,,77,17,0,60,0,2,5,10,4,6,0,2,0,1,4,0,0,0,0,0,3403,55676,39795,0,0,0,0,33,0,44,0.0520,5.7830,5.5810,4.3890,,0.0480,-0.0220,0.0330,0.0600,0.9420,,,,,,
2020-01-25,PYF,,118,17,6,95,0,9,5,15,3,12,0,9,0,1,1,3,0,0,0,0,7708,2623,30979,0,0,0,0,26,0,92,0.0780,5.4270,5.3160,4.3700,,,0.0100,,0.0530,0.2540,,,,,,
2020-01-26,PYF,,102,19,2,81,0,5,0,10,3,4,0,5,0,0,0,0,0,0,0,0,18717,0,11843,0,0,0,0,47,0,55,0.0080,5.6120,5.1880,4.4840,,,-0.0590,-0.0110,0.0820,0.0000,,,,,,
2020-01-27,PYF,,90,23,3,64,0,4,3,10,5,4,0,4,0,0,2,1,0,0,0,0,4643,17161,32446,0,0,0,0,59,0,31,-0.0500,5.1300,5.2020,4.4290,-0.0790,-0.0570,-0.0110,-0.0010,0.0470,0.7870,,,,,,
2020-01-28,PYF,,84,24,8,52,0,2,3,12,3,8,0,2,0,0,2,1,0,0,0,0,897,5307,28836,0,0,0,0,55,0,29,0.0400,5.3820,5.4370,4.1440,,,0.0200,0.0330,0.0160,0.8550,,,,,,
2020-01-29,PYF,,56,12,6,38,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,12077,0,0,0,0,24,0,32,0.0550,5.1660,5.2230,4.4620,,,-0.0590,,0.0690,,,,,,,
2020-01-30,PYF,,101,30,5,66,0,6,2,7,1,5,0,6,0,0,2,0,0,0,0,0,19820,501,7784,0,0,0,0,42,0,59,0.1000,5.5230,5.4550,4.1210,-0.0410,-0.0310,-0.0370,0.0070,0.0660,0.0250,,,,,,
2020-01-31,PYF,,97,24,1,72,0,2,2,15,10,4,0,2,0,0,2,0,0,0,0,0,6590,900,34106,0,0,0,0,47,0,50,0.0650,5.2060,5.3400,4.2620,-0.0490,-0.0540,-0.0290,0.0130,0.0660,0.1200,,,,,,
2020-02-01,PYF,,71,11,3,57,0,1,3,13,6,7,0,1,0,0,3,0,0,0,0,0,15,17208,46171,0,0,0,0,29,0,42,-0.1180,5.2360,5.2240,4.3840,-0.0800,-0.0680,-0.0590,,0.0840,0.9990,,,,,,
2020-02-02,PYF,,56,9,0,47,0,2,1,6,2,4,0,2,0,0,0,1,0,0,0,0,933,886,7227,0,0,0,0,24,0,32,0.1270,5.4670,5.4440,4.1460,,,-0.0590,,0.0880,0.4870,,,,,,
2020-02-03,PYF,,67,12,0,55,0,1,2,10,4,2,0,1,0,0,2,0,0,0,0,0,47,94,18087,0,0,0,0,17,0,50,-0.0780,5.2260,5.0840,4.1580,-0.0790,-0.0630,-0.0490,-0.0570,0.0700,0.6670,,,,,,
