datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,QAT,ar,75,20,2,53,0,12,5,16,4,11,0,12,0,0,4,1,0,0,0,0,18900496,42625,179392,0,0,0,14,23,1,37,-0.1030,5.2090,5.2120,4.2030,,,-0.0490,,0.0870,0.0020,,,0,0,0,0
2020-01-23,QAT,ar,154,34,6,114,7,35,13,32,12,19,6,29,0,0,10,3,0,3,2,0,44293114,629717,532167,150382,536501,0,22,63,3,66,-0.0660,5.5020,5.3050,4.3510,,,-0.0450,-0.0250,0.0830,0.0140,0.7810,,0,0,0,0
2020-01-24,QAT,ar,287,63,31,193,10,77,19,38,16,18,1,76,0,0,12,7,0,0,2,0,125090489,77489,167258,0,2550,0,25,78,31,153,0.0080,5.4050,5.2670,4.3850,-0.0420,-0.0040,-0.0350,-0.0230,0.0770,0.0010,1.0000,,0,0,0,0
2020-01-25,QAT,ar,567,97,34,436,54,102,17,56,19,35,0,102,0,1,11,5,0,3,4,4,129742451,135747,847979,617,21303,16232,48,196,6,317,-0.1830,5.2130,5.1200,4.2960,-0.0390,-0.0600,-0.0320,0.0000,0.0650,0.0010,0.9720,,0,0,0,0
2020-01-26,QAT,ar,525,96,36,393,33,89,15,52,21,26,0,89,0,2,12,1,0,2,0,4,113122541,200265,365679,25846,0,107785,57,177,2,289,-0.1940,5.1660,5.0760,4.3430,-0.0620,-0.0730,-0.0360,0.0150,0.0740,0.0020,0.0000,,0,0,0,0
2020-01-27,QAT,ar,394,92,21,281,22,56,20,51,10,31,0,56,0,0,18,2,0,1,0,1,75725949,167378,2301635,772,0,2157,46,139,6,203,-0.3380,5.0750,5.0850,4.4400,-0.0380,-0.0510,-0.0410,0.0240,0.0780,0.0020,0.0000,,0,0,0,0
2020-01-28,QAT,ar,385,123,20,242,21,43,18,59,26,29,0,43,0,0,16,2,0,0,0,6,57873760,192659,5531113,0,0,4593418,50,150,0,185,-0.2610,5.1700,5.2270,4.2810,-0.0410,-0.0270,-0.0280,0.0160,0.0670,0.0030,,,0,0,0,0
2020-01-29,QAT,ar,447,107,7,333,23,39,6,31,11,18,0,39,0,4,2,0,0,8,1,0,27973050,9029,325386,23289,1012,0,31,175,7,234,0.0280,5.4540,5.2840,4.3060,-0.0720,-0.0640,-0.0310,0.0210,0.0610,0.0000,0.0420,,0,0,0,0
2020-01-30,QAT,ar,734,159,32,543,51,64,24,59,15,29,0,64,0,3,21,0,0,7,1,0,88371681,70094,250552,23732,512,0,56,267,4,407,-0.0320,5.2440,5.2230,4.2740,-0.0540,-0.0440,-0.0400,0.0100,0.0700,0.0010,0.0210,,0,0,0,0
2020-01-31,QAT,ar,670,121,34,515,29,63,14,43,12,25,2,61,1,0,11,2,0,5,1,1,64363061,129752,378241,10373,2145,190,63,217,10,380,-0.0740,5.2440,5.2200,4.3140,-0.0590,-0.0520,-0.0450,0.0000,0.0690,0.0020,0.1710,,0,0,0,0
2020-02-01,QAT,ar,415,88,27,300,12,60,5,55,22,33,2,58,0,0,3,0,2,2,0,0,49182920,75647,419962,107895,0,0,45,130,3,237,-0.1190,5.0640,5.2110,4.3100,-0.0160,-0.0240,-0.0440,0.0070,0.0730,0.0020,0.0000,,0,0,0,0
2020-02-02,QAT,ar,501,126,30,345,36,49,15,48,8,39,0,49,0,1,10,3,1,0,0,2,34305416,162661,345072,0,0,5195,64,230,1,206,-0.0970,5.1420,5.1880,4.3310,-0.0330,-0.0340,-0.0430,0.0100,0.0720,0.0050,,,0,0,0,0
2020-02-03,QAT,ar,346,101,10,235,20,28,3,51,10,37,0,28,0,1,1,1,0,0,0,1,26980265,3039,514656,0,0,2154,38,134,1,173,-0.1030,5.1770,5.2290,4.3500,-0.0110,,-0.0360,0.0200,0.0730,0.0000,,,0,0,0,0
2020-02-04,QAT,ar,262,87,12,163,9,17,4,36,4,30,1,16,1,0,3,0,0,0,1,0,29495674,43184,393748,0,2767,0,43,80,0,139,-0.1370,5.1100,5.1260,4.3530,-0.0360,-0.0470,-0.0400,0.0110,0.0740,0.0010,1.0000,,0,0,0,0
2020-02-05,QAT,ar,230,70,19,141,5,28,3,31,12,19,1,27,0,0,2,1,0,1,0,0,57517371,31383,196073,12777,0,0,51,64,1,114,-0.1280,5.2650,5.2260,4.3480,-0.0120,-0.0190,-0.0410,-0.0060,0.0730,0.0010,0.0000,,0,0,0,0
2020-02-06,QAT,ar,236,74,13,149,15,22,4,36,16,17,0,22,1,0,3,0,0,0,1,0,26971765,33347,131823,0,92,0,31,70,3,132,-0.1890,5.1610,5.1350,4.3290,-0.0400,-0.0490,-0.0420,0.0010,0.0720,0.0010,1.0000,,0,0,0,0
2020-02-07,QAT,ar,248,68,18,162,10,43,2,33,8,22,0,43,0,0,2,0,0,0,0,3,43340472,2174,248380,0,0,6447,46,82,1,119,-0.2330,5.0090,5.1080,4.4110,-0.0210,0.0020,-0.0410,0.0270,0.0730,0.0000,,,0,0,0,0
2020-02-08,QAT,ar,302,83,29,190,16,56,6,54,20,31,1,55,0,1,2,3,0,0,0,1,52400750,21780,381445,0,0,2152,43,93,0,166,-0.1750,5.2360,5.2330,4.3360,-0.0130,-0.0480,-0.0470,-0.0030,0.0790,0.0000,,,0,0,0,0
2020-02-09,QAT,ar,222,72,22,128,9,26,3,43,21,21,0,26,0,0,3,0,0,0,0,0,44384797,93549,529078,0,0,0,52,72,0,98,-0.1430,5.3060,5.1720,4.3100,0.0020,,-0.0510,0.0330,0.0830,0.0020,,,0,0,0,0
2020-02-10,QAT,ar,257,90,32,135,14,34,5,39,14,23,0,34,0,0,4,1,0,0,1,0,64990150,77244,305140,0,1442,0,66,65,2,124,-0.1070,5.2450,5.2320,4.2630,0.0490,-0.0160,-0.0500,0.0330,0.0830,0.0010,1.0000,,0,0,0,0
2020-02-11,QAT,ar,260,76,21,163,11,37,2,32,12,20,0,37,0,0,2,0,0,0,0,0,50238755,3214,187961,0,0,0,38,88,2,132,-0.1040,5.0970,5.1360,4.3110,-0.0030,-0.0550,-0.0340,0.0170,0.0750,0.0000,,,0,0,0,0
2020-02-12,QAT,ar,196,61,19,116,12,22,3,30,11,18,0,22,0,0,3,0,0,0,0,1,40237110,70032,223268,0,0,1674,39,54,1,102,-0.0960,5.1620,5.1640,4.3460,-0.0470,-0.0190,-0.0390,0.0010,0.0690,0.0020,,,0,0,0,0
2020-02-13,QAT,ar,173,67,14,92,15,16,8,31,8,14,0,16,0,3,5,0,0,0,2,1,23815273,70570,127276,0,5459,2933,35,58,1,79,-0.2220,5.1850,5.1410,4.3290,-0.0420,-0.0490,-0.0420,-0.0260,0.0740,0.0030,1.0000,,0,0,0,0
2020-02-14,QAT,ar,169,65,4,100,11,18,4,25,4,20,1,17,0,1,3,0,0,1,0,0,26461827,1121,192474,1993,0,0,24,63,0,82,-0.0830,5.3140,5.3050,4.2950,-0.0420,-0.0490,-0.0480,-0.0290,0.0800,0.0000,0.0000,,0,0,0,0
2020-02-15,QAT,ar,174,64,24,86,7,44,1,29,2,24,0,44,0,0,1,0,0,0,0,0,55749851,31362,143174,0,0,0,40,56,0,78,-0.1810,5.2290,5.1940,4.3540,,,-0.0470,,0.0880,0.0010,,,0,0,0,0
2020-02-16,QAT,ar,157,52,12,93,5,44,1,19,5,14,0,44,0,0,1,0,0,1,0,0,22281116,31362,338737,109,0,0,37,50,0,70,-0.0760,5.3410,5.2630,4.3580,-0.0820,-0.0740,-0.0460,-0.0220,0.0800,0.0010,0.0000,,0,0,0,0
2020-02-17,QAT,ar,124,52,12,60,3,18,1,24,3,21,0,18,0,0,0,0,1,0,0,0,42901768,241,332058,0,0,0,37,43,0,44,-0.1010,5.1890,5.1840,4.3720,0.0050,-0.0020,-0.0490,0.0330,0.0800,0.0000,,,0,0,0,0
2020-02-18,QAT,ar,149,55,16,78,10,17,4,30,6,23,0,17,0,0,3,1,0,0,1,0,19654568,11084,287261,0,652,0,43,56,0,50,-0.1020,5.1770,5.1770,4.3160,,,-0.0350,0.0330,0.0780,0.0010,1.0000,,0,0,0,0
2020-02-19,QAT,ar,158,56,15,87,9,18,9,32,10,22,0,18,0,0,6,3,0,0,0,0,44557203,65563,247585,0,0,0,35,64,1,58,-0.1990,5.1160,5.1930,4.5160,-0.0410,-0.0490,-0.0120,0.0330,0.0670,0.0010,,,0,0,0,0
