datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,SAH,"ar,es,fr",5,0,0,5,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1054,0,527,0,0,0,0,4,0,1,0.6184,7.1050,6.1758,4.5542,,,0.0038,,,0,,0,,0,,,,,
2020-01-24,SAH,"ar,es,fr",6,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,1,0,5,0.2533,6.6284,5.9455,4.6033,,,-0.0118,,0.0570,,,,,,,,,,
2020-01-25,SAH,"ar,es,fr",5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,-0.1568,5.6159,5.3370,4.4912,,,-0.0357,-0.0511,0.0788,,,,,,,,,,
2020-01-26,SAH,"ar,es,fr",12,0,0,12,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,664,664,0,0,0,0,1,0,11,-0.0835,5.7166,5.3986,4.3696,,,-0.0593,-0.0293,0.0794,1,,1,,1,,,,,
2020-01-27,SAH,"ar,es,fr",9,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,3,0,6,-0.1231,5.1595,5.3244,4.5889,,,-0.0168,0.0333,0.0268,,,,,,,,,,
2020-01-28,SAH,"ar,es,fr",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4767,6.0922,5.9011,3.7833,,,-0.0593,,0.0504,,,,,,,,,,
2020-01-29,SAH,"ar,es,fr",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,
2020-01-30,SAH,"ar,es,fr",7,1,0,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,527,0,0,0,0,0,1,0,6,,,,,,,,,,1,,1,,1,,,,,
2020-01-31,SAH,"ar,es,fr",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.5246,,,,,,,,,,,,,,,,,,
2020-02-01,SAH,"ar,es,fr",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
2020-02-02,SAH,"ar,es,fr",5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,-0.3373,5.5338,5.0469,3.9888,,,-0.0593,,0.0817,,,,,,,,,,
2020-02-03,SAH,"ar,es,fr",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3032,,,,,,,,,,,,,,,,,,
2020-02-04,SAH,"ar,es,fr",3,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,2,0,1,-0.4129,5.1133,5.2133,3.7800,,,,,0.0886,,,,,,,,,,
2020-02-05,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,SAH,"ar,es,fr",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.8271,4.4867,4.9483,5.0000,,,,,,,,,,,,,,,
2020-02-07,SAH,"ar,es,fr",4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0838,7.1600,6.4933,2.9833,,,,-0.0066,,,,,,,,,,,
2020-02-08,SAH,"ar,es,fr",4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.0122,5.7543,5.4063,4.2505,,,-0.0593,,0.0941,,,,,,,,,,
2020-02-09,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,SAH,"ar,es,fr",4,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,4,-0.2127,4.9360,5.7840,4.6400,,0.0509,-0.0130,,0.0835,,,,,,,,,,
2020-02-11,SAH,"ar,es,fr",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,
2020-02-12,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,SAH,"ar,es,fr",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7079,,,,,,,,,,,,,,,,,,
2020-02-15,SAH,"ar,es,fr",3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.3812,5.2309,5.4822,4.0819,-0.0362,-0.0113,-0.0593,-0.0516,0.0483,,,,,,,,,,
2020-02-16,SAH,"ar,es,fr",4,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,138,0,0,0,0,0,0,1,0,3,0.8779,5.9238,5.6825,3.9537,-0.0362,-0.0113,-0.0593,-0.0516,0.0483,0,,0,,0,,,,,
2020-02-17,SAH,"ar,es,fr",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
2020-02-18,SAH,"ar,es,fr",2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.1866,5.5425,5.2137,4.5075,,,0.0730,0.0333,0.0065,,,,,,,,,,
2020-02-19,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,SAH,"ar,es,fr",2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,9,0,0,0,2,,5.8950,6.2900,3.8650,,,,,,,,,,,,,,,
2020-02-21,SAH,"ar,es,fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,SAH,"ar,es,fr",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,6.0819,5.7626,4.0239,,,0.0094,,0.0849,,,,,,,,,,
2020-02-23,SAH,"ar,es,fr",3,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,655,0,0,0,0,0,0,1,0,2,-0.3400,5.3829,5.1973,4.3444,,,-0.0593,,0.0184,0,,0,,0,,,,,
2020-02-24,SAH,"ar,es,fr",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,3.9883,5.1400,4.3150,,,,,,,,,,,,,,,
2020-02-25,SAH,"ar,es,fr",12,0,0,12,12,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,358,0,0,358,0,0,0,9,0,3,-0.1293,,,,,,,,,0,0,0,,0,,,,,
2020-02-26,SAH,"ar,es,fr",6,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,,5.1494,5.5802,4.5646,,,0.0094,,0.0828,,,,,,,,,,
2020-02-27,SAH,"ar,es,fr",10,1,0,9,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,0,0,0,0,0,0,10,-0.0602,5.3450,5.3155,3.8973,,,-0.0593,,0.0835,,,,,,,,,,
2020-02-28,SAH,"ar,es,fr",7,2,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,7,0.2549,6.0288,5.6000,4.4319,,,-0.0593,,0.0835,1,,,,,,,,,
2020-02-29,SAH,"ar,es,fr",5,1,0,4,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,539,0,0,361,0,3,0,2,-0.1948,5.6400,5.2867,4.4533,,,,,,,,,,,,,,,
2020-03-01,SAH,"ar,es,fr",6,1,0,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,792,0,0,0,0,0,5,0,1,-0.1950,5.6900,5.4831,4.1794,,,-0.0593,,0.0835,1,,1,,1,,,,,
2020-03-02,SAH,"ar,es,fr",6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5749,6.2385,5.9265,4.2608,,,,,,,,,,,,,,,
2020-03-03,SAH,"ar,es,fr",8,1,0,7,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179,0,362,0,0,0,0,2,0,6,0.1181,4.8204,4.9329,4.7267,,,-0.0593,,0.0615,0,,,,,,,,,
2020-03-04,SAH,"ar,es,fr",4,0,0,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,724,0,0,724,0,3,0,1,0.6148,4.2751,4.7488,4.4283,,,0.0199,,0.0584,,,,,,,,,,
2020-03-05,SAH,"ar,es,fr",5,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.3064,6.3350,5.4900,3.5300,,,,,,,,,,,,,,,
2020-03-06,SAH,"ar,es,fr",3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,145,0,0,0,0,0,0,2,0,1,0.3373,5.6350,5.2400,3.2800,,,,,,0,,0,,0,,,,,
2020-03-07,SAH,"ar,es,fr",8,1,0,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,364,0,0,0,0,0,0,4,0,4,-0.3342,5.3117,5.4079,4.2784,,,-0.0579,,0.0881,0,,0,,0,,,,,
2020-03-08,SAH,"ar,es,fr",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3373,,,,,,,,,,,,,,,,,,
2020-03-09,SAH,"ar,es,fr",2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,0,0,1,0,1,-0.8689,5.6511,5.1944,4.1267,,,-0.0593,,0.0835,,,,,,,,,,
2020-03-10,SAH,"ar,es,fr",18,1,0,17,13,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1242,0,0,1242,0,14,0,4,0.0347,4.3157,4.6972,4.5350,,,-0.0341,-0.0470,0.0835,,,,,,,,,,
2020-03-11,SAH,"ar,es,fr",4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0187,5.6044,5.3133,4.6567,,,,,,,,,,,,,,,
2020-03-12,SAH,"ar,es,fr",9,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0.2094,5.4200,5.0086,4.5071,,,,,,,,,,,,,,,
2020-03-13,SAH,"ar,es,fr",7,2,0,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,362,0,0,362,0,3,0,4,-0.1078,6.0913,5.6550,5.2397,,,,,,,,,,,,,,,
2020-03-14,SAH,"ar,es,fr",10,0,0,10,5,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,362,0,362,362,0,362,0,7,0,3,0.0994,5.1236,5.0807,4.8793,,,0.0842,,,0,0,0,,0,,,,,
2020-03-15,SAH,"ar,es,fr",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,-0.0536,5.8908,5.6483,4.2450,-0.0407,-0.0491,,,,,,,,,,,,,
2020-03-16,SAH,"ar,es,fr",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.0822,6.6517,6.2750,4.4188,,,,,0.1223,,,,,,,,,,
