datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,SEN,fr,128,86,9,2,39,5,0,31,37954,859,261348,12759,0,254863,1,66,0,61,0.189,5.274,5.194,4.213,,,-0.049,,0.085,0.022,0.000,,,,,
2020-01-23,SEN,fr,278,156,14,4,50,8,0,34,23193,877,710062,13522,0,421826,1,129,0,148,0.309,6.348,5.800,4.663,,,-0.024,0.033,0.080,0.036,0.000,,,,,
2020-01-24,SEN,fr,623,374,36,9,59,18,2,43,156111,40160,451923,100078,6787,391342,2,233,1,387,0.270,6.250,5.789,4.443,-0.041,0.028,-0.019,0.017,0.068,0.205,0.064,,,,,
2020-01-25,SEN,fr,1078,797,67,4,74,58,2,59,168361,8118,226354,156254,86,164714,0,446,0,632,-0.098,5.508,5.315,4.264,-0.038,-0.061,-0.036,0.012,0.059,0.046,0.001,,,,,
2020-01-26,SEN,fr,713,433,34,9,75,16,2,54,121313,31791,373862,53266,189,310629,1,283,1,428,0.036,5.635,5.419,4.152,0.044,-0.054,-0.047,-0.006,0.076,0.208,0.004,,,,,
2020-01-27,SEN,fr,814,601,21,3,77,6,2,60,38240,3989,1083160,26670,3827,965162,2,309,0,503,-0.018,5.306,5.374,4.533,-0.056,-0.046,0.004,0.033,0.028,0.094,0.125,,,,,
2020-01-28,SEN,fr,760,508,27,4,184,14,2,106,442739,2791,1487404,112638,2251,1165569,6,341,0,413,-0.168,5.181,5.273,4.270,-0.048,0.004,-0.003,0.022,0.046,0.006,0.020,,,,,
2020-01-29,SEN,fr,545,308,14,5,65,9,1,41,67377,10186,306674,56108,1723,74079,1,248,0,296,-0.191,5.217,5.054,4.519,-0.075,-0.059,-0.043,-0.002,0.073,0.131,0.030,,,,,
2020-01-30,SEN,fr,645,394,16,6,119,5,0,92,34850,9418,822359,16796,0,665920,1,249,0,395,-0.030,5.290,5.094,4.324,-0.002,,-0.032,0.022,0.065,0.213,0.000,,,,,
2020-01-31,SEN,fr,429,221,13,8,72,3,1,60,47745,8997,736409,16533,11,716338,8,186,0,235,-0.159,5.109,5.156,4.200,-0.045,-0.045,-0.037,-0.008,0.068,0.159,0.001,,,,,
2020-02-01,SEN,fr,230,104,5,4,35,0,1,24,211037,16575,134441,0,174,66479,3,90,0,137,-0.057,5.403,5.539,4.381,,0.014,-0.045,-0.010,0.074,0.073,1.000,,,,,
2020-02-02,SEN,fr,437,282,12,0,27,3,0,18,245213,0,99785,4620,0,23891,1,174,0,262,0.014,5.293,5.282,4.241,,,-0.040,0.033,0.068,0.000,0.000,,,,,
2020-02-03,SEN,fr,673,493,11,0,375,0,0,303,57847,0,2010456,0,0,1706011,1,286,0,386,-0.128,5.243,5.172,4.417,-0.040,,-0.030,0.023,0.066,0.000,,,,,,
2020-02-04,SEN,fr,805,559,11,1,269,5,0,217,182415,1874,1999157,7668,0,1809873,1,328,0,476,-0.090,5.236,5.243,4.270,-0.041,-0.049,-0.042,-0.001,0.076,0.010,0.000,,,,,
2020-02-05,SEN,fr,884,665,16,2,493,9,1,377,40255,1649,2234254,21371,1194,1867045,4,376,1,503,0.021,5.469,5.420,4.246,,,-0.047,-0.008,0.078,0.039,0.053,,,,,
2020-02-06,SEN,fr,600,455,11,3,166,4,0,138,30856,4737,1605294,5163,0,1262418,2,254,0,344,-0.358,5.002,5.163,4.324,-0.047,,-0.035,-0.007,0.072,0.133,0.000,,,,,
2020-02-07,SEN,fr,539,343,76,2,98,5,1,82,194116,272,540578,24881,162,463022,8,238,0,293,-0.148,5.103,5.159,4.362,-0.052,-0.060,-0.038,-0.025,0.073,0.001,0.006,,,,,
2020-02-08,SEN,fr,558,358,153,1,77,81,1,54,366190,1858,640890,144346,1858,401091,1,268,0,289,0.007,5.111,5.220,4.257,,,-0.051,,0.081,0.005,0.013,,,,,
2020-02-09,SEN,fr,555,402,65,2,218,38,1,177,111316,9912,822817,44235,35,594075,1,222,0,332,-0.001,5.069,5.283,4.333,-0.043,,-0.048,0.032,0.077,0.082,0.001,,,,,
2020-02-10,SEN,fr,462,378,21,4,208,13,2,195,378734,1022,858409,40294,416,762668,4,186,2,270,-0.044,5.113,5.094,4.328,-0.047,-0.055,-0.052,-0.055,0.074,0.003,0.010,,,,,
2020-02-11,SEN,fr,392,307,16,1,120,9,1,111,352690,95,593670,26040,95,588638,5,190,0,197,-0.128,5.204,5.270,4.329,,0.049,-0.021,0.033,0.073,0.000,0.004,,,,,
2020-02-12,SEN,fr,271,213,6,1,74,4,0,68,6844,25,1137075,6128,0,1134037,2,132,0,137,0.090,5.076,5.086,4.169,-0.044,-0.051,-0.043,-0.003,0.069,0.004,0.000,,,,,
2020-02-13,SEN,fr,263,185,18,3,61,9,2,46,219201,4654,149959,17391,4378,113313,0,132,0,131,-0.147,5.222,5.199,4.222,-0.042,-0.049,-0.047,-0.046,0.082,0.021,0.201,,,,,
2020-02-14,SEN,fr,269,201,2,2,68,0,0,53,8165,20269,660105,0,0,628620,2,121,0,146,-0.103,5.349,5.487,4.458,,,-0.038,0.037,0.069,0.713,,,,,,
2020-02-15,SEN,fr,288,220,26,4,73,6,3,56,69868,41055,626115,18771,33313,113649,0,140,0,148,-0.161,5.349,5.234,4.272,,,-0.031,0.033,0.083,0.370,0.640,,,,,
2020-02-16,SEN,fr,277,152,63,2,35,8,1,27,89071,10096,126463,12019,142,59111,0,110,0,167,-0.075,5.401,5.111,4.428,,,-0.043,0.010,0.086,0.102,0.012,,,,,
2020-02-17,SEN,fr,180,140,9,0,29,8,0,25,16279,0,297058,15150,0,285799,0,78,0,102,0.138,5.613,5.472,4.258,,0.056,-0.047,0.031,0.083,0.000,0.000,,,,,
2020-02-18,SEN,fr,192,150,2,0,55,2,0,46,176,0,374300,176,0,349518,0,89,0,103,-0.197,5.494,5.323,4.277,,,0.005,0.033,0.055,0.000,0.000,,,,,
2020-02-19,SEN,fr,167,100,4,2,51,2,1,43,7941,386,346378,3887,169,341783,4,82,0,81,-0.250,5.119,5.145,4.356,,,-0.020,0.033,0.072,0.046,0.042,,,,,
2020-02-20,SEN,fr,122,71,3,0,33,0,0,23,3860,0,61374,0,0,37470,1,53,0,68,-0.065,5.262,5.286,4.267,,,-0.038,0.033,0.066,0.000,,,,,,
