datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,SGP,"en,ms,zh,ta",869,200,18,651,758,169,31,183,0.1550,80,95,1,168,0,1,27,2,1,152,22,162,101,24,0,1,7764668,13333,4518725,7754450,9771,4510858,40,352,21,456,-0.1264,5.2324,5.2294,4.2577,-0.0353,-0.0386,-0.0438,0.0098,0.0761,0.0017,0.0013,0.1920,1.0000,0.1984,0.0035,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-23,SGP,"en,ms,zh,ta",2405,379,57,1969,2193,387,107,294,0.2166,89,188,27,360,0,4,85,17,1,355,100,258,263,88,6,1,12068244,249490,10369182,11091396,204462,9242299,67,1001,37,1300,0.0536,5.7886,5.5052,4.4677,-0.0293,-0.0083,-0.0352,0.0150,0.0734,0.0203,0.0181,0.2507,0.1429,0.2486,-0.0053,0,0.0000,0,0.0000,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-24,SGP,"en,ms,zh,ta",5329,787,73,4469,4741,485,97,369,0.1667,156,192,14,471,0,4,63,22,8,433,86,318,336,79,5,2,14345602,116627,6483745,14303277,109371,6399604,81,2180,8,3060,0.0255,5.7376,5.4495,4.3831,-0.0529,-0.0113,-0.0295,-0.0134,0.0660,0.0081,0.0076,0.1904,0.2857,0.1919,0.0014,3,0.5130,3,0.5130,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-25,SGP,"en,ms,zh,ta",6509,728,102,5679,5391,425,84,368,0.1650,156,189,14,411,0,15,43,21,5,334,73,297,272,65,14,1,13445954,214951,5597964,10185566,84568,5245001,64,2571,18,3856,-0.1997,5.4765,5.3167,4.2835,-0.0408,-0.0229,-0.0367,-0.0121,0.0657,0.0157,0.0082,0.1929,0.0667,0.1875,,3,0.5130,0,0.0000,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-26,SGP,"en,ms,zh,ta",7911,762,115,7034,6602,343,111,467,0.2445,113,256,5,338,0,23,51,24,13,299,100,391,221,95,16,4,14464985,148357,5042031,14427855,142950,4930345,65,3187,18,4641,-0.1607,5.3439,5.1626,4.3779,-0.0381,-0.0448,-0.0421,0.0094,0.0687,0.0102,0.0098,0.3006,0.2000,0.2946,,4,0.6840,1,0.1710,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-27,SGP,"en,ms,zh,ta",4907,698,98,4111,4188,574,88,462,0.1329,150,258,13,561,0,0,65,16,7,502,79,389,425,77,14,0,17662304,102442,7432393,12347905,97580,7305128,64,2038,28,2777,-0.2141,5.1657,5.1122,4.4173,-0.0476,-0.0505,-0.0426,0.0066,0.0701,0.0058,0.0078,0.1534,0.0000,0.1492,,4,0.6840,0,0.0000,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-28,SGP,"en,ms,zh,ta",4982,1205,127,3650,4434,863,141,720,0.1404,232,447,19,844,1,25,84,24,7,807,132,608,596,123,18,2,34366432,528846,7287536,34188453,521534,6815235,145,1930,26,2881,-0.1330,5.2514,5.3207,4.2506,-0.0413,-0.0430,-0.0313,0.0075,0.0576,0.0152,0.0150,0.1711,0.1000,0.1691,0.0027,5,0.8550,1,0.1710,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-29,SGP,"en,ms,zh,ta",4669,1191,110,3368,3974,333,76,877,0.1858,525,338,12,321,5,23,21,17,10,282,68,742,147,48,5,3,28291730,155170,8669003,28198063,115592,8310335,143,1822,28,2676,-0.0287,5.2492,5.2087,4.3426,-0.0557,-0.0451,-0.0411,0.0078,0.0711,0.0055,0.0041,0.2462,0.3750,0.2512,0.0004,7,1.1970,2,0.3420,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-30,SGP,"en,ms,zh,ta",5173,1305,150,3718,4359,394,133,619,0.2524,264,265,11,383,5,50,54,19,5,347,112,468,190,105,8,1,26220979,209675,5757854,25231035,204044,5581590,135,2158,36,2844,-0.1090,5.2720,5.2227,4.2805,-0.0450,-0.0423,-0.0428,0.0138,0.0698,0.0079,0.0080,0.3559,0.1111,0.3487,-0.0039,10,1.7090,3,0.5130,0,0.0000,0,0.0000,,,,,5850343,2.4000
2020-01-31,SGP,"en,ms,zh,ta",5233,1331,123,3779,4599,613,123,793,0.1671,416,341,4,609,1,48,38,25,11,579,114,735,370,101,7,1,35471838,121695,22950103,33055495,119461,21843510,150,2225,52,2806,-0.2281,5.1637,5.2292,4.3286,-0.0488,-0.0472,-0.0410,0.0015,0.0685,0.0034,0.0036,0.2144,0.1250,0.2129,-0.0062,13,2.2220,3,0.5130,0,0.0000,0,0.0000,,,,,5850343,2.4000
