datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,SLE,en,34,19,6,1,3,1,1,3,4218,2421,857,179,2421,857,0,20,0,14,0.227,5.359,5.321,4.141,,,-0.041,,0.072,0.365,0.931,,,,,
2020-01-23,SLE,en,69,26,12,2,5,0,2,4,5511,1325,2674,0,1325,2579,0,27,0,42,0.072,5.802,5.529,4.497,,,-0.034,,0.085,0.194,1.000,,,,,
2020-01-24,SLE,en,213,68,20,3,10,2,2,4,51467,1752,19654,21912,283,12861,0,100,2,111,0.192,6.045,5.633,4.488,,,-0.028,,0.076,0.033,0.013,,,,,
2020-01-25,SLE,en,315,110,17,2,15,5,2,6,27269,587,22920,2426,587,15006,0,118,2,195,0.026,5.383,5.298,4.151,-0.061,-0.049,-0.023,0.008,0.050,0.021,0.195,,,,,
2020-01-26,SLE,en,192,132,8,4,11,4,4,8,3709,1890,12294,1294,1890,10100,0,90,0,102,-0.098,5.304,5.235,4.289,-0.042,-0.047,-0.052,-0.011,0.062,0.338,0.594,,,,,
2020-01-27,SLE,en,128,63,8,0,10,6,0,6,19809,0,7722,19445,0,3780,1,62,0,65,-0.211,5.275,5.217,4.398,-0.076,,-0.031,0.012,0.055,0.000,0.000,,,,,
2020-01-28,SLE,en,102,60,8,4,7,4,3,6,21524,2337,5064,19598,2244,4971,0,36,3,63,-0.038,5.650,5.566,4.116,-0.041,-0.049,-0.018,0.006,0.049,0.098,0.103,,,,,
2020-01-29,SLE,en,151,75,9,1,2,3,1,1,13615,728,1690,3077,728,1473,0,71,0,80,0.041,5.622,5.434,4.353,-0.079,,-0.044,0.021,0.057,0.051,0.191,,,,,
2020-01-30,SLE,en,295,173,11,6,25,3,3,14,12788,2924,10609,3402,981,6740,1,110,2,182,0.061,5.294,5.299,4.264,-0.063,-0.061,-0.025,0.018,0.048,0.186,0.224,,,,,
2020-01-31,SLE,en,223,107,3,3,3,1,3,1,13904,14489,1577,13726,14489,693,6,69,6,142,-0.069,5.244,5.294,4.187,-0.015,-0.047,-0.045,-0.009,0.069,0.510,0.514,,,,,
