datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,18,3,1,3,1901,359,455,,0,4,0,14,0.20316,5.04811,4.10192,5.02998,,,,,,0,0,0,
2020-01-23,33,8,2,5,6797,624,1806,,0,23,0,10,0.12573,5.53101,4.5922,5.78506,,,,,,0,0,0,
2020-01-24,81,15,5,7,6098,1892,8212,,0,27,0,54,0.22772,5.45861,4.34374,5.67853,,,,,,0,0,0,
2020-01-25,130,7,4,6,6422,2369,3096,,0,50,0,80,-0.01109,5.13729,4.21186,5.15278,,,,,,0,0,0,
2020-01-26,52,3,1,2,1829,358,2048,,0,22,0,30,-0.13348,5.23702,4.25708,5.41584,,,,,,0,0,0,
2020-01-27,45,2,0,5,1129,0,1219,,0,15,0,30,-0.16173,5.24514,4.28548,5.28908,,,,,,0,0,0,
2020-01-28,36,4,2,4,4310,530,1741,,0,15,0,21,0.47009,5.72264,4.04255,5.62637,,,,,,0,0,0,
2020-01-29,60,7,0,5,6099,0,2507,,0,27,0,33,-0.06844,5.08482,4.36595,5.04694,,,,,,0,0,0,
2020-01-30,96,3,2,9,814,1045,4527,,0,29,0,67,0.05477,5.24774,4.34691,5.19084,-0.07241,-0.09659,-0.05934,0.08347,-0.11313,0,0,0,
2020-01-31,78,2,0,9,31924,0,9620,,0,45,0,33,-0.13275,5.22757,4.19364,5.22648,,,,,,0,0,0,
2020-02-01,38,0,1,5,0,268,7588,,0,22,0,16,0.05529,5.54941,4.23994,5.43104,,,,,,0,0,0,
2020-02-02,51,1,3,7,276,2794,2312,,0,25,0,26,0.28324,5.26047,4.3058,5.3359,,,,,,0,0,0,
2020-02-03,28,2,0,9,381,0,7617,,0,11,0,17,0.23783,5.26111,4.09782,5.35237,,,,,,0,0,0,
2020-02-04,31,2,0,7,463,0,7348,,0,11,0,20,0.02048,5.18153,4.17949,5.27497,,,,,,0,0,0,
2020-02-05,23,1,1,5,306,357,1732,,0,10,0,13,0.26402,5.16296,4.68394,4.77018,,,,,,0,0,0,
2020-02-06,30,1,2,4,195,126,1293,,0,13,0,17,-0.36839,5.32254,4.33626,4.9906,,,,,,0,0,0,
2020-02-07,34,1,0,1,195,0,366,,0,14,0,20,-0.31524,5.33173,4.4882,5.44921,-0.05455,-0.05724,-0.05934,0.07242,-0.07772,0,0,0,
2020-02-08,23,2,1,4,4850,196,1107,,0,9,0,14,-0.25983,5.03152,4.36984,5.01723,,,,,,0,0,0,
2020-02-09,19,3,0,6,736,0,1775,,0,5,0,14,-0.01334,5.21333,4.0509,5.06407,,,,,,0,0,0,
2020-02-10,24,3,0,7,601,0,5988,,0,14,0,10,0.30405,5.34192,4.49831,5.30388,,,,,,0,0,0,
2020-02-11,19,0,0,8,0,0,2924,,0,11,0,8,0.00445,5.50119,4.17539,5.36067,,,,,,0,0,0,
