datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-10-05,SOM,"so,ar",186,35,9,142,0,2,0,16,0.0000,8,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1317,0,201621,0,0,0,18,76,1,91,0.1250,5.5957,5.5107,4.2185,-0.0496,-0.0334,-0.0472,-0.0182,0.0768,0.0000,,0.0000,,0.0000,,3745,235.6350,0,0.0000,99,6.2290,0,0.0000,,,,,15893219,0.9000
2020-01-22,SOM,"so,ar",29,8,0,21,0,2,5,5,0.7143,3,2,0,2,0,2,3,0,0,0,0,0,0,3,0,0,2058,2423,10626,0,0,0,0,13,0,16,-0.2391,5.1106,5.1436,4.2966,,,-0.0593,,0.0894,0.5407,,1.0000,,1.0000,,,,,,,,,,,,,,,
2020-01-23,SOM,"so,ar",74,18,4,52,0,11,3,11,0.2143,3,7,0,11,0,0,3,0,0,0,0,0,5,2,0,0,5688,1934,11779,0,0,0,0,22,0,52,-0.1395,5.4149,5.2044,4.3767,,,-0.0426,0.0137,0.0808,0.2537,,0.2857,,0.2857,,,,,,,,,,,,,,,
2020-01-24,SOM,"so,ar",160,43,1,116,0,24,5,24,0.1724,6,12,1,23,0,1,4,0,0,0,0,0,17,4,1,0,9713,841,19165,0,0,0,1,44,0,115,-0.1484,5.1237,5.1012,4.4151,-0.1153,-0.0163,-0.0484,-0.0494,0.0788,0.0797,,0.1905,0.0000,0.1818,,,,,,,,,,,,,,,
2020-01-25,SOM,"so,ar",242,51,5,186,2,26,5,27,0.1613,8,19,0,26,0,1,2,2,0,0,0,1,22,4,0,0,22310,3666,57514,0,0,302,0,111,0,131,-0.1765,5.3134,5.2610,4.2681,-0.0432,-0.0511,-0.0364,-0.0102,0.0716,0.1411,,0.1538,,0.1538,,,,,,,,,,,,,,,
2020-01-26,SOM,"so,ar",203,54,4,145,0,24,8,24,0.2500,10,11,1,23,0,0,6,2,0,0,0,0,13,4,0,0,22644,3564,85143,0,0,0,0,76,0,127,-0.1920,5.0702,5.0220,4.3678,-0.0011,-0.0359,-0.0406,-0.0085,0.0708,0.1360,,0.2353,,0.2353,,,,,,,,,,,,,,,
2020-01-27,SOM,"so,ar",182,40,4,138,0,14,8,31,0.3636,8,15,0,14,0,0,6,1,1,0,0,0,10,3,0,0,14943,3691,36998,0,0,0,1,69,0,112,-0.1302,5.0952,5.1371,4.4065,-0.0591,-0.0589,-0.0414,-0.0048,0.0716,0.1981,,0.2308,,0.2308,,,,,,,,,,,,,,,
2020-01-28,SOM,"so,ar",260,88,13,159,1,16,6,26,0.2727,9,17,1,15,0,2,4,0,0,0,0,0,9,4,1,0,30030,12170,160304,0,0,0,2,105,0,153,-0.2174,5.1422,5.2423,4.2587,-0.0375,-0.0185,-0.0385,-0.0031,0.0695,0.2884,,0.3077,0.0000,0.2857,,,,,,,,,,,,,,,
2020-01-29,SOM,"so,ar",319,93,8,218,2,35,3,23,0.0789,4,17,0,35,0,1,2,0,0,0,0,0,27,1,1,0,22205,774,81005,0,0,0,1,126,1,191,-0.1614,5.2805,5.1270,4.4174,-0.0279,-0.0354,-0.0417,0.0133,0.0706,0.0337,,0.0357,0.0000,0.0345,,,,,,,,,,,,,,,
2020-01-30,SOM,"so,ar",279,106,6,167,1,17,4,37,0.1905,4,28,3,14,0,0,1,3,0,0,0,1,12,2,0,0,13970,984,132194,0,0,83,0,122,0,157,-0.1201,5.1204,5.1591,4.2955,-0.0220,-0.0352,-0.0486,-0.0020,0.0760,0.0658,,0.1429,,0.1429,,,,,,,,,,,,,,,
