datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,SVK,sk,97,22,3,72,0,12,4,13,3,10,0,12,0,0,4,0,0,0,0,0,13356,1112,34457,0,0,0,1,33,1,62,0.171,5.478,5.293,4.266,,,-0.055,,0.079,0.077,,,,,,
2020-01-23,SVK,sk,130,28,1,101,0,32,5,18,5,13,2,30,0,0,3,2,0,0,0,0,42264,7277,27310,0,0,0,4,45,5,76,0.067,5.805,5.519,4.563,-0.061,,-0.041,-0.050,0.086,0.147,,,,,,
2020-01-24,SVK,sk,276,55,4,217,0,33,7,29,7,21,0,33,0,0,6,0,1,0,0,0,17028,8715,31358,0,0,0,2,99,3,172,0.229,5.806,5.515,4.371,-0.041,-0.017,-0.031,0.033,0.073,0.339,,,,,,
2020-01-25,SVK,sk,421,87,10,324,0,61,6,35,9,24,1,60,0,0,4,1,1,0,0,0,46280,3736,38998,0,0,0,2,178,1,240,-0.100,5.364,5.282,4.290,-0.041,-0.016,-0.042,0.012,0.067,0.075,,,,,,
2020-01-26,SVK,sk,359,70,18,271,0,33,8,28,5,19,1,32,0,1,4,3,0,0,0,0,235183,8663,30319,0,0,0,0,156,3,200,-0.139,5.168,5.111,4.289,-0.021,-0.030,-0.040,0.003,0.066,0.036,,,,,,
2020-01-27,SVK,sk,299,72,13,214,0,29,5,48,12,30,0,29,0,1,0,2,2,0,0,0,24734,4992,54805,0,0,0,3,148,2,146,-0.108,5.260,5.256,4.437,-0.053,-0.051,-0.049,-0.021,0.068,0.168,,,,,,
2020-01-28,SVK,sk,293,87,14,192,0,35,5,32,10,19,2,33,0,0,4,1,0,0,0,0,32330,19674,23165,0,0,0,1,116,2,174,-0.118,5.243,5.267,4.318,-0.034,-0.051,-0.003,0.016,0.039,0.378,,,,,,
2020-01-29,SVK,sk,303,65,12,226,0,21,11,19,5,12,0,21,0,0,1,5,5,0,0,0,20141,22635,70971,0,0,0,0,119,1,183,-0.001,5.235,5.171,4.350,-0.041,-0.049,-0.030,0.019,0.055,0.529,,,,,,
2020-01-30,SVK,sk,570,121,11,438,0,29,15,45,8,14,2,27,0,2,12,1,0,0,0,0,83133,12647,153553,0,0,0,1,250,1,318,0.028,5.324,5.283,4.271,-0.023,-0.030,-0.036,0.011,0.061,0.132,,,,,,
2020-01-31,SVK,sk,425,103,11,311,0,27,8,24,4,17,1,26,0,3,2,0,3,0,0,0,8390,3926,69084,0,0,0,1,175,1,248,-0.081,5.236,5.216,4.252,-0.022,-0.038,-0.035,-0.010,0.066,0.319,,,,,,
2020-02-01,SVK,sk,231,67,9,155,0,27,3,23,10,10,1,26,0,1,2,0,0,0,0,0,20020,2219,25440,0,0,0,0,102,3,126,-0.108,5.013,5.150,4.438,-0.037,-0.050,-0.035,-0.050,0.073,0.100,,,,,,
