datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_perM,epi_confirmed_new,epi_confirmed_new_perM,epi_dead,epi_dead_perM,epi_dead_new,epi_dead_new_perM,epi_tests,epi_tests_perK,epi_tests_new,epi_tests_new_perK,stats_pop_tot,stats_hosp_beds_perK
2020-01-22,SWZ,"en,ss",29,1,0,28,24,4,1,5,0.2000,4,1,0,4,0,0,1,0,0,3,1,5,4,1,0,0,5249,10,2814,3523,10,2814,0,14,0,15,0.1413,5.2060,5.2436,4.2884,,,-0.0590,,0.0797,0.0019,0.0028,0.2000,,0.2000,,,,,,,,,,,,,,,
2020-01-23,SWZ,"en,ss",37,0,1,36,27,6,1,5,0.1429,2,2,1,5,0,1,0,0,0,4,1,4,6,1,0,0,4451,194,3802,4244,194,3378,0,10,0,27,-0.0128,5.6888,5.4634,4.2801,,,-0.0581,,0.0786,0.0418,0.0437,0.1429,,0.1429,,,,,,,,,,,,,,,
2020-01-24,SWZ,"en,ss",59,3,6,50,46,1,7,4,0.8750,2,2,0,1,0,0,2,1,4,1,2,4,1,3,0,4,1057,1769,2806,1057,1376,2806,0,21,0,38,0.0411,5.9796,5.6332,4.3098,-0.0407,-0.0491,-0.0239,-0.0111,0.0713,0.6260,0.5656,0.7500,1.0000,0.8750,,,,,,,,,,,,,,,
2020-01-25,SWZ,"en,ss",92,17,2,73,55,7,0,5,0.0000,1,4,0,7,0,0,0,0,0,5,0,5,7,0,0,0,5743,0,5330,5456,0,5330,0,30,0,62,-0.0080,5.2792,5.2097,4.3004,,,-0.0338,-0.0030,0.0579,0.0000,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,,
2020-01-26,SWZ,"en,ss",77,11,1,65,59,4,1,8,0.2000,2,5,0,4,0,0,0,1,0,3,1,6,4,1,0,0,2312,38,3508,2274,38,2565,0,25,0,52,0.0012,5.3791,5.2504,4.3523,-0.0011,-0.0491,-0.0452,0.0333,0.0705,0.0162,0.0164,0.2000,,0.2000,,,,,,,,,,,,,,,
2020-01-27,SWZ,"en,ss",66,7,1,58,49,3,2,7,0.4000,4,2,0,3,0,0,2,0,0,3,2,6,3,2,0,0,2155,1456,5937,2155,1456,5876,0,19,0,47,-0.0590,5.1962,5.2883,4.3780,-0.0404,-0.0544,-0.0376,0.0298,0.0611,0.4032,0.4032,0.4000,,0.4000,,,,,,,,,,,,,,,
2020-01-28,SWZ,"en,ss",94,17,6,71,74,7,8,13,0.5333,6,7,3,4,0,0,7,1,0,5,8,12,6,8,0,0,4356,11896,10292,4243,11896,10179,0,49,0,45,-0.1231,5.2911,5.2772,4.2965,-0.0439,-0.0523,-0.0210,0.0146,0.0554,0.7320,0.7371,0.5714,,0.5714,,,,,,,,,,,,,,,
2020-01-29,SWZ,"en,ss",106,21,0,85,79,1,7,7,0.8750,4,2,0,1,0,0,3,4,0,1,7,6,1,6,0,0,574,9191,5191,574,9191,4779,0,56,0,50,0.0094,5.3427,5.2396,4.3497,,,-0.0364,0.0333,0.0663,0.9412,0.9412,0.8571,,0.8571,,,,,,,,,,,,,,,
2020-01-30,SWZ,"en,ss",237,32,2,203,180,5,4,18,0.4444,6,6,1,4,0,0,4,0,0,4,3,11,4,4,0,0,3166,4191,11993,3072,3131,6626,0,69,0,168,0.0610,5.3861,5.3136,4.2559,-0.0758,-0.0934,-0.0337,0.0248,0.0654,0.5697,0.5048,0.5000,,0.5000,,,,,,,,,,,,,,,
2020-01-31,SWZ,"en,ss",138,25,4,109,103,4,2,8,0.3333,3,3,0,4,0,0,2,0,0,3,1,6,3,2,0,0,3068,1797,8709,2927,1060,4744,0,69,0,69,0.0352,5.2708,5.2267,4.2137,-0.0767,0.0014,-0.0406,0.0176,0.0660,0.3694,0.2659,0.4000,,0.4000,,,,,,,,,,,,,,,
