datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,TCD,45,4,0,8,8068,0,7840,1,13,0,31,0.409,5.205,5.278,4.190,,,-0.043,,0.084,0.000,,0,0,0
2020-01-23,TCD,172,9,4,30,7888,4446,110777,0,83,0,89,0.036,5.590,5.382,4.410,-0.051,0.006,-0.029,-0.010,0.065,0.360,,0,0,0
2020-01-24,TCD,300,22,10,29,22822,15528,51378,0,129,0,171,0.155,6.035,5.672,4.473,-0.046,-0.018,-0.015,-0.004,0.063,0.405,,0,0,0
2020-01-25,TCD,406,27,10,21,35339,5293,56099,0,183,1,222,-0.118,5.328,5.302,4.273,-0.059,-0.005,-0.027,0.003,0.063,0.130,,0,0,0
2020-01-26,TCD,356,17,8,30,14251,30226,66713,0,148,0,208,-0.184,5.172,5.180,4.287,-0.020,-0.041,-0.039,-0.007,0.062,0.680,,0,0,0
2020-01-27,TCD,289,20,2,39,19912,3721,98213,1,115,1,172,-0.169,5.145,5.174,4.404,-0.007,-0.045,-0.029,0.011,0.050,0.157,,0,0,0
2020-01-28,TCD,281,8,5,37,16489,2993,109190,0,133,0,148,-0.092,5.252,5.312,4.145,-0.030,-0.047,-0.003,0.005,0.049,0.154,,0,0,0
2020-01-29,TCD,295,16,2,23,38588,2009,42184,0,114,0,181,-0.074,5.147,5.251,4.357,-0.047,-0.054,-0.024,-0.008,0.058,0.049,,0,0,0
2020-01-30,TCD,549,15,17,57,34511,25410,68870,1,261,2,285,-0.017,5.147,5.207,4.295,-0.021,-0.041,-0.024,0.002,0.065,0.424,,0,0,0
2020-01-31,TCD,523,19,11,31,49611,9167,75975,1,169,0,353,-0.143,5.034,5.157,4.291,-0.009,-0.036,-0.014,-0.001,0.064,0.156,,0,0,0
2020-02-01,TCD,303,5,3,23,16110,7804,25123,0,124,0,179,-0.115,5.052,5.207,4.346,-0.017,-0.037,-0.025,-0.001,0.069,0.326,,0,0,0
2020-02-02,TCD,347,8,1,28,3983,4451,54528,2,123,0,222,-0.083,5.253,5.273,4.246,0.035,-0.022,-0.022,0.010,0.070,0.528,,0,0,0
2020-02-03,TCD,199,3,1,16,10122,2681,50877,2,73,0,124,-0.006,5.168,5.268,4.286,0.007,-0.029,-0.018,0.006,0.072,0.209,,0,0,0
2020-02-04,TCD,223,7,5,13,14736,13814,28767,1,56,0,166,-0.194,5.031,5.147,4.326,0.023,-0.024,-0.014,-0.002,0.072,0.484,,0,0,0
2020-02-05,TCD,142,8,3,17,35337,1392,39511,1,56,2,83,0.030,5.310,5.250,4.288,,-0.060,-0.025,-0.009,0.073,0.038,,0,0,0
2020-02-06,TCD,166,5,1,22,22399,645,78869,3,42,0,121,-0.066,5.148,5.232,4.382,-0.016,-0.033,-0.020,-0.003,0.069,0.028,,0,0,0
2020-02-07,TCD,167,21,1,19,39999,2784,75811,0,54,1,112,-0.065,5.195,5.225,4.328,0.004,-0.045,-0.022,0.014,0.070,0.065,,0,0,0
2020-02-08,TCD,149,27,3,17,39236,4669,27384,1,55,1,92,-0.058,4.999,5.160,4.367,-0.023,-0.007,-0.013,-0.007,0.074,0.106,,0,0,0
2020-02-09,TCD,194,23,5,30,76091,9859,29298,0,50,0,144,-0.106,5.163,5.218,4.330,0.013,-0.033,-0.031,0.013,0.076,0.115,,0,0,0
2020-02-10,TCD,202,10,5,32,31229,16938,33283,2,50,0,150,-0.127,5.124,5.233,4.245,0.029,-0.035,-0.026,-0.007,0.072,0.352,,0,0,0
2020-02-11,TCD,167,11,3,11,48730,6879,22195,2,73,0,92,-0.080,5.108,5.184,4.341,-0.010,-0.055,-0.021,-0.001,0.076,0.124,,0,0,0
2020-02-12,TCD,124,6,3,15,41830,2528,90267,1,67,0,56,-0.094,5.111,5.206,4.236,-0.002,-0.030,-0.031,-0.022,0.073,0.057,,0,0,0
2020-02-13,TCD,113,11,4,12,121775,2422,46878,1,50,0,62,-0.133,5.097,5.142,4.462,-0.012,-0.040,-0.027,-0.013,0.076,0.020,,0,0,0
2020-02-14,TCD,83,3,2,5,4630,4640,10122,2,41,0,40,0.053,5.269,5.318,4.296,0.049,-0.002,-0.020,0.005,0.074,0.501,,0,0,0
2020-02-15,TCD,108,3,1,10,9476,2457,24183,1,53,0,54,-0.135,5.226,5.316,4.287,0.029,-0.024,-0.020,0.013,0.058,0.206,,0,0,0
2020-02-16,TCD,111,31,3,11,44190,4799,26962,0,44,0,67,-0.325,5.131,5.145,4.387,0.035,-0.017,0.009,0.006,0.037,0.098,,0,0,0
2020-02-17,TCD,82,8,2,11,21504,2064,14575,0,28,0,54,0.300,5.299,5.223,4.391,0.044,-0.040,-0.004,0.015,0.050,0.088,,0,0,0
2020-02-18,TCD,101,4,1,13,40953,197,31859,0,48,0,53,-0.094,5.243,5.284,4.352,-0.010,-0.039,-0.007,0.005,0.058,0.005,,0,0,0
2020-02-19,TCD,96,1,1,17,656,1836,13879,0,42,0,54,-0.171,5.177,5.190,4.481,-0.059,-0.011,0.026,0.022,0.050,0.737,,0,0,0
